Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,1.12,1.12,1.09,1.10,50700,1.10
2013-01-08,1.12,1.14,1.10,1.12,40000,1.12
2013-01-07,1.15,1.16,1.12,1.12,37200,1.12
2013-01-04,1.13,1.17,1.10,1.17,37800,1.17
2013-01-03,1.18,1.20,1.14,1.17,31400,1.17
2013-01-02,1.16,1.20,1.16,1.19,46000,1.19
2012-12-31,1.15,1.16,1.13,1.14,48300,1.14
2012-12-28,1.13,1.18,1.13,1.18,24700,1.18
2012-12-27,1.13,1.17,1.13,1.13,96900,1.13
2012-12-24,1.13,1.18,1.12,1.12,31300,1.12
2012-12-21,1.09,1.15,1.05,1.13,175200,1.13
2012-12-20,1.11,1.13,1.07,1.13,92200,1.13
2012-12-19,1.12,1.15,1.11,1.11,67400,1.11
2012-12-18,1.15,1.16,1.12,1.12,55800,1.12
2012-12-17,1.12,1.15,1.08,1.15,48200,1.15
2012-12-14,1.13,1.18,1.09,1.15,57400,1.15
2012-12-13,1.16,1.16,1.09,1.12,105100,1.12
2012-12-12,1.15,1.18,1.14,1.16,230000,1.16
2012-12-11,1.17,1.17,1.14,1.15,51400,1.15
2012-12-10,1.17,1.17,1.13,1.14,54100,1.14
2012-12-07,1.17,1.19,1.14,1.14,95000,1.14
2012-12-06,1.14,1.17,1.13,1.14,31200,1.14
2012-12-05,1.14,1.20,1.14,1.14,89700,1.14
2012-12-04,1.16,1.17,1.13,1.14,51700,1.14
2012-12-03,1.25,1.26,1.14,1.15,147400,1.15
2012-11-30,1.25,1.28,1.25,1.26,41600,1.26
2012-11-29,1.26,1.27,1.24,1.26,35000,1.26
2012-11-28,1.28,1.28,1.23,1.24,78900,1.24
2012-11-27,1.34,1.35,1.27,1.28,55700,1.28
2012-11-26,1.27,1.34,1.27,1.33,74100,1.33
2012-11-23,1.22,1.31,1.22,1.29,34900,1.29
2012-11-22,1.25,1.25,1.23,1.24,31100,1.24
2012-11-21,1.23,1.25,1.20,1.24,49600,1.24
2012-11-20,1.26,1.27,1.24,1.25,37100,1.25
2012-11-19,1.22,1.27,1.21,1.25,47700,1.25
2012-11-16,1.18,1.20,1.15,1.17,62000,1.17
2012-11-15,1.23,1.23,1.15,1.16,115100,1.16
2012-11-14,1.27,1.28,1.22,1.24,140300,1.24
2012-11-13,1.27,1.29,1.25,1.28,29500,1.28
2012-11-12,1.28,1.34,1.28,1.30,77900,1.30
2012-11-09,1.31,1.32,1.25,1.27,62700,1.27
2012-11-08,1.31,1.33,1.25,1.25,122500,1.25
2012-11-07,1.25,1.32,1.24,1.32,56900,1.32
2012-11-06,1.27,1.28,1.24,1.24,205300,1.24
2012-11-05,1.29,1.29,1.26,1.26,65700,1.26
2012-11-02,1.32,1.32,1.26,1.27,102600,1.27
2012-11-01,1.38,1.38,1.28,1.33,141600,1.33
2012-10-31,1.35,1.35,1.32,1.34,230800,1.34
2012-10-30,1.26,1.43,1.26,1.43,60800,1.43
2012-10-29,1.25,1.26,1.24,1.24,6500,1.24
2012-10-26,1.28,1.28,1.23,1.23,69900,1.23
2012-10-25,1.27,1.29,1.23,1.23,123400,1.23
2012-10-24,1.25,1.27,1.23,1.25,60000,1.25
2012-10-23,1.28,1.28,1.24,1.25,43800,1.25
2012-10-22,1.26,1.30,1.23,1.30,118800,1.30
2012-10-19,1.28,1.28,1.26,1.26,24600,1.26
2012-10-18,1.26,1.28,1.26,1.27,55100,1.27
2012-10-17,1.30,1.30,1.25,1.27,74200,1.27
2012-10-16,1.32,1.32,1.27,1.29,135600,1.29
2012-10-15,1.31,1.31,1.27,1.29,81800,1.29
2012-10-12,1.35,1.35,1.30,1.30,63400,1.30
2012-10-11,1.35,1.38,1.34,1.34,137700,1.34
2012-10-10,1.43,1.43,1.33,1.36,141500,1.36
2012-10-09,1.50,1.50,1.45,1.45,56900,1.45
2012-10-05,1.51,1.54,1.50,1.50,39700,1.50
2012-10-04,1.50,1.54,1.49,1.54,63600,1.54
2012-10-03,1.56,1.56,1.48,1.53,87200,1.53
2012-10-02,1.58,1.60,1.51,1.60,21200,1.60
2012-10-01,1.55,1.62,1.51,1.58,84800,1.58
2012-09-28,1.57,1.58,1.54,1.58,50800,1.58
2012-09-27,1.55,1.58,1.54,1.55,50000,1.55
2012-09-26,1.48,1.53,1.44,1.51,112000,1.51
2012-09-25,1.56,1.57,1.50,1.50,64500,1.50
2012-09-24,1.58,1.58,1.43,1.56,152500,1.56
2012-09-21,1.69,1.69,1.60,1.61,200200,1.61
2012-09-20,1.66,1.70,1.64,1.67,68900,1.67
2012-09-19,1.72,1.77,1.64,1.66,245100,1.66
2012-09-18,1.63,1.74,1.63,1.69,129700,1.69
2012-09-17,1.58,1.67,1.57,1.62,148700,1.62
2012-09-14,1.69,1.76,1.50,1.55,370700,1.55
2012-09-13,1.56,1.68,1.54,1.67,149300,1.67
2012-09-12,1.60,1.60,1.48,1.55,109300,1.55
2012-09-11,1.58,1.60,1.53,1.53,91300,1.53
2012-09-10,1.58,1.59,1.55,1.55,109800,1.55
2012-09-07,1.54,1.59,1.54,1.55,95700,1.55
2012-09-06,1.54,1.56,1.49,1.51,165200,1.51
2012-09-05,1.54,1.57,1.46,1.46,100500,1.46
2012-09-04,1.49,1.52,1.40,1.51,149600,1.51
2012-08-31,1.35,1.43,1.34,1.43,26600,1.43
2012-08-30,1.38,1.43,1.33,1.33,78000,1.33
2012-08-29,1.41,1.45,1.39,1.39,88500,1.39
2012-08-28,1.32,1.41,1.28,1.38,67500,1.38
2012-08-27,1.40,1.40,1.32,1.33,53400,1.33
2012-08-24,1.37,1.40,1.33,1.38,49300,1.38
2012-08-23,1.38,1.41,1.32,1.32,108700,1.32
2012-08-22,1.26,1.36,1.25,1.35,65900,1.35
2012-08-21,1.20,1.27,1.20,1.24,150800,1.24
2012-08-20,1.15,1.17,1.14,1.17,24800,1.17
2012-08-17,1.17,1.19,1.13,1.15,57800,1.15
2012-08-16,1.17,1.22,1.17,1.18,72700,1.18
2012-08-15,1.15,1.18,1.14,1.15,12700,1.15
2012-08-14,1.16,1.16,1.16,1.16,4700,1.16
2012-08-13,1.18,1.24,1.14,1.14,90800,1.14
2012-08-10,1.17,1.20,1.16,1.17,8500,1.17
2012-08-09,1.15,1.21,1.15,1.21,34600,1.21
2012-08-08,1.18,1.22,1.16,1.16,60400,1.16
2012-08-07,1.16,1.24,1.16,1.18,22100,1.18
2012-08-03,1.19,1.20,1.17,1.19,16300,1.19
2012-08-02,1.17,1.23,1.17,1.18,15400,1.18
2012-08-01,1.22,1.22,1.22,1.22,000,1.22
2012-07-31,1.24,1.24,1.20,1.22,15500,1.22
2012-07-30,1.24,1.25,1.21,1.21,39600,1.21
2012-07-27,1.20,1.24,1.19,1.24,26000,1.24
2012-07-26,1.22,1.25,1.20,1.20,36300,1.20
2012-07-25,1.20,1.23,1.20,1.21,33000,1.21
2012-07-24,1.16,1.18,1.16,1.16,6800,1.16
2012-07-23,1.20,1.20,1.16,1.16,15500,1.16
2012-07-20,1.24,1.25,1.22,1.25,33100,1.25
2012-07-19,1.23,1.25,1.21,1.25,36700,1.25
2012-07-18,1.22,1.25,1.18,1.24,36100,1.24
2012-07-17,1.25,1.25,1.20,1.20,59500,1.20
2012-07-16,1.25,1.25,1.16,1.25,39900,1.25
2012-07-13,1.25,1.25,1.20,1.25,382400,1.25
2012-07-12,1.25,1.25,1.17,1.25,80000,1.25
2012-07-11,1.25,1.28,1.23,1.26,26100,1.26
2012-07-10,1.30,1.30,1.22,1.30,31700,1.30
2012-07-09,1.20,1.30,1.19,1.30,44800,1.30
2012-07-06,1.24,1.30,1.22,1.23,40400,1.23
2012-07-05,1.24,1.28,1.24,1.28,93900,1.28
2012-07-04,1.26,1.26,1.22,1.23,22800,1.23
2012-07-03,1.21,1.24,1.16,1.22,108900,1.22
2012-06-29,1.12,1.12,1.03,1.04,80500,1.04
2012-06-28,1.02,1.03,0.96,0.99,56300,0.99
2012-06-27,1.00,1.05,1.00,1.01,127600,1.01
2012-06-26,1.05,1.07,1.00,1.00,148100,1.00
2012-06-25,1.14,1.14,1.07,1.10,34700,1.10
2012-06-22,1.19,1.19,1.13,1.15,14400,1.15
2012-06-21,1.19,1.19,1.10,1.15,110100,1.15
2012-06-20,1.24,1.24,1.19,1.19,53000,1.19
2012-06-19,1.19,1.24,1.17,1.24,85700,1.24
2012-06-18,1.21,1.25,1.19,1.20,89600,1.20
2012-06-15,1.24,1.25,1.19,1.19,60900,1.19
2012-06-14,1.22,1.27,1.22,1.22,54500,1.22
2012-06-13,1.28,1.29,1.26,1.26,44000,1.26
2012-06-12,1.23,1.29,1.23,1.24,41600,1.24
2012-06-11,1.23,1.27,1.22,1.23,124200,1.23
2012-06-08,1.29,1.31,1.28,1.28,56400,1.28
2012-06-07,1.39,1.40,1.27,1.32,55400,1.32
2012-06-06,1.33,1.40,1.33,1.39,205900,1.39
2012-06-05,1.31,1.33,1.27,1.33,73700,1.33
2012-06-04,1.31,1.34,1.27,1.30,49100,1.30
2012-06-01,1.25,1.36,1.25,1.30,145600,1.30
2012-05-31,1.25,1.27,1.25,1.27,15100,1.27
2012-05-30,1.25,1.30,1.20,1.29,129300,1.29
2012-05-29,1.41,1.43,1.25,1.25,107000,1.25
2012-05-28,1.32,1.38,1.32,1.38,5300,1.38
2012-05-25,1.42,1.48,1.38,1.43,20000,1.43
2012-05-24,1.45,1.49,1.42,1.42,30400,1.42
2012-05-23,1.34,1.42,1.33,1.42,57000,1.42
2012-05-22,1.36,1.38,1.35,1.38,27900,1.38
2012-05-18,1.36,1.43,1.33,1.33,129500,1.33
2012-05-17,1.22,1.38,1.22,1.34,118800,1.34
2012-05-16,1.25,1.32,1.20,1.20,133000,1.20
2012-05-15,1.30,1.32,1.21,1.25,162000,1.25
2012-05-14,1.34,1.34,1.30,1.31,131500,1.31
2012-05-11,1.38,1.40,1.34,1.34,80700,1.34
2012-05-10,1.39,1.46,1.39,1.42,49700,1.42
2012-05-09,1.34,1.43,1.34,1.43,111600,1.43
2012-05-08,1.36,1.39,1.32,1.35,139100,1.35
2012-05-07,1.38,1.39,1.36,1.36,74900,1.36
2012-05-04,1.39,1.39,1.36,1.38,75700,1.38
2012-05-03,1.38,1.42,1.36,1.40,101000,1.40
2012-05-02,1.40,1.42,1.37,1.38,90700,1.38
2012-05-01,1.45,1.45,1.37,1.40,233700,1.40
2012-04-30,1.44,1.45,1.37,1.45,274600,1.45
2012-04-27,1.39,1.43,1.39,1.43,90000,1.43
2012-04-26,1.41,1.44,1.38,1.39,275700,1.39
2012-04-25,1.44,1.44,1.41,1.42,232300,1.42
2012-04-24,1.45,1.48,1.43,1.44,92900,1.44
2012-04-23,1.50,1.50,1.41,1.45,132800,1.45
2012-04-20,1.50,1.52,1.49,1.50,26900,1.50
2012-04-19,1.47,1.60,1.47,1.48,105000,1.48
2012-04-18,1.45,1.48,1.45,1.47,43200,1.47
2012-04-17,1.42,1.54,1.42,1.44,113500,1.44
2012-04-16,1.52,1.53,1.43,1.43,58100,1.43
2012-04-13,1.60,1.62,1.50,1.51,43700,1.51
2012-04-12,1.48,1.64,1.43,1.56,84500,1.56
2012-04-11,1.49,1.51,1.42,1.42,46600,1.42
2012-04-10,1.52,1.52,1.41,1.49,128400,1.49
2012-04-09,1.53,1.54,1.46,1.48,55000,1.48
2012-04-05,1.58,1.64,1.52,1.53,55000,1.53
2012-04-04,1.57,1.68,1.53,1.64,127800,1.64
2012-04-03,1.72,1.72,1.49,1.66,184900,1.66
2012-04-02,1.74,1.76,1.67,1.67,99100,1.67
2012-03-30,1.82,1.82,1.68,1.70,45000,1.70
2012-03-29,1.68,1.70,1.64,1.68,41800,1.68
2012-03-28,1.70,1.73,1.67,1.70,37200,1.70
2012-03-27,1.75,1.75,1.68,1.69,48000,1.69
2012-03-26,1.69,1.73,1.66,1.73,68700,1.73
2012-03-23,1.60,1.79,1.60,1.65,67700,1.65
2012-03-22,1.66,1.72,1.60,1.61,55000,1.61
2012-03-21,1.75,1.78,1.70,1.70,74300,1.70
2012-03-20,1.78,1.78,1.70,1.70,89900,1.70
2012-03-19,1.84,1.84,1.78,1.79,39100,1.79
2012-03-16,1.85,1.86,1.82,1.85,27700,1.85
2012-03-15,1.77,1.85,1.77,1.80,33400,1.80
2012-03-14,1.83,1.83,1.75,1.75,100000,1.75
2012-03-13,1.89,1.91,1.87,1.87,17600,1.87
2012-03-12,1.90,1.90,1.78,1.88,25600,1.88
2012-03-09,1.93,1.93,1.86,1.90,55200,1.90
2012-03-08,1.90,1.94,1.87,1.88,53300,1.88
2012-03-07,1.82,1.93,1.81,1.88,79800,1.88
2012-03-06,1.91,1.91,1.72,1.80,241600,1.80
2012-03-05,2.04,2.04,1.92,1.96,147000,1.96
2012-03-02,2.01,2.05,1.95,2.05,234400,2.05
2012-03-01,1.98,2.05,1.98,2.04,87400,2.04
2012-02-29,2.11,2.18,1.95,1.97,314400,1.97
2012-02-28,1.94,2.10,1.92,2.10,224600,2.10
2012-02-27,1.93,1.95,1.88,1.93,67500,1.93
2012-02-24,1.94,1.94,1.88,1.93,86100,1.93
2012-02-23,1.80,1.94,1.80,1.91,222400,1.91
2012-02-22,1.77,1.80,1.77,1.79,79800,1.79
2012-02-21,1.75,1.78,1.74,1.76,56200,1.76
2012-02-17,1.75,1.77,1.68,1.69,67100,1.69
2012-02-16,1.76,1.78,1.74,1.75,51300,1.75
2012-02-15,1.76,1.77,1.75,1.76,47800,1.76
2012-02-14,1.75,1.75,1.70,1.75,38100,1.75
2012-02-13,1.65,1.79,1.65,1.75,96700,1.75
2012-02-10,1.66,1.68,1.63,1.63,54900,1.63
2012-02-09,1.73,1.74,1.65,1.70,64900,1.70
2012-02-08,1.77,1.77,1.65,1.68,188800,1.68
2012-02-07,1.79,1.80,1.76,1.77,79700,1.77
2012-02-06,1.82,1.82,1.78,1.78,55600,1.78
2012-02-03,1.83,1.83,1.76,1.81,113400,1.81
2012-02-02,1.82,1.83,1.75,1.80,77600,1.80
2012-02-01,1.82,1.83,1.78,1.80,55900,1.80
2012-01-31,1.80,1.84,1.75,1.78,70600,1.78
2012-01-30,1.74,1.76,1.70,1.76,49200,1.76
2012-01-27,1.77,1.84,1.73,1.73,116000,1.73
