Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,0.02,0.03,0.02,0.02,525900,0.02
2013-10-15,0.02,0.02,0.02,0.02,118500,0.02
2013-10-14,0.02,0.02,0.02,0.02,79300,0.02
2013-10-11,0.02,0.02,0.02,0.02,653100,0.02
2013-10-10,0.02,0.02,0.02,0.02,262300,0.02
2013-10-09,0.02,0.02,0.02,0.02,103000,0.02
2013-10-08,0.02,0.03,0.02,0.03,518100,0.03
2013-10-07,0.02,0.02,0.02,0.02,471200,0.02
2013-10-04,0.02,0.02,0.02,0.02,548500,0.02
2013-10-03,0.02,0.02,0.02,0.02,834900,0.02
2013-10-02,0.02,0.02,0.02,0.02,149700,0.02
2013-10-01,0.02,0.02,0.02,0.02,379700,0.02
2013-09-30,0.02,0.02,0.02,0.02,131100,0.02
2013-09-27,0.02,0.02,0.02,0.02,724700,0.02
2013-09-26,0.02,0.02,0.02,0.02,33000,0.02
2013-09-25,0.02,0.02,0.02,0.02,126900,0.02
2013-09-24,0.02,0.02,0.02,0.02,293400,0.02
2013-09-23,0.02,0.02,0.02,0.02,76700,0.02
2013-09-20,0.02,0.02,0.02,0.02,1444500,0.02
2013-09-19,0.02,0.02,0.02,0.02,53600,0.02
2013-09-18,0.02,0.02,0.02,0.02,93000,0.02
2013-09-17,0.02,0.02,0.02,0.02,87800,0.02
2013-09-16,0.01,0.02,0.01,0.02,21400,0.02
2013-09-13,0.02,0.02,0.02,0.02,213300,0.02
2013-09-12,0.02,0.02,0.01,0.02,15300,0.02
2013-09-11,0.02,0.02,0.02,0.02,46300,0.02
2013-09-10,0.02,0.02,0.02,0.02,327800,0.02
2013-09-09,0.02,0.02,0.02,0.02,63500,0.02
2013-09-06,0.02,0.02,0.02,0.02,417300,0.02
2013-09-05,0.02,0.02,0.01,0.02,747200,0.02
2013-09-04,0.02,0.02,0.02,0.02,88900,0.02
2013-09-03,0.01,0.02,0.01,0.02,68100,0.02
2013-09-02,0.02,0.02,0.02,0.02,000,0.02
2013-08-30,0.01,0.02,0.01,0.02,29000,0.02
