Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,1.10,1.11,1.07,1.09,64400,1.09
2013-01-08,1.11,1.13,1.08,1.13,9500,1.13
2013-01-07,1.12,1.13,1.10,1.12,11100,1.12
2013-01-04,1.13,1.16,1.13,1.14,15200,1.14
2013-01-03,1.21,1.21,1.16,1.16,32700,1.16
2013-01-02,1.18,1.23,1.18,1.20,44000,1.20
2012-12-31,1.07,1.10,1.05,1.09,36300,1.09
2012-12-28,1.06,1.08,1.04,1.05,7000,1.05
2012-12-27,1.07,1.10,1.05,1.10,26700,1.10
2012-12-26,1.06,1.06,1.01,1.01,13300,1.01
2012-12-24,1.07,1.07,1.04,1.04,9500,1.04
2012-12-21,1.11,1.11,1.07,1.08,47500,1.08
2012-12-20,1.11,1.14,1.11,1.13,17600,1.13
2012-12-19,1.12,1.14,1.10,1.12,63500,1.12
2012-12-18,1.12,1.19,1.11,1.18,67300,1.18
2012-12-17,1.03,1.07,1.01,1.05,84700,1.05
2012-12-14,0.93,0.96,0.93,0.95,29900,0.95
2012-12-13,0.95,0.96,0.92,0.93,14800,0.93
2012-12-12,0.91,0.97,0.91,0.95,30200,0.95
2012-12-11,0.86,0.90,0.86,0.89,20900,0.89
2012-12-10,0.87,0.87,0.84,0.87,38300,0.87
2012-12-07,0.85,0.87,0.85,0.87,119300,0.87
2012-12-06,0.85,0.86,0.84,0.84,134600,0.84
2012-12-05,0.86,0.87,0.84,0.86,77500,0.86
2012-12-04,0.87,0.87,0.85,0.85,103800,0.85
2012-12-03,0.88,0.89,0.85,0.86,45300,0.86
2012-11-30,0.92,0.92,0.89,0.90,13000,0.90
2012-11-29,0.93,0.94,0.91,0.94,17700,0.94
2012-11-28,0.88,0.90,0.86,0.90,28900,0.90
2012-11-27,0.95,0.95,0.91,0.93,33200,0.93
2012-11-26,0.93,0.95,0.93,0.93,17900,0.93
2012-11-23,0.93,0.94,0.92,0.94,6800,0.94
2012-11-21,0.93,0.94,0.92,0.92,21200,0.92
2012-11-20,0.93,0.96,0.92,0.94,48200,0.94
2012-11-19,0.85,0.89,0.85,0.87,65800,0.87
2012-11-16,0.80,0.81,0.78,0.80,57500,0.80
2012-11-15,0.85,0.85,0.81,0.83,166600,0.83
