"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","AUD/CAD"
2455118,"2009/10/13","Tue",1.0702
2455119,"2009/10/14","Wed",1.0641
2455120,"2009/10/15","Thu",1.0547
2455121,"2009/10/16","Fri",1.0511
2455124,"2009/10/19","Mon",1.0472
2455125,"2009/10/20","Tue",1.0342
2455126,"2009/10/21","Wed",1.0356
2455127,"2009/10/22","Thu",1.0345
2455128,"2009/10/23","Fri",1.0285
2455131,"2009/10/26","Mon",1.0241
2455132,"2009/10/27","Tue",1.0250
2455133,"2009/10/28","Wed",1.0316
2455134,"2009/10/29","Thu",1.0217
2455135,"2009/10/30","Fri",1.0273
2455138,"2009/11/02","Mon",1.0249
2455139,"2009/11/03","Tue",1.0398
2455140,"2009/11/04","Wed",1.0338
2455141,"2009/11/05","Thu",1.0338
2455142,"2009/11/06","Fri",1.0181
2455145,"2009/11/09","Mon",1.0185
2455146,"2009/11/10","Tue",1.0248
2455148,"2009/11/12","Thu",1.0282
2455149,"2009/11/13","Fri",1.0226
2455152,"2009/11/16","Mon",1.0206
2455153,"2009/11/17","Tue",1.0193
2455154,"2009/11/18","Wed",1.0240
2455155,"2009/11/19","Thu",1.0233
2455156,"2009/11/20","Fri",1.0212
2455159,"2009/11/23","Mon",1.0251
2455160,"2009/11/24","Tue",1.0283
2455161,"2009/11/25","Wed",1.0258
2455162,"2009/11/26","Thu",1.0354
2455163,"2009/11/27","Fri",1.0356
2455166,"2009/11/30","Mon",1.0345
2455167,"2009/12/01","Tue",1.0365
2455168,"2009/12/02","Wed",1.0316
2455169,"2009/12/03","Thu",1.0236
2455170,"2009/12/04","Fri",1.0391
"(C) 2009 Prof. Werner Antweiler, UBC"
