"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","CHF/CAD"
2456643,"2013/12/16","Mon",0.83935
2456644,"2013/12/17","Tue",0.83598
2456645,"2013/12/18","Wed",0.83354
2456646,"2013/12/19","Thu",0.83949
2456647,"2013/12/20","Fri",0.83822
2456650,"2013/12/23","Mon",0.84345
2456651,"2013/12/24","Tue",0.84388
2456654,"2013/12/27","Fri",0.83132
2456657,"2013/12/30","Mon",0.83326
2456658,"2013/12/31","Tue",0.83717
2456660,"2014/01/02","Thu",0.84624
2456661,"2014/01/03","Fri",0.85215
"(C) 2014 Prof. Werner Antweiler, UBC"
