"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2455075,"2009/08/31","Mon",0.63528
2455076,"2009/09/01","Tue",0.63682
2455077,"2009/09/02","Wed",0.63444
2455078,"2009/09/03","Thu",0.63480
2455079,"2009/09/04","Fri",0.64321
2455083,"2009/09/08","Tue",0.64090
2455084,"2009/09/09","Wed",0.63617
2455085,"2009/09/10","Thu",0.63492
2455086,"2009/09/11","Fri",0.63804
2455089,"2009/09/14","Mon",0.63032
2455090,"2009/09/15","Tue",0.63569
2455091,"2009/09/16","Wed",0.63808
2455092,"2009/09/17","Thu",0.63947
2455093,"2009/09/18","Fri",0.63424
2455096,"2009/09/21","Mon",0.63163
2455097,"2009/09/22","Tue",0.63275
2455098,"2009/09/23","Wed",0.63215
2455099,"2009/09/24","Thu",0.62610
2455100,"2009/09/25","Fri",0.62403
2455103,"2009/09/28","Mon",0.62854
2455104,"2009/09/29","Tue",0.63207
2455105,"2009/09/30","Wed",0.63751
2455106,"2009/10/01","Thu",0.63873
"(C) 2009 Prof. Werner Antweiler, UBC"
