"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","GBP/CAD"
2455118,"2009/10/13","Tue",0.61095
2455119,"2009/10/14","Wed",0.60835
2455120,"2009/10/15","Thu",0.59741
2455121,"2009/10/16","Fri",0.58876
2455124,"2009/10/19","Mon",0.59158
2455125,"2009/10/20","Tue",0.58143
2455126,"2009/10/21","Wed",0.57827
2455127,"2009/10/22","Thu",0.57478
2455128,"2009/10/23","Fri",0.58204
2455131,"2009/10/26","Mon",0.57610
2455132,"2009/10/27","Tue",0.57501
2455133,"2009/10/28","Wed",0.56780
2455134,"2009/10/29","Thu",0.56417
2455135,"2009/10/30","Fri",0.56329
2455138,"2009/11/02","Mon",0.56728
2455139,"2009/11/03","Tue",0.57029
2455140,"2009/11/04","Wed",0.56683
2455141,"2009/11/05","Thu",0.56686
2455142,"2009/11/06","Fri",0.56246
2455145,"2009/11/09","Mon",0.56609
2455146,"2009/11/10","Tue",0.57003
2455148,"2009/11/12","Thu",0.57475
2455149,"2009/11/13","Fri",0.57136
2455152,"2009/11/16","Mon",0.56928
2455153,"2009/11/17","Tue",0.56306
2455154,"2009/11/18","Wed",0.56844
2455155,"2009/11/19","Thu",0.56433
2455156,"2009/11/20","Fri",0.56564
2455159,"2009/11/23","Mon",0.57100
2455160,"2009/11/24","Tue",0.56876
2455161,"2009/11/25","Wed",0.57127
2455162,"2009/11/26","Thu",0.57212
2455163,"2009/11/27","Fri",0.57068
2455166,"2009/11/30","Mon",0.57637
2455167,"2009/12/01","Tue",0.57660
2455168,"2009/12/02","Wed",0.57409
2455169,"2009/12/03","Thu",0.57228
2455170,"2009/12/04","Fri",0.57577
"(C) 2009 Prof. Werner Antweiler, UBC"
