"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","USD/CAD"
2455743,"2011/06/30","Thu",1.0370
2455747,"2011/07/04","Mon",1.0419
2455748,"2011/07/05","Tue",1.0408
2455749,"2011/07/06","Wed",1.0355
2455750,"2011/07/07","Thu",1.0432
2455751,"2011/07/08","Fri",1.0388
2455754,"2011/07/11","Mon",1.0346
2455755,"2011/07/12","Tue",1.0343
2455756,"2011/07/13","Wed",1.0436
2455757,"2011/07/14","Thu",1.0433
2455758,"2011/07/15","Fri",1.0487
2455761,"2011/07/18","Mon",1.0400
2455762,"2011/07/19","Tue",1.0520
2455763,"2011/07/20","Wed",1.0550
2455764,"2011/07/21","Thu",1.0581
2455765,"2011/07/22","Fri",1.0524
2455768,"2011/07/25","Mon",1.0583
2455769,"2011/07/26","Tue",1.0583
2455770,"2011/07/27","Wed",1.0555
2455771,"2011/07/28","Thu",1.0544
2455772,"2011/07/29","Fri",1.0484
2455776,"2011/08/02","Tue",1.0438
2455777,"2011/08/03","Wed",1.0380
2455778,"2011/08/04","Thu",1.0239
2455779,"2011/08/05","Fri",1.0159
"(C) 2011 Prof. Werner Antweiler, UBC"
