Date,Open,High,Low,Close,Volume,Adj Close
1995-01-11,20.38,21.46,20.26,21.46,3298100,17.78
1995-01-10,19.77,20.26,19.65,20.26,1488100,16.78
1995-01-09,19.65,19.89,19.53,19.77,1264000,16.38
1995-01-06,20.14,20.26,19.53,19.53,1480100,16.18
1995-01-05,20.02,20.26,19.29,20.14,2091700,16.68
1995-01-04,20.14,20.38,19.65,19.77,3047700,16.38
1995-01-03,21.22,21.22,20.62,20.62,1192700,17.08
1994-12-30,21.82,21.82,21.46,21.46,772800,17.78
1994-12-29,21.82,22.07,21.58,21.70,2781500,17.98
1994-12-28,21.10,22.07,20.98,21.82,1457400,18.08
1994-12-27,20.86,21.10,20.74,20.98,405300,17.38
1994-12-23,20.74,20.98,20.74,20.74,494300,17.18
1994-12-22,20.86,20.98,20.62,20.74,659500,17.18
1994-12-21,20.74,21.10,20.62,20.98,957600,17.38
1994-12-20,20.86,20.98,20.62,20.74,961400,17.18
1994-12-19,20.26,20.62,20.14,20.62,742900,17.08
1994-12-16,20.98,20.98,20.26,20.38,1417300,16.88
1994-12-15,21.22,21.34,20.74,20.74,1038300,17.18
1994-12-14,21.34,21.58,21.22,21.34,880500,17.68
1994-12-13,20.98,21.34,20.98,21.10,1377900,17.48
1994-12-12,20.62,20.86,20.62,20.74,738400,17.18
1994-12-09,20.26,20.62,20.14,20.62,865800,17.08
1994-12-08,20.50,20.62,20.26,20.38,1216000,16.88
1994-12-07,20.26,20.62,20.14,20.62,2449500,17.08
1994-12-06,19.77,20.02,19.17,20.02,2869800,16.58
1994-12-05,20.02,20.14,19.65,19.77,1398200,16.38
1994-12-02,20.26,20.50,19.89,20.14,1134100,16.68
1994-12-01,20.14,20.62,20.02,20.38,970900,16.88
1994-11-30,20.86,20.86,20.14,20.26,1448200,16.78
1994-11-29,20.62,20.98,20.50,20.62,1666900,17.08
1994-11-28,20.74,20.86,20.14,20.38,1254500,16.88
1994-11-25,20.26,20.74,20.26,20.74,1072800,17.18
1994-11-23,20.50,20.74,19.89,20.02,1802500,16.58
1994-11-22,21.17,21.17,20.57,20.69,983900,17.10
1994-11-21,21.29,21.41,20.93,21.17,907500,17.50
1994-11-18,21.65,21.65,21.17,21.29,1321000,17.59
1994-11-17,22.25,22.25,21.65,21.65,771900,17.89
1994-11-16,22.25,22.50,22.13,22.13,853500,18.29
1994-11-15,22.62,22.74,22.01,22.25,1043400,18.39
1994-11-14,22.74,22.86,22.37,22.37,622700,18.49
1994-11-11,22.74,22.86,22.62,22.62,394500,18.69
1994-11-10,22.74,22.86,22.62,22.74,888000,18.79
1994-11-09,23.10,23.46,22.62,22.62,1192700,18.69
1994-11-08,23.10,23.22,22.98,23.10,984400,19.09
1994-11-07,22.50,22.86,22.37,22.74,947900,18.79
1994-11-04,22.98,23.10,22.50,22.50,968000,18.59
1994-11-03,22.74,22.86,22.50,22.86,766200,18.89
