Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,18.37,18.50,18.01,18.23,2743200,18.23
2013-10-15,17.80,18.47,17.75,18.46,2716700,18.46
2013-10-11,18.16,18.26,17.78,17.81,3193400,17.81
2013-10-10,18.35,18.84,18.11,18.54,4261200,18.54
2013-10-09,18.25,18.57,17.86,18.35,2916800,18.35
2013-10-08,18.80,18.88,18.20,18.28,2096300,18.28
2013-10-07,18.72,18.95,18.69,18.80,2217900,18.80
2013-10-04,18.73,18.89,18.55,18.55,1675000,18.55
2013-10-03,18.90,19.08,18.64,18.67,2273100,18.67
2013-10-02,18.93,19.41,18.85,19.02,3711800,19.02
2013-10-01,18.70,18.83,18.43,18.60,3195900,18.60
2013-09-30,18.86,19.35,18.83,19.18,2914300,19.18
2013-09-27,19.34,19.57,19.01,19.11,2775600,19.11
2013-09-26,19.35,19.52,18.93,19.08,2735600,19.08
2013-09-25,19.20,19.61,18.98,19.29,5751100,19.29
2013-09-24,18.75,19.25,18.58,19.14,3231600,19.14
2013-09-23,19.06,19.53,18.82,18.88,2569400,18.88
2013-09-20,19.80,19.80,19.08,19.11,9399700,19.11
2013-09-19,20.54,20.61,19.55,19.94,4866900,19.94
2013-09-18,18.70,20.83,18.64,20.66,6226500,20.66
2013-09-17,19.06,19.06,18.52,18.87,2355600,18.87
2013-09-16,18.66,19.22,18.57,18.75,3927700,18.75
2013-09-13,18.08,18.43,17.98,18.34,2898600,18.34
2013-09-12,18.45,18.61,18.15,18.19,2643400,18.19
2013-09-11,19.11,19.27,18.88,19.20,2861200,19.20
2013-09-10,19.33,19.52,18.93,19.06,2874900,19.06
2013-09-09,19.93,20.04,19.74,19.92,1766000,19.92
2013-09-06,20.14,20.29,19.78,19.88,2908100,19.88
2013-09-05,20.18,20.29,19.80,19.95,3502500,19.95
2013-09-04,20.19,20.43,20.08,20.40,2404800,20.40
2013-09-03,20.44,20.74,20.40,20.52,3222600,20.52
2013-08-30,20.36,20.51,20.03,20.11,4451400,20.11
2013-08-29,20.20,20.93,19.84,20.69,3634900,20.69
2013-08-28,20.85,21.45,20.18,20.26,4977900,20.26
2013-08-27,22.05,22.29,20.62,20.64,4851400,20.59
2013-08-26,21.32,21.69,21.08,21.52,3944900,21.47
2013-08-23,20.70,21.33,20.45,21.11,4443100,21.06
2013-08-22,20.50,20.83,20.14,20.57,3802000,20.52
2013-08-21,20.44,20.75,19.96,19.96,4275000,19.91
2013-08-20,19.86,20.72,19.81,20.60,3444500,20.55
2013-08-19,20.06,20.27,19.66,19.94,3585000,19.89
2013-08-16,20.73,20.93,19.76,20.01,4978100,19.96
2013-08-15,19.05,20.48,19.01,20.43,6814100,20.38
2013-08-14,18.60,19.48,18.50,19.28,4406100,19.23
2013-08-13,18.66,18.89,18.21,18.40,3437400,18.35
2013-08-12,18.66,18.99,18.65,18.74,3487100,18.69
2013-08-09,17.63,18.22,17.36,18.00,3808500,17.95
2013-08-08,16.49,17.70,16.45,17.60,4556400,17.56
2013-08-07,16.24,16.62,16.19,16.25,2322300,16.21
2013-08-06,16.83,16.83,16.22,16.25,2848400,16.21
2013-08-02,17.39,18.11,17.28,17.37,3260500,17.33
2013-08-01,17.85,17.95,17.33,17.46,4326300,17.42
2013-07-31,17.67,17.96,17.00,17.00,5449400,16.96
2013-07-30,17.93,18.04,17.61,17.72,3761900,17.68
2013-07-29,18.32,18.34,17.93,18.09,2156100,18.04
2013-07-26,17.86,18.30,17.65,18.28,2500100,18.23
2013-07-25,17.70,18.31,17.53,17.96,3238100,17.91
2013-07-24,18.50,18.56,17.40,17.67,4824000,17.63
2013-07-23,18.13,18.68,17.93,18.68,4099500,18.63
2013-07-22,17.93,18.45,17.85,18.25,4676900,18.20
2013-07-19,16.50,17.18,16.41,17.16,6190500,17.12
2013-07-18,16.59,16.64,16.26,16.34,3299900,16.30
2013-07-17,16.78,16.96,16.33,16.34,3794600,16.30
2013-07-16,15.88,16.70,15.83,16.62,4343500,16.58
2013-07-15,15.89,15.95,15.56,15.69,2336400,15.65
2013-07-12,15.69,15.74,15.39,15.49,2681400,15.45
2013-07-11,15.47,15.86,15.37,15.85,4232300,15.81
2013-07-10,14.75,14.93,14.50,14.69,3696300,14.65
2013-07-09,14.87,15.11,14.59,14.66,3639400,14.62
2013-07-08,14.87,15.00,14.51,14.58,9649500,14.54
2013-07-05,15.08,15.11,14.22,14.57,6750900,14.53
2013-07-04,15.59,15.70,15.16,15.31,905900,15.27
2013-07-03,15.38,15.74,15.25,15.51,3477600,15.47
2013-07-02,16.13,16.14,15.10,15.32,5605900,15.28
2013-06-28,15.48,16.72,15.41,16.60,7208000,16.56
2013-06-27,15.72,16.02,15.49,15.57,11837300,15.53
2013-06-26,16.15,16.20,15.45,15.50,5780100,15.46
2013-06-25,17.22,17.41,16.80,16.91,3935800,16.87
2013-06-24,17.38,18.03,16.56,17.28,6925400,17.24
2013-06-21,17.50,17.77,16.94,17.71,8021800,17.67
2013-06-20,17.66,17.80,16.96,17.10,7020200,17.06
2013-06-19,19.30,19.50,18.41,18.55,3573000,18.50
2013-06-18,19.60,19.74,19.14,19.24,3936400,19.19
2013-06-17,19.83,20.06,19.64,19.75,2251300,19.70
2013-06-14,20.28,20.34,19.80,19.84,5039400,19.79
2013-06-13,19.90,20.16,19.55,20.02,4546500,19.97
2013-06-12,20.10,20.71,19.96,20.19,2665800,20.14
2013-06-11,20.33,20.62,19.98,19.99,4525700,19.94
2013-06-10,20.49,20.90,20.21,20.81,2800900,20.76
2013-06-07,21.10,21.13,20.45,20.60,3341000,20.55
2013-06-06,21.66,21.98,21.47,21.67,3578300,21.62
2013-06-05,21.60,22.16,21.46,21.76,3866200,21.71
2013-06-04,21.62,21.69,21.04,21.58,2341300,21.53
2013-06-03,22.02,22.33,21.77,21.96,2438400,21.90
2013-05-31,21.58,22.38,21.50,21.78,5793600,21.73
2013-05-30,21.04,22.01,21.04,21.91,5455200,21.85
2013-05-29,19.94,20.57,19.78,20.53,3894200,20.27
2013-05-28,19.99,20.35,19.59,19.88,11207800,19.43
2013-05-27,19.89,20.10,19.81,20.06,1836500,19.60
2013-05-24,20.25,20.45,19.34,19.69,3823400,19.24
2013-05-23,20.54,20.60,20.05,20.12,2901900,19.66
2013-05-22,20.42,20.80,19.93,20.21,6630800,19.75
2013-05-21,19.78,20.27,19.64,19.88,4710000,19.43
2013-05-17,19.60,19.77,19.02,19.07,4056100,18.63
2013-05-16,19.32,19.96,18.97,19.61,5906200,19.16
2013-05-15,20.46,20.74,19.66,19.74,4466800,19.29
2013-05-14,20.50,20.99,20.36,20.86,3494100,20.38
2013-05-13,20.86,20.86,20.46,20.50,2373800,20.03
2013-05-10,20.70,21.12,20.39,21.11,3520900,20.63
2013-05-09,21.14,21.75,20.94,21.06,4779300,20.58
2013-05-08,20.17,21.55,20.17,21.50,5294100,21.01
2013-05-07,20.18,20.22,19.63,19.80,3569500,19.35
2013-05-06,20.53,20.66,20.32,20.46,2452100,19.99
2013-05-03,20.00,20.25,19.81,20.15,3778600,19.69
2013-05-02,19.78,19.90,19.31,19.71,2981500,19.26
2013-05-01,19.42,19.65,19.08,19.35,3729000,18.91
2013-04-30,19.57,19.86,19.03,19.86,5413700,19.41
2013-04-29,19.29,19.61,19.09,19.50,3166200,19.06
2013-04-26,19.67,19.70,18.62,18.81,4953400,18.38
2013-04-25,19.91,20.08,19.39,19.46,6585100,19.02
2013-04-24,18.90,19.57,18.43,19.38,7383200,18.94
2013-04-23,18.33,18.48,17.98,18.01,3688600,17.60
2013-04-22,19.34,19.34,18.07,18.49,4082500,18.07
2013-04-19,19.00,19.40,18.24,18.65,8647700,18.22
2013-04-18,18.48,18.72,18.06,18.44,8220600,18.02
2013-04-17,19.40,19.60,17.98,18.17,10430700,17.76
2013-04-16,21.18,21.18,19.05,19.24,9857100,18.80
2013-04-15,21.53,21.75,20.16,20.30,11063400,19.84
2013-04-12,24.41,24.44,22.88,22.94,10477800,22.42
2013-04-11,25.00,25.38,24.57,25.00,7113600,24.43
2013-04-10,26.36,26.41,24.62,24.81,7764600,24.24
2013-04-09,26.80,27.69,26.77,27.16,4381800,26.54
2013-04-08,27.12,27.34,26.61,26.76,2267400,26.15
2013-04-05,27.80,28.02,26.80,27.13,4935600,26.51
2013-04-04,26.91,27.74,26.53,27.36,4334200,26.74
2013-04-03,28.53,28.85,26.95,27.09,5030900,26.47
2013-04-02,29.15,29.20,28.70,28.71,3531600,28.06
2013-04-01,29.88,29.89,29.41,29.48,1537200,28.81
2013-03-28,29.58,29.94,29.50,29.84,2228000,29.16
2013-03-27,29.22,29.96,29.11,29.90,2237100,29.22
2013-03-26,29.51,29.54,29.17,29.32,2213800,28.65
2013-03-25,29.86,30.10,29.45,29.63,3656300,28.95
2013-03-22,30.21,30.38,29.84,30.03,1648100,29.34
2013-03-21,29.75,30.55,29.64,30.31,3774000,29.62
2013-03-20,29.66,29.76,29.42,29.59,2232900,28.91
2013-03-19,29.58,29.95,29.44,29.64,3900000,28.96
2013-03-18,29.73,29.95,29.47,29.59,2419500,28.91
2013-03-15,29.26,29.48,29.12,29.22,4423200,28.55
2013-03-14,29.28,29.58,29.08,29.22,3186000,28.55
2013-03-13,30.02,30.13,29.22,29.31,2594500,28.64
2013-03-12,30.02,30.33,29.92,29.95,4029900,29.27
2013-03-11,29.77,29.88,29.30,29.64,1794700,28.96
2013-03-08,29.61,30.20,29.33,29.77,4460400,29.09
2013-03-07,30.65,30.95,29.77,29.90,3023800,29.22
2013-03-06,29.28,30.63,29.14,30.61,3529800,29.91
2013-03-05,29.77,29.94,29.30,29.30,2805100,28.63
2013-03-04,30.14,30.27,29.31,29.39,2955600,28.72
2013-03-01,31.42,31.42,30.13,30.20,4079200,29.51
2013-02-28,31.60,31.63,31.06,31.27,3109700,30.56
2013-02-27,31.91,32.09,31.42,31.63,3248000,30.91
2013-02-26,31.73,32.46,31.46,32.07,3192400,31.34
2013-02-25,31.50,32.27,31.30,31.81,2828600,30.89
2013-02-22,31.06,31.39,30.90,31.12,1483700,30.22
2013-02-21,30.93,31.34,30.78,30.97,2824100,30.07
2013-02-20,31.46,31.81,30.76,30.81,4159200,29.92
2013-02-19,32.01,32.15,31.34,31.87,2934300,30.95
2013-02-15,32.26,32.34,31.55,31.82,3113300,30.90
2013-02-14,32.05,33.38,32.00,32.44,4397400,31.50
2013-02-13,32.50,32.66,31.66,31.72,2706400,30.80
2013-02-12,32.17,32.59,32.00,32.55,1965900,31.61
2013-02-11,32.62,32.64,32.30,32.34,1555700,31.40
2013-02-08,32.81,32.98,32.63,32.84,1309400,31.89
2013-02-07,32.45,32.95,32.32,32.69,2010500,31.74
2013-02-06,32.45,32.87,32.35,32.58,2390000,31.64
2013-02-05,32.58,32.74,32.26,32.42,1624300,31.48
2013-02-04,31.92,32.67,31.92,32.31,2300000,31.37
2013-02-01,32.21,32.37,31.76,32.10,3240800,31.17
2013-01-31,32.26,32.28,31.76,31.76,3501100,30.84
2013-01-30,33.30,33.49,32.36,32.47,3265500,31.53
2013-01-29,33.05,33.19,32.62,32.88,2239500,31.93
2013-01-28,33.21,33.21,32.73,32.76,2223700,31.81
2013-01-25,33.42,33.44,32.99,33.02,2590900,32.06
2013-01-24,33.94,34.00,33.39,33.46,2849600,32.49
2013-01-23,34.52,34.71,34.05,34.09,2118600,33.10
2013-01-22,34.00,34.69,33.81,34.55,2598000,33.55
2013-01-21,33.68,34.15,33.66,34.14,2645100,33.15
2013-01-18,33.84,33.99,33.68,33.75,2699400,32.77
2013-01-17,33.50,33.85,33.02,33.58,2660900,32.61
2013-01-16,34.00,34.00,33.56,33.69,2138700,32.71
2013-01-15,33.92,34.50,33.66,34.03,3449500,33.04
2013-01-14,33.86,34.12,33.59,33.67,1786600,32.70
2013-01-11,33.91,33.95,33.43,33.72,1873700,32.74
2013-01-10,33.58,34.10,33.46,33.95,2835900,32.97
2013-01-09,33.10,33.25,32.86,33.20,3110900,32.24
2013-01-08,33.55,33.60,32.88,33.14,3659300,32.18
2013-01-07,33.87,33.97,33.53,33.57,1604000,32.60
2013-01-04,33.57,34.23,33.46,34.14,1862600,33.15
2013-01-03,34.94,35.05,33.92,34.08,2545400,33.09
2013-01-02,35.45,35.50,34.84,35.08,2113800,34.06
2012-12-31,33.88,34.91,33.83,34.82,2198600,33.81
2012-12-28,34.07,34.26,33.88,33.88,2088500,32.90
2012-12-27,33.43,34.50,33.43,34.24,2504700,33.25
2012-12-24,33.19,33.51,33.01,33.51,978500,32.54
2012-12-21,33.50,33.71,33.07,33.29,5346200,32.33
2012-12-20,33.13,33.25,32.43,33.22,3125500,32.26
2012-12-19,33.44,33.62,33.12,33.45,2590500,32.48
2012-12-18,33.93,33.97,33.18,33.40,3445700,32.43
2012-12-17,33.76,34.01,33.48,33.92,3118600,32.94
2012-12-14,33.80,33.95,33.49,33.92,2769500,32.94
2012-12-13,34.04,34.18,33.55,33.86,1893400,32.88
2012-12-12,33.96,34.95,33.85,34.56,2945700,33.56
2012-12-11,33.75,33.97,33.54,33.54,2002900,32.57
2012-12-10,33.40,33.87,33.37,33.77,2120500,32.79
2012-12-07,33.31,33.47,33.11,33.27,1733800,32.31
2012-12-06,33.12,33.59,32.93,33.12,3737600,32.16
2012-12-05,33.95,33.97,33.06,33.12,2163100,32.16
2012-12-04,33.06,34.21,33.01,33.94,3085800,32.96
2012-12-03,34.41,34.44,33.50,33.59,2344100,32.62
2012-11-30,34.55,34.86,33.90,34.49,2699800,33.49
2012-11-29,34.87,34.99,34.39,34.64,1475700,33.64
2012-11-28,33.60,34.57,33.42,34.57,1965100,33.57
2012-11-27,34.94,35.00,34.33,34.40,1805800,33.21
2012-11-26,35.33,35.33,34.53,34.97,1864600,33.76
2012-11-23,35.01,35.36,34.53,35.19,1460200,33.97
2012-11-22,34.91,35.10,34.75,34.75,381600,33.55
2012-11-21,34.10,34.77,33.99,34.63,1381400,33.43
2012-11-20,34.22,34.50,33.89,34.25,2133600,33.06
2012-11-19,34.22,34.41,34.03,34.19,1825100,33.01
2012-11-16,33.26,34.09,32.91,33.77,2625200,32.60
2012-11-15,34.06,34.09,33.13,33.28,2734100,32.13
2012-11-14,35.35,35.38,33.92,33.99,3159000,32.81
2012-11-13,35.44,35.72,35.33,35.34,1642400,34.12
2012-11-12,36.08,36.32,35.58,35.80,918000,34.56
2012-11-09,36.97,36.97,36.04,36.09,1837300,34.84
2012-11-08,36.22,36.83,35.73,36.56,3033600,35.29
2012-11-07,35.87,36.26,34.94,36.15,3269800,34.90
2012-11-06,35.39,35.83,34.97,35.28,3127800,34.06
2012-11-05,35.65,35.81,34.98,35.00,2700000,33.79
2012-11-02,36.10,36.15,35.21,35.23,3867000,34.01
2012-11-01,37.53,37.95,36.44,36.56,8709200,35.29
2012-10-31,40.35,40.83,40.01,40.39,3479600,38.99
2012-10-30,39.65,40.34,39.59,40.27,1604900,38.88
2012-10-29,39.07,39.60,38.80,39.60,814400,38.23
2012-10-26,39.47,39.50,39.05,39.12,1705800,37.77
2012-10-25,38.90,39.36,38.86,39.25,4394400,37.89
2012-10-24,38.86,38.88,38.11,38.34,3500000,37.01
2012-10-23,38.35,38.81,38.02,38.68,2895500,37.34
2012-10-22,38.36,39.20,38.34,39.05,2405800,37.70
2012-10-19,38.50,38.83,37.97,38.55,2452300,37.22
2012-10-18,38.63,38.92,38.29,38.37,2079500,37.04
