Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,46.04,46.86,45.97,46.80,81600,46.80
2013-10-15,46.61,46.61,45.32,45.85,109400,45.85
2013-10-14,46.54,46.54,46.54,46.54,000,46.54
2013-10-11,45.85,46.71,45.67,46.54,76000,46.54
2013-10-10,44.91,46.07,44.78,45.90,90000,45.90
2013-10-09,44.80,45.41,44.68,44.68,81800,44.68
2013-10-08,44.97,45.21,44.78,44.81,66500,44.81
2013-10-07,44.78,45.15,44.77,45.05,44200,45.05
2013-10-04,45.00,45.46,44.79,45.19,65400,45.19
2013-10-03,45.77,45.77,44.77,45.02,65100,45.02
2013-10-02,45.51,45.86,45.24,45.50,147600,45.50
2013-10-01,44.72,45.75,44.28,45.53,147100,45.53
2013-09-30,45.00,45.46,44.63,44.69,144500,44.69
2013-09-27,45.32,45.50,45.07,45.20,35100,45.20
2013-09-26,45.52,45.86,45.22,45.43,31800,45.43
2013-09-25,45.82,45.91,45.26,45.52,83100,45.52
2013-09-24,45.17,46.00,45.17,45.75,43600,45.75
2013-09-23,45.39,45.40,45.09,45.20,160600,45.20
2013-09-20,45.31,45.81,45.03,45.23,208400,45.23
2013-09-19,44.75,46.16,44.71,45.80,151200,45.80
2013-09-18,44.43,44.92,43.95,44.65,107800,44.65
2013-09-17,45.46,45.46,44.27,44.52,157100,44.52
2013-09-16,44.82,45.48,44.45,45.48,171100,45.48
2013-09-13,44.41,45.23,44.30,44.60,110800,44.60
2013-09-12,44.58,45.28,44.18,44.18,187100,44.18
2013-09-11,44.01,44.77,44.01,44.55,105800,44.55
2013-09-10,43.78,44.66,43.78,44.15,124200,44.15
2013-09-09,44.00,44.28,43.38,43.94,226200,43.94
2013-09-06,44.51,44.52,43.80,44.00,70200,44.00
2013-09-05,44.08,44.53,43.45,44.53,152800,44.53
2013-09-04,42.54,44.05,42.25,44.04,97300,43.85
2013-09-03,43.38,43.64,42.48,42.55,118300,42.37
2013-09-02,43.31,43.31,43.31,43.31,000,43.13
2013-08-30,43.19,43.45,43.13,43.31,69100,43.13
2013-08-29,42.83,43.25,42.80,43.19,31900,43.01
2013-08-28,43.07,43.37,42.87,42.95,36300,42.77
2013-08-27,42.80,43.16,42.50,43.16,90900,42.98
2013-08-26,44.00,44.00,42.81,42.81,51300,42.63
2013-08-23,43.11,43.69,43.00,43.50,49700,43.31
2013-08-22,43.06,43.74,43.06,43.14,70700,42.96
2013-08-21,43.81,43.85,42.79,42.86,133200,42.68
2013-08-20,43.23,43.91,43.23,43.75,81200,43.56
2013-08-19,44.75,44.85,43.24,43.28,127100,43.10
2013-08-16,44.28,44.99,44.27,44.65,71300,44.46
2013-08-15,44.59,44.60,44.08,44.28,82100,44.09
2013-08-14,45.30,45.40,44.60,44.70,91200,44.51
2013-08-13,45.60,45.60,45.09,45.45,78500,45.26
2013-08-12,45.33,45.60,45.20,45.57,59300,45.38
2013-08-09,45.78,45.78,45.04,45.34,77500,45.15
2013-08-08,46.26,46.26,45.13,45.60,114400,45.41
2013-08-07,46.49,46.50,45.60,46.04,123800,45.84
2013-08-06,46.30,46.72,45.57,46.72,130500,46.52
2013-08-05,46.45,46.45,46.45,46.45,000,46.25
2013-08-02,46.39,46.54,46.04,46.45,75600,46.25
2013-08-01,46.81,46.81,45.51,46.34,130100,46.14
2013-07-31,46.24,46.70,46.16,46.55,372800,46.35
2013-07-30,45.34,46.17,44.99,46.05,127900,45.85
2013-07-29,44.24,45.37,44.24,45.30,73200,45.11
2013-07-26,43.94,44.44,43.90,44.18,63500,43.99
2013-07-25,44.83,44.88,43.91,44.11,88000,43.92
2013-07-24,44.43,45.11,44.31,45.01,114300,44.82
2013-07-23,44.11,44.46,44.11,44.37,53600,44.18
2013-07-22,44.27,44.50,43.84,44.39,85000,44.20
2013-07-19,45.25,45.25,43.82,44.46,109800,44.27
2013-07-18,44.88,45.87,44.81,45.18,151700,44.99
2013-07-17,44.91,45.17,44.40,44.82,134300,44.63
2013-07-16,44.85,45.07,44.21,45.02,155600,44.83
2013-07-15,44.16,45.08,44.16,45.02,92400,44.83
