Date,Open,High,Low,Close,Volume,Adj Close
2011-04-08,5.33,5.41,5.27,5.28,278300,5.28
2011-04-07,5.50,5.51,5.29,5.33,545900,5.33
2011-04-06,5.39,5.63,5.37,5.51,790400,5.51
2011-04-05,5.34,5.42,5.31,5.38,173500,5.38
2011-04-04,5.32,5.38,5.26,5.36,316600,5.36
2011-04-01,5.16,5.33,5.16,5.32,219500,5.32
2011-03-31,5.22,5.22,5.16,5.16,175700,5.16
2011-03-30,5.14,5.21,5.14,5.21,192800,5.21
2011-03-29,5.21,5.21,5.15,5.16,132700,5.16
2011-03-28,5.22,5.27,5.20,5.22,213600,5.15
2011-03-25,5.18,5.20,5.13,5.19,216300,5.13
2011-03-24,5.18,5.24,5.12,5.14,311800,5.08
2011-03-23,5.21,5.27,5.14,5.15,207700,5.09
2011-03-22,5.19,5.26,5.12,5.23,178100,5.16
2011-03-21,5.18,5.29,5.14,5.15,240200,5.09
2011-03-18,5.10,5.23,5.08,5.18,230700,5.12
2011-03-17,5.06,5.13,5.05,5.09,175200,5.03
2011-03-16,5.00,5.09,4.98,5.01,136100,4.95
2011-03-15,4.93,4.96,4.85,4.95,251100,4.89
2011-03-14,5.07,5.10,4.96,4.96,225000,4.90
2011-03-11,5.05,5.14,5.03,5.04,331200,4.98
2011-03-10,5.11,5.14,5.04,5.12,381600,5.06
2011-03-09,5.24,5.24,5.15,5.17,190900,5.11
2011-03-08,5.24,5.26,5.21,5.22,293800,5.15
2011-03-07,5.35,5.42,5.24,5.24,473700,5.17
2011-03-04,5.15,5.34,5.15,5.30,454700,5.23
2011-03-03,5.09,5.18,5.09,5.12,214600,5.06
2011-03-02,5.07,5.09,5.03,5.06,237200,5.00
2011-03-01,5.10,5.18,5.03,5.07,190200,5.01
2011-02-28,5.03,5.13,5.01,5.10,548500,5.04
2011-02-25,4.91,5.04,4.91,5.00,347400,4.94
2011-02-24,4.90,4.94,4.89,4.92,114200,4.86
2011-02-23,4.90,4.95,4.86,4.93,308800,4.87
2011-02-22,4.95,4.96,4.90,4.92,220500,4.86
2011-02-18,4.97,4.98,4.94,4.96,104800,4.90
2011-02-17,4.92,4.98,4.92,4.98,186000,4.92
2011-02-16,4.89,4.95,4.89,4.93,160100,4.87
2011-02-15,4.92,4.93,4.88,4.90,211000,4.84
2011-02-14,4.85,4.96,4.83,4.92,257000,4.86
2011-02-11,4.81,4.88,4.81,4.86,405000,4.80
2011-02-10,4.91,4.93,4.81,4.84,241300,4.78
2011-02-09,4.96,4.96,4.91,4.91,130800,4.85
2011-02-08,4.95,4.96,4.93,4.95,314200,4.89
2011-02-07,4.95,4.97,4.93,4.95,161500,4.89
2011-02-04,4.99,4.99,4.91,4.96,231400,4.90
2011-02-03,4.94,4.98,4.92,4.95,409000,4.89
2011-02-02,4.93,4.95,4.84,4.93,493200,4.87
2011-02-01,4.87,4.93,4.87,4.93,174500,4.87
2011-01-31,4.85,4.90,4.83,4.88,220000,4.82
2011-01-28,4.88,4.89,4.81,4.89,184900,4.83
2011-01-27,4.83,4.90,4.80,4.89,413100,4.83
2011-01-26,4.81,4.84,4.76,4.84,450400,4.78
2011-01-25,4.82,4.82,4.78,4.80,319900,4.74
2011-01-24,4.77,4.82,4.75,4.80,199200,4.74
2011-01-21,4.79,4.82,4.73,4.75,237700,4.69
2011-01-20,4.82,4.85,4.78,4.82,183000,4.76
2011-01-19,4.90,4.92,4.84,4.85,157200,4.79
2011-01-18,4.91,4.97,4.90,4.91,138500,4.85
2011-01-17,4.86,4.94,4.86,4.91,125300,4.85
2011-01-14,4.87,4.89,4.85,4.87,141000,4.81
2011-01-13,4.88,4.89,4.84,4.88,245200,4.82
2011-01-12,4.86,4.90,4.86,4.87,282600,4.81
2011-01-11,4.85,4.88,4.83,4.88,199700,4.82
2011-01-10,4.88,4.88,4.81,4.84,1177300,4.78
2011-01-07,4.94,4.94,4.86,4.90,133700,4.84
2011-01-06,4.95,4.95,4.87,4.92,162600,4.86
2011-01-05,4.91,4.95,4.86,4.93,701000,4.87
2011-01-04,5.03,5.03,4.92,4.93,495500,4.87
2010-12-31,5.03,5.04,5.00,5.02,95200,4.96
2010-12-30,5.00,5.02,5.00,5.01,111800,4.95
2010-12-29,5.01,5.01,4.95,4.95,149100,4.89
2010-12-24,5.08,5.08,5.05,5.07,39600,4.95
2010-12-23,5.02,5.08,5.00,5.04,157500,4.92
2010-12-22,5.09,5.09,4.99,5.02,270000,4.90
2010-12-21,5.04,5.10,5.01,5.08,275800,4.96
2010-12-20,5.07,5.09,4.98,5.05,266700,4.93
2010-12-17,4.99,5.07,4.96,5.05,326500,4.93
2010-12-16,5.01,5.08,4.99,5.00,309100,4.88
2010-12-15,4.97,5.05,4.96,5.02,296000,4.90
2010-12-14,4.93,5.00,4.92,4.99,135700,4.87
2010-12-13,4.97,5.00,4.92,4.92,301200,4.80
2010-12-10,4.90,5.01,4.86,4.96,410300,4.84
2010-12-09,4.82,4.94,4.82,4.92,395200,4.80
2010-12-08,4.75,4.85,4.71,4.81,193600,4.69
2010-12-07,4.72,4.79,4.64,4.78,242300,4.66
2010-12-06,4.82,4.82,4.73,4.74,126600,4.63
2010-12-03,4.86,4.88,4.79,4.79,338200,4.67
2010-12-02,4.84,4.90,4.83,4.87,242700,4.75
2010-12-01,4.89,4.89,4.84,4.88,155500,4.76
2010-11-30,4.81,4.86,4.78,4.85,162000,4.73
2010-11-29,4.83,4.89,4.81,4.82,153000,4.70
2010-11-26,4.80,4.85,4.79,4.85,204500,4.73
2010-11-25,4.81,4.85,4.77,4.82,112100,4.70
2010-11-24,4.84,4.89,4.80,4.82,512700,4.70
2010-11-23,4.80,4.86,4.79,4.85,279000,4.73
2010-11-22,4.79,4.87,4.79,4.85,241400,4.73
2010-11-19,4.73,4.79,4.73,4.79,239900,4.67
2010-11-18,4.77,4.80,4.69,4.75,356200,4.64
2010-11-17,4.68,4.75,4.61,4.74,265400,4.63
2010-11-16,4.72,4.73,4.62,4.66,267300,4.55
