Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,22.04,22.35,21.93,22.15,22700,22.15
2013-10-15,22.00,22.00,21.85,22.00,7800,22.00
2013-10-11,21.81,22.00,21.80,22.00,7400,22.00
2013-10-10,22.00,22.05,21.69,21.85,12100,21.85
2013-10-09,22.07,22.09,22.00,22.03,4800,21.91
2013-10-08,21.95,22.07,21.95,22.07,9000,21.95
2013-10-07,22.14,22.20,21.96,21.96,13900,21.84
2013-10-04,22.20,22.20,22.00,22.13,10800,22.01
2013-10-03,22.15,22.17,22.10,22.17,20200,22.05
2013-10-02,21.92,22.16,21.92,22.08,14000,21.96
2013-10-01,21.97,22.00,21.85,22.00,7900,21.88
2013-09-30,21.82,21.96,21.76,21.96,9700,21.84
2013-09-27,21.97,21.97,21.91,21.91,1600,21.79
2013-09-26,21.92,22.00,21.86,21.95,9100,21.83
2013-09-25,21.98,21.98,21.81,21.85,14400,21.73
2013-09-24,21.90,21.93,21.75,21.90,14700,21.78
2013-09-23,21.85,21.90,21.73,21.85,11500,21.73
2013-09-20,21.85,21.86,21.69,21.82,13500,21.70
2013-09-19,21.75,21.89,21.74,21.89,8600,21.77
2013-09-18,21.76,21.83,21.70,21.75,56300,21.63
2013-09-17,21.83,21.89,21.71,21.85,7700,21.73
2013-09-16,21.75,21.85,21.68,21.85,12500,21.73
2013-09-13,21.66,21.96,21.66,21.90,5500,21.78
2013-09-12,21.80,21.95,21.68,21.68,10400,21.56
2013-09-11,21.86,21.99,21.80,21.88,8200,21.76
2013-09-10,21.82,21.91,21.80,21.91,16500,21.68
2013-09-09,21.86,21.89,21.80,21.89,6900,21.66
2013-09-06,21.70,21.80,21.60,21.80,11100,21.57
2013-09-05,21.61,21.75,21.61,21.71,3800,21.48
2013-09-04,21.54,21.82,21.54,21.70,11100,21.47
2013-09-03,21.81,21.86,21.63,21.63,6000,21.40
2013-08-30,21.59,21.75,21.50,21.65,10000,21.42
2013-08-29,21.87,21.88,21.53,21.59,17800,21.36
2013-08-28,21.70,21.90,21.56,21.90,11300,21.67
2013-08-27,21.65,21.97,21.60,21.70,12500,21.47
2013-08-26,21.60,21.67,21.50,21.67,6900,21.44
2013-08-23,21.69,21.70,21.50,21.67,8100,21.44
2013-08-22,21.69,21.72,21.54,21.57,9000,21.34
2013-08-21,21.55,21.63,21.54,21.54,6900,21.31
2013-08-20,21.50,21.58,21.35,21.53,9400,21.30
2013-08-19,21.55,21.59,21.50,21.55,22100,21.32
2013-08-16,21.37,21.75,21.37,21.58,8700,21.35
2013-08-15,21.75,21.75,21.27,21.50,11300,21.27
2013-08-14,21.80,21.94,21.59,21.80,24900,21.57
2013-08-13,21.80,21.95,21.75,21.95,12900,21.72
2013-08-12,21.59,21.89,21.59,21.77,11000,21.42
2013-08-09,21.64,21.85,21.60,21.80,7600,21.45
2013-08-08,21.58,21.64,21.56,21.64,3800,21.30
2013-08-07,21.52,21.64,21.45,21.45,8600,21.11
2013-08-06,21.45,21.47,21.30,21.45,2700,21.11
2013-08-02,21.30,21.40,21.26,21.27,21000,20.93
2013-08-01,21.35,21.38,21.26,21.27,25700,20.93
2013-07-31,21.35,21.35,21.29,21.31,10400,20.97
2013-07-30,21.37,21.37,21.30,21.30,7900,20.96
2013-07-29,21.32,21.38,21.30,21.30,6500,20.96
2013-07-26,21.28,21.32,21.23,21.30,8000,20.96
2013-07-25,21.30,21.30,21.23,21.30,8700,20.96
2013-07-24,21.58,21.65,21.35,21.35,15600,21.01
2013-07-23,21.31,21.55,21.31,21.48,9200,21.14
2013-07-22,21.33,21.48,21.26,21.26,9200,20.92
2013-07-19,21.25,21.49,21.25,21.49,7000,21.15
2013-07-18,21.40,21.49,21.26,21.26,11000,20.92
2013-07-17,21.29,21.50,21.29,21.50,5800,21.16
2013-07-16,21.38,21.45,21.26,21.28,8400,20.94
2013-07-15,21.20,21.35,21.20,21.26,19200,20.92
2013-07-12,21.26,21.27,21.15,21.16,14200,20.82
2013-07-11,21.27,21.30,21.16,21.26,14500,20.92
2013-07-10,21.20,21.25,21.06,21.21,9900,20.76
2013-07-09,21.39,21.39,21.16,21.16,10500,20.71
2013-07-08,21.60,21.75,21.35,21.35,19800,20.89
2013-07-05,21.42,21.75,21.24,21.60,20200,21.14
2013-07-04,21.32,21.35,21.29,21.32,8600,20.86
2013-07-03,21.26,21.60,21.26,21.30,9800,20.84
2013-07-02,21.21,21.35,21.15,21.31,13300,20.85
2013-06-28,21.10,21.50,20.87,21.19,15900,20.74
2013-06-27,21.30,21.30,21.00,21.20,7300,20.75
2013-06-26,20.99,21.34,20.91,21.15,8800,20.70
2013-06-25,20.64,20.99,20.64,20.89,8200,20.44
2013-06-24,20.77,20.77,20.20,20.50,28000,20.06
2013-06-21,20.98,21.01,20.30,20.60,34700,20.16
2013-06-20,21.01,21.25,20.81,20.98,10700,20.53
2013-06-19,21.36,21.50,21.00,21.18,13200,20.73
2013-06-18,21.40,21.55,21.37,21.40,25200,20.94
2013-06-17,21.53,21.66,21.30,21.38,26600,20.92
2013-06-14,21.11,21.50,21.07,21.40,14800,20.94
2013-06-13,21.00,21.28,20.79,21.07,19200,20.62
2013-06-12,21.61,21.69,20.80,21.03,31000,20.58
2013-06-11,21.87,21.87,21.64,21.70,26300,21.12
2013-06-10,22.41,22.41,22.06,22.06,13000,21.47
2013-06-07,22.20,22.48,22.20,22.48,12000,21.88
2013-06-06,21.91,22.25,21.91,22.15,29200,21.56
2013-06-05,22.25,22.40,21.65,21.90,39100,21.32
2013-06-04,22.35,22.50,22.30,22.30,9400,21.71
2013-06-03,22.40,22.48,22.31,22.36,34600,21.76
2013-05-31,22.50,22.62,22.35,22.45,10900,21.85
2013-05-30,22.50,22.60,22.46,22.50,15200,21.90
2013-05-29,22.64,22.64,22.50,22.50,12700,21.90
2013-05-28,22.65,22.74,22.53,22.60,17500,22.00
2013-05-27,22.60,22.74,22.53,22.64,7700,22.04
2013-05-24,22.54,22.61,22.50,22.60,7300,22.00
2013-05-23,22.56,22.61,22.43,22.50,14700,21.90
2013-05-22,22.51,22.62,22.51,22.55,9800,21.95
2013-05-21,22.51,22.61,22.34,22.51,14600,21.91
2013-05-17,22.55,22.66,22.51,22.54,4400,21.94
2013-05-16,22.65,22.65,22.46,22.51,2900,21.91
2013-05-15,22.45,22.67,22.43,22.65,19300,22.05
2013-05-14,22.53,22.58,22.45,22.45,13200,21.85
2013-05-13,22.51,22.68,22.45,22.68,5800,22.08
2013-05-10,22.50,22.55,22.40,22.55,7800,21.84
2013-05-09,22.85,22.85,22.50,22.50,28400,21.79
2013-05-08,22.52,22.89,22.52,22.89,13900,22.16
2013-05-07,22.60,22.60,22.35,22.54,17300,21.83
2013-05-06,22.66,22.79,22.52,22.55,15400,21.84
2013-05-03,22.57,22.74,22.57,22.74,7800,22.02
2013-05-02,22.52,22.75,22.40,22.56,15800,21.84
2013-05-01,22.85,22.85,22.50,22.58,10100,21.86
2013-04-30,22.44,22.94,22.42,22.90,14300,22.17
2013-04-29,22.80,23.00,22.45,22.55,14400,21.84
2013-04-26,22.50,23.07,22.44,22.90,28600,22.17
2013-04-25,22.33,22.60,22.33,22.50,24100,21.79
2013-04-24,22.25,22.30,22.13,22.26,11600,21.55
2013-04-23,22.11,22.21,22.10,22.14,10000,21.44
2013-04-22,22.10,22.20,22.03,22.20,13100,21.50
2013-04-19,22.00,22.20,22.00,22.09,15000,21.39
2013-04-18,22.04,22.13,22.00,22.03,22000,21.33
2013-04-17,22.04,22.10,22.03,22.03,7600,21.33
2013-04-16,22.01,22.12,22.01,22.08,7400,21.38
2013-04-15,22.14,22.15,22.00,22.00,13600,21.30
2013-04-12,22.09,22.19,22.00,22.10,17100,21.40
2013-04-11,22.20,22.25,22.00,22.00,8600,21.30
2013-04-10,22.15,22.29,22.15,22.22,26300,21.40
2013-04-09,22.09,22.14,22.05,22.05,13500,21.24
2013-04-08,22.10,22.11,22.00,22.07,7000,21.26
2013-04-05,22.06,22.15,21.96,22.14,11500,21.33
2013-04-04,22.17,22.17,22.00,22.07,9400,21.26
2013-04-03,22.25,22.25,21.98,22.06,17200,21.25
2013-04-02,21.97,22.17,21.95,22.16,9100,21.34
2013-04-01,22.08,22.10,21.94,22.03,10700,21.22
2013-03-28,21.96,22.10,21.96,22.07,10900,21.26
2013-03-27,21.85,22.07,21.85,22.07,14100,21.26
2013-03-26,21.78,22.04,21.75,21.90,19900,21.09
2013-03-25,22.06,22.09,21.80,21.92,25200,21.11
2013-03-22,21.98,22.03,21.92,21.99,11100,21.18
2013-03-21,21.91,22.00,21.86,21.93,11100,21.12
2013-03-20,21.90,22.00,21.87,21.91,6900,21.10
2013-03-19,21.92,22.00,21.85,21.88,20100,21.07
2013-03-18,21.86,21.91,21.85,21.89,4900,21.08
2013-03-15,21.86,22.00,21.86,21.89,17100,21.08
2013-03-14,21.91,22.10,21.91,21.95,7500,21.14
2013-03-13,22.00,22.09,21.95,21.95,11400,21.14
2013-03-12,22.00,22.05,21.95,22.05,13600,21.13
2013-03-11,22.03,22.10,21.90,22.03,11900,21.11
2013-03-08,21.96,22.09,21.95,21.95,13800,21.03
2013-03-07,21.86,22.00,21.86,21.95,31300,21.03
2013-03-06,21.90,21.91,21.85,21.85,21500,20.93
2013-03-05,21.90,21.91,21.80,21.90,23900,20.98
2013-03-04,21.80,21.90,21.80,21.89,13300,20.97
2013-03-01,21.86,21.88,21.81,21.83,14400,20.92
2013-02-28,21.89,21.89,21.83,21.87,12300,20.95
2013-02-27,21.85,21.85,21.75,21.81,15000,20.90
2013-02-26,21.85,21.89,21.57,21.87,34100,20.95
2013-02-25,21.76,21.89,21.66,21.80,31800,20.89
2013-02-22,21.77,21.85,21.75,21.75,14800,20.84
2013-02-21,21.78,21.86,21.65,21.74,19500,20.83
2013-02-20,21.82,21.87,21.80,21.87,31600,20.95
2013-02-19,21.81,21.88,21.80,21.81,28800,20.90
2013-02-15,21.79,21.91,21.65,21.80,164300,20.89
2013-02-14,22.15,22.32,22.01,22.25,14000,21.32
2013-02-13,22.17,22.25,22.10,22.10,15700,21.17
2013-02-12,22.05,22.24,22.04,22.19,9300,21.15
2013-02-11,22.10,22.15,22.05,22.06,9300,21.02
2013-02-08,22.37,22.37,22.10,22.23,15500,21.19
2013-02-07,22.26,22.40,22.26,22.34,6000,21.29
2013-02-06,22.34,22.47,22.26,22.26,9200,21.21
2013-02-05,22.30,22.48,22.17,22.45,12900,21.40
2013-02-04,22.35,22.41,22.25,22.25,7900,21.21
2013-02-01,22.39,22.45,22.27,22.35,8900,21.30
2013-01-31,22.20,22.40,22.03,22.40,15200,21.35
2013-01-30,22.16,22.32,22.02,22.20,17900,21.16
2013-01-29,22.17,22.31,22.00,22.00,13900,20.97
2013-01-28,22.10,22.25,22.01,22.14,14200,21.10
2013-01-25,22.10,22.19,21.95,22.04,10400,21.01
2013-01-24,21.95,22.10,21.95,22.10,18500,21.06
2013-01-23,21.99,22.00,21.90,22.00,9300,20.97
2013-01-22,21.88,21.95,21.86,21.95,20400,20.92
2013-01-21,21.72,21.88,21.72,21.87,7900,20.84
2013-01-18,21.80,21.80,21.63,21.63,5300,20.61
2013-01-17,21.60,21.80,21.60,21.79,16600,20.77
2013-01-16,21.56,21.65,21.51,21.57,13400,20.56
2013-01-15,21.59,21.65,21.50,21.53,11400,20.52
2013-01-14,21.47,21.65,21.40,21.40,10000,20.40
2013-01-11,21.70,21.75,21.36,21.36,13600,20.36
2013-01-10,21.70,21.75,21.65,21.65,11900,20.63
2013-01-09,21.49,21.64,21.31,21.60,13900,20.59
2013-01-08,21.45,21.49,21.36,21.49,13900,20.48
2013-01-07,21.33,21.49,21.18,21.40,23200,20.40
2013-01-04,21.21,21.34,21.19,21.26,17300,20.26
2013-01-03,21.31,21.31,21.18,21.22,3600,20.22
2013-01-02,21.28,21.34,21.00,21.20,11500,20.20
2012-12-31,21.04,21.24,21.04,21.06,4000,20.07
2012-12-28,21.10,21.20,20.90,20.94,12000,19.96
2012-12-27,21.36,21.36,21.10,21.12,5800,20.13
2012-12-24,21.25,21.39,21.16,21.16,9400,20.05
2012-12-21,21.05,21.25,21.04,21.17,9000,20.06
2012-12-20,20.85,21.00,20.85,21.00,26000,19.90
2012-12-19,20.71,20.87,20.71,20.79,8000,19.70
2012-12-18,20.77,20.90,20.72,20.77,10600,19.69
2012-12-17,21.05,21.05,20.66,20.85,9900,19.76
2012-12-14,20.99,21.01,20.88,20.99,15100,19.89
2012-12-13,20.82,21.00,20.82,20.99,6300,19.89
2012-12-12,20.93,20.93,20.78,20.89,4600,19.80
2012-12-11,21.00,21.05,20.90,20.95,8600,19.74
2012-12-10,20.95,21.00,20.91,21.00,9700,19.79
2012-12-07,20.75,20.99,20.71,20.90,4200,19.70
2012-12-06,20.85,20.95,20.71,20.71,9600,19.52
2012-12-05,20.85,20.95,20.80,20.85,4300,19.65
2012-12-04,20.79,20.86,20.58,20.80,12000,19.60
2012-12-03,20.54,20.80,20.50,20.75,13600,19.56
2012-11-30,20.59,20.75,20.50,20.50,5500,19.32
2012-11-29,20.70,20.80,20.50,20.50,14600,19.32
2012-11-28,20.43,20.78,20.37,20.70,16800,19.51
2012-11-27,20.21,20.48,20.21,20.37,12600,19.20
2012-11-26,20.76,20.76,20.17,20.20,19200,19.04
