Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,44.55,44.74,44.48,44.63,1232300,44.63
2013-10-15,44.70,44.89,44.49,44.65,1235100,44.65
2013-10-11,44.88,44.96,44.60,44.67,990600,44.67
2013-10-10,44.87,44.99,44.79,44.79,1405500,44.79
2013-10-09,43.85,44.92,43.85,44.70,2305300,44.70
2013-10-08,43.84,43.87,43.62,43.73,951400,43.73
2013-10-07,43.27,43.90,43.18,43.63,815600,43.63
2013-10-04,43.38,43.78,43.38,43.44,700500,43.44
2013-10-03,43.90,43.91,43.25,43.51,1139800,43.51
2013-10-02,44.02,44.13,43.76,43.92,692800,43.92
2013-10-01,43.93,44.45,43.93,44.25,888100,44.25
2013-09-30,43.86,44.25,43.86,44.02,1150900,44.02
2013-09-27,44.19,44.30,43.97,44.20,947600,44.20
2013-09-26,44.25,44.48,44.19,44.30,704700,44.30
2013-09-25,44.72,44.72,44.04,44.13,1011000,44.13
2013-09-24,44.63,44.77,44.40,44.59,1198700,44.59
2013-09-23,44.26,44.57,44.12,44.51,1117800,44.51
2013-09-20,43.80,44.24,43.80,43.93,3541400,43.93
2013-09-19,43.75,43.84,43.64,43.70,941100,43.70
2013-09-18,43.67,43.88,43.54,43.65,860500,43.65
2013-09-17,43.45,43.70,43.38,43.54,1080400,43.54
2013-09-16,43.35,43.80,43.35,43.45,1300500,43.45
2013-09-13,43.59,43.80,43.34,43.34,1002000,43.34
2013-09-12,44.33,44.35,43.36,43.49,1675200,43.49
2013-09-11,44.97,45.08,44.78,44.81,1359100,44.23
2013-09-10,44.79,45.08,44.72,44.87,1270700,44.29
2013-09-09,44.41,44.81,44.41,44.66,857600,44.08
2013-09-06,44.80,44.80,44.38,44.45,1221000,43.87
2013-09-05,44.64,44.70,44.35,44.69,1123800,44.11
2013-09-04,44.86,44.94,44.32,44.58,1536400,44.00
2013-09-03,45.81,45.81,44.64,44.86,3194300,44.28
2013-08-30,43.40,43.66,43.11,43.19,1082700,42.63
2013-08-29,42.77,43.54,42.72,43.44,2292700,42.87
2013-08-28,42.41,42.75,42.16,42.48,1392900,41.93
2013-08-27,42.50,42.62,42.16,42.36,803100,41.81
2013-08-26,42.75,42.91,42.51,42.81,889500,42.25
2013-08-23,42.40,42.73,42.31,42.67,838400,42.11
2013-08-22,42.44,42.55,42.16,42.25,1043600,41.70
2013-08-21,42.39,42.54,42.30,42.35,1054500,41.80
2013-08-20,42.50,42.56,42.31,42.45,938200,41.90
2013-08-19,42.42,42.57,42.35,42.45,1122100,41.90
2013-08-16,42.52,42.78,42.39,42.42,837400,41.87
2013-08-15,42.35,42.82,42.25,42.50,2334300,41.95
2013-08-14,41.65,41.85,41.58,41.78,1207000,41.24
2013-08-13,41.60,41.85,41.39,41.80,1025800,41.26
2013-08-12,41.50,41.68,41.28,41.59,1273200,41.05
2013-08-09,41.75,42.19,41.60,41.77,1111300,41.23
