Date,Open,High,Low,Close,Volume,Adj Close
1996-03-20,4.31,4.37,4.25,4.25,2800,4.25
1996-03-19,4.75,4.81,4.25,4.25,44100,4.25
1996-03-18,4.25,4.75,4.19,4.63,54100,4.63
1996-03-15,3.94,4.25,3.94,4.25,36000,4.25
1996-03-14,4.00,4.00,3.88,3.88,26900,3.88
1996-03-13,3.75,4.00,3.75,3.94,24200,3.94
1996-03-12,3.62,3.81,3.62,3.81,57700,3.81
1996-03-11,3.62,3.75,3.62,3.62,39800,3.62
1996-03-08,3.62,3.88,3.62,3.62,176100,3.62
1996-03-07,3.69,3.75,3.62,3.62,14100,3.62
1996-03-06,3.62,3.81,3.62,3.69,24300,3.69
1996-03-05,3.75,3.88,3.62,3.75,16300,3.75
1996-03-04,3.88,3.88,3.75,3.75,15200,3.75
1996-03-01,3.81,3.81,3.81,3.81,16200,3.81
1996-02-29,3.75,3.88,3.69,3.75,27500,3.75
1996-02-28,3.88,3.88,3.62,3.75,14800,3.75
1996-02-27,3.88,3.88,3.81,3.81,83800,3.81
1996-02-26,3.88,3.88,3.81,3.81,43300,3.81
1996-02-23,3.88,3.88,3.88,3.88,26500,3.88
1996-02-22,4.00,4.00,3.88,3.88,84100,3.88
1996-02-21,3.88,4.00,3.88,4.00,84200,4.00
1996-02-20,3.88,3.88,3.75,3.88,63400,3.88
1996-02-16,3.81,4.12,3.81,4.12,141600,4.12
1996-02-15,3.62,3.75,3.62,3.69,36000,3.69
1996-02-14,3.62,3.62,3.50,3.62,194700,3.62
1996-02-13,3.69,3.88,3.62,3.62,45900,3.62
1996-02-12,3.62,3.75,3.50,3.69,51000,3.69
1996-02-09,3.38,3.69,3.38,3.62,67700,3.62
1996-02-08,3.75,3.88,3.50,3.50,36800,3.50
1996-02-07,3.56,3.88,3.50,3.88,127400,3.88
1996-02-06,3.75,3.75,3.44,3.62,73000,3.62
1996-02-05,3.88,3.94,3.75,3.75,10600,3.75
1996-02-02,3.94,3.94,3.81,3.94,54100,3.94
1996-02-01,4.00,4.06,3.94,4.00,37500,4.00
1996-01-31,3.88,4.00,3.81,4.00,28700,4.00
1996-01-30,4.19,4.19,3.81,3.81,39400,3.81
1996-01-29,4.19,4.19,4.12,4.12,20000,4.12
1996-01-26,4.25,4.25,4.12,4.12,47100,4.12
1996-01-25,4.75,4.88,4.75,4.75,30800,4.75
1996-01-24,4.63,4.75,4.63,4.75,77400,4.75
1996-01-23,4.69,4.69,4.56,4.63,36400,4.63
1996-01-22,4.75,4.81,4.63,4.69,16600,4.69
1996-01-19,4.75,4.88,4.75,4.81,21600,4.81
1996-01-18,4.75,4.88,4.75,4.88,44400,4.88
1996-01-17,4.75,4.88,4.75,4.81,31000,4.81
1996-01-16,4.75,4.88,4.69,4.75,31000,4.75
1996-01-15,4.88,4.94,4.75,4.88,5800,4.88
1996-01-12,4.81,4.88,4.81,4.88,5200,4.88
1996-01-11,4.88,5.00,4.81,4.81,3800,4.81
1996-01-10,4.94,5.00,4.75,5.00,34700,5.00
1996-01-09,4.88,5.00,4.88,4.88,37200,4.88
1996-01-08,4.88,4.88,4.88,4.88,2600,4.88
1996-01-05,4.88,4.88,4.88,4.88,14200,4.88
1996-01-04,4.94,5.00,4.88,5.00,30900,5.00
