Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,1.47,1.47,1.43,1.43,78100,1.43
2013-10-15,1.50,1.52,1.45,1.46,131100,1.46
2013-10-11,1.48,1.53,1.47,1.49,296000,1.49
2013-10-10,1.41,1.46,1.41,1.45,84500,1.45
2013-10-09,1.37,1.40,1.36,1.38,95700,1.38
2013-10-08,1.47,1.49,1.37,1.38,313500,1.38
2013-10-07,1.47,1.48,1.45,1.45,261300,1.45
2013-10-04,1.45,1.45,1.41,1.42,454000,1.42
2013-10-03,1.68,1.70,1.66,1.68,122900,1.68
2013-10-02,1.79,1.79,1.64,1.69,90400,1.69
2013-10-01,1.83,1.88,1.77,1.78,166100,1.78
2013-09-30,1.85,1.85,1.77,1.81,127900,1.81
2013-09-27,1.83,1.89,1.77,1.85,209500,1.85
2013-09-26,1.85,1.90,1.75,1.80,369600,1.80
2013-09-25,1.59,1.75,1.59,1.70,261500,1.70
2013-09-24,1.55,1.58,1.55,1.57,141700,1.57
2013-09-23,1.58,1.59,1.54,1.54,100600,1.54
2013-09-20,1.57,1.59,1.50,1.58,276000,1.58
2013-09-19,1.56,1.62,1.55,1.57,53400,1.57
2013-09-18,1.60,1.60,1.55,1.56,42800,1.56
2013-09-17,1.56,1.59,1.48,1.56,268200,1.56
2013-09-16,1.60,1.65,1.55,1.57,151100,1.57
2013-09-13,1.65,1.69,1.60,1.60,58800,1.60
2013-09-12,1.63,1.67,1.61,1.66,47300,1.66
2013-09-11,1.65,1.69,1.63,1.65,75200,1.65
2013-09-10,1.72,1.74,1.63,1.63,86500,1.63
2013-09-09,1.70,1.76,1.70,1.72,42300,1.72
2013-09-06,1.76,1.77,1.69,1.71,47000,1.71
2013-09-05,1.75,1.77,1.72,1.75,122600,1.75
2013-09-04,1.55,1.71,1.55,1.71,194900,1.71
2013-09-03,1.54,1.58,1.52,1.55,71500,1.55
2013-08-30,1.56,1.59,1.54,1.54,77500,1.54
2013-08-29,1.55,1.61,1.53,1.60,130400,1.60
2013-08-28,1.63,1.65,1.59,1.60,221900,1.60
2013-08-27,1.68,1.72,1.67,1.67,162700,1.67
2013-08-26,1.71,1.75,1.70,1.71,143600,1.71
2013-08-23,1.76,1.76,1.72,1.75,60200,1.75
2013-08-22,1.71,1.81,1.71,1.75,111600,1.75
2013-08-21,1.72,1.76,1.69,1.75,120600,1.75
2013-08-20,1.82,1.84,1.65,1.68,281600,1.68
2013-08-19,1.91,1.94,1.80,1.83,175600,1.83
2013-08-16,1.86,1.96,1.80,1.94,223500,1.94
2013-08-15,2.01,2.01,1.81,1.82,405800,1.82
2013-08-14,2.04,2.08,1.99,2.00,92300,2.00
2013-08-13,2.02,2.09,2.01,2.07,103900,2.07
2013-08-12,2.06,2.10,2.04,2.04,75400,2.04
2013-08-09,2.06,2.13,2.05,2.05,93500,2.05
2013-08-08,1.94,2.08,1.94,2.05,205900,2.05
2013-08-07,1.95,2.00,1.94,1.97,98800,1.97
2013-08-06,2.05,2.05,1.96,2.00,212100,2.00
2013-08-02,2.07,2.13,2.02,2.08,128000,2.08
2013-08-01,2.10,2.19,2.00,2.05,347900,2.05
2013-07-31,2.16,2.17,2.00,2.00,196400,2.00
