Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,0.19,0.21,0.18,0.18,2025200,0.18
2011-09-23,0.20,0.22,0.18,0.19,3962500,0.19
2011-09-22,0.22,0.22,0.20,0.20,1133200,0.20
2011-09-21,0.23,0.23,0.21,0.21,679900,0.21
2011-09-20,0.20,0.23,0.20,0.22,1265800,0.22
2011-09-19,0.19,0.22,0.19,0.21,559100,0.21
2011-09-16,0.21,0.22,0.19,0.22,1619000,0.22
2011-09-15,0.20,0.20,0.18,0.19,3646200,0.19
2011-09-14,0.26,0.26,0.23,0.23,1839000,0.23
2011-09-13,0.25,0.27,0.23,0.24,3815300,0.24
2011-09-12,0.21,0.21,0.20,0.20,558800,0.20
2011-09-09,0.20,0.21,0.20,0.21,799400,0.21
2011-09-08,0.21,0.21,0.20,0.21,1423900,0.21
2011-09-07,0.20,0.21,0.19,0.20,504500,0.20
2011-09-06,0.21,0.21,0.19,0.20,497800,0.20
2011-09-02,0.21,0.21,0.19,0.20,387300,0.20
2011-09-01,0.22,0.22,0.20,0.20,837900,0.20
2011-08-31,0.19,0.22,0.19,0.22,2991400,0.22
2011-08-30,0.19,0.19,0.19,0.19,304500,0.19
2011-08-29,0.19,0.19,0.19,0.19,559500,0.19
2011-08-26,0.19,0.19,0.19,0.19,625900,0.19
2011-08-25,0.19,0.20,0.19,0.19,851100,0.19
2011-08-24,0.19,0.20,0.19,0.19,367100,0.19
2011-08-23,0.19,0.20,0.18,0.18,1111900,0.18
2011-08-22,0.20,0.20,0.18,0.19,1460100,0.19
2011-08-19,0.19,0.20,0.19,0.20,777800,0.20
2011-08-18,0.20,0.20,0.19,0.19,914200,0.19
2011-08-17,0.20,0.20,0.19,0.20,908900,0.20
2011-08-16,0.20,0.20,0.19,0.19,504100,0.19
2011-08-15,0.20,0.20,0.19,0.20,974400,0.20
2011-08-12,0.21,0.21,0.19,0.19,1807500,0.19
2011-08-11,0.20,0.21,0.19,0.20,1845800,0.20
2011-08-10,0.21,0.21,0.19,0.20,1097600,0.20
2011-08-09,0.18,0.21,0.18,0.21,2593200,0.21
2011-08-08,0.20,0.20,0.18,0.18,3015200,0.18
