Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,15.01,15.08,14.95,14.95,1400,14.95
2013-10-15,15.07,15.07,15.00,15.05,1100,15.05
2013-10-11,15.00,15.00,15.00,15.00,1400,15.00
2013-10-10,15.01,15.01,15.00,15.00,600,15.00
2013-10-09,15.48,15.48,15.05,15.05,5000,15.05
2013-10-08,15.03,15.10,15.02,15.10,4300,15.10
2013-10-07,15.00,15.05,15.00,15.03,1500,15.03
2013-10-04,15.01,15.06,15.00,15.06,1200,15.06
2013-10-03,15.00,15.05,15.00,15.05,4200,15.05
2013-10-02,15.06,15.06,15.06,15.06,100,15.06
2013-10-01,15.10,15.10,15.10,15.10,200,15.10
2013-09-30,15.01,15.01,15.01,15.01,000,15.01
2013-09-27,15.01,15.01,15.01,15.01,300,15.01
2013-09-26,15.00,15.05,14.97,14.97,2900,14.97
2013-09-25,15.17,15.25,15.17,15.25,1200,15.05
2013-09-24,15.16,15.16,15.09,15.09,1100,14.89
2013-09-23,15.05,15.05,15.05,15.05,400,14.85
2013-09-20,15.03,15.03,15.03,15.03,000,14.83
2013-09-19,15.03,15.03,15.03,15.03,1500,14.83
2013-09-18,15.00,15.00,14.93,14.99,2200,14.79
2013-09-17,15.04,15.04,15.04,15.04,000,14.84
2013-09-16,15.02,15.10,15.02,15.04,900,14.84
2013-09-13,15.00,15.09,15.00,15.09,1200,14.89
2013-09-12,14.99,14.99,14.93,14.95,600,14.75
2013-09-11,15.04,15.04,15.04,15.04,200,14.84
2013-09-10,15.00,15.00,15.00,15.00,1600,14.80
2013-09-09,14.99,15.00,14.99,15.00,2200,14.80
2013-09-06,15.00,15.00,14.70,14.99,2900,14.79
2013-09-05,15.14,15.14,15.14,15.14,000,14.94
2013-09-04,15.16,15.25,15.14,15.14,1200,14.94
2013-09-03,15.10,15.24,15.08,15.24,1400,15.04
2013-08-30,15.20,15.20,15.20,15.20,2100,15.00
2013-08-29,15.15,15.20,15.15,15.20,300,15.00
2013-08-28,15.06,15.06,15.06,15.06,200,14.86
2013-08-27,15.22,15.22,15.22,15.22,000,15.02
2013-08-26,15.32,15.32,15.22,15.22,2700,15.02
2013-08-23,15.20,15.26,15.20,15.26,1000,15.06
2013-08-22,15.15,15.15,15.10,15.10,500,14.90
2013-08-21,15.07,15.18,15.07,15.11,1300,14.91
2013-08-20,15.39,15.39,15.39,15.39,000,15.19
2013-08-19,15.39,15.39,15.39,15.39,200,15.19
2013-08-16,15.37,15.37,15.28,15.28,600,15.08
2013-08-15,15.21,15.55,15.21,15.55,600,15.35
2013-08-14,15.28,15.60,15.27,15.60,700,15.40
2013-08-13,15.28,15.49,15.25,15.49,3500,15.29
2013-08-12,15.30,15.50,15.30,15.50,3500,15.30
2013-08-09,15.09,15.25,15.06,15.22,2700,15.02
2013-08-08,15.39,15.40,15.16,15.17,2800,14.97
2013-08-07,15.49,15.49,15.35,15.35,200,15.15
2013-08-06,15.23,15.50,15.22,15.50,2600,15.30
2013-08-02,15.15,15.15,15.15,15.15,000,14.95
2013-08-01,15.16,15.16,14.79,15.15,13500,14.95
2013-07-31,15.25,15.25,15.25,15.25,000,15.05
2013-07-30,15.26,15.26,15.25,15.25,1500,15.05
2013-07-29,15.25,15.26,15.25,15.26,1000,15.06
2013-07-26,15.28,15.28,15.28,15.28,000,15.08
2013-07-25,15.26,15.28,15.26,15.28,1200,15.08
2013-07-24,15.30,15.30,15.28,15.28,1500,15.08
2013-07-23,15.26,15.26,15.25,15.25,2300,15.05
2013-07-22,15.27,15.27,15.26,15.26,400,15.06
2013-07-19,15.25,15.35,15.25,15.35,400,15.15
2013-07-18,15.40,15.40,15.28,15.28,800,15.08
2013-07-17,15.35,15.35,15.29,15.29,1200,15.09
2013-07-16,15.35,15.35,15.35,15.35,000,15.15
2013-07-15,15.25,15.35,15.25,15.35,1700,15.15
2013-07-12,15.40,15.40,15.25,15.25,500,15.05
2013-07-11,15.21,15.39,15.21,15.39,500,15.19
2013-07-10,15.38,15.49,15.27,15.49,1900,15.29
2013-07-09,15.25,15.25,15.24,15.25,600,15.05
2013-07-08,15.22,15.22,15.02,15.03,800,14.83
2013-07-05,15.40,15.40,15.30,15.30,1400,15.10
2013-07-04,15.39,15.39,15.39,15.39,000,15.19
2013-07-03,15.42,15.42,15.35,15.39,1400,15.19
2013-07-02,15.29,15.29,15.29,15.29,000,15.09
2013-06-28,15.29,15.29,15.29,15.29,300,15.09
2013-06-27,15.16,15.17,15.16,15.17,600,14.97
2013-06-26,15.43,15.43,15.12,15.42,1800,15.22
2013-06-25,15.05,15.05,15.01,15.01,1000,14.62
2013-06-24,15.20,15.20,15.03,15.04,800,14.64
2013-06-21,15.27,15.27,15.27,15.27,000,14.87
2013-06-20,15.23,15.27,15.23,15.27,800,14.87
2013-06-19,15.02,15.14,15.01,15.13,1400,14.73
2013-06-18,15.10,15.13,15.10,15.13,300,14.73
2013-06-17,15.01,15.02,15.01,15.02,1800,14.63
2013-06-14,15.06,15.06,15.01,15.01,1000,14.62
2013-06-13,15.09,15.24,15.09,15.24,700,14.84
2013-06-12,15.09,15.09,15.09,15.09,100,14.69
2013-06-11,15.11,15.11,15.10,15.10,300,14.70
2013-06-10,15.14,15.14,15.14,15.14,300,14.74
2013-06-07,15.30,15.30,15.30,15.30,500,14.90
2013-06-06,15.05,15.05,15.05,15.05,000,14.65
2013-06-05,15.15,15.15,15.05,15.05,1300,14.65
2013-06-04,15.10,15.15,15.10,15.15,600,14.75
2013-06-03,15.01,15.15,15.01,15.15,1000,14.75
2013-05-31,15.10,15.10,15.10,15.10,100,14.70
2013-05-30,15.22,15.22,15.01,15.20,2000,14.80
2013-05-29,15.29,15.55,15.29,15.51,6200,15.10
2013-05-28,15.09,15.25,15.09,15.25,1500,14.85
2013-05-27,15.16,15.16,15.16,15.16,100,14.76
2013-05-24,15.24,15.35,15.14,15.24,12100,14.84
2013-05-23,15.26,15.27,15.26,15.27,400,14.87
2013-05-22,15.30,15.30,15.26,15.26,1400,14.86
2013-05-21,15.10,15.10,15.00,15.00,9400,14.61
2013-05-17,15.10,15.10,15.00,15.00,3200,14.61
2013-05-16,15.00,15.00,15.00,15.00,000,14.61
2013-05-15,15.00,15.00,15.00,15.00,000,14.61
2013-05-14,15.15,15.15,15.00,15.00,1100,14.61
2013-05-13,15.01,15.01,15.01,15.01,000,14.62
2013-05-10,15.13,15.15,15.01,15.01,2000,14.62
2013-05-09,15.14,15.15,15.14,15.15,400,14.75
2013-05-08,15.14,15.14,15.14,15.14,400,14.74
2013-05-07,15.10,15.10,15.10,15.10,200,14.70
2013-05-06,15.13,15.13,15.13,15.13,000,14.73
2013-05-03,15.10,15.13,15.00,15.13,2500,14.73
2013-05-02,15.05,15.05,15.05,15.05,300,14.65
2013-05-01,15.15,15.15,15.06,15.10,1000,14.70
2013-04-30,15.19,15.19,15.15,15.15,1000,14.75
2013-04-29,15.19,15.20,15.15,15.15,700,14.75
2013-04-26,15.19,15.20,15.19,15.20,900,14.80
2013-04-25,15.11,15.20,15.10,15.19,2100,14.79
2013-04-24,15.25,15.25,15.21,15.21,500,14.81
2013-04-23,15.11,15.25,15.10,15.25,3400,14.85
2013-04-22,15.10,15.10,15.10,15.10,500,14.70
2013-04-19,15.06,15.06,15.06,15.06,200,14.66
2013-04-18,15.13,15.20,15.13,15.20,1500,14.80
2013-04-17,14.93,15.03,14.86,15.03,1000,14.64
2013-04-16,15.07,15.07,14.91,14.91,800,14.52
2013-04-15,15.21,15.21,15.00,15.00,900,14.61
2013-04-12,15.18,15.22,15.01,15.01,1800,14.62
2013-04-11,15.24,15.24,15.15,15.15,1100,14.75
2013-04-10,15.23,15.25,15.23,15.25,2100,14.85
2013-04-09,15.10,15.20,15.10,15.19,500,14.79
2013-04-08,15.09,15.19,15.09,15.10,600,14.70
2013-04-05,14.75,15.11,14.75,15.10,3300,14.70
2013-04-04,14.75,14.75,14.75,14.75,500,14.36
2013-04-03,14.65,14.65,14.60,14.64,7500,14.26
2013-04-02,14.65,14.65,14.65,14.65,2100,14.27
