Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.39,5.40,5.39,5.40,11200,5.40
2013-03-29,5.39,5.39,5.39,5.39,000,5.39
2013-03-28,5.39,5.39,5.39,5.39,400,5.39
2013-03-27,5.39,5.40,5.39,5.39,2500,5.39
2013-03-26,5.39,5.40,5.39,5.40,10600,5.40
2013-03-25,5.39,5.39,5.39,5.39,2300,5.39
2013-03-22,5.40,5.40,5.40,5.40,100,5.40
2013-03-21,5.39,5.40,5.39,5.40,7000,5.40
2013-03-20,5.39,5.40,5.39,5.39,114200,5.39
2013-03-19,5.40,5.40,5.40,5.40,39900,5.40
2013-03-18,5.40,5.41,5.39,5.39,33700,5.39
2013-03-15,5.40,5.41,5.39,5.40,20700,5.40
2013-03-14,5.39,5.41,5.39,5.40,121000,5.40
2013-03-13,5.40,5.41,5.39,5.41,45400,5.41
2013-03-12,5.39,5.40,5.39,5.40,118200,5.40
2013-03-11,5.35,5.38,5.35,5.35,5700,5.35
2013-03-08,5.33,5.36,5.33,5.36,19900,5.36
2013-03-07,5.35,5.36,5.34,5.36,25800,5.36
2013-03-06,5.32,5.35,5.32,5.34,800,5.34
2013-03-05,5.33,5.35,5.32,5.34,58900,5.34
2013-03-04,5.33,5.34,5.32,5.33,74900,5.33
2013-03-01,5.32,5.34,5.32,5.33,79400,5.33
2013-02-28,5.35,5.35,5.31,5.34,143100,5.34
2013-02-27,5.31,5.35,5.30,5.35,130200,5.35
2013-02-26,5.30,5.36,5.30,5.32,118600,5.32
2013-02-25,5.33,5.36,5.33,5.34,18900,5.34
2013-02-22,5.34,5.34,5.32,5.34,15900,5.34
2013-02-21,5.35,5.36,5.29,5.31,189100,5.31
2013-02-20,5.31,5.35,5.31,5.31,15300,5.31
2013-02-19,5.31,5.34,5.31,5.34,12500,5.34
2013-02-18,5.34,5.34,5.34,5.34,000,5.34
2013-02-15,5.30,5.34,5.30,5.34,9400,5.34
2013-02-14,5.30,5.34,5.30,5.34,464400,5.34
2013-02-13,5.30,5.30,5.29,5.30,7100,5.30
2013-02-12,5.30,5.30,5.29,5.30,217800,5.30
2013-02-11,5.28,5.30,5.28,5.30,72200,5.30
2013-02-08,5.29,5.30,5.29,5.29,16100,5.29
2013-02-07,5.28,5.30,5.26,5.27,158500,5.27
2013-02-06,5.30,5.31,5.29,5.30,27000,5.30
2013-02-05,5.30,5.31,5.29,5.31,33000,5.31
2013-02-04,5.27,5.34,5.27,5.28,158000,5.28
2013-02-01,5.30,5.31,5.17,5.26,353900,5.26
2013-01-31,5.32,5.32,5.31,5.31,13600,5.31
2013-01-30,5.33,5.33,5.30,5.32,90800,5.32
2013-01-29,5.29,5.34,5.29,5.34,54100,5.34
2013-01-28,5.31,5.34,5.31,5.34,36100,5.34
2013-01-25,5.32,5.34,5.32,5.34,6500,5.34
2013-01-24,5.35,5.35,5.31,5.32,40800,5.32
2013-01-23,5.34,5.34,5.33,5.33,6800,5.33
2013-01-22,5.29,5.37,5.29,5.37,104500,5.37
2013-01-21,5.33,5.35,4.95,5.27,189600,5.27
2013-01-18,5.35,5.37,5.33,5.34,103100,5.34
2013-01-17,5.35,5.37,5.35,5.35,5800,5.35
2013-01-16,5.38,5.38,5.35,5.35,4800,5.35
2013-01-15,5.35,5.36,5.35,5.36,7500,5.36
2013-01-14,5.36,5.36,5.35,5.35,99700,5.35
2013-01-11,5.34,5.36,5.34,5.36,80400,5.36
2013-01-10,5.35,5.35,5.34,5.35,12000,5.35
2013-01-09,5.35,5.35,5.32,5.34,354200,5.34
2013-01-08,5.36,5.36,5.34,5.34,327100,5.34
2013-01-07,5.34,5.35,5.34,5.35,51900,5.35
2013-01-04,5.34,5.36,5.34,5.36,24600,5.36
2013-01-03,5.34,5.35,5.34,5.35,76000,5.35
2013-01-02,5.36,5.36,5.34,5.34,117900,5.34
2013-01-01,5.36,5.36,5.36,5.36,000,5.36
2012-12-31,5.35,5.36,5.34,5.36,37300,5.36
2012-12-28,5.33,5.35,5.33,5.34,44800,5.34
2012-12-27,5.34,5.35,5.33,5.33,102200,5.33
2012-12-26,5.34,5.34,5.34,5.34,000,5.34
2012-12-25,5.34,5.34,5.34,5.34,000,5.34
2012-12-24,5.35,5.35,5.33,5.34,7200,5.34
2012-12-21,5.34,5.34,5.34,5.34,47400,5.34
2012-12-20,5.34,5.34,5.34,5.34,13400,5.34
2012-12-19,5.33,5.34,5.33,5.34,11800,5.34
2012-12-18,5.35,5.35,5.33,5.33,102600,5.33
2012-12-17,5.34,5.34,5.34,5.34,85500,5.34
2012-12-14,5.33,5.36,5.33,5.35,156900,5.35
2012-12-13,5.34,5.35,5.33,5.34,90000,5.34
2012-12-12,5.35,5.36,5.34,5.35,34600,5.35
2012-12-11,5.34,5.36,5.34,5.36,136300,5.36
2012-12-10,5.33,5.35,5.32,5.35,565900,5.35
2012-12-07,5.34,5.35,5.34,5.34,106400,5.34
2012-12-06,5.33,5.35,5.32,5.34,103100,5.34
2012-12-05,5.34,5.34,5.32,5.32,68200,5.32
2012-12-04,5.33,5.34,5.32,5.34,80200,5.34
2012-12-03,5.34,5.34,5.33,5.34,57800,5.34
2012-11-30,5.32,5.35,5.31,5.35,102800,5.35
2012-11-29,5.32,5.33,5.32,5.32,226500,5.32
2012-11-28,5.32,5.34,5.32,5.32,180600,5.32
2012-11-27,5.32,5.32,5.31,5.31,300500,5.31
2012-11-26,5.31,5.32,5.31,5.32,474000,5.32
2012-11-23,5.31,5.31,5.30,5.31,41400,5.31
2012-11-22,5.31,5.31,5.30,5.31,165900,5.31
2012-11-21,5.28,5.31,5.28,5.31,127800,5.31
