Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,3.35,3.40,3.35,3.36,129500,3.36
2013-01-08,3.02,3.10,3.02,3.06,45200,3.06
2013-01-07,2.95,3.00,2.95,3.00,46300,3.00
2013-01-04,2.96,2.99,2.92,2.96,148100,2.96
2013-01-03,3.04,3.04,3.00,3.00,62300,3.00
2013-01-02,3.03,3.08,3.00,3.05,93600,3.05
2013-01-01,3.03,3.03,3.03,3.03,000,3.03
2012-12-31,2.95,3.07,2.91,3.03,245000,3.03
2012-12-28,2.87,2.91,2.87,2.87,102500,2.87
2012-12-27,2.77,2.79,2.76,2.76,108100,2.76
2012-12-26,2.70,2.70,2.64,2.67,99900,2.67
2012-12-25,2.65,2.65,2.65,2.65,000,2.65
2012-12-24,2.65,2.70,2.65,2.65,73900,2.65
2012-12-21,2.57,2.60,2.57,2.58,60200,2.58
2012-12-20,2.54,2.60,2.54,2.57,61300,2.57
2012-12-19,2.53,2.55,2.53,2.53,112700,2.53
2012-12-18,2.47,2.49,2.47,2.48,78300,2.48
2012-12-17,2.45,2.48,2.45,2.46,39200,2.46
2012-12-14,2.48,2.50,2.47,2.47,107700,2.47
2012-12-13,2.49,2.50,2.45,2.45,85100,2.45
2012-12-12,2.48,2.52,2.48,2.50,52000,2.50
2012-12-11,2.50,2.52,2.48,2.48,35200,2.48
2012-12-10,2.46,2.52,2.45,2.47,110100,2.47
2012-12-07,2.47,2.53,2.47,2.47,87400,2.47
2012-12-06,2.52,2.60,2.52,2.53,119000,2.53
2012-12-05,2.58,2.65,2.56,2.63,95900,2.63
2012-12-04,2.47,2.55,2.47,2.55,112900,2.55
2012-12-03,2.52,2.52,2.43,2.50,268000,2.50
2012-11-30,2.52,2.55,2.52,2.52,57400,2.52
2012-11-29,2.44,2.50,2.44,2.46,71600,2.46
2012-11-28,2.43,2.45,2.43,2.43,47600,2.43
2012-11-27,2.46,2.50,2.46,2.46,52400,2.46
2012-11-26,2.45,2.50,2.45,2.46,101700,2.46
2012-11-23,2.47,2.49,2.47,2.49,54600,2.49
2012-11-22,2.51,2.51,2.51,2.51,000,2.51
2012-11-21,2.54,2.56,2.51,2.51,163000,2.51
2012-11-20,2.41,2.44,2.41,2.42,73200,2.42
2012-11-19,2.50,2.57,2.50,2.55,124400,2.55
2012-11-16,2.52,2.52,2.42,2.46,136000,2.46
2012-11-15,2.52,2.53,2.50,2.52,55300,2.52
2012-11-14,2.56,2.56,2.50,2.50,114300,2.50
2012-11-13,2.56,2.56,2.51,2.51,35700,2.51
2012-11-12,2.56,2.70,2.56,2.64,189200,2.64
2012-11-09,2.42,2.54,2.42,2.52,340000,2.52
2012-11-08,2.37,2.37,2.29,2.29,23400,2.29
2012-11-07,2.49,2.49,2.36,2.38,266600,2.38
2012-11-06,2.17,2.27,2.17,2.24,389400,2.24
2012-11-05,2.05,2.15,2.05,2.13,63800,2.13
2012-11-02,2.05,2.07,2.04,2.04,41800,2.04
2012-11-01,2.00,2.10,2.00,2.05,69600,2.05
2012-10-31,1.93,2.00,1.92,1.97,145600,1.97
2012-10-30,1.94,1.94,1.94,1.94,000,1.94
2012-10-29,1.94,1.94,1.94,1.94,000,1.94
2012-10-26,1.99,1.99,1.93,1.94,29700,1.94
2012-10-25,2.00,2.00,1.95,1.98,84900,1.98
2012-10-24,2.00,2.00,1.96,1.98,47800,1.98
2012-10-23,2.01,2.01,1.97,1.97,42400,1.97
2012-10-22,1.97,2.04,1.97,2.01,77800,2.01
2012-10-19,2.00,2.03,1.94,1.98,159000,1.98
2012-10-18,1.92,2.00,1.92,1.99,80100,1.99
2012-10-17,1.86,1.90,1.85,1.89,54500,1.89
2012-10-16,1.85,1.87,1.85,1.86,68600,1.86
2012-10-15,1.79,1.88,1.79,1.88,50700,1.88
2012-10-12,1.82,1.88,1.79,1.83,24900,1.83
2012-10-11,1.78,1.82,1.78,1.81,21300,1.81
2012-10-10,1.74,1.82,1.73,1.76,119000,1.76
2012-10-09,1.70,1.76,1.70,1.74,34400,1.74
2012-10-08,1.68,1.73,1.68,1.73,137000,1.73
2012-10-05,1.69,1.77,1.69,1.75,41000,1.75
2012-10-04,1.73,1.75,1.71,1.72,484100,1.72
2012-10-03,1.76,1.78,1.71,1.74,349200,1.74
2012-10-02,1.82,1.82,1.75,1.77,32800,1.77
2012-10-01,1.67,1.80,1.67,1.80,292300,1.80
2012-09-28,1.67,1.80,1.67,1.72,99700,1.72
2012-09-27,1.73,1.76,1.73,1.75,174700,1.75
2012-09-26,1.78,1.78,1.68,1.73,274100,1.73
2012-09-25,1.82,1.95,1.82,1.85,591000,1.85
2012-09-24,1.89,2.03,1.89,1.96,43900,1.96
2012-09-21,2.05,2.06,1.92,2.06,21600,2.06
2012-09-20,2.00,2.07,1.99,2.03,57100,2.03
2012-09-19,2.01,2.08,2.01,2.06,87900,2.06
2012-09-18,2.08,2.08,2.00,2.02,86000,2.02
2012-09-17,2.14,2.14,2.09,2.10,24500,2.10
2012-09-14,2.11,2.15,2.10,2.14,131400,2.14
2012-09-13,2.01,2.10,2.01,2.08,140800,2.08
2012-09-12,1.99,2.05,1.99,2.05,105900,2.05
2012-09-11,1.97,1.99,1.97,1.98,54600,1.98
2012-09-10,1.95,1.95,1.93,1.93,48000,1.93
2012-09-07,1.88,1.96,1.87,1.96,167700,1.96
2012-09-06,1.78,1.83,1.76,1.79,273700,1.79
2012-09-05,1.74,1.74,1.70,1.72,38200,1.72
2012-09-04,1.70,1.75,1.70,1.74,40000,1.74
2012-09-03,1.70,1.70,1.70,1.70,000,1.70
2012-08-31,1.66,1.77,1.66,1.70,92800,1.70
2012-08-30,1.77,1.77,1.72,1.72,59500,1.72
2012-08-29,1.68,1.78,1.68,1.77,84700,1.77
