Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,0.84,0.86,0.83,0.83,76400,0.83
2013-10-15,0.85,0.86,0.80,0.80,107100,0.80
2013-10-11,0.83,0.85,0.82,0.85,47400,0.85
2013-10-10,0.85,0.90,0.82,0.83,241700,0.83
2013-10-09,0.82,0.85,0.81,0.85,119900,0.85
2013-10-08,0.77,0.81,0.77,0.80,81000,0.80
2013-10-07,0.77,0.79,0.75,0.76,49700,0.76
2013-10-04,0.77,0.79,0.77,0.79,51800,0.79
2013-10-03,0.78,0.78,0.73,0.75,90200,0.75
2013-10-02,0.83,0.83,0.75,0.76,91400,0.76
2013-10-01,0.81,0.81,0.79,0.79,7200,0.79
2013-09-30,0.82,0.84,0.80,0.80,194900,0.80
2013-09-27,0.78,0.81,0.77,0.78,98000,0.78
2013-09-26,0.78,0.80,0.78,0.80,21300,0.80
2013-09-25,0.79,0.79,0.77,0.77,40500,0.77
2013-09-24,0.81,0.81,0.79,0.80,58100,0.80
2013-09-23,0.80,0.81,0.80,0.80,94800,0.80
2013-09-20,0.80,0.81,0.80,0.80,11000,0.80
2013-09-19,0.81,0.81,0.79,0.80,74800,0.80
2013-09-18,0.81,0.81,0.80,0.80,28800,0.80
2013-09-17,0.81,0.82,0.81,0.81,13000,0.81
2013-09-16,0.83,0.83,0.80,0.80,173400,0.80
2013-09-13,0.83,0.85,0.82,0.82,106300,0.82
2013-09-12,0.83,0.83,0.81,0.81,19500,0.81
2013-09-11,0.83,0.83,0.82,0.82,18900,0.82
2013-09-10,0.86,0.86,0.83,0.83,41500,0.83
2013-09-09,0.86,0.86,0.83,0.85,42700,0.85
2013-09-06,0.83,0.86,0.83,0.83,17600,0.83
2013-09-05,0.82,0.82,0.80,0.80,43100,0.80
2013-09-04,0.81,0.84,0.81,0.82,34900,0.82
2013-09-03,0.85,0.85,0.82,0.83,96000,0.83
2013-08-30,0.85,0.85,0.84,0.85,67800,0.85
2013-08-29,0.85,0.85,0.83,0.85,15700,0.85
2013-08-28,0.82,0.85,0.82,0.85,49500,0.85
2013-08-27,0.84,0.85,0.83,0.83,189100,0.83
2013-08-26,0.86,0.86,0.83,0.85,95000,0.85
2013-08-23,0.85,0.85,0.83,0.84,19100,0.84
2013-08-22,0.85,0.85,0.84,0.85,5500,0.85
2013-08-21,0.83,0.85,0.83,0.85,18000,0.85
2013-08-20,0.84,0.84,0.83,0.84,10500,0.84
2013-08-19,0.87,0.87,0.87,0.87,600,0.87
2013-08-16,0.85,0.90,0.83,0.87,15100,0.87
2013-08-15,0.83,0.88,0.83,0.88,67500,0.88
2013-08-14,0.81,0.85,0.81,0.85,42100,0.85
2013-08-13,0.84,0.85,0.80,0.81,37100,0.81
2013-08-12,0.87,0.87,0.84,0.84,10300,0.84
2013-08-09,0.88,0.88,0.84,0.84,8100,0.84
2013-08-08,0.87,0.91,0.87,0.89,20600,0.89
2013-08-07,0.86,0.86,0.86,0.86,1500,0.86
2013-08-06,0.93,0.94,0.93,0.93,31400,0.93
2013-08-02,0.81,0.93,0.81,0.93,15900,0.93
2013-08-01,0.82,0.84,0.81,0.81,21900,0.81
2013-07-31,0.82,0.85,0.82,0.84,48100,0.84
2013-07-30,0.82,0.83,0.77,0.81,74700,0.81
2013-07-29,0.83,0.83,0.82,0.82,19500,0.82
2013-07-26,0.86,0.88,0.80,0.80,72600,0.80
2013-07-25,0.88,0.88,0.84,0.85,55000,0.85
2013-07-24,0.85,0.86,0.84,0.86,18200,0.86
2013-07-23,0.85,0.86,0.84,0.84,4400,0.84
2013-07-22,0.85,0.85,0.82,0.83,20900,0.83
2013-07-19,0.81,0.88,0.78,0.82,165900,0.82
2013-07-18,0.77,0.79,0.77,0.79,29700,0.79
2013-07-17,0.77,0.78,0.77,0.78,28000,0.78
2013-07-16,0.82,0.82,0.76,0.80,46800,0.80
2013-07-15,0.82,0.82,0.77,0.79,32400,0.79
2013-07-12,0.77,0.80,0.76,0.79,53100,0.79
2013-07-11,0.77,0.78,0.76,0.78,21500,0.78
2013-07-10,0.80,0.81,0.75,0.78,54300,0.78
2013-07-09,0.84,0.84,0.80,0.81,38300,0.81
2013-07-08,0.87,0.87,0.84,0.86,14700,0.86
2013-07-05,0.91,0.91,0.91,0.91,5400,0.91
2013-07-04,0.88,0.88,0.88,0.88,2900,0.88
2013-07-03,0.91,0.94,0.91,0.92,28300,0.92
2013-07-02,0.87,0.93,0.87,0.89,52800,0.89
2013-06-28,0.81,0.85,0.80,0.84,46000,0.84
2013-06-27,0.86,0.87,0.70,0.78,92600,0.78
2013-06-26,0.88,0.89,0.86,0.87,9700,0.87
2013-06-25,0.86,0.89,0.82,0.85,16200,0.85
2013-06-24,0.97,0.97,0.81,0.86,53900,0.86
2013-06-21,0.97,0.99,0.91,0.94,46700,0.94
