Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,207.18,208.50,206.71,207.89,48300,207.89
2013-10-15,206.47,206.72,204.49,204.92,81600,204.92
2013-10-14,206.63,208.51,206.00,208.01,104900,208.01
2013-10-11,203.38,208.42,203.07,208.42,110400,208.42
2013-10-10,201.30,203.64,200.67,203.57,128600,203.57
2013-10-09,203.00,203.00,200.50,201.73,107000,201.73
2013-10-08,206.01,206.88,203.20,203.60,124000,203.60
2013-10-07,203.94,205.31,203.43,204.10,167300,204.10
2013-10-04,205.88,206.99,205.80,206.80,42000,206.80
2013-10-03,205.25,205.74,200.24,204.02,31800,204.02
2013-10-02,202.30,203.56,200.85,203.38,31900,203.38
2013-10-01,202.00,204.09,201.89,203.55,77800,203.55
2013-09-30,202.88,203.46,200.42,201.80,107300,201.80
2013-09-27,204.66,205.19,203.14,203.97,71700,203.97
2013-09-26,203.45,204.28,202.03,202.83,61200,202.83
2013-09-25,203.92,205.23,203.14,203.83,47200,203.83
2013-09-24,203.24,204.79,202.53,203.78,63600,203.78
2013-09-23,206.26,207.50,204.95,204.96,77100,204.96
2013-09-20,209.41,209.41,205.25,205.46,126600,205.46
2013-09-19,208.25,209.65,206.48,209.41,97100,209.41
2013-09-18,206.22,210.87,204.65,210.87,157800,210.87
2013-09-17,206.81,207.68,206.01,206.56,64500,206.56
2013-09-16,210.02,210.02,207.24,207.70,93300,207.70
2013-09-13,207.59,209.59,207.36,208.58,185100,208.58
2013-09-12,208.15,208.36,205.56,206.26,108500,206.26
2013-09-11,208.59,210.39,208.10,209.73,39400,209.73
2013-09-10,210.65,211.49,210.07,211.20,117300,211.20
2013-09-09,208.73,210.54,207.91,209.75,137700,209.75
2013-09-06,207.60,207.83,204.13,205.64,92300,205.64
2013-09-05,204.22,205.62,202.65,203.35,76200,203.35
2013-09-04,202.00,202.63,201.13,202.34,81300,202.34
2013-09-03,201.42,202.47,199.33,200.75,99100,200.75
2013-08-30,198.76,200.94,198.12,200.50,242000,197.28
2013-08-29,200.30,200.87,197.51,199.90,102000,196.69
2013-08-28,199.52,203.99,198.21,202.68,160800,199.42
2013-08-27,197.37,197.84,195.25,195.25,167900,192.11
2013-08-26,202.63,202.65,199.01,199.67,136700,196.46
2013-08-23,201.00,203.00,200.03,202.84,202400,199.58
2013-08-22,200.00,200.93,199.58,199.99,124300,196.77
2013-08-21,199.55,201.40,196.01,198.28,141100,195.09
2013-08-20,193.40,199.65,193.40,197.60,233200,194.42
2013-08-19,192.94,193.12,191.65,192.84,99300,189.74
2013-08-16,190.03,192.85,189.47,191.70,275400,188.62
2013-08-15,187.90,189.23,186.26,188.52,105500,185.49
2013-08-14,188.23,188.52,186.83,187.90,81200,184.88
2013-08-13,187.25,188.99,185.25,188.27,114600,185.24
2013-08-12,183.50,184.74,182.60,184.72,107500,181.75
2013-08-09,180.65,182.22,178.87,180.69,144200,177.78
2013-08-08,178.77,181.24,177.87,180.29,56600,177.39
2013-08-07,178.80,179.66,177.50,177.77,44500,174.91
2013-08-06,180.83,180.83,177.87,178.48,97700,175.61
2013-08-05,181.76,182.54,181.00,182.31,39600,179.38
2013-08-02,184.36,184.64,181.83,182.96,63600,180.02
2013-08-01,182.51,185.67,182.51,184.50,93100,181.53
2013-07-31,180.00,181.18,178.19,179.84,47500,176.95
2013-07-30,183.32,183.32,179.37,180.01,151700,177.12
2013-07-29,181.38,181.59,179.42,179.76,64800,176.87
2013-07-26,182.83,183.48,180.40,183.32,73200,180.37
2013-07-25,182.08,183.17,181.24,183.15,35600,180.20
2013-07-24,184.00,184.12,181.19,182.16,66000,179.23
2013-07-23,183.47,184.60,182.50,183.45,89000,180.50
2013-07-22,179.12,180.55,178.31,178.87,54200,175.99
2013-07-19,179.32,179.32,177.71,178.39,73100,175.52
2013-07-18,178.83,179.80,177.77,178.06,71800,175.20
2013-07-17,178.27,179.86,177.41,178.43,76300,175.56
2013-07-16,175.99,177.42,175.69,177.03,104100,174.18
2013-07-15,174.24,175.39,173.76,174.95,128200,172.14
2013-07-12,175.63,176.70,174.17,175.61,105600,172.79
2013-07-11,174.75,176.18,173.66,176.03,216200,173.20
2013-07-10,168.34,168.80,166.02,167.28,151400,164.59
2013-07-09,170.21,170.77,168.93,169.53,137000,166.80
2013-07-08,168.89,170.60,167.73,168.43,197500,165.72
2013-07-05,166.33,166.52,163.71,166.43,88400,163.75
2013-07-03,162.49,164.86,161.42,163.66,60100,161.03
2013-07-02,167.18,168.88,164.00,165.23,124200,162.57
2013-07-01,169.04,169.40,167.25,168.00,135400,165.30
2013-06-28,165.96,169.28,165.18,167.48,153200,164.79
2013-06-27,165.41,166.18,164.26,165.16,109800,162.50
2013-06-26,163.55,163.71,160.35,162.20,118800,159.59
2013-06-25,163.50,163.99,160.36,161.86,113100,159.26
2013-06-24,157.05,160.83,155.27,159.19,203000,156.63
2013-06-21,163.99,164.99,160.93,163.19,192900,160.57
2013-06-20,168.19,168.35,162.43,164.07,274100,161.43
2013-06-19,174.96,175.70,172.01,172.71,150700,169.93
2013-06-18,174.56,175.30,173.87,174.88,76100,172.07
2013-06-17,174.41,174.56,172.76,173.89,175400,171.09
2013-06-14,169.74,169.81,166.54,166.94,110200,164.26
2013-06-13,168.14,171.22,167.58,170.59,100800,167.85
2013-06-12,171.03,171.29,168.56,169.01,75800,166.29
2013-06-11,170.34,171.58,169.24,170.27,118100,167.53
2013-06-10,173.81,174.34,172.22,173.87,58000,171.07
2013-06-07,174.59,176.47,173.37,175.62,68400,172.80
2013-06-06,173.45,175.81,172.93,175.81,68800,172.98
2013-06-05,176.53,177.05,174.64,174.90,67900,172.09
2013-06-04,178.37,179.00,176.46,177.66,72600,174.80
2013-06-03,176.13,178.48,175.68,178.14,83600,175.28
2013-05-31,176.36,177.09,173.81,173.84,97800,171.04
2013-05-30,176.64,177.88,176.00,176.70,110900,173.86
2013-05-29,175.78,177.12,174.62,176.28,112800,173.45
2013-05-28,177.93,179.38,176.50,178.73,140400,175.86
2013-05-24,179.73,179.92,177.47,179.02,162500,172.09
2013-05-23,180.84,183.97,180.22,182.71,221800,175.63
2013-05-22,186.84,189.75,184.17,184.52,162900,177.37
2013-05-21,186.26,189.39,185.00,187.75,245800,180.48
2013-05-20,185.87,188.30,185.67,188.24,81500,180.95
2013-05-17,183.44,186.77,183.44,185.67,82100,178.48
2013-05-16,183.50,185.28,182.00,182.61,515400,175.54
2013-05-15,185.90,186.29,184.81,185.37,290900,178.19
2013-05-14,184.38,186.87,184.20,185.63,244500,178.44
2013-05-13,186.23,186.40,185.01,185.41,222800,178.23
2013-05-10,188.98,189.99,186.95,189.14,287400,181.81
2013-05-09,190.23,191.07,189.15,189.99,96000,182.63
2013-05-08,190.09,192.60,190.09,192.60,72700,185.14
2013-05-07,188.62,190.42,188.21,189.89,57500,182.53
2013-05-06,185.17,187.09,185.17,186.87,59400,179.63
2013-05-03,185.41,188.59,185.05,186.10,86000,178.89
2013-05-02,182.45,184.88,181.60,184.65,66500,177.50
2013-05-01,186.95,186.95,183.31,183.66,86300,176.55
2013-04-30,186.31,187.60,184.46,187.34,64000,180.08
2013-04-29,186.13,187.41,184.77,187.09,71600,179.84
2013-04-26,186.28,186.65,182.82,183.99,69000,176.86
2013-04-25,185.99,187.96,185.75,187.40,79200,180.14
2013-04-24,180.78,183.77,180.56,183.60,107800,176.49
2013-04-23,178.40,181.10,178.04,181.10,127200,174.09
2013-04-22,178.27,179.09,176.59,177.99,78700,171.10
2013-04-19,176.23,176.77,175.09,176.40,80700,169.57
2013-04-18,172.75,173.50,171.22,172.30,41300,165.63
2013-04-17,174.20,174.20,171.00,172.05,80900,165.39
2013-04-16,175.32,176.28,174.44,176.04,77600,169.22
2013-04-15,177.71,178.38,173.33,173.40,156600,166.68
2013-04-12,182.45,183.16,180.95,182.56,66000,175.49
2013-04-11,184.66,185.23,183.63,183.89,60600,176.77
2013-04-10,184.22,185.99,183.48,185.86,96000,178.66
2013-04-09,184.77,188.25,183.56,186.67,79100,179.44
2013-04-08,182.99,184.95,182.70,184.42,60400,177.28
2013-04-05,182.51,185.94,182.40,185.17,97100,178.00
2013-04-04,189.19,190.19,187.03,188.65,86900,181.34
2013-04-03,193.28,193.28,188.50,188.54,89600,181.24
2013-04-02,193.85,194.96,193.11,193.68,80900,186.18
2013-04-01,191.50,191.67,189.88,190.12,48400,182.76
2013-03-28,192.24,193.48,191.50,191.50,47800,184.08
2013-03-27,193.35,194.17,191.80,193.88,74500,186.37
2013-03-26,193.52,195.22,193.40,194.64,104900,187.10
2013-03-25,192.00,192.72,189.56,189.90,123500,182.54
2013-03-22,184.80,186.26,183.92,185.07,92800,177.90
2013-03-21,185.27,185.95,183.83,184.15,50100,177.02
2013-03-20,186.17,186.99,185.49,186.51,105200,179.29
2013-03-19,184.75,184.92,182.17,182.62,104700,175.55
2013-03-18,186.13,187.49,186.01,186.52,51700,179.30
2013-03-15,188.00,189.13,187.22,188.32,124900,181.03
2013-03-14,187.17,188.71,186.56,188.00,100800,180.72
2013-03-13,186.60,187.80,185.87,186.56,82800,179.33
2013-03-12,189.56,190.88,188.14,188.50,95600,181.20
2013-03-11,192.08,193.27,191.34,191.60,69800,184.18
2013-03-08,194.00,194.95,192.25,193.27,78900,185.78
2013-03-07,190.00,191.73,189.33,190.50,97000,183.12
2013-03-06,189.75,189.90,188.52,189.54,62000,182.20
2013-03-05,188.82,190.45,188.31,188.96,74700,181.64
2013-03-04,189.08,189.90,187.73,189.34,98900,182.01
2013-03-01,191.45,192.53,190.32,192.11,116200,184.67
2013-02-28,196.42,197.90,194.88,194.96,86900,187.41
2013-02-27,193.78,196.25,193.41,195.62,87200,188.04
2013-02-26,195.54,195.97,192.46,195.15,62000,187.59
2013-02-25,198.99,199.30,194.74,194.74,112000,187.20
2013-02-22,198.07,199.45,197.43,198.33,46600,190.65
2013-02-21,199.04,199.13,197.16,198.07,50300,190.40
2013-02-20,201.60,201.69,198.60,198.64,83900,190.95
2013-02-19,202.37,203.86,201.66,203.06,66800,195.19
2013-02-15,205.32,205.45,203.92,204.69,99800,196.76
2013-02-14,203.23,204.21,203.01,203.77,59200,195.88
2013-02-13,200.27,202.75,200.27,202.59,92800,194.74
2013-02-12,199.77,200.86,199.19,199.64,27900,191.91
2013-02-11,200.60,201.17,199.50,199.51,27000,191.78
2013-02-08,200.91,201.50,200.34,201.12,38500,193.33
2013-02-07,202.32,202.56,198.18,198.94,79300,191.23
2013-02-06,201.19,203.00,200.02,203.00,65400,195.14
