Date,Open,High,Low,Close,Volume,Adj Close
2013-10-02,10.74,10.75,10.74,10.75,13800,10.75
2013-10-01,10.74,10.75,10.74,10.75,51200,10.75
2013-09-30,10.72,10.75,10.72,10.74,136200,10.74
2013-09-27,10.73,10.74,10.73,10.73,36000,10.73
2013-09-26,10.72,10.74,10.72,10.74,179600,10.74
2013-09-25,10.72,10.74,10.72,10.72,176400,10.72
2013-09-24,10.71,10.73,10.71,10.73,29400,10.73
2013-09-23,10.73,10.73,10.72,10.72,125500,10.72
2013-09-20,10.71,10.73,10.71,10.71,5406000,10.71
2013-09-19,10.71,10.73,10.71,10.71,200300,10.71
2013-09-18,10.71,10.72,10.71,10.71,211900,10.71
2013-09-17,10.71,10.73,10.71,10.71,546800,10.71
2013-09-16,10.72,10.73,10.71,10.72,655000,10.72
2013-09-13,10.72,10.73,10.71,10.73,768300,10.73
2013-09-12,10.71,10.72,10.71,10.71,85100,10.71
2013-09-11,10.72,10.73,10.71,10.71,159200,10.71
2013-09-10,10.73,10.73,10.72,10.73,58000,10.73
2013-09-09,10.72,10.73,10.72,10.73,25400,10.73
2013-09-06,10.71,10.73,10.71,10.72,105900,10.72
2013-09-05,10.71,10.73,10.71,10.73,158000,10.73
2013-09-04,10.72,10.72,10.71,10.72,264200,10.72
2013-09-03,10.71,10.72,10.70,10.71,180000,10.71
2013-08-30,10.72,10.73,10.71,10.71,318900,10.71
2013-08-29,10.71,10.72,10.71,10.71,85500,10.71
2013-08-28,10.71,10.72,10.71,10.72,120600,10.72
2013-08-27,10.71,10.72,10.70,10.72,461600,10.72
2013-08-26,10.71,10.72,10.70,10.70,1072300,10.70
2013-08-23,10.71,10.73,10.71,10.71,431900,10.71
2013-08-22,10.70,10.72,10.70,10.70,946500,10.70
2013-08-21,10.67,10.69,10.67,10.69,288500,10.69
2013-08-20,10.66,10.68,10.66,10.68,578900,10.68
2013-08-19,10.66,10.69,10.66,10.66,278800,10.66
2013-08-16,10.63,10.69,10.63,10.68,382800,10.68
2013-08-15,10.63,10.64,10.63,10.64,167800,10.64
2013-08-14,10.64,10.65,10.63,10.63,75100,10.63
2013-08-13,10.62,10.66,10.62,10.66,148800,10.66
2013-08-12,10.63,10.64,10.62,10.64,249200,10.64
2013-08-09,10.63,10.65,10.63,10.65,50700,10.65
2013-08-08,10.64,10.65,10.63,10.65,462800,10.65
2013-08-07,10.64,10.65,10.64,10.64,45100,10.64
2013-08-06,10.64,10.66,10.64,10.65,128900,10.65
2013-08-02,10.63,10.65,10.63,10.65,156200,10.65
2013-08-01,10.62,10.65,10.62,10.63,382900,10.63
2013-07-31,10.60,10.64,10.60,10.64,178500,10.64
2013-07-30,10.59,10.62,10.59,10.62,83400,10.62
2013-07-29,10.59,10.62,10.59,10.59,212600,10.59
2013-07-26,10.61,10.63,10.61,10.61,42400,10.61
2013-07-25,10.61,10.62,10.61,10.62,477300,10.62
2013-07-24,10.61,10.63,10.61,10.61,141100,10.61
2013-07-23,10.60,10.62,10.60,10.62,139100,10.62
2013-07-22,10.60,10.64,10.60,10.60,233000,10.60
