Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,11.54,11.61,11.50,11.56,319600,11.56
2013-10-15,11.60,11.60,11.46,11.50,1198700,11.50
2013-10-11,11.39,11.58,11.39,11.54,460700,11.54
2013-10-10,11.38,11.49,11.34,11.43,1875600,11.43
2013-10-09,11.34,11.42,11.29,11.35,752600,11.35
2013-10-08,11.35,11.47,11.18,11.31,298800,11.31
2013-10-07,11.54,11.54,11.32,11.33,203200,11.33
2013-10-04,11.35,11.58,11.35,11.50,108500,11.50
2013-10-03,11.45,11.54,11.32,11.38,142100,11.38
2013-10-02,11.61,11.67,11.49,11.50,299000,11.50
2013-10-01,11.34,11.87,11.34,11.66,1294300,11.66
2013-09-30,11.49,11.59,11.34,11.34,618400,11.34
2013-09-27,11.59,11.66,11.50,11.56,514800,11.56
2013-09-26,11.59,11.67,11.58,11.61,166300,11.61
2013-09-25,11.50,11.72,11.50,11.59,398200,11.59
2013-09-24,11.29,11.57,11.29,11.50,248300,11.50
2013-09-23,11.20,11.32,11.13,11.29,409400,11.29
2013-09-20,11.32,11.36,11.20,11.20,599600,11.20
2013-09-19,11.36,11.36,11.27,11.28,380200,11.28
2013-09-18,11.44,11.50,11.31,11.32,237000,11.32
2013-09-17,11.68,11.68,11.44,11.45,193600,11.45
2013-09-16,11.58,11.61,11.50,11.59,168300,11.59
2013-09-13,11.54,11.62,11.45,11.52,160700,11.52
2013-09-12,11.59,11.63,11.47,11.50,188600,11.50
2013-09-11,11.39,11.57,11.31,11.55,329000,11.55
2013-09-10,11.65,11.65,11.41,11.42,466700,11.42
2013-09-09,11.42,11.63,11.42,11.59,148300,11.59
2013-09-06,11.63,11.71,11.42,11.45,1365500,11.45
2013-09-05,11.50,11.77,11.45,11.66,1208100,11.66
2013-09-04,11.44,11.54,11.40,11.48,137100,11.48
2013-09-03,11.31,11.47,11.29,11.44,601200,11.44
2013-08-30,11.37,11.37,11.14,11.20,209100,11.20
2013-08-29,11.30,11.40,11.23,11.34,246800,11.34
2013-08-28,10.69,11.37,10.68,11.20,2291300,11.20
2013-08-27,11.00,11.00,10.68,10.69,298000,10.69
2013-08-26,11.31,11.31,11.01,11.04,468300,11.04
2013-08-23,11.35,11.42,11.25,11.31,161100,11.31
2013-08-22,11.28,11.40,11.21,11.28,211000,11.28
2013-08-21,11.18,11.26,11.09,11.21,620500,11.21
2013-08-20,11.07,11.36,11.05,11.23,350700,11.23
2013-08-19,11.10,11.11,10.92,11.00,242300,11.00
2013-08-16,11.09,11.16,11.05,11.10,184200,11.10
2013-08-15,11.20,11.26,10.97,11.05,890400,11.05
2013-08-14,11.32,11.37,11.25,11.28,453300,11.28
2013-08-13,11.14,11.46,11.14,11.34,566100,11.34
2013-08-12,11.32,11.40,11.07,11.10,724900,11.10
2013-08-09,11.50,11.52,11.31,11.39,404000,11.39
2013-08-08,11.41,11.57,11.41,11.50,444700,11.50
2013-08-07,11.50,11.52,11.27,11.35,238400,11.35
2013-08-06,11.25,11.72,11.25,11.49,703500,11.49
2013-08-02,11.10,11.22,11.05,11.10,556300,11.10
2013-08-01,10.92,11.18,10.90,11.12,415600,11.12
2013-07-31,10.81,10.94,10.77,10.88,933000,10.88
2013-07-30,10.55,10.94,10.52,10.76,1532900,10.76
2013-07-29,10.59,10.78,10.44,10.49,1079600,10.49
2013-07-26,9.90,10.69,9.90,10.40,2207300,10.40
2013-07-25,9.62,9.78,9.57,9.78,466300,9.78
2013-07-24,9.68,9.71,9.60,9.65,88800,9.65
2013-07-23,9.70,9.75,9.62,9.63,168400,9.63
2013-07-22,9.64,9.71,9.59,9.66,48300,9.66
2013-07-19,9.50,9.66,9.49,9.65,294900,9.65
2013-07-18,9.35,9.61,9.18,9.59,2310800,9.59
2013-07-17,9.55,9.62,9.32,9.36,167600,9.36
2013-07-16,9.55,9.58,9.47,9.55,124600,9.55
2013-07-15,9.85,9.85,9.54,9.55,131700,9.55
2013-07-12,9.76,9.80,9.75,9.78,211400,9.78
2013-07-11,9.85,9.85,9.68,9.77,96600,9.77
2013-07-10,9.81,9.85,9.76,9.79,145500,9.79
2013-07-09,9.90,9.90,9.78,9.79,767200,9.79
2013-07-08,9.90,9.91,9.82,9.85,87700,9.85
2013-07-05,9.94,9.97,9.78,9.89,330000,9.89
2013-07-04,9.99,10.01,9.93,9.95,23800,9.95
2013-07-03,9.90,10.00,9.90,10.00,778200,10.00
2013-07-02,9.98,10.05,9.86,9.95,811000,9.95
2013-06-28,9.88,9.97,9.83,9.91,440800,9.91
2013-06-27,9.79,10.02,9.79,9.93,320700,9.93
2013-06-26,9.90,9.95,9.76,9.80,86100,9.80
2013-06-25,9.51,9.90,9.51,9.89,326600,9.89
2013-06-24,9.47,9.56,9.39,9.46,172400,9.46
2013-06-21,9.65,9.77,9.52,9.52,398500,9.52
2013-06-20,9.65,9.73,9.53,9.62,147000,9.62
2013-06-19,9.82,9.85,9.60,9.77,431400,9.77
2013-06-18,9.92,9.98,9.74,9.80,179500,9.80
2013-06-17,9.83,10.17,9.83,9.96,410700,9.96
2013-06-14,9.78,9.88,9.72,9.82,312700,9.82
2013-06-13,9.61,9.85,9.55,9.77,282100,9.77
2013-06-12,9.83,9.87,9.60,9.62,323100,9.62
2013-06-11,9.69,9.82,9.65,9.76,432600,9.76
2013-06-10,9.75,9.77,9.64,9.75,268800,9.75
2013-06-07,9.74,9.85,9.70,9.72,512500,9.72
2013-06-06,9.55,9.82,9.48,9.72,370000,9.72
2013-06-05,9.70,9.79,9.57,9.59,156800,9.59
2013-06-04,9.90,9.97,9.66,9.72,551500,9.72
2013-06-03,9.59,9.93,9.59,9.92,380300,9.92
2013-05-31,9.61,9.70,9.51,9.56,202200,9.56
2013-05-30,9.49,9.73,9.49,9.63,279100,9.63
2013-05-29,9.58,9.67,9.45,9.53,139800,9.53
2013-05-28,9.40,9.74,9.35,9.61,494000,9.61
2013-05-27,9.09,9.33,9.09,9.33,35700,9.33
2013-05-24,9.27,9.41,9.21,9.28,117800,9.28
2013-05-23,9.34,9.51,9.19,9.39,243400,9.39
2013-05-22,9.54,9.57,9.34,9.35,377600,9.35
2013-05-21,9.47,9.56,9.43,9.51,383800,9.51
2013-05-17,9.33,9.46,9.30,9.40,1807000,9.40
2013-05-16,9.11,9.50,9.11,9.30,676700,9.30
2013-05-15,8.80,9.16,8.80,9.10,429900,9.10
2013-05-14,8.80,8.84,8.70,8.82,434000,8.82
2013-05-13,8.70,8.82,8.70,8.79,420500,8.79
2013-05-10,8.61,8.72,8.58,8.72,53900,8.72
2013-05-09,8.55,8.60,8.54,8.60,413100,8.60
