Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,82.88,83.26,82.76,83.26,623500,83.26
2013-10-15,82.82,83.26,82.30,82.95,888600,82.95
2013-10-11,82.56,83.00,82.55,82.76,695400,82.76
2013-10-10,81.96,82.88,81.95,82.46,961500,82.46
2013-10-09,81.35,81.94,81.32,81.68,810800,81.68
2013-10-08,82.00,82.16,81.54,81.66,399600,81.66
2013-10-07,81.75,82.25,81.53,81.86,546700,81.86
2013-10-04,81.75,82.18,81.67,82.06,431600,82.06
2013-10-03,82.35,82.57,81.91,81.98,964400,81.98
2013-10-02,82.21,82.47,82.05,82.33,765000,82.33
2013-10-01,82.02,82.62,82.01,82.60,913500,82.60
2013-09-30,82.00,82.72,81.94,82.06,847400,82.06
2013-09-27,82.30,82.72,82.09,82.50,544400,82.50
2013-09-26,82.29,82.65,82.17,82.40,585000,82.40
2013-09-25,82.98,82.98,82.15,82.30,1293100,82.30
2013-09-24,83.60,83.99,83.34,83.72,1275200,82.76
2013-09-23,83.15,83.58,83.00,83.47,1365600,82.51
2013-09-20,82.40,83.29,82.18,82.81,2332300,81.86
2013-09-19,82.40,82.50,81.76,82.22,1041800,81.28
2013-09-18,82.30,82.44,82.06,82.17,1018500,81.23
2013-09-17,81.93,82.29,81.83,82.09,1051600,81.15
2013-09-16,81.55,82.10,81.51,81.74,1301300,80.80
2013-09-13,81.22,81.71,81.11,81.13,863200,80.20
2013-09-12,81.94,81.99,81.10,81.35,1081200,80.42
2013-09-11,81.95,82.06,81.57,81.80,1457200,80.86
2013-09-10,82.60,82.60,81.90,81.96,919000,81.02
2013-09-09,82.34,82.48,82.03,82.30,770100,81.36
2013-09-06,82.90,83.00,82.40,82.45,795800,81.50
2013-09-05,81.94,82.87,81.90,82.87,1243600,81.92
2013-09-04,82.10,82.25,81.86,81.94,909000,81.00
2013-09-03,82.41,82.63,81.78,82.10,1121900,81.16
2013-08-30,82.26,82.97,82.21,82.26,1544700,81.32
2013-08-29,80.87,82.69,80.60,82.66,2536400,81.71
2013-08-28,79.93,80.63,79.82,80.44,940700,79.52
2013-08-27,80.18,80.56,79.86,80.23,959000,79.31
2013-08-26,80.18,81.13,80.04,80.69,1566300,79.76
2013-08-23,79.50,80.15,79.47,79.88,892100,78.96
2013-08-22,79.10,79.41,78.87,79.34,915100,78.43
2013-08-21,78.98,79.08,78.28,78.88,586700,77.98
2013-08-20,78.65,79.25,78.51,78.98,742400,78.07
2013-08-19,78.65,78.78,78.30,78.50,658300,77.60
2013-08-16,78.00,79.03,77.94,78.80,946700,77.90
2013-08-15,78.12,78.15,77.59,78.09,1483500,77.19
2013-08-14,79.00,79.00,78.23,78.55,823900,77.65
2013-08-13,78.40,79.07,78.28,78.92,859300,78.02
2013-08-12,77.01,78.78,76.95,78.47,2025300,77.57
2013-08-09,77.35,77.35,76.51,76.91,917200,76.03
2013-08-08,77.21,77.75,77.21,77.40,868600,76.51
2013-08-07,77.20,77.43,76.95,77.28,847000,76.39
2013-08-06,78.50,78.60,77.23,77.54,1213000,76.65
2013-08-02,78.00,78.82,78.00,78.70,739600,77.80
2013-08-01,78.62,78.88,77.90,78.37,1067600,77.47
