Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,33.81,33.90,33.50,33.76,1692300,33.76
2013-10-15,33.74,34.05,33.53,33.74,2043900,33.74
2013-10-11,33.40,33.68,33.12,33.30,1475300,33.30
2013-10-10,32.50,33.53,32.50,33.46,3547700,33.46
2013-10-09,32.12,32.23,31.80,32.03,2158800,32.03
2013-10-08,32.30,32.59,32.02,32.11,1154900,32.11
2013-10-07,31.95,32.58,31.85,32.18,1939300,32.18
2013-10-04,31.86,32.44,31.73,32.18,1344000,32.18
2013-10-03,32.22,32.36,31.76,31.78,1892100,31.78
2013-10-02,32.68,32.75,32.19,32.23,1580800,32.23
2013-10-01,32.25,32.98,32.25,32.82,1943500,32.82
2013-09-30,32.10,32.80,32.00,32.37,1919900,32.37
2013-09-27,32.50,32.72,32.33,32.44,976300,32.44
2013-09-26,32.45,32.96,32.45,32.60,1519800,32.60
2013-09-25,32.16,32.76,32.16,32.42,1070000,32.42
2013-09-24,32.25,32.45,32.12,32.15,1007900,32.15
2013-09-23,32.31,32.51,32.18,32.29,954900,32.29
2013-09-20,32.76,32.82,32.37,32.40,4529300,32.40
2013-09-19,32.83,32.92,32.43,32.53,1242600,32.53
2013-09-18,32.65,33.00,32.27,32.78,2031300,32.78
2013-09-17,32.81,33.10,32.52,32.58,1883100,32.58
2013-09-16,32.74,32.93,32.69,32.81,1495100,32.81
2013-09-13,32.50,33.07,32.47,32.78,1856400,32.78
2013-09-12,32.73,33.05,32.41,32.57,1333000,32.57
2013-09-11,32.55,32.91,32.40,32.76,1694600,32.76
2013-09-10,32.11,32.63,31.94,32.42,1969500,32.29
2013-09-09,32.34,32.56,32.20,32.31,1098300,32.19
2013-09-06,32.68,32.73,32.38,32.43,1580800,32.30
2013-09-05,32.55,32.63,32.38,32.54,2422200,32.41
2013-09-04,32.67,32.80,32.45,32.50,3326400,32.37
2013-09-03,32.45,33.04,32.43,32.81,1308500,32.68
2013-08-30,32.65,32.81,32.14,32.14,2121500,32.02
2013-08-29,32.77,32.97,32.59,32.77,1857500,32.64
2013-08-28,32.00,33.05,31.93,32.95,2792500,32.82
2013-08-27,31.86,32.37,31.50,31.74,2463600,31.62
2013-08-26,31.19,31.50,31.14,31.43,1078300,31.31
2013-08-23,31.48,31.50,30.95,31.13,1869300,31.01
2013-08-22,30.80,31.32,30.72,31.26,1445200,31.14
2013-08-21,30.85,31.02,30.45,30.68,1931700,30.56
2013-08-20,30.50,31.17,30.50,30.96,1593700,30.84
