Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,107.92,109.25,107.92,109.03,334400,109.03
2013-10-15,108.74,109.27,108.25,109.07,303500,109.07
2013-10-11,109.85,110.00,109.11,109.49,348500,109.49
2013-10-10,108.60,110.00,108.59,109.85,652500,109.85
2013-10-09,107.35,108.48,107.34,107.94,637100,107.94
2013-10-08,107.32,107.77,106.80,107.30,489300,107.30
2013-10-07,105.57,107.45,105.21,107.24,436300,107.24
2013-10-04,105.10,106.45,104.80,106.01,408700,106.01
2013-10-03,107.29,107.30,104.55,105.81,543200,105.81
2013-10-02,105.13,107.02,105.06,107.01,672600,107.01
2013-10-01,105.02,106.23,104.06,106.03,536700,106.03
2013-09-30,103.81,105.29,103.20,104.37,621900,104.37
2013-09-27,103.77,105.11,103.54,104.70,376100,104.70
2013-09-26,102.78,104.32,102.63,104.08,591100,104.08
2013-09-25,104.27,104.36,102.38,102.77,555600,102.77
2013-09-24,104.09,104.60,103.81,104.10,341500,104.10
2013-09-23,104.31,104.68,103.78,104.24,367600,104.24
2013-09-20,105.49,105.54,104.08,104.08,2053000,104.08
2013-09-19,103.99,105.22,103.91,105.03,800900,105.03
2013-09-18,102.86,104.45,102.81,104.06,759400,104.06
2013-09-17,102.77,103.25,102.29,103.05,389500,103.05
2013-09-16,101.49,103.36,101.49,103.01,682500,103.01
2013-09-13,101.01,101.58,100.86,101.28,731800,101.28
2013-09-12,100.49,100.85,100.21,100.81,360700,100.81
2013-09-11,100.09,100.85,99.55,100.73,449000,100.73
2013-09-10,100.27,100.35,99.71,100.00,417000,100.00
2013-09-09,100.03,100.35,99.24,99.83,256500,99.83
2013-09-06,101.18,101.18,100.15,100.33,499600,100.33
2013-09-05,100.30,100.84,100.23,100.78,630700,100.78
2013-09-04,99.32,100.52,99.17,100.41,403500,99.98
2013-09-03,99.49,100.16,98.84,99.59,416600,99.16
2013-08-30,99.70,100.11,98.64,98.78,615800,98.36
2013-08-29,99.15,100.19,99.09,99.86,327400,99.43
2013-08-28,98.45,99.28,98.02,99.15,355800,98.73
2013-08-27,99.21,99.70,98.20,98.38,760300,97.96
2013-08-26,101.27,101.37,100.40,100.49,343500,100.06
2013-08-23,101.25,101.40,100.57,101.17,236200,100.74
2013-08-22,99.54,101.01,99.50,100.75,465500,100.32
2013-08-21,100.30,100.83,98.30,99.28,739900,98.85
2013-08-20,100.95,101.20,100.24,100.36,454700,99.93
2013-08-19,101.14,101.34,100.46,100.85,400300,100.42
2013-08-16,100.88,101.77,100.61,101.56,351400,101.13
2013-08-15,100.31,100.96,99.81,100.72,417200,100.29
2013-08-14,102.27,102.48,101.17,101.23,347500,100.80
2013-08-13,101.34,102.63,101.20,102.38,342200,101.94
2013-08-12,101.34,101.84,100.85,101.32,222400,100.89
2013-08-09,102.52,102.56,100.76,101.55,590400,101.12
2013-08-08,103.65,103.65,102.01,102.69,393500,102.25
2013-08-07,102.51,102.76,101.98,102.48,422800,102.04
2013-08-06,103.55,103.61,102.58,102.80,723200,102.36
2013-08-02,104.00,104.75,103.96,104.36,381000,103.91
2013-08-01,103.74,104.82,103.32,104.31,497100,103.86
2013-07-31,104.38,104.64,102.52,102.66,714600,102.22
2013-07-30,103.74,104.18,103.51,103.66,780500,103.22
2013-07-29,102.94,103.88,102.94,103.55,417700,103.11
2013-07-26,102.62,103.50,102.52,103.24,513300,102.80
2013-07-25,102.48,103.44,101.90,103.00,490200,102.56
2013-07-24,102.68,102.68,101.36,102.48,724900,102.04
2013-07-23,104.50,104.98,101.61,101.69,758400,101.25
2013-07-22,105.40,105.96,104.74,105.06,422300,104.61
2013-07-19,105.00,106.12,105.00,105.55,1127900,105.10
2013-07-18,105.30,106.32,105.08,105.35,796700,104.90
2013-07-17,105.11,106.08,104.97,105.48,560700,105.03
2013-07-16,105.79,105.84,104.26,104.36,506200,103.91
2013-07-15,105.00,106.03,105.00,105.17,410700,104.72
2013-07-12,104.40,106.13,104.25,104.93,645500,104.48
2013-07-11,104.15,104.50,103.32,104.01,441300,103.56
2013-07-10,103.26,103.61,102.82,103.45,500700,103.01
2013-07-09,102.71,103.97,102.02,103.94,558600,103.49
