Date,Open,High,Low,Close,Volume,Adj Close
2001-08-23,37.20,37.95,37.20,37.84,929800,30.48
2001-08-22,36.35,37.39,36.35,37.23,863000,29.87
2001-08-21,37.30,37.35,36.15,36.28,1175900,29.11
2001-08-20,37.75,37.80,37.45,37.68,712800,30.24
2001-08-17,38.25,38.25,37.61,37.80,975200,30.33
2001-08-16,39.00,39.03,38.20,38.34,883500,30.76
2001-08-15,39.00,39.26,38.25,39.01,1291900,31.30
2001-08-14,39.56,39.56,38.65,38.82,1098100,31.15
2001-08-13,39.25,39.70,39.25,39.55,1440300,31.74
2001-08-10,38.75,39.28,38.65,39.21,706000,31.46
2001-08-09,38.48,38.84,38.48,38.75,394600,31.09
2001-08-08,39.00,39.05,38.40,38.41,860500,30.82
2001-08-07,38.89,39.09,38.75,39.00,624000,31.29
2001-08-06,38.95,39.15,38.55,38.69,379100,31.05
2001-08-03,38.65,38.85,38.55,38.78,468600,31.12
2001-08-02,38.05,38.70,38.00,38.65,775700,31.01
2001-08-01,38.11,38.75,37.97,38.03,1455600,30.52
2001-07-31,36.99,38.10,36.95,37.90,998600,30.41
2001-07-30,36.90,37.24,36.80,36.95,695500,29.65
2001-07-27,36.15,36.84,35.86,36.75,1465400,29.49
2001-07-26,35.99,36.14,35.70,36.10,1403700,28.97
2001-07-25,35.92,36.20,35.43,36.01,1123600,28.89
2001-07-24,35.90,36.10,35.87,35.92,873400,28.82
2001-07-23,36.45,36.50,35.80,35.90,908800,28.81
2001-07-20,37.10,37.23,36.40,36.72,1039500,29.46
2001-07-19,37.30,37.50,37.20,37.40,406200,30.01
2001-07-18,36.75,37.03,36.39,36.96,1011400,29.66
2001-07-17,37.50,37.59,37.10,37.58,635900,30.15
2001-07-16,38.00,38.16,37.70,37.86,505200,30.38
2001-07-13,37.93,38.10,37.81,38.02,534100,30.51
2001-07-12,37.90,38.11,37.66,38.00,620900,30.49
2001-07-11,37.93,38.15,37.40,37.86,686900,30.38
2001-07-10,38.25,38.32,38.10,38.15,527000,30.61
2001-07-09,38.50,38.70,38.35,38.38,469500,30.80
2001-07-06,39.15,39.17,38.60,38.90,388200,31.21
2001-07-05,39.11,39.46,39.11,39.30,1165300,31.53
2001-07-03,38.95,39.00,38.65,38.86,522800,31.18
2001-07-02,38.95,38.95,38.48,38.95,1281400,31.25
2001-06-29,37.50,38.75,37.50,38.75,1029100,31.09
2001-06-28,38.15,38.15,36.81,37.34,1920600,29.96
2001-06-27,38.60,38.70,38.10,38.24,700000,30.68
2001-06-26,39.00,39.00,38.65,38.73,648300,31.08
2001-06-25,39.10,39.25,39.00,39.00,371200,31.29
2001-06-22,38.77,39.10,38.70,39.07,553900,31.24
2001-06-21,39.00,39.10,38.78,38.85,839100,31.06
2001-06-20,39.40,40.67,39.15,39.22,516600,31.36
2001-06-19,39.52,39.72,39.22,39.36,468600,31.47
2001-06-18,38.86,39.57,38.81,39.45,617400,31.54
2001-06-15,39.90,39.90,38.75,38.96,1075900,31.15
2001-06-14,40.40,40.40,39.65,40.01,1072500,31.99
2001-06-13,41.00,41.19,40.70,40.75,572400,32.58
2001-06-12,40.58,41.00,40.00,40.99,892800,32.77
2001-06-11,41.82,41.82,41.00,41.02,729900,32.80
2001-06-08,41.82,41.90,41.44,41.86,260500,33.47
2001-06-07,42.20,42.52,41.83,41.98,563600,33.56
2001-06-06,42.32,42.32,41.60,41.85,484200,33.46
2001-06-05,42.35,42.75,42.20,42.23,1063700,33.76
2001-06-04,41.66,42.35,41.66,42.35,1562500,33.86
2001-06-01,41.30,42.03,41.30,41.66,1489300,33.31
2001-05-31,40.30,41.55,40.30,41.30,1323900,33.02
2001-05-30,41.14,41.15,40.17,40.20,980200,32.14
2001-05-29,40.58,41.76,40.39,41.20,869200,32.94
2001-05-25,40.95,41.23,40.00,40.65,858000,32.50
2001-05-24,41.10,41.39,41.10,41.17,555500,32.92
2001-05-23,41.74,41.75,41.45,41.52,538100,33.20
2001-05-22,42.50,42.53,41.51,41.74,674300,33.37
2001-05-21,42.40,42.68,42.17,42.55,1154000,34.02
2001-05-18,43.03,43.03,42.36,42.57,1511400,34.04
2001-05-17,42.50,43.63,42.42,43.04,2494600,34.41
2001-05-16,40.80,42.20,40.70,42.15,1822000,33.70
2001-05-15,40.00,40.90,39.94,40.84,1259200,32.65
2001-05-14,39.29,39.92,39.18,39.85,800000,31.86
2001-05-11,39.30,39.44,39.23,39.30,255800,31.42
2001-05-10,39.02,39.27,38.81,39.13,649000,31.29
2001-05-09,38.55,39.01,38.47,39.00,452100,31.18
2001-05-08,38.30,38.69,38.10,38.45,333500,30.74
2001-05-07,38.30,38.48,37.90,38.23,409900,30.57
2001-05-04,38.25,38.55,38.05,38.30,608200,30.62
2001-05-03,38.03,38.47,38.03,38.34,705400,30.65
2001-05-02,38.55,38.60,38.00,38.11,545600,30.47
2001-05-01,39.00,39.01,38.26,38.95,702000,31.14
2001-04-30,39.63,39.94,38.75,39.17,561100,31.32
2001-04-27,40.50,40.50,39.40,39.65,340900,31.70
2001-04-26,39.25,40.00,39.20,39.78,836300,31.81
2001-04-25,39.20,39.25,38.84,38.97,500000,31.16
2001-04-24,39.34,39.50,39.05,39.30,798200,31.42
2001-04-23,39.85,39.85,39.23,39.34,679000,31.45
2001-04-20,40.25,40.32,39.89,40.11,572400,32.07
2001-04-19,40.00,40.60,39.92,40.17,964200,32.12
2001-04-18,39.55,40.27,39.40,40.22,1350500,32.16
2001-04-17,39.49,39.53,38.93,39.38,985400,31.49
2001-04-16,38.75,39.14,38.49,39.06,890700,31.23
2001-04-12,38.30,38.90,38.25,38.64,776900,30.89
2001-04-11,38.15,38.50,38.01,38.30,1487500,30.62
2001-04-10,36.50,38.26,36.48,38.25,1136300,30.58
2001-04-09,36.20,36.62,36.20,36.30,343000,29.02
2001-04-06,36.30,36.50,36.16,36.33,341700,29.05
2001-04-05,36.51,36.54,36.05,36.30,445600,29.02
2001-04-04,36.00,36.80,36.00,36.46,659700,29.15
2001-04-03,36.50,36.60,35.90,36.07,459400,28.84
2001-04-02,36.70,37.09,36.55,36.72,528400,29.36
2001-03-30,35.90,36.70,35.87,36.70,256900,29.34
2001-03-29,35.95,36.38,35.50,35.65,380200,28.50
2001-03-28,36.30,36.63,36.21,36.44,311200,29.14
2001-03-27,35.30,36.85,35.28,36.73,888300,29.37
2001-03-26,34.60,35.78,34.60,35.24,489100,28.18
2001-03-23,34.64,34.86,34.51,34.79,405100,27.82
2001-03-22,34.80,35.04,34.21,34.73,1044500,27.66
2001-03-21,35.80,35.80,35.25,35.33,480600,28.13
2001-03-20,35.85,36.40,35.85,36.04,468900,28.70
2001-03-19,35.10,35.70,34.69,35.40,928800,28.19
2001-03-16,35.35,35.35,34.60,34.63,754800,27.58
2001-03-15,36.15,36.15,34.96,35.50,1216700,28.27
2001-03-14,37.00,37.00,35.85,35.89,808500,28.58
2001-03-13,37.35,37.36,37.03,37.23,494500,29.65
2001-03-12,37.75,37.77,37.52,37.53,338200,29.89
2001-03-09,37.88,38.05,37.78,37.96,371300,30.23
2001-03-08,37.85,38.10,37.81,37.93,560500,30.20
2001-03-07,37.35,37.77,37.35,37.72,326400,30.04
2001-03-06,37.20,37.57,37.20,37.50,307600,29.86
2001-03-05,37.05,37.19,36.95,37.07,332300,29.52
2001-03-02,36.75,37.25,36.71,37.05,948600,29.50
2001-03-01,37.15,37.27,36.58,36.94,1028600,29.42
2001-02-28,37.35,37.65,37.30,37.40,306700,29.78
2001-02-27,37.45,37.52,37.21,37.38,502000,29.77
2001-02-26,36.75,37.73,36.75,37.45,759000,29.82
2001-02-23,36.50,36.75,36.32,36.68,530100,29.21
2001-02-22,36.90,36.90,36.45,36.55,1013700,29.11
2001-02-21,37.52,37.62,36.70,36.76,1461700,29.27
2001-02-20,37.50,37.83,37.43,37.51,805300,29.87
2001-02-16,37.82,37.82,36.78,36.95,930600,29.42
2001-02-15,38.10,38.10,37.24,37.82,991500,30.12
2001-02-14,37.75,39.00,37.70,38.20,2691800,30.42
2001-02-13,38.00,38.92,36.40,37.45,8063800,29.82
2001-02-12,33.42,34.20,33.11,33.94,552000,27.03
2001-02-09,33.20,33.50,32.88,33.41,328500,26.60
2001-02-08,32.57,33.49,32.46,33.17,547600,26.41
2001-02-07,32.30,32.58,32.19,32.58,829000,25.94
2001-02-06,32.05,32.13,31.87,32.04,575100,25.51
2001-02-05,32.00,32.49,31.56,31.81,630200,25.33
2001-02-02,32.00,32.15,31.51,31.80,1155400,25.32
2001-02-01,31.02,32.00,30.75,31.82,878900,25.34
2001-01-31,30.11,31.17,30.09,30.97,755500,24.66
2001-01-30,29.50,30.09,29.50,30.09,715300,23.96
2001-01-29,30.00,30.00,29.20,29.56,1830700,23.54
2001-01-26,28.69,28.94,28.62,28.87,5731300,22.99
2001-01-25,28.50,28.75,28.25,28.56,4845600,22.74
2001-01-24,28.37,28.44,28.06,28.31,2094500,22.54
