Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,9.52,9.61,9.47,9.57,93100,9.57
2013-10-15,9.47,9.53,9.43,9.51,62400,9.51
2013-10-11,9.35,9.47,9.35,9.47,57500,9.47
2013-10-10,9.37,9.45,9.35,9.38,35800,9.38
2013-10-09,9.43,9.47,9.35,9.39,59200,9.39
2013-10-08,9.60,9.61,9.40,9.48,74700,9.48
2013-10-07,9.39,9.57,9.38,9.52,46600,9.52
2013-10-04,9.36,9.50,9.36,9.45,81100,9.45
2013-10-03,9.52,9.52,9.33,9.37,97100,9.37
2013-10-02,9.57,9.60,9.50,9.60,77800,9.60
2013-10-01,9.62,9.75,9.55,9.57,41500,9.57
2013-09-30,9.76,9.76,9.56,9.72,53300,9.72
2013-09-27,9.60,9.72,9.58,9.71,57000,9.71
2013-09-26,9.68,9.69,9.58,9.58,49900,9.58
2013-09-25,9.71,9.77,9.55,9.64,71600,9.64
2013-09-24,9.63,9.69,9.56,9.64,60100,9.64
2013-09-23,9.65,9.75,9.58,9.62,81800,9.62
2013-09-20,9.85,9.85,9.70,9.73,94300,9.73
2013-09-19,9.64,9.89,9.62,9.89,148500,9.89
2013-09-18,9.27,9.57,9.27,9.57,155000,9.57
2013-09-17,9.39,9.39,9.31,9.36,51500,9.36
2013-09-16,9.43,9.43,9.31,9.35,50900,9.35
2013-09-13,9.33,9.39,9.29,9.39,74500,9.39
2013-09-12,9.33,9.43,9.28,9.33,71000,9.33
2013-09-11,9.39,9.41,9.31,9.34,56700,9.34
2013-09-10,9.41,9.44,9.31,9.38,63500,9.38
2013-09-09,9.37,9.54,9.37,9.40,34600,9.40
2013-09-06,9.52,9.52,9.40,9.44,72300,9.44
2013-09-05,9.34,9.53,9.34,9.51,60200,9.51
2013-09-04,9.28,9.35,9.26,9.34,36800,9.34
2013-09-03,9.48,9.51,9.26,9.26,54900,9.26
2013-08-30,9.31,9.53,9.31,9.50,104800,9.50
2013-08-29,9.36,9.37,9.31,9.31,45000,9.31
2013-08-28,9.44,9.46,9.33,9.33,33200,9.33
2013-08-27,9.47,9.50,9.43,9.47,30900,9.41
2013-08-26,9.40,9.51,9.38,9.48,31600,9.42
2013-08-23,9.37,9.42,9.32,9.39,48800,9.33
2013-08-22,9.42,9.50,9.36,9.40,38700,9.34
2013-08-21,9.44,9.48,9.36,9.37,33000,9.31
2013-08-20,9.38,9.60,9.37,9.46,73200,9.40
2013-08-19,9.44,9.49,9.40,9.43,26300,9.37
2013-08-16,9.59,9.60,9.43,9.48,47500,9.42
2013-08-15,9.50,9.60,9.50,9.51,58600,9.45
2013-08-14,9.58,9.60,9.50,9.54,57000,9.48
2013-08-13,9.61,9.68,9.52,9.59,55300,9.53
2013-08-12,9.60,9.61,9.51,9.56,42100,9.50
2013-08-09,9.72,9.76,9.55,9.62,43500,9.56
2013-08-08,9.58,9.88,9.53,9.73,87000,9.67
2013-08-07,9.51,9.60,9.49,9.55,77200,9.49
2013-08-06,9.57,9.57,9.42,9.53,43400,9.47
2013-08-02,9.50,9.70,9.50,9.58,90600,9.52
2013-08-01,9.50,9.57,9.41,9.50,57300,9.44
2013-07-31,9.57,9.61,9.51,9.51,45200,9.45
2013-07-30,9.50,9.54,9.46,9.54,53900,9.48
2013-07-29,9.41,9.52,9.41,9.50,38900,9.44
2013-07-26,9.46,9.60,9.46,9.50,47700,9.39
2013-07-25,9.52,9.53,9.48,9.50,49200,9.39
2013-07-24,9.55,9.57,9.44,9.55,39900,9.44
2013-07-23,9.50,9.53,9.50,9.50,27000,9.39
2013-07-22,9.50,9.53,9.46,9.52,25800,9.41
2013-07-19,9.50,9.55,9.41,9.47,19500,9.36
2013-07-18,9.52,9.55,9.50,9.52,11400,9.41
2013-07-17,9.38,9.57,9.37,9.55,66500,9.44
2013-07-16,9.50,9.55,9.38,9.44,41100,9.33
2013-07-15,9.45,9.49,9.34,9.47,57600,9.36
2013-07-12,9.25,9.44,9.25,9.36,102700,9.25
2013-07-11,9.18,9.30,9.13,9.28,77400,9.17
2013-07-10,9.19,9.20,9.11,9.14,10700,9.03
2013-07-09,9.20,9.20,9.10,9.18,36700,9.07
2013-07-08,9.06,9.19,9.05,9.16,42700,9.05
2013-07-05,9.03,9.17,8.96,9.06,86600,8.95
2013-07-04,9.00,9.23,9.00,9.10,64300,8.99
