Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,5.42,5.42,5.42,5.42,000,5.42
2013-01-08,5.42,5.42,5.42,5.42,000,5.42
2013-01-07,5.42,5.42,5.42,5.42,000,5.42
2013-01-04,5.42,5.42,5.42,5.42,000,5.42
2013-01-03,5.42,5.42,5.42,5.42,000,5.42
2013-01-02,5.42,5.42,5.42,5.42,000,5.42
2013-01-01,5.42,5.42,5.42,5.42,000,5.42
2012-12-31,5.42,5.42,5.42,5.42,000,5.42
2012-12-28,5.42,5.42,5.42,5.42,000,5.42
2012-12-27,5.42,5.42,5.42,5.42,000,5.42
2012-12-26,5.42,5.42,5.42,5.42,000,5.42
2012-12-25,5.42,5.42,5.42,5.42,000,5.42
2012-12-24,5.42,5.42,5.42,5.42,000,5.42
2012-12-21,5.42,5.42,5.42,5.42,000,5.42
2012-12-20,5.42,5.42,5.42,5.42,000,5.42
2012-12-19,5.42,5.42,5.42,5.42,000,5.42
2012-12-18,5.42,5.42,5.42,5.42,000,5.42
2012-12-17,5.42,5.42,5.42,5.42,000,5.42
2012-12-14,5.42,5.42,5.42,5.42,000,5.42
2012-12-13,5.42,5.42,5.42,5.42,000,5.42
2012-12-12,5.42,5.42,5.42,5.42,000,5.42
2012-12-11,5.42,5.42,5.42,5.42,000,5.42
2012-12-10,5.42,5.42,5.42,5.42,000,5.42
2012-12-07,5.42,5.42,5.42,5.42,000,5.42
2012-12-06,5.42,5.42,5.42,5.42,000,5.42
2012-12-05,5.42,5.42,5.42,5.42,000,5.42
2012-12-04,5.42,5.42,5.42,5.42,000,5.42
2012-12-03,5.42,5.42,5.42,5.42,000,5.42
2012-11-30,5.42,5.42,5.42,5.42,000,5.42
2012-11-29,5.42,5.42,5.42,5.42,000,5.42
2012-11-28,5.42,5.42,5.42,5.42,000,5.42
2012-11-27,5.42,5.42,5.42,5.42,000,5.42
2012-11-26,5.42,5.42,5.42,5.42,000,5.42
2012-11-23,5.42,5.42,5.42,5.42,000,5.42
2012-11-22,5.42,5.42,5.42,5.42,000,5.42
2012-11-21,5.42,5.42,5.42,5.42,000,5.42
2012-11-20,5.42,5.42,5.42,5.42,000,5.42
2012-11-19,5.42,5.42,5.42,5.42,000,5.42
2012-11-16,5.42,5.42,5.42,5.42,000,5.42
2012-11-15,5.42,5.42,5.42,5.42,000,5.42
2012-11-14,5.42,5.42,5.42,5.42,000,5.42
2012-11-13,5.42,5.42,5.42,5.42,000,5.42
2012-11-12,5.42,5.42,5.42,5.42,000,5.42
2012-11-09,5.42,5.42,5.42,5.42,000,5.42
2012-11-08,5.42,5.42,5.42,5.42,000,5.42
2012-11-07,5.42,5.42,5.42,5.42,000,5.42
2012-11-06,5.42,5.42,5.42,5.42,000,5.42
