Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,44.58,45.16,43.76,45.16,223200,45.16
2011-09-23,43.80,44.44,43.77,44.31,395000,44.31
2011-09-22,44.47,44.49,43.46,43.97,284500,43.97
2011-09-21,47.20,47.50,45.73,45.74,121600,45.74
2011-09-20,47.17,47.56,46.77,47.01,108700,47.01
2011-09-19,46.69,47.21,46.27,46.90,110400,46.90
2011-09-16,48.40,48.52,47.68,48.08,207900,48.08
2011-09-15,49.13,49.29,48.54,49.29,107800,48.37
2011-09-14,48.00,48.81,47.17,48.49,86300,47.58
2011-09-13,47.57,47.98,47.29,47.84,130000,46.95
2011-09-12,47.18,47.61,46.50,47.56,133700,46.67
2011-09-09,48.82,48.96,47.90,48.11,245800,47.21
2011-09-08,49.90,50.48,49.50,49.64,61200,48.71
2011-09-07,50.05,50.71,49.96,50.71,186300,49.76
2011-09-06,48.69,49.53,48.61,49.51,224600,48.58
2011-09-02,50.65,51.09,50.42,50.61,129300,49.66
2011-09-01,52.05,52.36,51.42,51.50,181500,50.54
2011-08-31,52.22,52.46,51.86,52.07,148600,51.10
2011-08-30,51.31,51.89,51.01,51.63,130400,50.66
2011-08-29,51.48,52.00,51.43,52.00,62900,51.03
2011-08-26,49.31,50.48,48.98,50.36,76600,49.42
2011-08-25,50.69,50.76,49.43,49.62,60600,48.69
2011-08-24,50.40,51.11,50.22,50.88,120200,49.93
2011-08-23,49.51,50.63,49.31,50.56,72300,49.61
2011-08-22,50.05,50.05,48.73,48.93,98600,48.01
2011-08-19,48.60,49.66,48.29,48.38,93000,47.48
2011-08-18,49.43,49.50,48.47,49.00,143200,48.08
2011-08-17,51.21,51.67,50.77,51.08,116400,50.12
2011-08-16,50.50,51.23,50.08,50.49,141000,49.55
2011-08-15,50.94,51.56,50.82,51.56,165600,50.60
2011-08-12,49.97,50.37,49.45,50.07,255600,49.13
2011-08-11,47.29,49.66,47.29,49.14,144000,48.22
2011-08-10,48.17,48.25,46.84,46.85,262500,45.97
2011-08-09,48.01,49.36,46.56,49.29,357100,48.37
2011-08-08,48.67,49.36,46.63,46.82,372500,45.94
2011-08-05,51.17,51.47,49.00,50.89,468700,49.94
2011-08-04,52.09,52.34,50.28,50.37,344000,49.43
2011-08-03,53.92,54.01,52.97,53.67,1096000,52.67
2011-08-02,54.57,54.92,53.50,53.56,120400,52.56
2011-08-01,56.35,56.35,54.58,55.22,102700,54.19
2011-07-29,55.50,56.11,55.31,55.71,65700,54.67
2011-07-28,55.83,56.16,55.46,55.64,68500,54.60
2011-07-27,56.64,56.64,55.61,55.75,96200,54.71
2011-07-26,56.68,57.03,56.60,56.85,50100,55.79
2011-07-25,56.52,56.82,56.14,56.61,55200,55.55
2011-07-22,56.94,57.05,56.65,56.97,83200,55.90
2011-07-21,56.09,56.93,55.96,56.86,72300,55.80
2011-07-20,55.61,55.73,55.25,55.64,86400,54.60
2011-07-19,55.06,55.54,54.99,55.42,185300,54.38
2011-07-18,54.85,54.94,54.03,54.58,84600,53.56
2011-07-15,56.01,56.11,55.63,55.94,218800,54.89
2011-07-14,56.67,56.78,55.61,55.75,79400,54.71
2011-07-13,56.00,56.89,55.88,56.21,54500,55.16
2011-07-12,55.57,56.15,55.36,55.50,80300,54.46
2011-07-11,56.50,56.54,55.93,56.06,95300,55.01
2011-07-08,58.27,58.32,57.68,58.09,86900,57.00
2011-07-07,58.91,59.03,58.69,58.85,77600,57.75
2011-07-06,58.32,58.37,57.87,58.34,165200,57.25
2011-07-05,59.27,59.27,58.65,58.83,120600,57.73
2011-07-01,58.87,59.66,58.55,59.61,68500,58.49
2011-06-30,58.42,59.10,58.32,59.03,135300,57.93
2011-06-29,57.71,58.02,57.28,58.00,111000,56.92
2011-06-28,56.73,57.08,56.50,57.08,63800,56.01
2011-06-27,56.06,56.70,55.84,56.64,95200,55.58
2011-06-24,56.67,56.67,55.80,56.00,122400,54.95
2011-06-23,56.60,57.10,56.16,57.10,99500,56.03
2011-06-22,58.09,58.43,57.80,57.81,73400,56.73
2011-06-21,57.89,58.43,57.67,58.38,99500,57.29
2011-06-20,56.94,57.32,56.63,57.26,96500,56.19
2011-06-17,57.50,57.67,57.04,57.41,84500,56.34
2011-06-16,57.80,58.16,57.25,57.79,110100,55.41
2011-06-15,58.94,59.05,57.81,58.05,143200,55.66
2011-06-14,59.92,60.38,59.84,60.20,48600,57.72
2011-06-13,59.28,59.41,58.65,59.10,88700,56.66
2011-06-10,59.94,59.94,58.60,58.86,141900,56.43
2011-06-09,60.16,60.68,59.93,60.53,329400,58.03
2011-06-08,60.64,60.64,59.97,60.09,102900,57.61
2011-06-07,61.39,61.46,60.99,61.08,113600,58.56
2011-06-06,61.05,61.05,60.15,60.19,127700,57.71
2011-06-03,60.46,61.41,60.00,61.08,186200,58.56
2011-06-02,61.00,61.00,60.28,60.97,64100,58.45
2011-06-01,61.53,61.53,60.02,60.21,121400,57.73
2011-05-31,61.75,61.75,61.19,61.63,87100,59.09
2011-05-27,60.74,60.87,60.52,60.67,100000,58.17
2011-05-26,60.12,60.33,59.54,60.25,43900,57.76
2011-05-25,59.42,60.00,59.30,59.83,114600,57.36
2011-05-24,59.88,59.94,59.45,59.62,78500,57.16
2011-05-23,59.28,59.49,58.96,59.24,85000,56.80
2011-05-20,61.13,61.13,60.24,60.56,79800,58.06
2011-05-19,61.17,61.41,60.75,61.39,57300,58.86
2011-05-18,60.53,60.98,60.22,60.91,83100,58.40
2011-05-17,60.50,60.71,59.88,60.68,149000,58.18
2011-05-16,60.59,61.05,60.31,60.49,114700,57.99
2011-05-13,61.38,61.38,60.07,60.59,121000,58.09
2011-05-12,61.35,61.72,60.80,61.53,132000,58.99
2011-05-11,62.22,62.22,61.02,61.35,112800,58.82
2011-05-10,61.99,62.35,61.82,62.30,164300,59.73
2011-05-09,61.51,61.79,61.00,61.75,172000,59.20
2011-05-06,62.68,62.74,61.26,61.59,233600,59.05
2011-05-05,62.88,62.88,61.33,61.81,260300,59.26
2011-05-04,63.97,64.04,62.90,63.15,627100,60.54
2011-05-03,63.69,63.86,63.10,63.31,117000,60.70
2011-05-02,64.32,64.33,63.70,63.81,62000,61.18
2011-04-29,63.87,64.20,63.76,63.99,62000,61.35
2011-04-28,63.57,63.94,63.53,63.85,123200,61.22
2011-04-27,63.10,63.73,62.68,63.70,63300,61.07
2011-04-26,62.41,62.69,62.17,62.60,52400,60.02
2011-04-25,62.32,62.32,61.70,62.03,39000,59.47
2011-04-21,62.13,62.17,61.68,62.04,66000,59.48
2011-04-20,61.67,61.78,61.44,61.70,75200,59.15
2011-04-19,60.06,60.27,59.81,60.26,66800,57.77
2011-04-18,59.91,59.91,59.06,59.65,42800,57.19
2011-04-15,61.04,61.29,60.56,60.95,65800,58.44
2011-04-14,60.64,61.34,60.59,61.27,74400,58.74
2011-04-13,61.34,61.48,60.74,60.91,80000,58.40
2011-04-12,61.05,61.26,60.62,60.94,44700,58.43
2011-04-11,61.81,61.81,61.13,61.36,216400,58.83
2011-04-08,61.59,61.59,61.07,61.27,67600,58.74
2011-04-07,61.06,61.06,60.32,60.75,52100,58.24
2011-04-06,60.92,61.07,60.75,61.07,30300,58.55
2011-04-05,60.10,60.49,60.00,60.37,41000,57.88
2011-04-04,59.98,60.24,59.91,60.01,47500,57.53
2011-04-01,59.37,59.83,58.92,59.72,62100,57.26
2011-03-31,59.10,59.13,58.74,59.02,63100,56.59
2011-03-30,58.59,59.21,58.59,59.16,65100,56.72
2011-03-29,58.25,58.66,58.08,58.66,75600,56.24
2011-03-28,58.45,58.51,58.08,58.14,90500,55.74
2011-03-25,58.34,58.57,58.06,58.14,28600,55.74
2011-03-24,58.14,58.45,57.77,58.43,22400,56.02
2011-03-23,57.50,57.89,57.25,57.75,28600,55.37
2011-03-22,57.90,57.90,57.43,57.71,40400,55.33
2011-03-21,57.36,57.74,57.17,57.68,43500,55.30
2011-03-18,56.76,56.76,56.08,56.32,56200,54.00
2011-03-17,56.22,56.56,56.06,56.34,69500,53.46
2011-03-16,56.14,56.27,54.19,54.73,41800,51.94
2011-03-15,55.18,56.30,54.55,56.01,66200,53.15
2011-03-14,56.73,57.05,56.48,57.05,47900,54.14
2011-03-11,56.43,57.37,56.43,57.32,23200,54.39
2011-03-10,57.11,57.36,56.50,56.70,47000,53.81
2011-03-09,57.66,58.07,57.66,58.04,20300,55.08
2011-03-08,57.57,58.02,57.32,57.94,34400,54.98
2011-03-07,58.24,58.46,57.42,57.60,29700,54.66
2011-03-04,58.21,58.21,57.47,57.83,41300,54.88
2011-03-03,58.10,58.29,57.82,58.25,31300,55.28
2011-03-02,57.56,57.97,57.42,57.58,28600,54.64
2011-03-01,58.27,58.27,57.07,57.19,18700,54.27
2011-02-28,57.99,58.37,57.73,58.13,31800,55.16
2011-02-25,57.68,58.01,57.68,57.86,21000,54.91
2011-02-24,57.10,57.37,56.70,57.32,147000,54.39
2011-02-23,56.93,57.46,56.71,57.00,51400,54.09
