Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,11.60,11.67,11.60,11.66,89000,11.66
2013-10-15,11.53,11.65,11.53,11.64,92400,11.64
2013-10-11,11.62,11.64,11.55,11.55,53200,11.55
2013-10-10,11.55,11.63,11.52,11.62,82700,11.62
2013-10-09,11.41,11.59,11.41,11.54,114600,11.54
2013-10-08,11.49,11.54,11.38,11.38,66500,11.38
2013-10-07,11.42,11.54,11.42,11.54,48700,11.54
2013-10-04,11.45,11.54,11.45,11.49,57400,11.49
2013-10-03,11.55,11.57,11.44,11.47,69400,11.47
2013-10-02,11.56,11.63,11.53,11.57,75200,11.57
2013-10-01,11.44,11.64,11.43,11.55,131500,11.55
2013-09-30,11.45,11.55,11.43,11.50,62500,11.50
2013-09-27,11.44,11.52,11.43,11.46,51300,11.46
2013-09-26,11.47,11.54,11.46,11.54,89800,11.54
2013-09-25,11.59,11.63,11.55,11.59,89100,11.49
2013-09-24,11.50,11.58,11.46,11.58,92200,11.48
2013-09-23,11.40,11.53,11.40,11.53,164000,11.43
2013-09-20,11.35,11.50,11.35,11.42,357900,11.32
2013-09-19,11.39,11.39,11.32,11.32,154800,11.22
2013-09-18,11.34,11.44,11.31,11.41,154200,11.31
2013-09-17,11.35,11.40,11.30,11.32,203700,11.22
2013-09-16,11.29,11.46,11.24,11.37,237600,11.27
2013-09-13,11.18,11.30,11.15,11.30,169100,11.20
2013-09-12,11.20,11.20,11.09,11.19,122900,11.09
2013-09-11,11.14,11.24,11.14,11.20,114700,11.10
2013-09-10,11.10,11.20,11.10,11.18,129600,11.08
2013-09-09,11.08,11.15,11.05,11.15,185800,11.05
2013-09-06,11.05,11.10,11.03,11.06,189700,10.96
2013-09-05,11.08,11.12,10.94,11.09,256700,10.99
2013-09-04,11.14,11.20,11.04,11.12,132900,11.02
2013-09-03,11.15,11.19,11.14,11.17,90000,11.07
2013-08-30,11.14,11.17,11.07,11.15,243400,11.05
2013-08-29,11.14,11.18,11.14,11.18,92800,11.08
2013-08-28,11.22,11.22,11.12,11.13,113800,11.03
2013-08-27,11.33,11.36,11.30,11.30,83900,11.10
2013-08-26,11.36,11.36,11.33,11.36,140300,11.16
2013-08-23,11.35,11.39,11.31,11.33,179300,11.13
2013-08-22,11.30,11.39,11.30,11.32,103200,11.12
2013-08-21,11.36,11.37,11.28,11.31,79400,11.11
2013-08-20,11.34,11.41,11.30,11.39,90700,11.19
2013-08-19,11.36,11.38,11.34,11.34,46100,11.14
2013-08-16,11.37,11.40,11.34,11.40,91800,11.20
2013-08-15,11.36,11.37,11.29,11.37,44000,11.17
2013-08-14,11.35,11.39,11.35,11.36,84500,11.16
2013-08-13,11.33,11.38,11.32,11.38,72600,11.18
2013-08-12,11.40,11.41,11.26,11.35,184700,11.15
2013-08-09,11.45,11.46,11.37,11.41,81900,11.21
2013-08-08,11.45,11.48,11.45,11.46,28300,11.26
2013-08-07,11.48,11.48,11.45,11.45,28800,11.25
2013-08-06,11.51,11.53,11.47,11.50,180000,11.30
2013-08-02,11.52,11.54,11.50,11.50,51200,11.30
2013-08-01,11.54,11.54,11.51,11.54,42500,11.34
2013-07-31,11.51,11.56,11.50,11.50,50500,11.30
2013-07-30,11.51,11.54,11.47,11.50,93200,11.30
2013-07-29,11.53,11.58,11.50,11.51,75400,11.31
2013-07-26,11.65,11.72,11.63,11.69,60600,11.39
2013-07-25,11.64,11.70,11.64,11.67,64600,11.37
2013-07-24,11.81,11.81,11.66,11.69,99100,11.39
2013-07-23,11.81,11.86,11.80,11.85,71600,11.54
2013-07-22,11.65,11.96,11.65,11.78,143100,11.48
2013-07-19,11.58,11.72,11.58,11.69,73400,11.39
2013-07-18,11.55,11.64,11.55,11.62,100000,11.32
2013-07-17,11.42,11.51,11.42,11.49,52600,11.19
2013-07-16,11.42,11.44,11.41,11.41,62500,11.12
2013-07-15,11.42,11.50,11.42,11.42,82100,11.13
2013-07-12,11.42,11.44,11.41,11.42,54800,11.13
2013-07-11,11.45,11.49,11.38,11.41,105300,11.12
2013-07-10,11.31,11.38,11.31,11.36,64400,11.07
2013-07-09,11.27,11.33,11.26,11.30,57300,11.01
2013-07-08,11.22,11.29,11.22,11.26,81700,10.97
2013-07-05,11.17,11.23,11.16,11.23,64000,10.94
2013-07-04,11.16,11.24,11.13,11.22,61000,10.93
2013-07-03,11.15,11.16,11.11,11.13,53700,10.84
2013-07-02,11.13,11.18,11.12,11.15,77200,10.86
2013-06-28,11.07,11.13,11.07,11.12,64200,10.83
2013-06-27,11.08,11.11,11.06,11.10,68100,10.81
2013-06-26,11.15,11.15,11.04,11.05,44300,10.76
2013-06-25,11.14,11.23,11.09,11.19,80400,10.80
2013-06-24,11.28,11.28,11.02,11.08,171000,10.70
2013-06-21,11.21,11.29,11.21,11.26,77600,10.87
2013-06-20,11.27,11.28,11.23,11.24,100900,10.85
2013-06-19,11.41,11.44,11.35,11.36,92500,10.97
2013-06-18,11.40,11.43,11.39,11.41,85900,11.02
2013-06-17,11.37,11.45,11.37,11.37,84100,10.98
2013-06-14,11.39,11.46,11.31,11.36,113600,10.97
2013-06-13,11.25,11.40,11.25,11.40,109400,11.01
2013-06-12,11.37,11.38,11.25,11.30,102500,10.91
2013-06-11,11.40,11.45,11.36,11.37,135700,10.98
2013-06-10,11.45,11.50,11.41,11.47,64400,11.07
2013-06-07,11.46,11.55,11.43,11.51,90900,11.11
2013-06-06,11.53,11.54,11.41,11.44,131800,11.05
2013-06-05,11.64,11.64,11.53,11.55,68100,11.15
2013-06-04,11.68,11.70,11.64,11.66,45700,11.26
2013-06-03,11.81,11.83,11.65,11.67,77800,11.27
2013-05-31,11.85,11.89,11.80,11.86,90500,11.45
2013-05-30,11.97,12.00,11.90,11.97,109300,11.56
2013-05-29,11.99,12.02,11.96,11.99,77600,11.58
2013-05-28,12.11,12.18,12.09,12.15,154700,11.63
2013-05-27,12.07,12.10,12.05,12.10,79300,11.59
2013-05-24,12.00,12.07,11.97,12.03,145400,11.52
2013-05-23,11.87,11.99,11.87,11.98,100800,11.47
2013-05-22,11.95,12.10,11.94,12.00,163900,11.49
2013-05-21,11.81,11.98,11.81,11.96,133800,11.45
2013-05-17,11.75,11.83,11.71,11.83,134200,11.33
2013-05-16,11.68,11.73,11.66,11.67,93000,11.17
2013-05-15,11.69,11.72,11.65,11.65,97200,11.16
2013-05-14,11.69,11.76,11.69,11.74,83200,11.24
2013-05-13,11.73,11.73,11.65,11.68,67600,11.18
2013-05-10,11.65,11.79,11.65,11.74,71100,11.24
2013-05-09,11.72,11.79,11.70,11.70,83300,11.20
2013-05-08,11.70,11.78,11.69,11.77,85500,11.27
2013-05-07,11.66,11.71,11.63,11.70,55100,11.20
2013-05-06,11.61,11.67,11.61,11.65,51500,11.16
2013-05-03,11.53,11.64,11.53,11.61,139900,11.12
2013-05-02,11.42,11.51,11.40,11.48,97300,10.99
2013-05-01,11.45,11.46,11.38,11.42,139800,10.94
2013-04-30,11.45,11.50,11.40,11.47,138800,10.98
2013-04-29,11.42,11.49,11.40,11.45,102200,10.96
2013-04-26,11.54,11.54,11.41,11.43,91000,10.94
2013-04-25,11.48,11.64,11.44,11.61,120400,11.02
2013-04-24,11.32,11.46,11.32,11.44,210300,10.86
2013-04-23,11.35,11.39,11.31,11.34,75000,10.76
2013-04-22,11.37,11.39,11.29,11.35,99700,10.77
2013-04-19,11.38,11.39,11.32,11.38,89800,10.80
2013-04-18,11.39,11.43,11.32,11.37,80300,10.79
2013-04-17,11.52,11.53,11.34,11.37,154100,10.79
2013-04-16,11.61,11.65,11.54,11.55,140600,10.96
2013-04-15,11.63,11.68,11.53,11.57,244500,10.98
2013-04-12,11.75,11.76,11.65,11.67,81900,11.08
2013-04-11,11.98,11.98,11.78,11.81,66300,11.21
2013-04-10,11.78,11.99,11.78,11.98,149300,11.37
2013-04-09,11.71,11.81,11.69,11.81,96700,11.21
2013-04-08,11.70,11.73,11.63,11.71,139900,11.12
2013-04-05,11.68,11.75,11.61,11.72,120200,11.13
2013-04-04,11.80,11.83,11.70,11.76,176400,11.16
2013-04-03,12.06,12.08,11.86,11.89,209800,11.29
2013-04-02,12.10,12.11,12.08,12.09,84800,11.48
2013-04-01,12.14,12.15,12.08,12.08,131200,11.47
2013-03-28,12.19,12.19,12.11,12.12,68900,11.51
2013-03-27,12.18,12.20,12.14,12.17,80300,11.55
2013-03-26,12.26,12.26,12.20,12.22,103400,11.60
2013-03-25,12.34,12.35,12.19,12.30,169100,11.58
2013-03-22,12.33,12.38,12.31,12.36,92900,11.64
2013-03-21,12.34,12.35,12.29,12.33,48900,11.61
2013-03-20,12.33,12.36,12.31,12.35,62700,11.63
2013-03-19,12.33,12.35,12.29,12.30,69000,11.58
2013-03-18,12.29,12.40,12.28,12.35,95200,11.63
2013-03-15,12.37,12.43,12.36,12.39,79100,11.67
2013-03-14,12.23,12.40,12.22,12.40,117000,11.68
2013-03-13,12.45,12.45,12.12,12.29,273500,11.57
2013-03-12,12.42,12.47,12.39,12.46,113600,11.73
2013-03-11,12.44,12.44,12.39,12.44,65600,11.71
2013-03-08,12.47,12.47,12.41,12.43,42300,11.70
2013-03-07,12.47,12.54,12.40,12.42,78100,11.69
2013-03-06,12.42,12.48,12.42,12.44,121300,11.71
2013-03-05,12.42,12.47,12.38,12.42,127700,11.69
2013-03-04,12.40,12.42,12.36,12.40,104100,11.68
2013-03-01,12.40,12.48,12.38,12.42,110900,11.69
2013-02-28,12.45,12.49,12.35,12.44,126700,11.71
2013-02-27,12.47,12.49,12.41,12.43,56400,11.70
2013-02-26,12.52,12.52,12.46,12.47,99600,11.74
2013-02-25,12.61,12.65,12.57,12.57,83900,11.74
2013-02-22,12.52,12.61,12.51,12.61,62800,11.78
