Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,75.26,75.85,74.91,75.85,73600,75.85
2013-10-15,75.57,75.57,74.92,75.26,67000,75.26
2013-10-14,75.57,75.57,75.57,75.57,000,75.57
2013-10-11,75.98,75.98,75.19,75.57,55600,75.57
2013-10-10,75.54,76.27,75.44,75.99,57400,75.99
2013-10-09,75.39,75.44,75.01,75.01,63100,74.75
2013-10-08,74.79,75.72,74.75,75.53,124900,75.27
2013-10-07,74.58,74.87,74.20,74.60,56300,74.34
2013-10-04,74.76,75.00,74.28,74.70,132100,74.44
2013-10-03,74.97,75.13,74.52,74.76,103500,74.50
2013-10-02,73.72,74.88,73.71,74.65,143900,74.39
2013-10-01,74.59,74.78,73.71,73.73,157500,73.47
2013-09-30,74.13,75.25,74.01,74.37,95400,74.11
2013-09-27,74.34,74.76,74.34,74.62,142300,74.36
2013-09-26,74.60,74.71,74.35,74.35,297100,74.09
2013-09-25,75.57,75.57,74.21,74.42,245400,74.16
2013-09-24,74.54,75.56,74.41,75.32,171900,75.06
2013-09-23,74.94,74.94,74.10,74.39,91400,74.13
2013-09-20,76.00,76.20,74.94,75.23,127100,74.97
2013-09-19,76.25,76.52,75.80,76.31,196000,76.05
2013-09-18,76.53,76.55,76.03,76.20,560600,75.94
2013-09-17,76.67,76.68,76.05,76.47,234400,76.20
2013-09-16,76.00,76.71,76.00,76.41,212800,76.15
2013-09-13,76.00,76.33,75.69,76.01,563900,75.75
2013-09-12,78.01,78.49,75.80,75.90,473400,75.64
2013-09-11,82.25,82.25,80.87,81.11,105700,80.83
2013-09-10,83.25,83.29,82.25,82.40,88100,82.11
2013-09-09,82.88,83.25,82.55,83.24,85600,82.95
2013-09-06,81.95,83.18,81.52,82.95,89200,82.66
2013-09-05,82.07,82.24,81.36,81.83,55200,81.55
2013-09-04,82.01,82.24,81.81,81.92,56100,81.64
2013-09-03,81.45,82.53,80.02,82.48,88600,82.19
2013-09-02,81.07,81.07,81.07,81.07,000,80.79
2013-08-30,80.43,81.16,80.33,81.07,66800,80.79
2013-08-29,80.10,80.49,80.09,80.26,17800,79.98
2013-08-28,80.32,80.87,80.01,80.32,42000,80.04
2013-08-27,80.43,80.45,80.01,80.26,51800,79.98
2013-08-26,80.79,81.00,80.45,80.64,37900,80.36
2013-08-23,81.32,81.32,80.27,80.96,28600,80.68
2013-08-22,80.75,80.97,80.33,80.69,48200,80.41
2013-08-21,81.15,81.16,80.26,80.35,51100,80.07
2013-08-20,82.25,82.25,81.22,81.40,32500,81.12
2013-08-19,82.00,82.13,81.65,82.11,53000,81.83
2013-08-16,80.92,82.26,80.40,82.26,76800,81.97
2013-08-15,81.57,81.73,80.59,80.85,93000,80.57
2013-08-14,81.36,82.11,81.00,81.32,104300,81.04
2013-08-13,82.40,82.40,81.00,81.20,88900,80.92
2013-08-12,81.94,82.31,81.90,82.29,52000,82.00
2013-08-09,82.40,82.40,81.64,82.20,126800,81.92
2013-08-08,82.31,82.68,82.00,82.34,140500,82.05
2013-08-07,81.75,82.37,81.64,82.37,127400,82.08
2013-08-06,81.76,82.23,81.47,82.05,189900,81.77
2013-08-05,81.70,81.70,81.70,81.70,000,81.42
2013-08-02,81.51,82.03,80.63,81.70,170800,81.42
2013-08-01,80.70,81.58,80.36,81.39,175700,81.11
2013-07-31,81.22,81.30,79.02,80.73,913100,80.45
2013-07-30,82.29,82.77,81.58,81.69,131500,81.41
2013-07-29,81.22,82.15,80.74,81.98,144300,81.70
2013-07-26,82.24,82.35,80.99,81.15,182700,80.87
2013-07-25,81.85,82.64,81.79,82.00,301200,81.72
2013-07-24,79.01,82.40,79.01,82.12,832200,81.84
2013-07-23,77.85,79.28,77.39,79.10,246400,78.83
2013-07-22,79.09,79.39,77.34,78.03,118700,77.76
2013-07-19,79.27,79.44,79.00,79.14,58200,78.87
2013-07-18,79.72,79.79,78.95,78.97,182800,78.70
2013-07-17,78.77,79.59,78.77,79.55,86900,79.27
2013-07-16,78.77,79.28,78.65,78.76,122500,78.49
2013-07-15,78.67,80.47,78.17,78.70,250300,78.43
2013-07-12,79.53,79.64,78.06,78.75,56900,78.48
2013-07-11,78.25,79.87,77.70,79.38,312100,79.10
2013-07-10,79.51,79.75,77.22,78.00,145500,77.47
2013-07-09,80.00,80.00,79.48,79.88,196700,79.34
2013-07-08,79.40,80.40,78.76,80.00,123500,79.46
2013-07-05,80.29,80.29,78.94,79.30,53000,78.76
