Date,Open,High,Low,Close,Volume,Adj Close
2012-04-27,59.55,59.60,58.51,58.76,50700,58.76
2012-04-26,59.73,59.73,58.97,59.37,29600,59.37
2012-04-25,59.01,59.65,58.75,59.58,82100,59.58
2012-04-24,59.39,59.39,58.67,58.99,42300,58.99
2012-04-23,58.51,59.72,58.38,59.14,42000,59.14
2012-04-20,58.92,58.92,58.20,58.52,33000,58.52
2012-04-19,58.51,58.86,58.10,58.73,35200,58.73
2012-04-18,59.15,60.99,58.56,58.84,50000,58.84
2012-04-17,58.78,59.04,58.43,59.02,33900,59.02
2012-04-16,58.88,58.90,58.50,58.60,34600,58.60
2012-04-13,58.39,58.85,58.39,58.62,45400,58.62
2012-04-12,58.02,58.56,57.93,58.35,21900,58.35
2012-04-11,58.49,58.86,58.14,58.14,43400,58.14
2012-04-10,58.04,58.67,57.95,58.26,41400,58.03
2012-04-09,58.22,58.25,57.75,57.98,19000,57.76
2012-04-05,57.86,57.91,57.63,57.75,30000,57.53
2012-04-04,58.00,58.12,57.70,58.12,38000,57.90
2012-04-03,57.87,58.58,57.50,58.00,73400,57.78
2012-04-02,57.60,58.06,57.32,58.06,33900,57.84
2012-03-30,57.72,57.92,57.44,57.60,95400,57.38
2012-03-29,57.50,57.85,56.99,57.68,27900,57.46
2012-03-28,58.06,58.22,57.53,57.53,44800,57.31
2012-03-27,56.95,57.96,56.84,57.96,93000,57.74
2012-03-26,56.54,57.14,56.54,57.14,20900,56.92
2012-03-23,56.01,56.73,56.01,56.73,15000,56.51
2012-03-22,56.19,56.24,55.97,56.00,17300,55.78
2012-03-21,56.00,56.40,56.00,56.10,61600,55.88
2012-03-20,55.92,56.25,55.92,56.00,35500,55.78
2012-03-19,55.49,56.35,55.49,56.30,36500,56.08
2012-03-16,55.30,55.50,55.00,55.40,112900,55.19
2012-03-15,56.44,56.44,55.39,55.40,49300,55.19
2012-03-14,56.56,56.58,55.55,55.99,27600,55.77
2012-03-13,57.30,57.59,56.51,56.51,18200,56.29
2012-03-12,57.41,57.69,56.86,57.40,27200,57.18
2012-03-09,57.07,57.65,56.67,57.51,28500,57.29
2012-03-08,57.70,58.50,57.25,57.25,29100,57.03
2012-03-07,56.65,57.70,56.41,57.70,38900,57.48
2012-03-06,56.59,56.69,55.69,56.25,43500,56.03
2012-03-05,56.77,57.00,56.20,56.51,31000,56.29
2012-03-02,56.60,57.31,56.20,56.62,89700,56.40
2012-03-01,56.98,57.32,56.23,56.51,24800,56.29
2012-02-29,56.68,57.24,55.32,56.99,92400,56.77
2012-02-28,55.58,56.60,55.31,56.60,25300,56.38
2012-02-27,55.15,56.07,55.15,55.60,76600,55.39
2012-02-24,55.90,56.09,55.02,55.32,33900,55.11
2012-02-23,56.80,56.80,55.76,55.99,27100,55.77
2012-02-22,55.90,56.80,55.90,56.65,55200,56.43
2012-02-21,56.17,56.70,55.69,55.69,22100,55.47
2012-02-17,55.64,56.25,55.38,56.25,39500,56.03
2012-02-16,56.20,56.29,55.44,55.54,65700,55.33
2012-02-15,56.15,56.36,56.01,56.24,34000,56.02
2012-02-14,55.31,56.07,55.31,56.07,38400,55.85
