Date,Open,High,Low,Close,Volume,Adj Close
1996-04-24,30.50,32.37,30.25,31.88,70200,10.62
1996-04-23,28.75,30.25,28.62,30.25,11400,10.08
1996-04-22,29.50,29.75,28.50,28.62,34500,9.54
1996-04-19,26.88,30.25,26.88,29.25,174900,9.75
1996-04-18,24.38,26.75,24.38,26.75,40500,8.92
1996-04-17,22.88,24.25,22.88,24.12,44100,8.04
1996-04-16,23.00,23.50,22.62,22.88,29400,7.62
1996-04-15,34.63,35.25,34.50,35.00,23400,7.78
1996-04-12,34.75,34.88,34.00,34.50,15800,7.67
1996-04-11,34.50,34.88,34.50,34.63,7200,7.69
1996-04-10,34.50,34.88,34.50,34.75,10800,7.72
1996-04-09,34.50,34.75,34.50,34.50,10800,7.67
1996-04-08,34.75,34.75,34.25,34.63,12200,7.69
1996-04-04,34.88,35.00,34.75,35.00,9900,7.78
1996-04-03,34.25,34.88,34.25,34.88,11700,7.75
1996-04-02,34.13,34.38,34.00,34.13,27900,7.58
1996-04-01,33.75,34.25,33.50,34.13,89100,7.58
1996-03-29,32.00,34.00,32.00,33.62,37800,7.47
1996-03-28,31.75,32.00,31.75,32.00,13000,7.11
1996-03-27,31.50,32.00,31.50,32.00,18000,7.11
1996-03-26,31.25,31.25,31.25,31.25,2700,6.94
1996-03-25,30.87,31.25,30.75,31.25,18900,6.94
1996-03-22,30.13,30.87,30.13,30.87,19800,6.86
1996-03-21,29.75,30.13,29.50,30.13,9000,6.69
1996-03-20,28.62,29.50,28.62,29.50,18900,6.56
1996-03-19,29.00,29.00,28.50,28.75,9900,6.39
1996-03-18,28.50,28.87,28.50,28.87,26100,6.42
1996-03-15,28.12,28.62,28.12,28.37,23000,6.31
1996-03-14,28.00,28.12,27.88,27.88,25200,6.19
1996-03-13,26.75,27.63,26.75,27.63,12600,6.14
1996-03-12,26.50,26.75,26.50,26.75,3600,5.94
1996-03-11,26.37,26.62,26.37,26.37,15800,5.86
1996-03-08,27.13,27.13,26.62,26.62,9000,5.92
1996-03-07,27.50,27.63,27.38,27.63,2700,6.14
1996-03-06,28.00,28.00,27.50,27.75,9900,6.17
1996-03-05,28.25,28.25,28.25,28.25,1800,6.28
1996-03-04,28.37,28.37,28.00,28.00,11700,6.22
1996-03-01,28.62,28.62,28.37,28.50,4500,6.33
1996-02-28,28.87,28.87,28.50,28.62,21600,6.36
1996-02-27,28.87,29.00,28.75,28.75,13500,6.39
1996-02-26,28.62,28.75,28.62,28.75,6300,6.39
1996-02-23,28.50,28.75,28.50,28.75,8100,6.39
1996-02-22,28.75,28.75,28.50,28.75,1800,6.39
1996-02-21,28.50,28.75,28.50,28.75,6300,6.39
1996-02-20,27.88,28.75,27.88,28.75,9400,6.39
1996-02-16,27.88,28.00,27.88,27.88,2200,6.19
1996-02-15,28.75,28.75,28.00,28.00,34600,6.22
1996-02-14,28.25,28.50,28.25,28.50,6300,6.33
1996-02-13,26.87,28.25,26.87,28.25,34200,6.28
1996-02-12,26.62,27.38,26.62,26.87,7600,5.97
1996-02-09,26.37,26.75,26.37,26.75,8100,5.94
1996-02-08,26.50,26.62,26.25,26.25,35100,5.83
1996-02-07,26.00,26.75,26.00,26.50,50800,5.89
1996-02-06,26.25,26.25,26.00,26.00,2700,5.78
1996-02-01,26.25,26.25,26.12,26.25,3200,5.83
1996-01-31,26.25,26.25,26.25,26.25,5000,5.83
1996-01-30,26.12,26.25,26.12,26.25,3600,5.83
1996-01-29,26.00,26.25,26.00,26.25,5800,5.83
1996-01-26,26.00,26.12,26.00,26.12,9000,5.81
1996-01-25,26.12,26.12,26.00,26.00,26600,5.78
1996-01-24,26.00,26.12,26.00,26.12,6300,5.81
1996-01-23,26.00,26.00,26.00,26.00,48200,5.78
1996-01-22,26.00,26.00,26.00,26.00,3600,5.78
1996-01-19,26.00,26.00,25.75,25.75,6800,5.72
1996-01-18,25.88,25.88,25.63,25.88,4500,5.75
1996-01-17,25.38,25.75,25.38,25.75,5400,5.72
1996-01-16,25.88,25.88,25.63,25.63,10800,5.69
1996-01-15,26.00,26.25,26.00,26.12,9000,5.81
1996-01-12,26.00,26.12,25.75,26.12,18000,5.81
1996-01-11,26.12,26.12,25.88,26.00,5000,5.78
1996-01-10,26.12,26.12,26.00,26.12,18400,5.81
1996-01-09,26.12,26.12,26.00,26.00,18000,5.78
1996-01-08,26.12,26.12,26.12,26.12,5400,5.81
1996-01-05,26.12,26.12,26.00,26.12,10800,5.81
1996-01-04,26.25,26.25,25.75,26.00,38700,5.78
1996-01-03,26.25,26.25,26.12,26.12,7200,5.81
1996-01-02,24.88,26.37,24.88,26.12,28800,5.81
1995-12-29,23.38,25.00,23.38,24.62,45000,5.47
1995-12-28,22.37,23.00,22.13,23.00,22500,5.11
1995-12-27,22.00,22.37,22.00,22.25,27000,4.94
1995-12-26,22.13,22.13,21.62,21.87,6300,4.86
1995-12-22,22.00,22.13,21.87,22.13,3600,4.92
1995-12-20,21.75,22.00,21.62,21.87,9000,4.86
1995-12-19,22.25,22.25,22.00,22.00,39600,4.89
1995-12-18,21.87,22.25,21.87,22.25,5000,4.94
1995-12-15,22.00,22.13,22.00,22.00,5800,4.89
1995-12-14,21.75,21.87,21.75,21.87,400,4.86
1995-12-13,21.50,22.00,21.50,21.75,3200,4.83
1995-12-12,21.62,21.62,21.25,21.25,9900,4.72
1995-12-11,22.37,22.37,21.87,21.87,6300,4.86
1995-12-08,22.88,22.88,22.63,22.63,1800,5.03
1995-12-07,22.88,22.88,22.88,22.88,000,5.08
1995-12-06,22.63,22.88,22.63,22.75,3600,5.06
1995-12-05,23.25,23.25,22.75,22.75,19800,5.06
1995-12-04,23.00,23.25,23.00,23.25,20200,5.17
1995-12-01,20.50,23.13,20.50,23.13,80600,5.14
1995-11-30,20.50,21.00,20.50,20.50,9400,4.56
1995-11-28,21.00,21.00,20.75,20.75,14400,4.61
1995-11-27,21.00,21.00,20.88,20.88,8100,4.64
1995-11-22,21.25,21.38,21.13,21.13,4500,4.69
1995-11-21,21.25,21.50,21.00,21.50,8100,4.78
1995-11-20,21.50,21.50,21.50,21.50,900,4.78
1995-11-17,21.50,21.50,21.50,21.50,1800,4.78
1995-11-16,21.25,21.50,21.25,21.25,5400,4.72
1995-11-15,21.25,21.25,21.00,21.00,1800,4.67
1995-11-14,21.50,21.50,21.38,21.38,11700,4.75
1995-11-10,21.38,21.87,21.38,21.75,9900,4.83
1995-11-09,21.25,21.25,21.25,21.25,1400,4.72
1995-11-08,21.75,21.75,21.50,21.50,1800,4.78
1995-11-07,22.63,22.75,21.87,21.87,41800,4.86
1995-11-06,23.13,23.13,22.88,22.88,7200,5.08
1995-11-03,23.50,23.50,23.13,23.13,2200,5.14
1995-11-02,23.87,23.87,23.38,23.50,12200,5.22
1995-11-01,23.75,24.12,23.75,24.12,3600,5.36
1995-10-31,23.25,23.87,23.25,23.50,14000,5.22
1995-10-30,22.75,23.00,22.75,23.00,13500,5.11
1995-10-27,22.37,22.88,22.25,22.88,9000,5.08
1995-10-26,22.13,22.13,22.13,22.13,2700,4.92
1995-10-25,22.50,22.61,22.13,22.61,7200,5.02
1995-10-24,22.63,22.63,22.63,22.63,1400,5.03
1995-10-23,22.75,22.75,22.75,22.75,4500,5.06
1995-10-20,22.25,22.50,22.25,22.50,9000,5.00
1995-10-19,22.50,22.50,21.87,22.00,19800,4.89
