Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,70.71,71.08,68.21,70.02,479000,70.02
2011-09-23,70.31,71.76,69.29,70.50,563100,70.50
2011-09-22,71.78,72.30,69.55,71.06,367700,71.06
2011-09-21,73.34,75.00,72.22,72.84,495600,72.84
2011-09-20,76.63,77.77,72.01,72.31,385200,72.31
2011-09-19,74.76,77.64,73.93,77.15,218800,77.15
2011-09-16,75.84,76.93,74.77,75.24,354100,75.24
2011-09-15,75.35,75.57,73.73,75.07,266900,75.07
2011-09-14,75.43,75.76,73.49,74.85,209900,74.85
2011-09-13,74.00,75.03,73.34,74.87,235200,74.87
2011-09-12,72.63,73.94,71.11,73.90,290200,73.90
2011-09-09,73.00,74.93,72.34,73.78,285800,73.78
2011-09-08,71.38,76.84,70.60,74.09,886300,74.09
2011-09-07,71.03,72.50,70.86,71.99,560600,71.99
2011-09-06,67.00,69.42,66.10,69.34,287000,69.34
2011-09-02,68.00,72.38,67.15,68.25,409600,68.25
2011-09-01,68.90,70.24,68.39,69.13,229700,69.13
2011-08-31,70.00,70.88,67.92,68.88,323600,68.88
2011-08-30,67.45,70.08,67.00,69.75,339800,69.75
2011-08-29,67.00,68.85,66.26,68.01,215000,68.01
2011-08-26,63.75,66.00,62.60,65.85,207400,65.85
2011-08-25,64.75,65.66,63.34,64.29,248500,64.29
2011-08-24,63.17,64.68,62.80,64.21,299900,64.21
2011-08-23,62.45,63.87,61.33,63.46,404900,63.46
2011-08-22,64.50,64.98,61.26,62.06,307600,62.06
2011-08-19,62.27,66.09,62.01,62.89,395300,62.89
2011-08-18,63.19,64.02,61.64,62.99,436100,62.99
2011-08-17,66.58,67.67,65.09,65.52,266600,65.52
2011-08-16,67.44,68.20,64.56,66.27,249600,66.27
2011-08-15,66.98,68.72,66.39,68.13,325900,68.13
2011-08-12,67.28,68.25,65.64,66.21,354200,66.21
2011-08-11,62.00,67.31,61.00,66.54,739300,66.54
2011-08-10,58.00,64.81,57.90,62.40,1138900,62.40
2011-08-09,53.51,59.39,53.51,57.90,701300,57.90
2011-08-08,56.73,58.99,53.10,53.57,1193500,53.57
2011-08-05,62.86,64.92,58.67,61.63,759500,61.63
2011-08-04,67.99,67.99,63.68,63.86,785300,63.86
2011-08-03,68.36,69.81,65.54,69.25,404300,68.49
2011-08-02,69.75,70.51,67.27,68.34,475600,67.59
2011-08-01,72.00,72.00,68.68,69.42,438800,68.66
2011-07-29,70.24,73.37,67.50,70.49,1533400,69.72
2011-07-28,62.67,65.13,61.78,63.87,347900,63.17
2011-07-27,63.62,64.03,62.77,63.22,280900,62.53
2011-07-26,63.79,64.96,63.03,64.46,158800,63.75
2011-07-25,63.59,64.56,62.96,63.68,227000,62.98
2011-07-22,64.37,66.40,63.81,64.42,386000,63.71
2011-07-21,64.09,65.23,62.76,63.54,306200,62.84
