Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,47.88,48.11,47.82,48.03,225300,48.03
2013-01-08,47.70,47.83,47.38,47.57,182100,47.57
2013-01-07,47.75,47.90,47.68,47.80,134900,47.80
2013-01-04,47.41,47.79,47.30,47.70,129700,47.70
2013-01-03,47.40,47.80,47.24,47.50,175100,47.50
2013-01-02,47.13,47.49,46.88,47.48,112100,47.48
2012-12-31,45.93,46.67,45.91,46.64,72000,46.64
2012-12-28,45.63,46.00,45.58,45.82,133000,45.82
2012-12-27,45.65,45.78,45.40,45.68,57500,45.68
2012-12-26,45.56,45.91,45.54,45.60,48500,45.60
2012-12-24,45.21,45.32,45.06,45.17,36600,45.17
2012-12-21,45.05,45.19,44.87,45.17,63400,45.17
2012-12-20,46.24,46.42,46.00,46.42,26800,45.73
2012-12-19,46.19,46.37,46.04,46.07,37700,45.38
2012-12-18,45.71,46.24,45.71,46.20,34900,45.51
2012-12-17,45.75,45.98,45.72,45.98,73300,45.29
2012-12-14,45.53,45.75,45.44,45.62,100600,44.94
2012-12-13,45.46,45.56,45.13,45.26,84200,44.58
2012-12-12,45.56,45.75,45.38,45.46,41600,44.78
2012-12-11,45.12,45.41,44.97,45.37,164900,44.69
2012-12-10,45.04,45.26,44.98,45.24,45000,44.56
2012-12-07,45.00,45.15,44.87,45.03,108800,44.36
2012-12-06,44.86,45.00,44.76,44.96,49000,44.29
2012-12-05,44.72,44.95,44.64,44.70,365400,44.03
2012-12-04,44.34,44.60,44.32,44.40,227700,43.74
2012-12-03,44.36,44.38,44.13,44.13,88900,43.47
2012-11-30,44.03,44.16,43.93,43.97,458600,43.31
2012-11-29,43.73,44.07,43.73,44.02,139900,43.36
2012-11-28,43.36,43.75,43.27,43.72,33200,43.07
2012-11-27,43.74,43.84,43.56,43.60,20600,42.95
2012-11-26,43.62,43.79,43.52,43.78,15400,43.13
2012-11-23,43.38,43.68,43.38,43.61,19200,42.96
2012-11-21,43.07,43.07,42.83,42.89,18500,42.25
2012-11-20,43.00,43.19,42.94,43.12,29000,42.48
2012-11-19,43.11,43.34,43.10,43.26,44200,42.61
2012-11-16,42.83,42.95,42.54,42.85,54900,42.21
2012-11-15,42.79,42.98,42.69,42.82,65700,42.18
2012-11-14,43.27,43.27,42.50,42.54,182000,41.90
2012-11-13,43.18,43.42,43.00,43.19,20600,42.55
2012-11-12,43.72,43.80,43.57,43.71,31600,43.06
2012-11-09,43.47,43.89,43.42,43.49,16800,42.84
2012-11-08,43.60,43.74,43.20,43.35,19200,42.70
2012-11-07,43.71,43.75,43.30,43.51,47800,42.86
2012-11-06,43.83,44.16,43.72,43.96,58200,43.30
2012-11-05,43.35,43.67,43.30,43.59,36600,42.94
2012-11-02,43.88,43.92,43.29,43.43,22000,42.78
2012-11-01,43.65,43.83,43.62,43.77,154900,43.12
2012-10-31,43.21,43.40,42.91,43.15,66600,42.51
2012-10-26,43.58,43.58,43.22,43.44,36500,42.79
2012-10-25,44.17,44.20,43.82,43.99,17700,43.33
2012-10-24,44.26,44.26,43.92,43.98,60700,43.32
2012-10-23,43.87,43.89,43.62,43.77,66400,43.12
2012-10-22,44.36,44.52,44.24,44.40,69200,43.74
2012-10-19,44.55,44.55,43.98,44.07,24900,43.41
2012-10-18,44.91,44.99,44.59,44.75,25300,44.08
2012-10-17,44.72,45.10,44.72,44.98,29800,44.31
2012-10-16,44.73,44.85,44.45,44.72,38900,44.05
2012-10-15,44.33,44.55,44.20,44.39,37200,43.73
2012-10-12,44.19,44.45,43.95,44.13,15400,43.47
2012-10-11,44.31,44.58,44.29,44.34,21200,43.68
2012-10-10,44.25,44.28,43.87,43.98,22700,43.32
2012-10-09,44.38,44.39,44.05,44.16,15000,43.50
2012-10-08,44.40,44.52,44.29,44.40,21600,43.74
2012-10-05,45.24,45.24,44.72,44.84,60100,44.17
2012-10-04,44.75,45.09,44.75,44.92,45500,44.25
2012-10-03,44.88,44.90,44.64,44.75,45000,44.08
2012-10-02,45.12,45.21,44.65,44.84,69200,44.17
2012-10-01,44.85,45.18,44.80,44.96,231900,44.29
2012-09-28,44.45,44.45,44.08,44.45,32300,43.79
2012-09-27,44.20,44.62,44.09,44.32,59900,43.66
2012-09-26,43.96,43.96,43.72,43.83,56600,43.18
2012-09-25,44.89,45.00,44.24,44.26,41900,43.60
2012-09-24,44.68,44.86,44.61,44.83,26800,44.16
2012-09-21,45.01,45.27,44.78,44.85,21500,44.18
2012-09-20,44.59,44.77,44.44,44.71,30500,44.04
2012-09-19,44.78,44.93,44.72,44.86,18300,44.19
2012-09-18,44.60,44.77,44.60,44.69,10900,44.02
2012-09-17,44.69,44.88,44.61,44.69,43200,44.02
2012-09-14,44.73,45.19,44.73,44.90,36000,44.23
2012-09-13,43.75,45.04,43.67,44.79,53300,44.12
2012-09-12,43.72,43.97,43.70,43.91,20500,43.25
2012-09-11,43.53,43.75,43.28,43.65,13800,43.00
2012-09-10,43.39,43.63,43.25,43.28,21300,42.63
2012-09-07,43.18,43.61,43.18,43.61,26600,42.96
2012-09-06,42.61,43.22,42.53,43.18,94400,42.54
2012-09-05,42.11,42.49,42.11,42.45,80000,41.82
2012-09-04,42.49,42.50,42.11,42.34,21000,41.71
2012-08-31,42.12,42.37,41.89,42.23,21400,41.60
2012-08-30,42.16,42.16,41.78,41.82,295500,41.20
2012-08-29,42.43,42.43,42.09,42.28,37100,41.65
2012-08-28,42.34,42.53,42.24,42.26,140800,41.63
2012-08-27,42.86,42.86,42.61,42.62,27500,41.98
2012-08-24,43.06,43.13,42.74,43.02,11700,42.38
2012-08-23,43.13,43.13,42.82,42.88,32000,42.24
2012-08-22,42.81,43.24,42.76,43.23,10900,42.58
2012-08-21,43.41,43.42,43.02,43.11,20000,42.47
2012-08-20,42.84,43.07,42.76,43.01,11200,42.37
2012-08-17,43.12,43.12,42.79,42.94,17400,42.30
2012-08-16,43.00,43.29,42.91,43.12,37700,42.48
2012-08-15,42.63,42.84,42.62,42.79,36200,42.15
2012-08-14,42.95,42.99,42.70,42.76,31900,42.12
2012-08-13,42.80,43.00,42.63,42.80,14600,42.16
2012-08-10,42.74,43.19,42.74,43.19,53700,42.55
2012-08-09,42.72,43.17,42.70,43.00,26600,42.36
2012-08-08,42.71,42.92,42.62,42.80,8400,42.16
2012-08-07,42.62,43.01,42.51,42.71,69500,42.07
2012-08-06,42.19,42.77,42.19,42.66,76300,42.02
2012-08-03,41.94,42.50,41.94,42.40,40300,41.77
2012-08-02,41.21,41.57,41.06,41.23,63400,40.61
2012-08-01,41.71,41.87,41.53,41.62,72600,41.00
2012-07-31,41.66,41.67,41.25,41.28,89600,40.66
2012-07-30,41.36,41.78,41.29,41.77,220800,41.15
2012-07-27,41.42,41.85,40.37,41.71,305500,41.09
2012-07-26,41.13,41.38,40.97,41.26,14600,40.64
2012-07-25,40.72,40.86,40.56,40.69,14300,40.08
2012-07-24,40.79,40.80,40.28,40.45,19300,39.85
2012-07-23,40.47,40.72,40.26,40.65,21500,40.04
2012-07-20,41.65,41.65,41.34,41.41,17600,40.79
2012-07-19,41.77,41.97,41.74,41.93,19500,41.30
2012-07-18,41.43,41.97,41.43,41.91,36300,41.28
2012-07-17,41.59,41.92,41.34,41.92,74400,41.29
2012-07-16,41.53,41.64,41.35,41.56,154100,40.94
2012-07-13,41.48,41.88,41.48,41.82,92300,41.20
2012-07-12,41.41,41.55,41.14,41.42,40300,40.80
2012-07-11,41.83,42.03,41.62,41.76,17000,41.14
2012-07-10,42.06,42.21,41.47,41.50,18500,40.88
2012-07-09,41.71,41.96,41.60,41.83,9900,41.21
2012-07-06,42.00,42.12,41.77,41.96,10800,41.33
2012-07-05,42.38,42.62,42.20,42.45,20900,41.82
2012-07-03,42.25,42.71,42.24,42.53,11900,41.90
2012-07-02,41.85,42.53,41.71,41.85,135000,41.23
2012-06-29,41.51,41.69,41.33,41.68,21400,41.06
2012-06-28,40.32,40.45,40.08,40.36,61400,39.76
2012-06-27,40.67,40.81,40.54,40.66,13400,40.05
2012-06-26,40.35,40.56,40.09,40.48,74600,39.88
2012-06-25,40.56,40.56,40.01,40.23,36500,39.63
2012-06-22,40.68,40.81,40.47,40.76,69000,40.15
2012-06-21,41.31,41.33,40.24,40.29,111300,39.69
2012-06-20,41.39,41.56,41.22,41.33,68500,40.71
2012-06-19,40.84,41.63,40.84,41.45,391100,40.83
2012-06-18,40.37,40.73,40.36,40.69,92400,40.08
2012-06-15,40.15,40.59,40.15,40.52,35100,39.92
2012-06-14,40.20,40.46,40.20,40.44,9100,39.48
2012-06-13,40.43,40.61,40.22,40.29,34600,39.33
2012-06-12,40.25,40.53,40.09,40.52,86900,39.55
2012-06-11,40.42,40.58,39.74,39.74,36700,38.79
2012-06-08,39.99,40.32,39.81,40.31,32300,39.35
2012-06-07,40.86,41.15,40.31,40.46,65900,39.50
2012-06-06,39.57,40.32,39.57,40.32,226400,39.36
2012-06-05,38.80,39.09,38.76,39.03,37600,38.10
2012-06-04,38.95,39.16,38.58,38.71,73900,37.79
2012-06-01,39.52,39.59,38.97,39.04,81800,38.11
2012-05-31,40.01,40.32,39.75,40.14,84300,39.18
2012-05-30,40.09,40.09,39.75,39.87,150400,38.92
2012-05-29,40.68,40.82,40.37,40.70,55300,39.73
2012-05-25,39.75,39.87,39.51,39.61,50700,38.67
2012-05-24,40.00,40.05,39.51,39.77,311800,38.82
2012-05-23,40.27,40.48,39.65,40.21,53000,39.25
2012-05-22,41.07,41.22,40.41,40.63,30400,39.66
2012-05-21,40.56,41.09,40.49,40.96,152500,39.98
2012-05-18,40.77,40.88,40.00,40.08,101800,39.13
2012-05-17,41.24,41.24,40.60,40.64,254100,39.67
2012-05-16,41.53,41.60,41.08,41.09,97800,40.11
2012-05-15,42.17,42.18,41.63,41.71,36000,40.72
2012-05-14,42.57,42.57,42.08,42.09,59300,41.09
2012-05-11,43.23,43.49,43.20,43.22,24000,42.19
2012-05-10,43.83,43.88,43.62,43.73,23800,42.69
2012-05-09,43.61,43.84,43.20,43.66,26300,42.62
2012-05-08,44.19,44.32,43.71,44.25,35100,43.20
2012-05-07,44.51,44.73,44.41,44.61,49000,43.55
2012-05-04,44.67,44.91,44.31,44.40,69000,43.34
2012-05-03,45.00,45.15,44.67,44.78,58000,43.71
2012-05-02,44.78,45.11,44.55,45.01,129000,43.94
2012-05-01,44.50,44.85,44.30,44.56,225100,43.50
2012-04-30,44.58,44.60,44.38,44.56,64000,43.50
2012-04-27,44.69,44.79,44.60,44.69,19600,43.63
2012-04-26,44.58,44.91,44.51,44.88,83100,43.81
2012-04-25,44.53,44.85,44.53,44.61,58800,43.55
2012-04-24,44.12,44.43,43.96,43.96,112600,42.91
2012-04-23,44.11,44.11,43.60,44.06,34200,43.01
2012-04-20,44.69,45.04,44.68,44.81,131200,43.74
2012-04-19,44.64,44.83,44.25,44.51,153800,43.45
2012-04-18,44.70,44.75,44.53,44.64,23600,43.58
2012-04-17,44.94,45.19,44.76,45.03,26000,43.96
2012-04-16,45.08,45.19,44.63,44.64,226600,43.58
2012-04-13,45.21,45.21,44.86,44.91,29000,43.84
2012-04-12,44.59,45.45,44.58,45.43,36000,44.35
2012-04-11,44.67,44.69,44.25,44.37,111100,43.31
2012-04-10,44.79,44.79,43.75,43.76,246200,42.72
2012-04-09,44.84,45.03,44.61,44.88,31700,43.81
2012-04-05,44.86,45.21,44.84,45.09,27900,44.02
2012-04-04,45.03,45.03,44.63,44.87,73700,43.80
2012-04-03,45.93,45.93,45.34,45.46,196600,44.38
2012-04-02,45.63,46.32,45.42,46.12,374700,45.02
2012-03-30,45.79,45.95,45.56,45.93,133200,44.84
2012-03-29,45.33,45.38,44.88,45.20,227200,44.12
2012-03-28,46.49,46.49,45.72,45.90,148700,44.81
2012-03-27,46.68,46.70,46.55,46.61,69700,45.50
2012-03-26,46.55,47.02,46.40,47.02,76000,45.90
2012-03-23,46.15,46.40,45.92,46.40,25200,45.29
2012-03-22,46.10,46.10,45.62,45.98,196700,44.88
2012-03-21,46.62,46.73,46.36,46.54,66300,45.43
2012-03-20,46.56,46.63,46.09,46.63,331600,45.52
2012-03-19,47.00,47.33,46.70,47.17,355400,46.05
2012-03-16,47.43,47.59,47.31,47.44,174300,46.31
2012-03-15,46.99,47.39,46.79,47.30,379300,46.17
2012-03-14,47.22,47.35,46.81,46.90,49000,45.78
2012-03-13,46.83,47.49,46.71,47.49,207500,46.36
2012-03-12,46.87,46.87,46.42,46.67,65900,45.56
2012-03-09,47.08,47.30,46.85,47.08,27500,45.96
2012-03-08,46.83,47.06,46.49,46.86,31300,45.74
2012-03-07,45.71,46.08,45.58,46.08,41800,44.98
2012-03-06,45.86,45.86,45.09,45.29,233900,44.21
2012-03-05,47.27,47.29,46.73,46.91,166700,45.79
2012-03-02,47.55,47.69,47.41,47.54,81800,46.41
2012-03-01,47.24,47.68,47.17,47.59,289000,46.46
2012-02-29,47.00,47.53,46.75,46.85,361300,45.73
2012-02-28,46.59,46.90,46.38,46.80,64700,45.69
2012-02-27,46.26,46.46,45.84,46.38,31100,45.28
2012-02-24,46.60,46.79,46.48,46.62,36500,45.51
2012-02-23,46.51,46.78,46.26,46.50,29000,45.39
2012-02-22,46.73,46.80,46.39,46.48,111600,45.37
2012-02-21,46.75,46.95,46.50,46.60,248700,45.49
2012-02-17,46.63,46.63,46.31,46.50,103400,45.39
2012-02-16,45.83,46.44,45.78,46.37,62400,45.27
2012-02-15,46.21,46.51,46.07,46.15,140100,45.05
2012-02-14,45.77,45.89,45.49,45.81,228400,44.72
2012-02-13,45.97,46.15,45.67,46.00,60500,44.90
2012-02-10,45.34,45.55,44.72,45.45,123200,44.37
2012-02-09,46.00,46.15,45.66,46.15,66800,45.05
2012-02-08,45.38,45.74,45.38,45.74,178900,44.65
2012-02-07,44.99,45.14,44.67,44.86,129300,43.79
2012-02-06,44.83,45.11,44.78,45.11,107000,44.04
2012-02-03,45.15,45.41,44.90,45.40,62400,44.32
2012-02-02,44.41,44.67,44.27,44.41,143100,43.35
2012-02-01,43.78,44.39,43.70,44.14,276000,43.09
2012-01-31,42.93,43.12,42.62,43.03,270600,42.01
2012-01-30,42.02,42.50,42.00,42.41,48700,41.40
2012-01-27,42.51,42.89,42.51,42.68,63000,41.66
2012-01-26,42.91,43.10,42.44,42.49,92400,41.48
2012-01-25,41.60,42.74,41.60,42.67,43600,41.65
2012-01-24,41.57,42.00,41.57,42.00,20400,41.00
2012-01-23,41.56,42.14,41.56,41.98,62000,40.98
2012-01-20,41.18,41.58,41.18,41.58,19600,40.59
2012-01-19,41.23,41.58,41.22,41.49,22800,40.50
2012-01-18,40.16,41.19,40.16,41.16,261200,40.18
2012-01-17,40.10,40.25,39.93,40.06,60700,39.11
2012-01-13,39.31,39.46,39.06,39.16,135600,38.23
2012-01-12,39.56,39.82,39.41,39.82,19400,38.87
2012-01-11,39.12,39.61,39.09,39.55,113600,38.61
2012-01-10,39.22,39.52,39.17,39.21,43900,38.28
2012-01-09,38.36,38.68,38.36,38.67,35400,37.75
2012-01-06,38.44,38.44,38.13,38.23,24900,37.32
2012-01-05,38.26,38.61,38.11,38.54,31900,37.62
2012-01-04,38.28,38.59,38.22,38.58,120300,37.66
2012-01-03,38.60,38.77,38.42,38.58,50000,37.66
2011-12-30,37.73,38.08,37.60,37.73,138400,36.83
2011-12-29,37.61,37.82,37.57,37.63,130700,36.73
2011-12-28,37.50,37.56,37.14,37.41,143100,36.52
2011-12-27,37.62,37.86,37.50,37.66,405000,36.76
2011-12-23,37.92,38.15,37.76,37.98,113900,37.08
2011-12-22,37.31,37.90,37.31,37.89,118000,36.99
2011-12-21,37.10,37.50,36.98,37.50,88500,36.61
2011-12-20,36.76,37.32,36.59,37.15,119500,36.27
2011-12-19,36.62,36.67,35.97,36.03,109500,35.17
2011-12-16,37.25,37.32,36.78,37.01,54600,36.13
2011-12-15,39.26,39.26,38.76,38.90,50300,36.09
2011-12-14,39.09,39.21,38.58,38.61,318500,35.82
2011-12-13,39.82,39.99,39.00,39.07,46800,36.25
2011-12-12,39.84,39.85,39.27,39.64,72700,36.78
2011-12-09,40.43,40.98,40.33,40.81,36600,37.86
2011-12-08,40.70,40.90,40.06,40.07,50600,37.18
2011-12-07,41.02,41.57,40.88,41.48,99600,38.49
2011-12-06,40.93,41.63,40.93,41.41,64900,38.42
2011-12-05,41.91,41.98,41.46,41.72,34700,38.71
2011-12-02,41.81,42.02,41.32,41.33,90900,38.35
2011-12-01,41.70,41.83,41.27,41.38,30500,38.39
2011-11-30,41.50,41.88,41.41,41.85,87900,38.83
2011-11-29,39.93,40.26,39.73,39.87,47300,36.99
2011-11-28,40.16,40.16,39.63,39.99,71600,37.10
2011-11-25,38.77,39.24,38.72,38.72,34400,35.92
2011-11-23,39.37,39.39,38.61,38.61,127300,35.82
2011-11-22,40.23,40.23,39.54,39.97,50100,37.08
2011-11-21,40.58,40.73,39.63,40.09,53100,37.20
2011-11-18,42.39,42.39,41.34,41.52,63900,38.52
2011-11-17,42.45,42.65,41.30,41.53,69600,38.53
2011-11-16,42.42,42.84,42.09,42.09,51700,39.05
2011-11-15,42.87,43.43,42.63,43.14,32700,40.03
2011-11-14,43.24,43.33,42.71,42.91,50500,39.81
2011-11-11,43.40,44.10,43.19,43.57,82400,40.42
2011-11-10,43.19,43.19,42.59,42.78,21400,39.69
2011-11-09,43.45,43.58,42.70,42.79,107100,39.70
2011-11-08,44.62,45.06,44.15,45.00,32100,41.75
2011-11-07,44.16,44.48,43.92,44.47,14500,41.26
2011-11-04,44.20,44.31,43.59,44.23,53100,41.04
2011-11-03,44.29,44.77,43.83,44.68,40600,41.45
2011-11-02,43.91,44.21,43.51,44.10,40900,40.92
2011-11-01,42.93,43.27,42.29,42.89,40900,39.79
2011-10-31,44.59,44.59,43.83,43.83,95200,40.67
2011-10-28,44.83,45.47,44.50,45.27,37900,42.00
2011-10-27,45.11,46.17,44.61,45.84,113600,42.53
2011-10-26,43.14,43.32,42.50,43.23,39700,40.11
2011-10-25,42.58,42.95,42.42,42.51,52000,39.44
2011-10-24,42.56,43.46,42.50,43.20,47700,40.08
2011-10-21,42.07,42.24,41.88,42.04,78000,39.00
2011-10-20,41.54,41.66,40.75,41.41,67700,38.42
2011-10-19,42.26,42.53,41.73,41.91,65800,38.88
2011-10-18,41.91,42.87,41.32,42.76,39000,39.67
2011-10-17,42.69,42.72,41.96,42.00,194300,38.97
2011-10-14,42.89,43.15,42.63,42.99,35500,39.89
2011-10-13,42.24,42.61,41.95,42.54,110400,39.47
2011-10-12,42.06,42.91,42.06,42.53,81500,39.46
2011-10-11,40.96,41.51,40.66,41.42,57000,38.43
2011-10-10,40.79,41.28,40.67,41.21,60400,38.23
2011-10-07,40.35,40.41,39.62,39.79,99800,36.92
2011-10-06,39.46,40.27,39.15,40.19,90000,37.29
2011-10-05,38.80,39.56,38.45,39.46,86100,36.61
2011-10-04,37.93,38.73,37.42,38.69,182100,35.90
2011-10-03,38.85,39.22,38.01,38.01,859700,35.27
2011-09-30,40.13,40.40,38.76,38.82,2692800,36.02
2011-09-29,41.09,41.42,40.26,40.72,88800,37.78
2011-09-28,41.11,41.34,40.29,40.42,117300,37.50
2011-09-27,41.74,42.27,41.34,41.38,75200,38.39
2011-09-26,40.13,40.63,39.61,40.56,89300,37.63
2011-09-23,40.23,41.16,40.23,41.16,202100,38.19
2011-09-22,41.14,41.24,39.90,40.43,79400,37.51
