Date,Open,High,Low,Close,Volume,Adj Close
2013-01-08,2.90,2.90,2.88,2.88,9400,2.88
2013-01-07,3.05,3.14,2.91,2.93,31600,2.93
2013-01-04,2.78,3.07,2.71,3.00,33800,3.00
2013-01-03,2.80,2.80,2.64,2.75,22300,2.75
2013-01-02,2.64,2.81,2.48,2.77,73900,2.77
2012-12-31,2.51,2.66,2.41,2.53,28200,2.53
2012-12-28,2.60,2.72,2.44,2.46,52100,2.46
2012-12-27,2.60,2.72,2.57,2.59,20400,2.59
2012-12-26,2.70,2.70,2.59,2.61,12900,2.61
2012-12-24,2.80,2.80,2.65,2.65,28600,2.65
2012-12-21,2.72,2.84,2.58,2.84,173700,2.84
2012-12-20,2.67,2.72,2.59,2.72,20900,2.72
2012-12-19,2.72,2.72,2.64,2.69,25300,2.69
2012-12-18,2.62,2.75,2.54,2.73,22900,2.73
2012-12-17,2.52,2.67,2.52,2.66,17000,2.66
2012-12-14,2.40,2.54,2.37,2.54,30000,2.54
2012-12-13,2.62,2.62,2.39,2.46,49000,2.46
2012-12-12,2.73,2.79,2.62,2.62,32700,2.62
2012-12-11,2.73,2.77,2.56,2.74,34700,2.74
2012-12-10,2.68,2.73,2.58,2.68,35100,2.68
2012-12-07,2.50,2.74,2.48,2.68,33500,2.68
2012-12-06,2.54,2.54,2.43,2.50,22800,2.50
2012-12-05,2.42,2.55,2.29,2.49,73600,2.49
2012-12-04,2.25,2.41,2.20,2.38,27900,2.38
2012-12-03,2.30,2.30,2.14,2.25,24400,2.25
2012-11-30,2.12,2.38,2.02,2.32,106200,2.32
2012-11-29,2.12,2.12,2.02,2.10,17100,2.10
2012-11-28,1.97,2.12,1.97,2.08,29300,2.08
2012-11-27,2.00,2.01,1.98,1.98,274200,1.98
2012-11-26,2.01,2.01,1.92,1.99,42600,1.99
2012-11-23,2.02,2.02,1.99,2.00,8500,2.00
2012-11-21,2.11,2.11,1.96,1.98,21000,1.98
2012-11-20,1.99,2.10,1.66,2.10,330500,2.10
2012-11-19,2.01,2.01,1.89,1.98,70700,1.98
2012-11-16,1.95,2.06,1.80,2.00,181900,2.00
2012-11-15,2.10,2.10,1.92,1.98,52000,1.98
2012-11-14,2.02,2.15,2.00,2.04,42400,2.04
2012-11-13,2.19,2.29,1.80,1.98,235100,1.98
2012-11-12,2.30,2.56,2.29,2.41,118800,2.41
2012-11-09,2.31,2.34,2.21,2.27,30700,2.27
2012-11-08,2.46,2.46,2.35,2.35,25500,2.35
2012-11-07,2.57,2.62,2.40,2.47,39300,2.47
2012-11-06,2.63,2.65,2.58,2.65,10100,2.65
2012-11-05,2.66,2.66,2.46,2.61,58800,2.61
2012-11-02,2.83,2.83,2.62,2.65,42500,2.65
2012-11-01,2.85,2.87,2.76,2.81,34400,2.81
2012-10-31,2.80,2.95,2.80,2.86,40000,2.86
2012-10-26,2.93,2.94,2.77,2.87,8300,2.87
2012-10-25,2.91,3.00,2.88,2.90,12400,2.90
2012-10-24,3.06,3.06,2.82,2.85,41400,2.85
2012-10-23,3.08,3.08,2.97,3.01,15700,3.01
2012-10-22,3.15,3.15,3.05,3.08,35900,3.08
2012-10-19,3.27,3.27,3.10,3.12,22800,3.12
2012-10-18,3.44,3.44,3.27,3.31,12500,3.31
2012-10-17,3.32,3.43,3.26,3.42,54800,3.42
2012-10-16,3.31,3.34,3.28,3.30,4800,3.30
2012-10-15,3.29,3.30,3.19,3.26,15600,3.26
2012-10-12,3.14,3.27,3.14,3.25,21800,3.25
2012-10-11,3.28,3.37,3.14,3.18,31400,3.18
2012-10-10,3.40,3.40,3.20,3.21,184000,3.21
2012-10-09,3.32,3.40,3.15,3.38,27800,3.38
2012-10-08,3.32,3.47,3.30,3.36,10400,3.36
2012-10-05,3.38,3.47,3.30,3.38,38400,3.38
2012-10-04,3.34,3.51,3.31,3.41,42900,3.41
2012-10-03,3.44,3.44,3.29,3.29,22900,3.29
2012-10-02,3.47,3.50,3.40,3.41,15300,3.41
2012-10-01,3.48,3.54,3.37,3.46,16000,3.46
2012-09-28,3.36,3.52,3.36,3.50,34400,3.50
2012-09-27,3.53,3.53,3.34,3.41,55300,3.41
2012-09-26,3.51,3.55,3.49,3.50,23300,3.50
2012-09-25,3.84,3.84,3.50,3.53,92500,3.53
2012-09-24,3.85,3.90,3.75,3.79,74400,3.79
2012-09-21,4.02,4.02,3.81,3.82,49400,3.82
2012-09-20,3.99,4.01,3.86,3.92,20500,3.92
2012-09-19,4.14,4.14,3.88,3.99,63200,3.99
2012-09-18,4.01,4.13,4.01,4.10,122400,4.10
2012-09-17,4.22,4.22,4.03,4.06,31300,4.06
2012-09-14,4.08,4.11,4.00,4.11,61600,4.11
2012-09-13,3.96,4.13,3.76,4.06,35100,4.06
2012-09-12,3.87,3.96,3.87,3.94,21100,3.94
2012-09-11,3.85,3.88,3.72,3.86,32600,3.86
2012-09-10,3.91,3.91,3.90,3.90,9700,3.90
2012-09-07,4.00,4.00,3.90,3.96,30800,3.96
2012-09-06,3.80,4.00,3.75,3.95,45600,3.95
2012-09-05,3.70,3.80,3.65,3.78,25200,3.78
2012-09-04,3.70,3.74,3.54,3.67,47000,3.67
2012-08-31,3.74,3.74,3.58,3.70,30100,3.70
2012-08-30,3.78,3.78,3.68,3.70,18600,3.70
2012-08-29,3.88,3.88,3.75,3.80,15800,3.80
2012-08-28,3.67,3.90,3.67,3.86,43100,3.86
2012-08-27,3.55,3.75,3.55,3.66,440000,3.66
2012-08-24,3.49,3.56,3.49,3.55,17000,3.55
2012-08-23,3.50,3.52,3.48,3.51,120500,3.51
2012-08-22,3.58,3.58,3.50,3.52,27200,3.52
2012-08-21,3.63,3.64,3.56,3.57,35200,3.57
2012-08-20,3.63,3.68,3.58,3.60,52600,3.60
2012-08-17,3.50,3.67,3.48,3.64,172900,3.64
2012-08-16,3.53,3.66,3.43,3.49,253700,3.49
2012-08-15,3.62,3.90,2.92,3.50,869200,3.50
2012-08-14,4.32,4.44,4.32,4.36,52400,4.36
2012-08-13,4.54,4.61,4.36,4.44,26000,4.44
2012-08-10,4.57,4.58,4.51,4.54,12400,4.54
2012-08-09,4.50,4.60,4.50,4.55,30800,4.55
2012-08-08,4.53,4.60,4.51,4.52,18000,4.52
2012-08-07,4.62,4.65,4.55,4.57,73000,4.57
2012-08-06,4.65,4.66,4.50,4.58,46400,4.58
2012-08-03,4.47,4.67,4.47,4.63,21700,4.63
2012-08-02,4.35,4.47,4.35,4.42,28300,4.42
2012-08-01,4.40,4.44,4.32,4.32,48700,4.32
2012-07-31,4.46,4.52,4.38,4.41,35800,4.41
2012-07-30,4.49,4.53,4.42,4.49,5400,4.49
2012-07-27,4.47,4.50,4.43,4.47,41500,4.47
2012-07-26,4.40,4.53,4.40,4.47,19100,4.47
2012-07-25,4.40,4.44,4.36,4.36,19200,4.36
2012-07-24,4.49,4.49,4.36,4.39,16800,4.39
2012-07-23,4.56,4.56,4.36,4.45,54000,4.45
2012-07-20,4.62,4.64,4.50,4.63,112400,4.63
2012-07-19,4.67,4.69,4.56,4.67,46200,4.67
2012-07-18,4.60,4.69,4.55,4.63,32700,4.63
2012-07-17,4.57,4.60,4.47,4.59,32400,4.59
