Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,21.50,21.50,21.50,21.50,000,21.50
2013-10-15,21.50,21.50,21.50,21.50,000,21.50
2013-10-14,21.50,21.50,21.50,21.50,100,21.50
2013-10-11,20.80,20.80,20.80,20.80,1200,20.80
2013-10-10,20.20,20.20,20.20,20.20,1000,20.20
2013-10-09,20.50,20.50,20.50,20.50,1500,20.50
2013-10-08,20.75,20.75,20.75,20.75,1200,20.75
2013-10-07,21.50,21.50,21.50,21.50,000,21.50
2013-10-04,21.50,21.50,21.50,21.50,000,21.50
2013-10-03,20.00,21.50,20.00,21.50,3900,21.50
2013-10-02,19.65,19.65,19.65,19.65,1500,19.65
2013-10-01,19.70,19.70,19.65,19.65,1000,19.65
2013-09-30,19.65,20.15,19.65,20.15,5100,20.15
2013-09-27,19.65,19.65,19.65,19.65,100,19.65
2013-09-26,20.00,20.00,20.00,20.00,500,20.00
2013-09-25,20.00,20.00,20.00,20.00,100,20.00
2013-09-24,19.65,19.65,19.65,19.65,000,19.65
2013-09-23,19.65,19.65,19.65,19.65,000,19.65
2013-09-20,19.65,19.65,19.65,19.65,000,19.65
2013-09-19,19.65,19.65,19.65,19.65,000,19.65
2013-09-18,19.65,19.65,19.65,19.65,000,19.65
2013-09-17,19.65,19.65,19.65,19.65,000,19.65
2013-09-16,19.79,19.79,19.65,19.65,300,19.65
2013-09-13,20.00,20.00,20.00,20.00,000,20.00
2013-09-12,20.00,20.00,20.00,20.00,000,20.00
2013-09-11,20.00,20.00,20.00,20.00,2100,20.00
2013-09-10,20.00,20.00,20.00,20.00,200,20.00
2013-09-09,20.00,20.00,20.00,20.00,000,20.00
2013-09-06,20.00,20.00,20.00,20.00,000,20.00
2013-09-05,20.00,20.00,20.00,20.00,000,20.00
2013-09-04,20.00,20.00,20.00,20.00,000,20.00
2013-09-03,20.00,20.00,20.00,20.00,000,20.00
2013-08-30,20.00,20.00,20.00,20.00,000,20.00
2013-08-29,20.00,20.00,20.00,20.00,000,20.00
2013-08-28,20.00,20.00,20.00,20.00,000,20.00
2013-08-27,20.00,20.00,20.00,20.00,000,20.00
2013-08-26,20.00,20.00,20.00,20.00,000,20.00
2013-08-23,20.00,20.00,20.00,20.00,000,20.00
2013-08-22,20.00,20.00,20.00,20.00,000,20.00
2013-08-21,19.99,20.00,19.99,20.00,1200,20.00
2013-08-20,19.90,19.90,19.90,19.90,1000,19.90
2013-08-19,19.65,19.90,19.65,19.90,700,19.90
2013-08-16,19.92,19.99,19.92,19.99,400,19.99
2013-08-15,19.65,19.65,19.65,19.65,400,19.65
2013-08-14,19.95,19.95,19.95,19.95,3000,19.95
2013-08-13,19.65,19.65,19.65,19.65,000,19.65
2013-08-12,19.65,19.65,19.65,19.65,000,19.65
2013-08-09,19.65,19.65,19.65,19.65,000,19.65
