Date,Open,High,Low,Close,Volume,Adj Close
2013-10-09,5.50,5.50,5.50,5.50,000,5.50
2013-10-08,5.50,5.50,5.50,5.50,200,5.50
2013-10-07,5.49,5.49,5.49,5.49,000,5.49
2013-10-04,5.48,5.49,5.48,5.49,11700,5.49
2013-10-03,5.49,5.49,5.49,5.49,16000,5.49
2013-10-02,5.49,5.49,5.49,5.49,22800,5.49
2013-10-01,5.59,5.59,5.48,5.48,100900,5.48
2013-09-30,5.48,5.49,5.48,5.48,10100,5.48
2013-09-27,5.47,5.47,5.47,5.47,900,5.47
2013-09-26,5.47,5.47,5.47,5.47,000,5.47
2013-09-25,5.46,5.47,5.46,5.47,10600,5.47
2013-09-24,5.47,5.47,5.46,5.46,4600,5.46
2013-09-23,5.47,5.47,5.47,5.47,15800,5.47
2013-09-20,5.47,5.47,5.47,5.47,1600,5.47
2013-09-19,5.49,5.49,5.47,5.47,10700,5.47
2013-09-18,5.47,5.50,5.46,5.49,42600,5.49
2013-09-17,5.48,5.49,5.48,5.49,18400,5.49
2013-09-16,5.47,5.48,5.47,5.48,36000,5.48
2013-09-13,5.46,5.49,5.46,5.47,28800,5.47
2013-09-12,5.46,5.46,5.46,5.46,12600,5.46
2013-09-11,5.46,5.46,5.46,5.46,4600,5.46
2013-09-10,5.46,5.46,5.46,5.46,50900,5.46
2013-09-09,5.46,5.46,5.46,5.46,11400,5.46
2013-09-06,5.46,5.46,5.46,5.46,9000,5.46
2013-09-05,5.46,5.47,5.46,5.46,125900,5.46
2013-09-04,5.46,5.47,5.46,5.47,19200,5.47
2013-09-03,5.46,5.47,5.46,5.46,43800,5.46
2013-08-30,5.46,5.47,5.46,5.47,5000,5.47
2013-08-29,5.46,5.46,5.46,5.46,400,5.46
2013-08-28,5.46,5.46,5.46,5.46,6700,5.46
2013-08-27,5.46,5.48,5.45,5.48,77700,5.48
2013-08-26,5.45,5.45,5.45,5.45,29800,5.45
2013-08-23,5.45,5.46,5.45,5.45,36800,5.45
2013-08-22,5.45,5.45,5.45,5.45,278200,5.45
2013-08-21,5.45,5.45,5.45,5.45,73800,5.45
2013-08-20,5.45,5.46,5.45,5.45,110300,5.45
2013-08-19,5.46,5.46,5.45,5.45,118300,5.45
2013-08-16,5.45,5.47,5.45,5.46,103400,5.46
2013-08-15,5.46,5.50,5.45,5.45,981500,5.45
2013-08-14,4.54,4.54,4.48,4.50,8800,4.50
2013-08-13,4.49,4.50,4.49,4.49,3900,4.49
2013-08-12,4.43,4.43,4.40,4.40,900,4.40
2013-08-09,4.40,4.43,4.40,4.43,2300,4.43
2013-08-08,4.35,4.35,4.35,4.35,8700,4.35
2013-08-07,4.35,4.35,4.33,4.35,2600,4.35
2013-08-06,4.36,4.39,4.32,4.32,2000,4.32
2013-08-02,4.50,4.51,4.45,4.45,2200,4.45
2013-08-01,4.45,4.50,4.45,4.50,1000,4.50
2013-07-31,4.45,4.45,4.45,4.45,13400,4.45
2013-07-30,4.42,4.42,4.38,4.38,2000,4.38
2013-07-29,4.37,4.48,4.27,4.48,9700,4.48
2013-07-26,4.37,4.47,4.37,4.37,5800,4.37
2013-07-25,4.40,4.40,4.37,4.37,3700,4.37
2013-07-24,4.35,4.39,4.35,4.39,2500,4.39
2013-07-23,4.45,4.45,4.26,4.35,11400,4.35
2013-07-22,4.45,4.45,4.40,4.40,3900,4.40
2013-07-19,4.44,4.45,4.44,4.45,3100,4.45
2013-07-18,4.45,4.50,4.45,4.50,2000,4.50
2013-07-17,4.52,4.52,4.45,4.45,2100,4.45
2013-07-16,4.54,4.54,4.54,4.54,000,4.54
2013-07-15,4.50,4.57,4.50,4.54,2700,4.54
2013-07-12,4.50,4.50,4.49,4.50,3900,4.50
2013-07-11,4.54,4.54,4.54,4.54,000,4.54
2013-07-10,4.50,4.54,4.48,4.54,14500,4.54
2013-07-09,4.49,4.50,4.49,4.50,4100,4.50
2013-07-08,4.50,4.50,4.49,4.50,4400,4.50
2013-07-05,4.42,4.50,4.42,4.50,3800,4.50
2013-07-04,4.50,4.50,4.50,4.50,900,4.50
2013-07-03,4.52,4.52,4.50,4.50,1600,4.50
2013-07-02,4.54,4.54,4.52,4.52,5700,4.52
2013-06-28,4.54,4.54,4.53,4.54,2600,4.54
2013-06-27,4.53,4.53,4.50,4.53,12200,4.53
2013-06-26,4.50,4.53,4.50,4.53,5900,4.53
2013-06-25,4.47,4.54,4.47,4.54,7500,4.46
2013-06-24,4.54,4.54,4.54,4.54,1600,4.46
2013-06-21,4.50,4.55,4.50,4.55,6000,4.47
2013-06-20,4.45,4.48,4.45,4.47,8500,4.39
2013-06-19,4.45,4.46,4.45,4.45,2100,4.37
2013-06-18,4.46,4.46,4.45,4.45,4900,4.37
2013-06-17,4.52,4.52,4.46,4.46,4200,4.38
2013-06-14,4.47,4.50,4.46,4.50,7100,4.42
2013-06-13,4.47,4.47,4.45,4.47,9300,4.39
2013-06-12,4.47,4.47,4.47,4.47,600,4.39
2013-06-11,4.46,4.48,4.46,4.46,11000,4.38
2013-06-10,4.53,4.53,4.50,4.50,3000,4.42
2013-06-07,4.60,4.60,4.55,4.55,7100,4.47
2013-06-06,4.60,4.63,4.51,4.51,8800,4.43
2013-06-05,4.61,4.61,4.60,4.60,3400,4.52
2013-06-04,4.62,4.62,4.62,4.62,1800,4.54
2013-06-03,4.65,4.65,4.64,4.64,8600,4.56
2013-05-31,4.70,4.70,4.70,4.70,1500,4.61
2013-05-30,4.70,4.70,4.65,4.65,3400,4.56
2013-05-29,4.69,4.70,4.65,4.70,9200,4.61
2013-05-28,4.70,4.70,4.65,4.70,21300,4.61
2013-05-27,4.65,4.65,4.60,4.62,12000,4.54
2013-05-24,4.70,4.70,4.70,4.70,700,4.61
2013-05-23,4.63,4.68,4.60,4.68,4700,4.59
2013-05-22,4.63,4.66,4.60,4.64,7200,4.56
2013-05-21,4.65,4.65,4.61,4.62,6000,4.54
2013-05-17,4.60,4.60,4.60,4.60,1000,4.52
2013-05-16,4.66,4.66,4.58,4.58,4900,4.50
2013-05-15,4.61,4.74,4.55,4.74,8600,4.65
2013-05-14,4.70,4.70,4.70,4.70,2000,4.61
2013-05-13,4.66,4.70,4.60,4.60,14600,4.52
2013-05-10,4.66,4.66,4.66,4.66,300,4.57
2013-05-09,4.79,4.81,4.71,4.71,4300,4.62
2013-05-08,4.77,4.77,4.68,4.75,21100,4.66
2013-05-07,4.82,4.82,4.82,4.82,3700,4.73
2013-05-06,4.81,4.82,4.81,4.82,5000,4.73
2013-05-03,4.75,4.79,4.75,4.75,3300,4.66
2013-05-02,4.68,4.68,4.68,4.68,000,4.59
2013-05-01,4.60,4.68,4.60,4.68,2800,4.59
2013-04-30,4.65,4.66,4.65,4.65,5300,4.56
2013-04-29,4.79,4.80,4.65,4.65,8300,4.56
2013-04-26,4.79,4.79,4.79,4.79,1200,4.70
2013-04-25,4.71,4.76,4.70,4.76,2800,4.67
2013-04-24,4.74,4.79,4.74,4.79,800,4.70
2013-04-23,4.62,4.65,4.62,4.65,7800,4.56
2013-04-22,4.66,4.69,4.62,4.69,4600,4.60
2013-04-19,4.57,4.70,4.57,4.70,1600,4.61
2013-04-18,4.50,4.58,4.49,4.54,5600,4.46
2013-04-17,4.65,4.65,4.50,4.54,17200,4.46
2013-04-16,4.70,4.70,4.67,4.67,1700,4.58
2013-04-15,4.76,4.77,4.70,4.70,5500,4.61
2013-04-12,4.78,4.78,4.78,4.78,1000,4.69
2013-04-11,4.80,4.80,4.76,4.80,4900,4.71
2013-04-10,4.80,4.80,4.78,4.78,4800,4.69
2013-04-09,4.80,4.84,4.80,4.84,12400,4.75
2013-04-08,4.76,4.76,4.76,4.76,200,4.67
2013-04-05,4.79,4.79,4.70,4.75,21000,4.66
2013-04-04,4.79,4.83,4.79,4.83,600,4.74
2013-04-03,4.85,4.85,4.80,4.80,6400,4.71
2013-04-02,4.92,4.92,4.88,4.88,700,4.79
2013-04-01,4.86,4.92,4.86,4.92,3200,4.83
2013-03-28,4.90,4.92,4.90,4.92,2000,4.83
2013-03-27,4.91,4.91,4.85,4.85,4800,4.76
2013-03-26,4.91,4.93,4.90,4.93,5800,4.84
2013-03-25,4.87,4.95,4.85,4.95,29800,4.78
2013-03-22,4.86,4.86,4.80,4.86,8400,4.69
2013-03-21,4.85,4.85,4.80,4.85,6000,4.68
2013-03-20,4.78,4.87,4.78,4.85,22100,4.68
2013-03-19,4.79,4.79,4.65,4.74,23200,4.58
2013-03-18,4.61,4.74,4.61,4.74,21200,4.58
2013-03-15,4.61,4.64,4.61,4.64,5700,4.48
2013-03-14,4.62,4.65,4.62,4.65,3400,4.49
2013-03-13,4.66,4.70,4.64,4.65,19400,4.49
2013-03-12,4.70,4.74,4.66,4.69,10600,4.53
2013-03-11,4.67,4.70,4.65,4.69,6500,4.53
2013-03-08,4.70,4.80,4.60,4.63,19100,4.47
2013-03-07,4.71,4.71,4.62,4.65,9100,4.49
2013-03-06,4.75,4.75,4.70,4.75,13700,4.58
2013-03-05,4.75,4.75,4.73,4.75,11800,4.58
2013-03-04,4.83,4.85,4.74,4.75,16800,4.58
2013-03-01,4.75,4.85,4.65,4.84,16100,4.67
2013-02-28,4.86,4.86,4.60,4.75,75700,4.58
2013-02-27,4.39,4.90,4.32,4.90,67800,4.73
2013-02-26,4.31,4.39,4.31,4.39,3200,4.24
2013-02-25,4.28,4.35,4.28,4.30,1300,4.15
2013-02-22,4.36,4.40,4.27,4.27,15400,4.12
2013-02-21,4.37,4.44,4.36,4.44,5400,4.29
2013-02-20,4.37,4.37,4.37,4.37,4600,4.22
2013-02-19,4.40,4.47,4.37,4.37,12000,4.22
2013-02-15,4.40,4.44,4.40,4.44,1600,4.29
2013-02-14,4.40,4.47,4.40,4.45,8000,4.30
2013-02-13,4.45,4.45,4.42,4.42,5500,4.27
2013-02-12,4.45,4.50,4.45,4.50,28700,4.34
2013-02-11,4.43,4.47,4.40,4.47,7300,4.31
2013-02-08,4.46,4.46,4.41,4.41,3300,4.26
2013-02-07,4.43,4.48,4.32,4.46,29700,4.31
2013-02-06,4.45,4.48,4.34,4.40,9100,4.25
2013-02-05,4.40,4.45,4.40,4.45,9000,4.30
2013-02-04,4.36,4.40,4.36,4.40,3300,4.25
2013-02-01,4.36,4.40,4.36,4.36,2900,4.21
