Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,9.69,9.71,9.64,9.65,355800,9.65
2013-01-08,9.64,9.73,9.57,9.69,313600,9.69
2013-01-07,9.60,9.62,9.52,9.61,378100,9.61
2013-01-04,9.48,9.59,9.48,9.51,344200,9.51
2013-01-03,9.56,9.64,9.50,9.51,384800,9.51
2013-01-02,9.53,9.60,9.46,9.56,413100,9.56
2012-12-31,9.44,9.53,9.38,9.44,916600,9.44
2012-12-28,9.20,9.35,9.15,9.31,468100,9.31
2012-12-27,9.28,9.32,9.13,9.19,342200,9.19
2012-12-26,9.15,9.35,9.14,9.29,590600,9.29
2012-12-24,9.14,9.18,9.10,9.13,142000,9.13
2012-12-21,9.06,9.15,9.01,9.09,457900,9.09
2012-12-20,9.10,9.10,9.05,9.09,316100,9.09
2012-12-19,9.09,9.10,9.04,9.09,237900,9.09
2012-12-18,9.01,9.08,9.01,9.03,353200,9.03
2012-12-17,9.13,9.15,9.00,9.01,442400,9.01
2012-12-14,9.15,9.15,9.08,9.11,227600,9.11
2012-12-13,9.13,9.15,9.07,9.10,354600,9.10
2012-12-12,9.16,9.23,9.08,9.16,838900,9.16
2012-12-11,9.66,9.78,9.63,9.65,592200,9.02
2012-12-10,9.62,9.66,9.58,9.60,280500,8.98
2012-12-07,9.65,9.69,9.59,9.60,290500,8.98
2012-12-06,9.60,9.70,9.60,9.70,361800,9.07
2012-12-05,9.58,9.63,9.56,9.57,216800,8.95
2012-12-04,9.68,9.68,9.55,9.63,316600,9.00
2012-12-03,9.55,9.70,9.51,9.63,675600,9.00
2012-11-30,9.60,9.60,9.47,9.55,223900,8.93
2012-11-29,9.60,9.61,9.49,9.57,241000,8.95
2012-11-28,9.54,9.60,9.51,9.60,177600,8.98
2012-11-27,9.56,9.57,9.50,9.55,205900,8.93
2012-11-26,9.49,9.57,9.48,9.56,164300,8.94
2012-11-23,9.50,9.54,9.48,9.54,66500,8.92
2012-11-21,9.48,9.50,9.42,9.48,222500,8.86
2012-11-20,9.47,9.49,9.43,9.45,187700,8.84
2012-11-19,9.49,9.50,9.36,9.49,267900,8.87
2012-11-16,9.39,9.48,9.35,9.43,219100,8.82
2012-11-15,9.32,9.45,9.18,9.39,633900,8.78
2012-11-14,9.49,9.50,9.17,9.35,551800,8.74
2012-11-13,9.48,9.51,9.45,9.45,205700,8.84
2012-11-12,9.49,9.53,9.47,9.47,138400,8.82
2012-11-09,9.52,9.53,9.47,9.50,185000,8.85
2012-11-08,9.57,9.59,9.51,9.54,130700,8.89
2012-11-07,9.48,9.55,9.47,9.51,157400,8.86
2012-11-06,9.57,9.57,9.49,9.51,213900,8.86
2012-11-05,9.51,9.57,9.47,9.57,358900,8.92
2012-11-02,9.62,9.62,9.50,9.58,197800,8.92
2012-11-01,9.55,9.64,9.53,9.58,282800,8.92
2012-10-31,9.59,9.60,9.54,9.59,392900,8.93
2012-10-26,9.54,9.56,9.50,9.55,160600,8.90
2012-10-25,9.50,9.55,9.47,9.55,194900,8.90
2012-10-24,9.42,9.50,9.40,9.46,231200,8.81
2012-10-23,9.37,9.45,9.36,9.42,230500,8.78
2012-10-22,9.43,9.53,9.31,9.38,556800,8.74
2012-10-19,9.52,9.54,9.40,9.53,177100,8.88
2012-10-18,9.57,9.60,9.45,9.49,247000,8.84
2012-10-17,9.60,9.60,9.52,9.55,188300,8.90
2012-10-16,9.52,9.60,9.48,9.60,164200,8.94
2012-10-15,9.50,9.54,9.42,9.47,205600,8.82
2012-10-12,9.45,9.50,9.41,9.46,162700,8.78
2012-10-11,9.52,9.56,9.45,9.47,172200,8.79
2012-10-10,9.52,9.55,9.44,9.50,235200,8.82
2012-10-09,9.53,9.55,9.48,9.51,149900,8.83
2012-10-08,9.46,9.59,9.43,9.48,242300,8.80
2012-10-05,9.42,9.49,9.41,9.46,208200,8.78
2012-10-04,9.47,9.50,9.42,9.43,212500,8.75
2012-10-03,9.52,9.52,9.45,9.48,176800,8.80
2012-10-02,9.56,9.57,9.48,9.51,150600,8.83
2012-10-01,9.57,9.60,9.47,9.57,190100,8.88
2012-09-28,9.50,9.57,9.49,9.57,344400,8.88
2012-09-27,9.48,9.50,9.42,9.49,190300,8.81
2012-09-26,9.50,9.52,9.41,9.41,198600,8.73
2012-09-25,9.39,9.57,9.31,9.52,321100,8.84
2012-09-24,9.49,9.53,9.40,9.41,235500,8.73
2012-09-21,9.51,9.58,9.49,9.56,163800,8.87
2012-09-20,9.49,9.55,9.42,9.54,284900,8.85
2012-09-19,9.36,9.51,9.36,9.50,432600,8.82
2012-09-18,9.27,9.39,9.21,9.39,379400,8.72
2012-09-17,9.23,9.32,9.23,9.27,397800,8.60
2012-09-14,9.35,9.37,9.23,9.23,344900,8.57
2012-09-13,9.30,9.40,9.29,9.34,173000,8.67
2012-09-12,9.30,9.36,9.29,9.33,209500,8.66
2012-09-11,9.22,9.33,9.22,9.30,267400,8.60
2012-09-10,9.24,9.25,9.18,9.24,437100,8.54
2012-09-07,9.14,9.26,9.14,9.21,291000,8.52
2012-09-06,9.23,9.30,9.19,9.20,294900,8.51
2012-09-05,9.25,9.36,9.10,9.23,600300,8.53
2012-09-04,9.53,9.57,9.16,9.26,979200,8.56
2012-08-31,9.61,9.61,9.50,9.53,304500,8.81
2012-08-30,9.61,9.61,9.51,9.55,319900,8.83
2012-08-29,9.55,9.61,9.53,9.58,184500,8.86
2012-08-28,9.53,9.59,9.53,9.53,280800,8.81
2012-08-27,9.57,9.60,9.52,9.57,202700,8.85
2012-08-24,9.51,9.59,9.49,9.53,254700,8.81
2012-08-23,9.47,9.53,9.45,9.53,265300,8.81
2012-08-22,9.54,9.57,9.43,9.43,275400,8.72
2012-08-21,9.58,9.62,9.54,9.56,298400,8.84
2012-08-20,9.49,9.58,9.47,9.58,165500,8.86
2012-08-17,9.49,9.50,9.47,9.50,69800,8.78
2012-08-16,9.47,9.51,9.45,9.47,150000,8.76
2012-08-15,9.53,9.54,9.44,9.47,235900,8.76
2012-08-14,9.51,9.58,9.46,9.54,231400,8.78
2012-08-13,9.57,9.60,9.48,9.56,211600,8.80
2012-08-10,9.60,9.63,9.53,9.56,269200,8.80
2012-08-09,9.62,9.64,9.59,9.62,181100,8.85
2012-08-08,9.60,9.65,9.56,9.64,153700,8.87
2012-08-07,9.62,9.62,9.55,9.61,137800,8.84
2012-08-06,9.64,9.64,9.50,9.56,174600,8.80
2012-08-03,9.53,9.60,9.52,9.53,104100,8.77
2012-08-02,9.55,9.55,9.45,9.49,107100,8.73
2012-08-01,9.44,9.58,9.44,9.53,150700,8.77
2012-07-31,9.52,9.52,9.43,9.46,172700,8.71
2012-07-30,9.53,9.54,9.45,9.52,262100,8.76
2012-07-27,9.51,9.58,9.49,9.57,144600,8.81
2012-07-26,9.52,9.52,9.41,9.50,195200,8.74
2012-07-25,9.37,9.47,9.37,9.44,116000,8.69
2012-07-24,9.38,9.45,9.35,9.36,360700,8.61
2012-07-23,9.44,9.47,9.38,9.39,281400,8.64
2012-07-20,9.36,9.50,9.36,9.46,239100,8.71
2012-07-19,9.43,9.44,9.39,9.42,192500,8.67
2012-07-18,9.38,9.43,9.36,9.39,205100,8.64
2012-07-17,9.38,9.42,9.30,9.39,237900,8.64
2012-07-16,9.34,9.35,9.25,9.35,171900,8.60
2012-07-13,9.30,9.34,9.25,9.26,301800,8.52
2012-07-12,9.29,9.40,9.26,9.35,138400,8.56
2012-07-11,9.39,9.47,9.32,9.32,233000,8.54
2012-07-10,9.40,9.44,9.36,9.39,176000,8.60
2012-07-09,9.36,9.41,9.32,9.41,146100,8.62
2012-07-06,9.22,9.38,9.22,9.35,238500,8.56
2012-07-05,9.22,9.30,9.22,9.26,179400,8.48
2012-07-03,9.20,9.31,9.19,9.27,177500,8.49
2012-07-02,9.25,9.25,9.12,9.17,214600,8.40
2012-06-29,9.21,9.25,9.11,9.25,255400,8.47
2012-06-28,9.12,9.19,8.97,9.04,407800,8.28
2012-06-27,9.23,9.26,9.16,9.18,146100,8.41
2012-06-26,9.16,9.29,9.11,9.25,170200,8.47
2012-06-25,9.22,9.24,9.14,9.21,143700,8.43
2012-06-22,9.28,9.32,9.18,9.25,124400,8.47
2012-06-21,9.31,9.32,9.22,9.28,112800,8.50
2012-06-20,9.22,9.34,9.14,9.28,203600,8.50
2012-06-19,9.08,9.21,9.08,9.21,194800,8.43
2012-06-18,9.01,9.10,9.01,9.06,223800,8.30
2012-06-15,9.09,9.17,9.01,9.10,186500,8.33
2012-06-14,9.21,9.21,9.06,9.10,171100,8.33
2012-06-13,9.11,9.25,9.10,9.15,189900,8.38
2012-06-12,9.09,9.23,9.09,9.16,127800,8.35
2012-06-11,9.29,9.38,9.09,9.13,179200,8.32
2012-06-08,9.06,9.41,9.06,9.32,304700,8.49
2012-06-07,9.09,9.18,9.09,9.14,254000,8.33
2012-06-06,9.00,9.14,9.00,9.02,257500,8.22
2012-06-05,8.85,9.02,8.82,9.02,434600,8.22
2012-06-04,8.99,8.99,8.85,8.86,294200,8.07
2012-06-01,8.90,9.03,8.90,9.01,235900,8.21
2012-05-31,9.04,9.05,8.93,9.04,188500,8.24
2012-05-30,9.05,9.05,8.94,9.00,163900,8.20
2012-05-29,9.09,9.17,9.01,9.03,175800,8.23
2012-05-25,9.15,9.21,9.04,9.08,258400,8.27
2012-05-24,9.08,9.10,9.04,9.10,330100,8.29
2012-05-23,9.05,9.13,8.98,9.13,307000,8.32
2012-05-22,9.04,9.11,8.99,9.11,216000,8.30
2012-05-21,8.85,8.99,8.83,8.99,286800,8.19
2012-05-18,8.92,8.94,8.84,8.85,431600,8.07
2012-05-17,9.09,9.10,8.95,9.00,396200,8.20
2012-05-16,9.16,9.18,9.05,9.08,363200,8.27
2012-05-15,9.35,9.36,9.15,9.16,338500,8.35
2012-05-14,9.42,9.44,9.35,9.35,232000,8.52
2012-05-11,9.42,9.50,9.41,9.48,228000,8.60
2012-05-10,9.51,9.52,9.45,9.46,222000,8.58
2012-05-09,9.45,9.55,9.45,9.54,156000,8.65
2012-05-08,9.44,9.54,9.43,9.54,205200,8.65
2012-05-07,9.48,9.56,9.46,9.46,258000,8.58
2012-05-04,9.43,9.50,9.41,9.50,208800,8.62
2012-05-03,9.61,9.68,9.41,9.41,392100,8.54
2012-05-02,9.66,9.70,9.60,9.60,231000,8.71
2012-05-01,9.58,9.69,9.56,9.66,261300,8.76
2012-04-30,9.56,9.60,9.50,9.53,283000,8.64
2012-04-27,9.52,9.62,9.50,9.57,259000,8.68
2012-04-26,9.66,9.70,9.51,9.55,276100,8.66
2012-04-25,9.61,9.70,9.53,9.70,232200,8.80
2012-04-24,9.53,9.62,9.52,9.59,232100,8.70
2012-04-23,9.45,9.57,9.45,9.57,230500,8.68
2012-04-20,9.61,9.62,9.48,9.50,261900,8.62
2012-04-19,9.52,9.57,9.52,9.55,118800,8.66
2012-04-18,9.54,9.58,9.52,9.53,172500,8.64
2012-04-17,9.56,9.60,9.52,9.55,170000,8.66
2012-04-16,9.53,9.60,9.47,9.60,146300,8.71
2012-04-13,9.56,9.58,9.45,9.46,217600,8.58
2012-04-12,9.54,9.65,9.53,9.60,186400,8.71
2012-04-11,9.52,9.61,9.50,9.60,177100,8.67
2012-04-10,9.59,9.59,9.45,9.47,289500,8.55
2012-04-09,9.60,9.64,9.54,9.55,239600,8.62
2012-04-05,9.66,9.69,9.59,9.60,313100,8.67
2012-04-04,9.82,9.82,9.65,9.67,258800,8.73
2012-04-03,9.78,9.88,9.72,9.76,171100,8.81
2012-04-02,9.69,9.85,9.67,9.83,119600,8.87
2012-03-30,9.76,9.82,9.60,9.65,241300,8.71
2012-03-29,9.58,9.72,9.58,9.71,160000,8.77
2012-03-28,9.75,9.82,9.62,9.65,268300,8.71
2012-03-27,9.71,9.88,9.69,9.80,230000,8.85
2012-03-26,9.85,9.85,9.68,9.72,275400,8.77
2012-03-23,9.78,9.86,9.77,9.79,171700,8.84
2012-03-22,9.85,9.90,9.75,9.79,223900,8.84
2012-03-21,9.80,9.93,9.79,9.85,223200,8.89
2012-03-20,9.85,9.86,9.78,9.80,203300,8.85
2012-03-19,9.85,9.92,9.79,9.88,206600,8.92
2012-03-16,9.93,10.01,9.82,9.84,192600,8.88
2012-03-15,10.00,10.01,9.83,9.92,205700,8.96
2012-03-14,9.93,10.10,9.88,9.93,307200,8.96
2012-03-13,10.01,10.10,10.00,10.10,251700,9.08
2012-03-12,10.11,10.12,9.98,9.98,226700,8.97
2012-03-09,10.02,10.12,10.01,10.12,196100,9.10
2012-03-08,10.06,10.08,10.00,10.01,185200,9.00
2012-03-07,9.91,10.00,9.90,10.00,139200,8.99
2012-03-06,9.90,9.96,9.85,9.92,188500,8.92
2012-03-05,10.10,10.10,9.90,9.95,313300,8.94
2012-03-02,10.06,10.09,10.01,10.07,178700,9.05
2012-03-01,10.05,10.10,10.02,10.02,222000,9.01
2012-02-29,10.04,10.07,9.99,10.00,273700,8.99
2012-02-28,10.04,10.05,9.98,9.99,189500,8.98
2012-02-27,10.09,10.14,10.01,10.08,218900,9.06
2012-02-24,10.04,10.12,10.01,10.09,208000,9.07
2012-02-23,9.97,10.00,9.90,10.00,177400,8.99
2012-02-22,9.90,10.01,9.83,9.96,323800,8.95
2012-02-21,9.95,10.04,9.82,9.87,397900,8.87
2012-02-17,9.75,9.95,9.75,9.83,278400,8.83
2012-02-16,9.89,9.95,9.76,9.76,409300,8.77
2012-02-15,9.97,10.06,9.88,9.92,260800,8.92
2012-02-14,10.03,10.06,9.94,9.97,212000,8.96
2012-02-13,10.03,10.13,9.96,10.07,167100,9.05
2012-02-10,9.87,10.05,9.87,9.96,149600,8.95
2012-02-09,9.94,10.19,9.90,9.95,352600,8.90
2012-02-08,9.87,9.96,9.80,9.85,334600,8.81
