Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,27.77,27.84,27.59,27.84,10000,27.84
2013-10-15,28.12,28.12,27.70,27.70,7100,27.70
2013-10-14,27.97,28.17,27.85,28.13,10900,28.13
2013-10-11,27.85,28.13,27.83,28.13,18700,28.13
2013-10-10,27.36,28.02,27.36,28.02,45600,28.02
2013-10-09,26.83,27.01,26.78,26.96,56600,26.96
2013-10-08,26.49,26.63,26.35,26.46,27900,26.46
2013-10-07,26.38,26.59,26.32,26.59,21300,26.59
2013-10-04,26.51,26.89,26.51,26.89,39800,26.89
2013-10-03,26.45,26.47,26.28,26.36,40700,26.36
2013-10-02,26.61,26.69,26.28,26.69,18500,26.69
2013-10-01,26.51,26.80,26.46,26.80,9300,26.80
2013-09-30,26.06,26.50,25.97,26.50,160700,26.50
2013-09-27,26.25,26.26,25.93,26.17,62000,26.17
2013-09-26,26.75,26.83,26.66,26.82,13700,26.82
2013-09-25,26.92,26.92,26.60,26.60,85500,26.60
2013-09-24,27.10,27.40,27.00,27.24,54100,27.24
2013-09-23,26.83,27.09,26.83,27.04,26800,27.04
2013-09-20,27.06,27.06,26.62,26.62,36700,26.62
2013-09-19,26.93,27.17,26.91,27.09,51800,27.09
2013-09-18,26.38,26.99,26.38,26.99,55100,26.99
2013-09-17,26.04,26.06,25.81,25.91,23800,25.91
2013-09-16,26.34,26.48,26.25,26.34,20500,26.34
2013-09-13,26.38,26.45,26.10,26.33,12800,26.33
2013-09-12,25.69,25.75,25.38,25.38,33300,25.38
2013-09-11,26.80,26.91,26.61,26.78,23800,26.78
2013-09-10,27.00,27.35,26.90,27.35,39700,27.35
2013-09-09,26.72,26.97,26.58,26.97,26900,26.97
2013-09-06,26.48,26.81,26.34,26.66,44500,26.66
2013-09-05,25.82,26.00,25.58,25.58,52200,25.58
2013-09-04,25.20,25.68,25.18,25.68,17900,25.68
2013-09-03,25.21,25.47,25.06,25.41,44900,25.41
2013-08-30,24.00,24.06,23.82,24.00,36900,24.00
2013-08-29,24.30,24.30,24.17,24.18,5900,24.18
2013-08-28,24.34,24.48,24.07,24.27,16900,24.27
2013-08-27,24.23,24.46,24.07,24.07,13700,24.07
2013-08-26,24.04,24.44,24.00,24.03,20900,24.03
2013-08-23,23.68,23.80,23.51,23.71,13400,23.71
2013-08-22,22.93,23.75,22.90,23.47,40900,23.47
2013-08-21,22.87,22.91,22.72,22.80,9500,22.80
2013-08-20,22.67,22.92,22.63,22.75,12600,22.75
2013-08-19,22.32,22.52,22.18,22.18,8100,22.18
2013-08-16,22.31,22.66,22.31,22.53,6900,22.53
2013-08-15,22.22,22.22,21.97,21.99,10300,21.99
2013-08-14,22.59,22.59,22.44,22.47,3500,22.47
2013-08-13,22.36,22.57,22.33,22.55,25300,22.55
2013-08-12,22.01,22.06,21.80,22.00,11800,22.00
2013-08-09,22.23,22.34,22.02,22.22,16800,22.22
2013-08-08,22.00,22.39,21.96,22.18,35200,22.18
2013-08-07,22.61,22.61,22.05,22.06,23800,22.06
2013-08-06,23.07,23.10,22.80,22.95,12100,22.95
2013-08-05,23.11,23.24,23.10,23.10,7200,23.10
2013-08-02,23.04,23.17,22.92,23.17,15000,23.17
2013-08-01,22.82,23.00,22.68,23.00,21100,23.00
2013-07-31,22.09,22.29,21.88,22.06,11000,22.06
2013-07-30,21.66,21.66,21.35,21.50,10800,21.50
2013-07-29,22.41,22.41,22.10,22.20,11700,22.20
2013-07-26,22.73,22.97,22.64,22.86,23200,22.86
2013-07-25,22.36,22.41,22.13,22.41,19800,22.41
2013-07-24,21.12,21.12,20.80,20.90,10800,20.90
2013-07-23,21.12,21.20,20.96,21.16,29600,21.16
2013-07-22,21.05,21.24,20.68,21.15,78100,21.15
2013-07-19,21.18,21.18,20.67,20.83,14700,20.83
2013-07-18,20.78,20.78,20.50,20.54,6300,20.54
2013-07-17,20.78,20.78,20.49,20.59,14200,20.59
2013-07-16,20.94,20.94,20.64,20.80,16800,20.80
2013-07-15,21.25,21.25,20.74,21.22,27600,21.22
2013-07-12,21.23,21.34,21.07,21.16,18100,21.16
