Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,7.25,7.25,7.25,7.25,000,7.25
2013-01-08,7.25,7.25,7.25,7.25,000,7.25
2013-01-07,7.25,7.25,7.25,7.25,000,7.25
2013-01-04,7.25,7.25,7.25,7.25,000,7.25
2013-01-03,7.25,7.25,7.25,7.25,000,7.25
2013-01-02,7.25,7.25,7.25,7.25,000,7.25
2012-12-31,7.25,7.25,7.25,7.25,200,7.25
2012-12-28,7.27,7.27,7.27,7.27,000,7.27
2012-12-27,7.27,7.27,7.27,7.27,000,7.27
2012-12-26,7.27,7.27,7.27,7.27,000,7.27
2012-12-24,7.27,7.27,7.27,7.27,000,7.27
2012-12-21,7.27,7.27,7.27,7.27,000,7.27
2012-12-20,7.27,7.27,7.27,7.27,100,7.27
2012-12-19,7.42,7.42,7.42,7.42,000,7.42
2012-12-18,7.42,7.42,7.42,7.42,000,7.42
2012-12-17,7.90,7.90,7.35,7.42,1400,7.42
2012-12-14,8.47,8.47,8.47,8.47,000,8.47
2012-12-13,8.47,8.47,8.47,8.47,000,8.47
2012-12-12,8.47,8.47,8.47,8.47,000,8.47
2012-12-11,8.47,8.47,8.47,8.47,000,8.47
2012-12-10,8.47,8.47,8.47,8.47,200,8.47
2012-12-07,8.15,8.15,8.15,8.15,000,8.15
2012-12-06,8.15,8.15,8.15,8.15,400,8.15
2012-12-05,8.49,8.49,8.49,8.49,200,8.49
2012-12-04,7.60,7.60,7.60,7.60,000,7.60
2012-12-03,7.60,7.60,7.60,7.60,000,7.60
2012-11-30,7.60,7.60,7.60,7.60,200,7.60
2012-11-29,8.32,8.32,8.32,8.32,300,8.32
2012-11-28,7.31,7.31,7.31,7.31,000,7.31
2012-11-27,7.31,7.31,7.31,7.31,000,7.31
2012-11-26,7.31,7.31,7.31,7.31,000,7.31
2012-11-23,7.31,7.31,7.31,7.31,000,7.31
2012-11-21,7.31,7.31,7.31,7.31,000,7.31
2012-11-20,7.31,7.31,7.31,7.31,000,7.31
2012-11-19,7.31,7.31,7.31,7.31,000,7.31
2012-11-16,7.37,7.37,7.28,7.31,400,7.31
2012-11-15,8.45,8.45,8.45,8.45,000,8.45
2012-11-14,8.45,8.45,8.45,8.45,000,8.45
2012-11-13,8.32,8.45,8.32,8.45,300,8.45
2012-11-12,8.43,8.43,8.43,8.43,200,8.43
2012-11-09,7.98,7.98,7.40,7.41,300,7.41
2012-11-08,7.35,7.35,7.35,7.35,000,7.35
2012-11-07,7.35,7.35,7.35,7.35,000,7.35
2012-11-06,8.30,8.30,7.35,7.35,200,7.35
2012-11-05,7.33,7.33,7.33,7.33,000,7.33
2012-11-02,7.33,7.33,7.33,7.33,200,7.33
2012-11-01,7.43,7.43,7.43,7.43,000,7.43
2012-10-31,7.44,7.50,7.32,7.43,1400,7.43
2012-10-26,8.61,8.61,8.61,8.61,000,8.61
2012-10-25,8.61,8.61,8.61,8.61,000,8.61
2012-10-24,8.60,8.61,8.60,8.61,300,8.61
2012-10-23,8.11,9.55,8.11,8.60,600,8.60
2012-10-22,7.87,7.87,7.87,7.87,000,7.87
2012-10-19,7.87,7.87,7.87,7.87,000,7.87
2012-10-18,7.87,7.87,7.87,7.87,000,7.87
2012-10-17,7.87,7.87,7.87,7.87,000,7.87
2012-10-16,7.18,8.43,7.12,7.87,8100,7.87
2012-10-15,7.17,7.17,7.17,7.17,000,7.17
2012-10-12,7.17,7.17,7.17,7.17,000,7.17
2012-10-11,7.17,7.17,7.17,7.17,000,7.17
2012-10-10,7.17,7.17,7.17,7.17,000,7.17
2012-10-09,7.17,7.17,7.17,7.17,000,7.17
2012-10-08,7.17,7.17,7.17,7.17,000,7.17
2012-10-05,7.17,7.17,7.17,7.17,000,7.17
2012-10-04,7.17,7.17,7.17,7.17,000,7.17
2012-10-03,7.17,7.17,7.17,7.17,000,7.17
2012-10-02,7.17,7.17,7.17,7.17,000,7.17
2012-10-01,7.17,7.17,7.17,7.17,000,7.17
2012-09-28,7.17,7.17,7.17,7.17,000,7.17
2012-09-27,7.17,7.17,7.17,7.17,000,7.17
2012-09-26,7.17,7.17,7.17,7.17,000,7.17
2012-09-25,7.17,7.17,7.17,7.17,000,7.17
2012-09-24,7.17,7.17,7.17,7.17,000,7.17
2012-09-21,7.17,7.17,7.17,7.17,000,7.17
2012-09-20,7.17,7.17,7.17,7.17,000,7.17
2012-09-19,7.21,7.21,7.17,7.17,1000,7.17
2012-09-18,7.97,7.97,7.97,7.97,000,7.97
2012-09-17,7.97,7.97,7.97,7.97,000,7.97
2012-09-14,7.97,7.97,7.97,7.97,200,7.97
2012-09-13,7.89,7.99,7.15,7.15,400,7.15
2012-09-12,7.66,7.80,7.66,7.80,400,7.80
2012-09-11,7.65,7.65,7.65,7.65,000,7.65
2012-09-10,7.65,7.65,7.65,7.65,000,7.65
2012-09-07,7.69,7.69,7.08,7.65,2300,7.65
2012-09-06,7.61,7.61,7.10,7.47,1300,7.47
2012-09-05,7.14,7.14,7.14,7.14,000,7.14
2012-09-04,7.14,7.14,7.14,7.14,000,7.14
2012-08-31,7.14,7.14,7.14,7.14,000,7.14
2012-08-30,7.14,7.14,7.14,7.14,000,7.14
2012-08-29,7.14,7.14,7.14,7.14,100,7.14
2012-08-28,7.20,7.20,7.20,7.20,000,7.20
2012-08-27,7.49,7.56,7.20,7.20,13700,7.20
2012-08-24,7.70,7.70,7.20,7.21,1900,7.21
2012-08-23,7.13,7.13,7.13,7.13,000,7.13
2012-08-22,7.13,7.13,7.13,7.13,100,7.13
2012-08-21,7.10,7.10,7.10,7.10,000,7.10
2012-08-20,7.10,7.10,7.10,7.10,000,7.10
2012-08-17,7.10,7.10,7.10,7.10,000,7.10
2012-08-16,7.10,7.10,7.10,7.10,000,7.10
2012-08-15,7.10,7.10,7.10,7.10,000,7.10
2012-08-14,7.10,7.10,7.10,7.10,200,7.10
2012-08-13,7.50,7.50,7.50,7.50,000,7.50
2012-08-10,7.50,7.50,7.50,7.50,000,7.50
2012-08-09,7.50,7.50,7.50,7.50,000,7.50
2012-08-08,7.50,7.50,7.50,7.50,000,7.50
2012-08-07,7.50,7.50,7.50,7.50,000,7.50
2012-08-06,7.55,7.89,7.50,7.50,1700,7.50
2012-08-03,7.05,7.05,7.04,7.04,200,7.04
2012-08-02,7.00,7.00,7.00,7.00,600,7.00
2012-08-01,7.48,7.48,7.48,7.48,000,7.48
2012-07-31,7.48,7.48,7.48,7.48,000,7.48
2012-07-30,7.48,7.48,7.48,7.48,200,7.48
2012-07-27,7.49,7.54,7.49,7.54,3000,7.54
2012-07-26,7.03,7.03,7.03,7.03,000,7.03
