Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,26.00,26.00,26.00,26.00,700,26.00
2011-09-23,26.03,26.03,26.03,26.03,000,26.03
2011-09-22,26.00,26.03,26.00,26.03,700,26.03
2011-09-21,26.07,26.07,26.07,26.07,8800,26.07
2011-09-20,26.20,26.43,26.20,26.28,2800,26.28
2011-09-19,26.45,26.45,26.45,26.45,600,26.45
2011-09-16,26.75,26.75,26.68,26.68,300,26.68
2011-09-15,26.28,26.28,26.26,26.26,600,26.26
2011-09-14,26.75,26.75,26.26,26.46,600,26.46
2011-09-13,26.50,26.50,26.50,26.50,000,26.50
2011-09-12,26.41,26.50,26.41,26.50,200,26.50
2011-09-09,26.76,26.76,26.75,26.75,1500,26.75
2011-09-08,26.76,26.76,26.75,26.76,600,26.76
2011-09-07,26.85,26.85,26.40,26.55,6100,26.55
2011-09-06,26.80,26.80,26.80,26.80,300,26.80
2011-09-02,26.46,27.40,26.46,27.40,500,27.40
2011-09-01,26.69,27.21,26.69,26.92,1100,26.92
2011-08-31,26.55,26.55,26.55,26.55,000,26.55
2011-08-30,26.43,27.06,26.40,26.55,1100,26.55
2011-08-29,27.63,27.65,26.40,26.40,900,26.40
2011-08-26,26.30,26.30,26.30,26.30,000,26.30
2011-08-25,27.62,27.97,26.30,26.30,1200,26.30
2011-08-24,26.75,27.65,26.75,27.65,1000,27.65
2011-08-23,26.77,27.93,26.38,27.58,3000,27.58
2011-08-22,27.30,27.48,26.58,27.48,700,27.48
2011-08-19,27.10,27.29,26.00,26.90,26900,26.90
2011-08-18,27.27,27.27,27.27,27.27,000,27.27
2011-08-17,27.95,28.05,27.27,27.27,1800,27.27
2011-08-16,28.35,28.35,28.35,28.35,000,28.35
2011-08-15,27.43,28.44,27.43,28.35,700,28.35
2011-08-12,27.21,28.95,27.21,27.87,3000,27.87
2011-08-11,27.22,27.39,26.27,27.10,14400,27.10
2011-08-10,27.03,27.12,26.08,26.75,2500,26.75
2011-08-09,27.20,27.35,25.57,27.11,1800,27.11
2011-08-08,27.47,27.50,26.50,26.50,1800,26.50
2011-08-05,27.93,27.93,27.17,27.50,1600,27.50
2011-08-04,27.92,27.92,27.92,27.92,100,27.92
2011-08-03,27.94,28.01,27.84,28.00,3000,28.00
2011-08-02,27.81,27.81,27.81,27.81,100,27.81
2011-08-01,27.72,27.78,27.60,27.60,4700,27.60
2011-07-29,27.63,27.70,27.25,27.62,5000,27.62
2011-07-28,27.00,27.42,27.00,27.13,12700,27.13
2011-07-27,27.66,27.66,26.16,27.00,2400,27.00
2011-07-26,27.83,27.83,27.66,27.66,600,27.66
2011-07-25,27.50,28.00,27.00,27.01,4000,27.01
2011-07-22,27.52,27.52,27.52,27.52,000,27.52
2011-07-21,27.34,27.52,27.34,27.52,500,27.52
2011-07-20,27.00,27.00,27.00,27.00,1700,27.00
2011-07-19,27.21,27.23,26.75,26.77,900,26.77
2011-07-18,26.50,26.90,25.97,25.97,6800,25.97
2011-07-15,26.90,26.90,26.79,26.90,1000,26.90
2011-07-14,26.90,26.90,26.90,26.90,000,26.90
2011-07-13,26.46,26.97,26.46,26.90,2200,26.90
2011-07-12,27.32,27.32,26.50,26.50,1200,26.50
2011-07-11,26.63,27.21,26.63,26.86,600,26.86
2011-07-08,26.92,26.92,26.50,26.50,700,26.50
2011-07-07,26.75,26.93,26.75,26.93,400,26.93
2011-07-06,27.00,27.34,26.98,26.98,1000,26.98
2011-07-05,26.90,26.90,26.49,26.90,2300,26.90
2011-07-01,26.90,26.90,26.90,26.90,1500,26.90
2011-06-30,27.29,27.29,26.90,26.90,3300,26.90
2011-06-29,26.80,27.43,26.80,27.43,1400,27.43
2011-06-28,26.90,27.16,26.75,26.75,900,26.58
2011-06-27,26.78,26.80,26.64,26.80,700,26.63
2011-06-24,26.72,26.72,26.72,26.72,100,26.55
2011-06-23,26.70,26.70,26.70,26.70,100,26.53
2011-06-22,27.02,27.21,26.12,26.70,5800,26.53
2011-06-21,26.81,26.98,26.81,26.98,400,26.81
2011-06-20,26.60,27.00,26.59,26.75,3000,26.58
2011-06-17,26.60,26.60,26.50,26.50,1900,26.33
2011-06-16,27.60,27.60,26.50,26.50,5000,26.33
2011-06-15,27.31,27.37,27.09,27.30,5300,27.13
2011-06-14,28.10,28.10,27.00,27.49,9200,27.32
2011-06-13,27.61,28.35,27.00,27.61,10100,27.43
2011-06-10,27.99,27.99,27.59,27.71,2700,27.53
2011-06-09,27.09,27.92,27.09,27.92,4200,27.74
2011-06-08,27.02,27.02,27.00,27.00,4900,26.83
2011-06-07,27.02,27.02,27.00,27.00,1100,26.83
2011-06-06,27.04,27.04,27.04,27.04,200,26.87
2011-06-03,27.00,27.10,27.00,27.05,1100,26.88
2011-06-02,27.21,27.21,27.00,27.00,3100,26.83
2011-06-01,27.29,27.45,27.29,27.45,2300,27.28
2011-05-31,27.00,27.31,27.00,27.31,400,27.14
2011-05-27,27.00,27.00,27.00,27.00,300,26.83
2011-05-26,27.35,27.35,27.00,27.00,1100,26.83
2011-05-25,27.55,27.55,27.00,27.00,400,26.83
2011-05-24,27.00,27.00,27.00,27.00,1800,26.83
2011-05-23,26.95,27.00,26.95,27.00,1200,26.83
2011-05-20,27.08,27.08,27.08,27.08,000,26.91
2011-05-19,27.68,27.68,27.01,27.08,2000,26.91
2011-05-18,26.96,27.08,26.96,27.00,1900,26.83
2011-05-17,27.03,27.15,27.00,27.15,1600,26.98
2011-05-16,27.40,27.40,27.40,27.40,000,27.23
2011-05-13,27.00,27.68,27.00,27.40,900,27.23
2011-05-12,27.02,27.14,27.00,27.01,1400,26.84
2011-05-11,27.25,27.25,27.25,27.25,000,27.08
2011-05-10,27.04,27.70,26.86,27.25,1700,27.08
2011-05-09,27.07,27.11,26.99,27.07,1100,26.90
2011-05-06,27.00,27.00,27.00,27.00,000,26.83
2011-05-05,26.90,27.00,26.90,27.00,3900,26.83
2011-05-04,26.80,27.00,26.80,26.90,11600,26.73
2011-05-03,27.00,27.05,27.00,27.00,5400,26.83
2011-05-02,27.00,27.00,27.00,27.00,100,26.83
2011-04-29,27.00,27.00,27.00,27.00,1000,26.83
2011-04-28,27.00,27.20,27.00,27.05,1700,26.88
2011-04-27,27.00,27.10,27.00,27.10,1800,26.93
2011-04-26,27.00,27.25,27.00,27.25,3300,27.08
2011-04-25,27.02,27.50,27.00,27.00,900,26.83
2011-04-21,27.50,27.50,27.00,27.00,300,26.83
2011-04-20,27.00,27.42,27.00,27.42,1200,27.25
2011-04-19,27.05,27.06,27.05,27.06,700,26.89
2011-04-18,27.04,27.11,27.04,27.05,1600,26.88
2011-04-15,27.99,27.99,27.74,27.76,800,27.58
2011-04-14,27.91,27.96,27.56,27.56,400,27.38
2011-04-13,27.30,27.30,27.02,27.02,1600,26.85
2011-04-12,27.20,27.22,27.20,27.20,500,27.03
2011-04-11,27.31,27.31,27.30,27.30,400,27.13
2011-04-08,26.91,27.17,26.90,27.17,400,27.00
2011-04-07,27.10,27.10,26.90,27.00,28300,26.83
2011-04-06,27.00,27.00,26.75,26.96,12200,26.79
2011-04-05,26.62,27.22,26.62,27.22,500,27.05
2011-04-04,25.95,27.18,25.84,26.51,2600,26.34
2011-04-01,27.30,27.30,27.30,27.30,000,27.13
2011-03-31,27.84,27.84,27.01,27.30,1700,27.13
2011-03-30,27.50,28.03,27.50,28.03,500,27.85
2011-03-29,27.50,28.00,27.50,27.80,900,27.45
2011-03-28,27.18,28.00,27.10,27.48,1300,27.14
2011-03-25,28.90,28.92,27.99,28.25,1500,27.90
2011-03-24,27.80,28.90,27.33,28.89,6400,28.53
2011-03-23,29.03,29.03,27.29,27.29,3900,26.95
2011-03-22,29.17,29.18,27.04,29.13,1600,28.77
2011-03-21,27.00,27.00,27.00,27.00,000,26.66
2011-03-18,28.79,28.80,27.00,27.00,4500,26.66
2011-03-17,28.70,28.70,28.70,28.70,000,28.34
2011-03-16,28.81,28.81,28.62,28.70,1800,28.34
2011-03-15,29.00,29.00,28.67,28.98,1800,28.62
2011-03-14,29.18,29.20,28.75,28.75,500,28.39
2011-03-11,29.20,29.20,29.00,29.00,500,28.64
2011-03-10,28.95,28.95,28.95,28.95,000,28.59
2011-03-09,28.94,28.95,28.94,28.95,1600,28.59
2011-03-08,28.95,28.95,28.95,28.95,000,28.59
2011-03-07,28.95,28.95,28.95,28.95,000,28.59
2011-03-04,28.95,29.20,28.90,28.95,6600,28.59
2011-03-03,28.92,28.92,28.90,28.90,1500,28.54
2011-03-02,28.92,28.92,28.90,28.92,300,28.56
2011-03-01,28.90,28.92,28.90,28.91,400,28.55
2011-02-28,29.00,29.00,28.95,28.95,400,28.59
2011-02-25,29.18,29.20,29.18,29.19,300,28.83
2011-02-24,28.97,28.99,28.97,28.99,600,28.63
2011-02-23,29.00,29.00,29.00,29.00,100,28.64
2011-02-22,29.08,29.16,29.08,29.16,2100,28.80
2011-02-18,28.96,29.15,28.96,29.02,5300,28.66
2011-02-17,28.88,28.93,28.88,28.93,1300,28.57
2011-02-16,28.88,29.00,28.88,29.00,700,28.64
2011-02-15,28.88,28.88,28.88,28.88,000,28.52
2011-02-14,28.82,28.88,28.82,28.88,800,28.52
2011-02-11,28.62,28.79,28.62,28.79,500,28.43
2011-02-10,28.25,28.62,28.25,28.60,8700,28.24
2011-02-09,28.49,28.50,28.00,28.00,13900,27.65
2011-02-08,28.00,28.00,27.75,27.75,1100,27.41
2011-02-07,27.40,27.80,27.40,27.80,600,27.45
2011-02-04,27.26,27.26,27.26,27.26,100,26.92
2011-02-03,27.45,27.45,27.25,27.25,1800,26.91
2011-02-02,27.38,27.45,27.38,27.38,600,27.04
2011-02-01,26.65,27.45,26.65,27.38,2100,27.04
2011-01-31,27.21,27.21,27.20,27.20,1200,26.86
2011-01-28,26.76,27.82,26.76,27.50,1900,27.16
2011-01-27,26.90,27.50,26.88,27.50,5100,27.16
2011-01-26,27.00,27.00,26.75,26.75,600,26.42
2011-01-25,26.98,27.00,26.71,26.71,3800,26.38
2011-01-24,26.60,26.85,26.60,26.75,10200,26.42
2011-01-21,26.61,26.62,26.38,26.62,9100,26.29
2011-01-20,26.42,26.42,26.42,26.42,300,26.09
2011-01-19,26.50,26.50,26.40,26.40,700,26.07
2011-01-18,26.80,26.80,26.74,26.74,1000,26.41
2011-01-14,26.83,26.83,26.54,26.82,500,26.49
2011-01-13,26.50,26.82,26.22,26.82,1200,26.49
2011-01-12,26.25,26.25,26.20,26.20,1600,25.87
2011-01-11,26.25,26.25,26.25,26.25,1600,25.92
