Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,76.89,77.72,75.49,75.80,216400,75.80
2013-10-15,75.00,77.11,75.00,76.85,232300,76.85
2013-10-11,73.54,75.17,73.44,75.15,84700,75.15
2013-10-10,73.03,73.70,72.87,73.51,73300,73.51
2013-10-09,72.20,72.60,71.51,72.49,77800,72.49
2013-10-08,72.24,72.75,72.01,72.24,49800,72.24
2013-10-07,72.64,72.64,72.05,72.54,48400,72.54
2013-10-04,71.93,73.20,71.93,73.19,141900,73.19
2013-10-03,73.09,73.09,71.13,71.94,127000,71.94
2013-10-02,74.34,74.34,72.65,73.28,151800,73.28
2013-10-01,72.05,74.73,72.05,74.50,257400,74.50
2013-09-30,72.60,72.73,71.33,72.03,101900,72.03
2013-09-27,72.12,73.50,72.12,73.08,113200,73.08
2013-09-26,73.85,73.85,72.28,72.38,127700,72.38
2013-09-25,73.61,74.56,72.55,73.68,124700,73.68
2013-09-24,73.68,73.68,72.06,73.43,148100,73.43
2013-09-23,72.01,73.76,72.01,73.68,134900,73.68
2013-09-20,72.65,72.83,71.17,72.08,223100,72.08
2013-09-19,71.99,73.99,71.77,72.62,183200,72.62
2013-09-18,70.10,71.99,70.10,71.74,155600,71.74
2013-09-17,70.25,70.62,69.58,70.08,125100,70.08
2013-09-16,70.03,70.40,69.67,70.22,152500,70.22
2013-09-13,69.97,70.47,69.20,70.18,306300,70.18
2013-09-12,68.42,69.94,67.38,69.77,139500,69.77
2013-09-11,68.38,68.53,68.15,68.42,136700,68.42
2013-09-10,67.72,69.69,67.67,68.30,161900,68.30
2013-09-09,67.55,67.71,67.00,67.59,84500,67.59
2013-09-06,66.98,67.43,65.77,67.33,139500,67.33
2013-09-05,66.38,67.62,66.17,67.06,126900,67.06
2013-09-04,64.40,66.87,64.40,66.57,160100,66.57
2013-09-03,64.41,64.76,64.08,64.43,53400,64.43
2013-08-30,64.40,64.60,63.95,64.03,83700,64.03
2013-08-29,63.83,65.60,63.77,64.50,97500,64.50
2013-08-28,62.37,63.89,62.37,63.67,61200,63.67
2013-08-27,62.13,62.64,61.85,62.51,59300,62.51
2013-08-26,63.80,63.91,63.14,63.14,23400,63.14
2013-08-23,63.08,63.97,62.95,63.66,85700,63.66
2013-08-22,62.92,63.25,62.88,63.06,64200,63.06
2013-08-21,63.01,63.15,61.60,63.00,154600,63.00
2013-08-20,61.71,63.54,61.71,63.28,98000,63.28
2013-08-19,63.19,63.40,60.78,61.91,174100,61.91
2013-08-16,63.00,63.93,62.68,63.49,165800,63.49
2013-08-15,63.71,63.83,63.18,63.19,103200,63.19
2013-08-14,64.50,64.50,63.96,64.14,189300,64.14
2013-08-13,64.31,64.66,64.30,64.39,103700,64.39
2013-08-12,64.96,64.96,63.60,64.33,121600,64.33
2013-08-09,66.89,66.96,64.67,65.18,152400,65.18
2013-08-08,65.86,67.07,65.37,66.96,346200,66.96
2013-08-07,63.01,66.00,63.00,65.85,290800,65.57
2013-08-06,64.14,64.14,62.26,62.60,163600,62.33
2013-08-02,64.07,64.60,63.33,63.93,197900,63.66
2013-08-01,63.00,64.99,63.00,64.07,248400,63.80
2013-07-31,60.94,62.94,60.94,62.61,230700,62.34
2013-07-30,60.50,60.95,60.31,60.95,129800,60.69
2013-07-29,59.97,60.67,59.70,60.50,54200,60.24
2013-07-26,60.44,60.44,59.30,59.60,50100,59.35
2013-07-25,59.75,60.59,59.75,60.48,50700,60.22
2013-07-24,60.15,60.50,59.60,59.77,72400,59.52
2013-07-23,59.76,60.15,59.76,60.14,140300,59.88
2013-07-22,59.72,60.00,59.26,59.99,54700,59.73
2013-07-19,59.88,60.03,59.27,59.82,86800,59.57
2013-07-18,57.81,60.15,57.81,59.71,234100,59.46
2013-07-17,57.99,58.17,57.76,57.79,76800,57.54
2013-07-16,56.87,57.75,56.86,57.67,46900,57.42
2013-07-15,57.78,58.05,57.16,57.40,42400,57.16
2013-07-12,58.50,58.50,57.09,57.47,98900,57.23
2013-07-11,56.92,58.37,56.62,58.23,89400,57.98
2013-07-10,56.39,56.64,56.03,56.59,29600,56.35
2013-07-09,56.73,56.73,55.95,56.10,136200,55.86
2013-07-08,56.50,56.50,55.85,56.17,104200,55.93
2013-07-05,55.97,57.13,55.92,56.44,154200,56.20
2013-07-04,55.85,55.97,55.80,55.83,26100,55.59
2013-07-03,55.75,55.99,55.20,55.74,68500,55.50
2013-07-02,55.99,55.99,55.05,55.43,144000,55.19
2013-06-28,54.78,55.81,54.50,55.53,105300,55.29
2013-06-27,54.45,55.05,54.45,54.86,55200,54.63
2013-06-26,55.06,55.35,54.39,54.56,53300,54.33
2013-06-25,54.00,55.12,54.00,54.85,121600,54.62
2013-06-24,53.60,53.98,52.97,53.81,78200,53.58
2013-06-21,54.01,54.82,53.65,53.82,228800,53.59
2013-06-20,54.00,54.35,53.33,53.85,103300,53.62
2013-06-19,54.60,54.67,54.01,54.35,71400,54.12
2013-06-18,55.24,55.30,54.37,54.51,96900,54.28
2013-06-17,53.98,55.25,53.36,54.95,120200,54.72
2013-06-14,53.44,53.60,53.34,53.36,64300,53.13
2013-06-13,52.75,53.58,52.66,53.48,62000,53.25
2013-06-12,53.12,53.12,52.37,52.84,120800,52.62
2013-06-11,52.99,53.10,52.81,53.02,93600,52.79
2013-06-10,53.38,53.38,52.96,53.00,96400,52.77
2013-06-07,52.89,53.40,52.84,53.20,117400,52.97
2013-06-06,53.00,53.06,52.65,52.86,63400,52.64
2013-06-05,52.80,53.07,52.60,53.00,86700,52.77
2013-06-04,53.00,53.25,52.70,52.71,58200,52.49
2013-06-03,53.05,53.38,52.88,53.12,78200,52.89
2013-05-31,52.99,53.64,52.88,53.06,67800,52.83
2013-05-30,53.65,54.00,52.89,53.00,105700,52.77
