Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,5.65,5.70,5.58,5.69,2381100,5.69
2013-01-08,5.68,5.68,5.53,5.63,3120300,5.63
2013-01-07,5.72,5.74,5.62,5.63,2923000,5.63
2013-01-04,5.85,5.93,5.70,5.78,6693100,5.78
2013-01-03,6.07,6.15,5.86,5.87,3597900,5.87
2013-01-02,5.98,6.13,5.98,6.11,4644300,6.11
2012-12-31,5.60,5.87,5.55,5.83,4586900,5.83
2012-12-28,5.76,5.81,5.62,5.63,2719300,5.63
2012-12-27,5.71,5.85,5.69,5.76,4017500,5.76
2012-12-26,5.72,5.76,5.66,5.71,1663000,5.71
2012-12-24,5.71,5.72,5.62,5.69,1335400,5.69
2012-12-21,5.60,5.68,5.56,5.66,8646700,5.66
2012-12-20,5.54,5.67,5.51,5.63,3733800,5.63
2012-12-19,5.62,5.70,5.58,5.61,3089800,5.61
2012-12-18,5.83,5.89,5.67,5.71,3681500,5.71
2012-12-17,5.74,5.83,5.65,5.82,3236600,5.82
2012-12-14,5.56,5.75,5.56,5.73,3105800,5.73
2012-12-13,5.67,5.72,5.53,5.57,4525200,5.57
2012-12-12,5.78,5.84,5.70,5.79,6323400,5.79
2012-12-11,5.75,5.82,5.68,5.75,3225800,5.75
2012-12-10,5.71,5.75,5.69,5.72,2469200,5.72
2012-12-07,5.64,5.72,5.62,5.68,3426400,5.68
2012-12-06,5.53,5.70,5.53,5.60,2959700,5.60
2012-12-05,5.68,5.70,5.56,5.59,3285000,5.59
2012-12-04,5.58,5.71,5.41,5.67,3389100,5.67
2012-12-03,5.82,5.85,5.61,5.64,3057400,5.64
2012-11-30,5.81,5.89,5.73,5.80,2991600,5.80
2012-11-29,5.83,5.87,5.72,5.82,2731700,5.82
2012-11-28,5.61,5.87,5.61,5.84,3069500,5.84
2012-11-27,5.82,5.89,5.77,5.78,2945600,5.78
2012-11-26,5.90,5.90,5.78,5.85,2336500,5.85
2012-11-23,5.74,5.94,5.68,5.90,2314500,5.90
2012-11-21,5.67,5.74,5.60,5.73,2285600,5.71
2012-11-20,5.76,5.76,5.62,5.67,3118400,5.65
2012-11-19,5.65,5.83,5.60,5.77,4316500,5.75
2012-11-16,5.30,5.54,5.25,5.49,4539200,5.47
2012-11-15,5.50,5.51,5.32,5.37,5957600,5.35
2012-11-14,5.82,5.83,5.53,5.54,5054700,5.52
2012-11-13,5.76,5.90,5.73,5.81,3225100,5.79
2012-11-12,6.04,6.05,5.88,5.88,2379400,5.86
2012-11-09,6.08,6.19,6.04,6.04,3659300,6.02
2012-11-08,5.94,6.17,5.88,6.09,5351800,6.07
2012-11-07,5.95,6.00,5.81,5.94,7208700,5.92
2012-11-06,6.33,6.39,5.72,5.92,12958900,5.90
2012-11-05,6.35,6.40,6.27,6.33,4124200,6.31
2012-11-02,6.62,6.65,6.31,6.35,6013700,6.33
2012-11-01,6.65,6.70,6.61,6.63,4643400,6.60
2012-10-31,6.56,6.63,6.48,6.58,4648700,6.55
2012-10-26,6.54,6.64,6.43,6.47,4000900,6.45
2012-10-25,6.40,6.55,6.40,6.52,4700300,6.49
2012-10-24,6.53,6.55,6.28,6.28,5789500,6.26
2012-10-23,6.50,6.60,6.48,6.49,6124500,6.47
2012-10-22,6.54,6.67,6.50,6.67,6531000,6.64
2012-10-19,6.45,6.58,6.35,6.51,6486600,6.49
2012-10-18,6.56,6.66,6.47,6.49,5181200,6.47
2012-10-17,6.64,6.80,6.54,6.62,4650500,6.59
2012-10-16,6.52,6.62,6.49,6.61,4138500,6.58
2012-10-15,6.36,6.44,6.28,6.43,4753200,6.41
2012-10-12,6.60,6.62,6.40,6.44,4014400,6.42
2012-10-11,6.52,6.78,6.51,6.64,5569200,6.61
2012-10-10,6.41,6.56,6.35,6.46,4763600,6.44
2012-10-09,6.56,6.60,6.39,6.45,4595000,6.43
2012-10-08,6.45,6.61,6.42,6.55,3658000,6.52
2012-10-05,6.72,6.81,6.51,6.60,4482400,6.57
2012-10-04,6.60,6.74,6.53,6.72,5176800,6.69
2012-10-03,6.65,6.66,6.42,6.47,4141500,6.45
2012-10-02,6.65,6.73,6.52,6.62,6756800,6.59
2012-10-01,6.69,6.79,6.53,6.67,7956400,6.64
2012-09-28,6.78,6.90,6.55,6.55,8006600,6.52
2012-09-27,6.53,6.84,6.50,6.84,6168000,6.81
2012-09-26,6.28,6.49,6.01,6.45,8907400,6.43
2012-09-25,6.72,6.84,6.43,6.46,7671200,6.44
2012-09-24,6.63,6.78,6.55,6.67,7206100,6.64
2012-09-21,6.83,6.94,6.71,6.83,16204700,6.80
2012-09-20,6.54,6.75,6.44,6.75,6888700,6.72
2012-09-19,6.63,6.67,6.50,6.61,5539600,6.58
2012-09-18,6.45,6.61,6.34,6.59,5944800,6.56
2012-09-17,6.35,6.45,6.30,6.37,5270200,6.35
2012-09-14,6.24,6.48,6.22,6.36,8940300,6.34
2012-09-13,5.78,6.26,5.70,6.24,11576200,6.22
2012-09-12,5.80,5.83,5.59,5.81,5233800,5.79
2012-09-11,5.72,5.81,5.69,5.73,3883700,5.71
2012-09-10,5.72,5.87,5.65,5.68,4422300,5.66
2012-09-07,5.66,5.85,5.64,5.82,6748500,5.80
2012-09-06,5.54,5.57,5.48,5.53,4218900,5.51
2012-09-05,5.50,5.50,5.40,5.44,3129100,5.42
2012-09-04,5.46,5.50,5.36,5.48,4867500,5.46
2012-08-31,5.21,5.43,5.14,5.41,5114800,5.39
2012-08-30,5.19,5.24,5.15,5.16,2253100,5.14
2012-08-29,5.29,5.31,5.22,5.22,3110500,5.20
2012-08-28,5.24,5.38,5.22,5.29,2702300,5.27
2012-08-27,5.38,5.41,5.22,5.26,4208200,5.24
2012-08-24,5.38,5.44,5.32,5.37,4359300,5.35
2012-08-23,5.33,5.44,5.29,5.39,9494300,5.37
2012-08-22,5.14,5.29,5.06,5.26,4517500,5.24
2012-08-21,5.12,5.32,5.11,5.13,9391200,5.11
2012-08-20,4.89,5.01,4.85,4.98,3869600,4.96
2012-08-17,4.90,4.95,4.86,4.90,3362900,4.88
2012-08-16,4.61,4.90,4.60,4.90,5888400,4.88
2012-08-15,4.59,4.63,4.55,4.61,1989300,4.59
2012-08-14,4.59,4.67,4.56,4.58,2880100,4.56
2012-08-13,4.70,4.75,4.60,4.62,3321300,4.60
2012-08-10,4.70,4.75,4.65,4.71,3139500,4.69
2012-08-09,4.64,4.79,4.53,4.73,4131600,4.71
2012-08-08,4.64,4.74,4.56,4.63,4694600,4.61
2012-08-07,4.79,4.79,4.56,4.64,5299200,4.62
2012-08-06,4.56,4.84,4.56,4.70,4883900,4.68
2012-08-03,4.45,4.63,4.43,4.55,3993000,4.53
2012-08-02,4.38,4.56,4.37,4.40,3835100,4.38
2012-08-01,4.42,4.56,4.31,4.40,4450600,4.38
2012-07-31,4.63,4.68,4.46,4.50,4041600,4.48
2012-07-30,4.68,4.71,4.60,4.63,2222100,4.61
2012-07-27,4.59,4.68,4.51,4.66,4567500,4.64
2012-07-26,4.52,4.61,4.48,4.56,4222300,4.54
2012-07-25,4.34,4.51,4.32,4.45,3712400,4.43
2012-07-24,4.24,4.34,4.20,4.25,4564500,4.23
2012-07-23,4.29,4.30,4.20,4.21,2447600,4.19
2012-07-20,4.32,4.43,4.28,4.39,2686300,4.37
2012-07-19,4.36,4.42,4.33,4.37,1895400,4.35
2012-07-18,4.30,4.39,4.26,4.32,2115000,4.30
2012-07-17,4.35,4.39,4.20,4.36,2494000,4.34
2012-07-16,4.35,4.40,4.31,4.33,2084700,4.31
2012-07-13,4.40,4.41,4.28,4.35,4173400,4.33
2012-07-12,4.17,4.41,4.14,4.35,5660200,4.33
2012-07-11,4.34,4.34,4.20,4.26,4808800,4.24
2012-07-10,4.61,4.68,4.28,4.31,6580300,4.29
2012-07-09,4.64,4.68,4.56,4.56,2751200,4.54
2012-07-06,4.73,4.80,4.64,4.65,3103800,4.63
2012-07-05,4.91,4.91,4.79,4.79,3804400,4.77
2012-07-03,4.85,4.96,4.82,4.94,3334300,4.92
2012-07-02,4.74,4.84,4.72,4.79,3576300,4.77
2012-06-29,4.72,4.83,4.67,4.75,5033100,4.73
2012-06-28,4.58,4.64,4.46,4.56,4765600,4.54
2012-06-27,4.47,4.65,4.47,4.63,4540000,4.61
2012-06-26,4.60,4.71,4.46,4.47,4743400,4.45
2012-06-25,4.43,4.69,4.40,4.64,4532700,4.62
2012-06-22,4.53,4.55,4.37,4.52,13276100,4.50
2012-06-21,4.75,4.76,4.50,4.51,6285000,4.49
2012-06-20,4.80,4.96,4.73,4.86,6443600,4.84
2012-06-19,4.85,4.91,4.77,4.85,4900600,4.83
2012-06-18,4.67,4.87,4.61,4.82,4877100,4.80
2012-06-15,4.77,4.80,4.67,4.71,10200500,4.69
2012-06-14,4.69,4.78,4.60,4.78,4492700,4.76
2012-06-13,4.73,4.80,4.68,4.69,6152900,4.67
2012-06-12,4.58,4.73,4.53,4.73,5249500,4.71
2012-06-11,4.71,4.73,4.53,4.53,5383100,4.51
2012-06-08,4.47,4.63,4.44,4.58,4628200,4.56
2012-06-07,4.69,4.73,4.45,4.50,6160700,4.48
2012-06-06,4.63,4.69,4.50,4.66,5725400,4.64
2012-06-05,4.50,4.55,4.43,4.51,4679000,4.49
2012-06-04,4.43,4.49,4.29,4.49,4536300,4.47
2012-06-01,4.29,4.48,4.26,4.39,6305200,4.37
2012-05-31,4.41,4.41,4.21,4.25,5867400,4.23
2012-05-30,4.48,4.52,4.33,4.35,5625500,4.33
2012-05-29,4.55,4.59,4.40,4.54,4718500,4.52
2012-05-25,4.48,4.58,4.42,4.50,4251100,4.48
2012-05-24,4.40,4.68,4.32,4.50,11860600,4.46
2012-05-23,4.00,4.31,3.96,4.31,6252100,4.27
2012-05-22,4.09,4.24,4.03,4.06,5772700,4.02
2012-05-21,3.88,4.12,3.85,4.12,4280700,4.08
2012-05-18,3.97,4.04,3.83,3.87,4744100,3.83
2012-05-17,3.83,3.99,3.80,3.89,6328900,3.85
2012-05-16,3.77,3.92,3.70,3.74,5245100,3.70
2012-05-15,3.95,3.99,3.70,3.74,5808900,3.70
2012-05-14,4.00,4.09,3.91,3.91,3997300,3.87
2012-05-11,4.11,4.17,4.07,4.11,3088200,4.07
2012-05-10,4.10,4.20,4.07,4.16,5137700,4.12
2012-05-09,4.03,4.18,3.91,4.02,6661600,3.98
2012-05-08,3.90,4.10,3.78,4.10,7289900,4.06
2012-05-07,3.96,4.02,3.87,3.88,4586500,3.84
2012-05-04,4.01,4.08,3.95,3.96,4069700,3.92
2012-05-03,4.11,4.12,3.98,4.02,4225500,3.98
2012-05-02,4.27,4.28,4.12,4.13,3597400,4.09
2012-05-01,4.27,4.42,4.24,4.32,3714600,4.28
2012-04-30,4.23,4.30,4.13,4.28,4702200,4.24
2012-04-27,4.30,4.35,4.22,4.27,3314000,4.23
2012-04-26,4.16,4.27,4.15,4.27,3201200,4.23
2012-04-25,4.05,4.19,4.03,4.15,3970000,4.11
2012-04-24,4.04,4.08,4.00,4.02,2971800,3.98
2012-04-23,4.05,4.05,3.94,3.98,5009400,3.94
2012-04-20,4.16,4.23,4.08,4.09,3683400,4.05
2012-04-19,4.15,4.19,4.09,4.11,3764600,4.07
2012-04-18,4.19,4.22,4.12,4.13,3308500,4.09
2012-04-17,4.21,4.28,4.16,4.21,3674100,4.17
2012-04-16,4.21,4.31,4.11,4.16,3646800,4.12
2012-04-13,4.34,4.37,4.20,4.20,3612500,4.16
2012-04-12,4.20,4.41,4.19,4.37,6984100,4.33
2012-04-11,4.34,4.36,4.18,4.18,4110300,4.14
2012-04-10,4.21,4.33,4.09,4.32,6533500,4.28
2012-04-09,4.22,4.32,4.14,4.14,5680400,4.10
2012-04-05,4.39,4.44,4.26,4.28,7563000,4.24
2012-04-04,4.44,4.49,4.35,4.38,6502300,4.34
2012-04-03,4.69,4.72,4.47,4.52,5757600,4.48
2012-04-02,4.62,4.78,4.60,4.73,4678600,4.69
2012-03-30,4.60,4.64,4.49,4.62,4909000,4.58
2012-03-29,4.52,4.56,4.42,4.56,5253000,4.52
2012-03-28,4.59,4.59,4.46,4.54,4333900,4.50
2012-03-27,4.70,4.72,4.62,4.62,3723800,4.58
2012-03-26,4.73,4.74,4.61,4.69,5227900,4.65
2012-03-23,4.47,4.65,4.47,4.61,6617800,4.57
2012-03-22,4.53,4.55,4.36,4.45,6339500,4.41
2012-03-21,4.63,4.72,4.55,4.57,5063300,4.53
2012-03-20,4.59,4.63,4.51,4.60,5704100,4.56
2012-03-19,4.56,4.70,4.54,4.65,6010700,4.61
2012-03-16,4.57,4.65,4.53,4.53,14111100,4.49
2012-03-15,4.65,4.68,4.52,4.55,8471500,4.51
2012-03-14,4.81,4.84,4.61,4.62,9535500,4.58
2012-03-13,4.80,4.92,4.77,4.87,4587000,4.82
2012-03-12,4.99,5.03,4.76,4.77,5595500,4.71
2012-03-09,4.78,4.99,4.74,4.95,5211600,4.89
2012-03-08,4.76,4.90,4.71,4.80,6665500,4.74
2012-03-07,4.75,4.80,4.67,4.71,5313000,4.65
2012-03-06,4.76,4.80,4.65,4.72,8071300,4.66
2012-03-05,4.99,5.03,4.81,4.85,6310700,4.79
2012-03-02,5.03,5.08,4.91,4.96,6053600,4.90
2012-03-01,5.14,5.17,5.05,5.05,5917100,4.99
2012-02-29,5.45,5.54,5.05,5.08,10357100,5.02
2012-02-28,5.31,5.39,5.24,5.38,6961700,5.31
2012-02-27,5.46,5.46,5.21,5.24,7759200,5.18
2012-02-24,5.46,5.50,5.36,5.43,5725800,5.36
2012-02-23,5.48,5.54,5.34,5.46,8109700,5.39
2012-02-22,5.42,5.57,5.35,5.43,8834300,5.36
2012-02-21,5.23,5.70,5.16,5.48,14635100,5.41
2012-02-17,5.18,5.21,5.02,5.02,4561500,4.96
2012-02-16,4.80,5.09,4.80,5.09,4490600,5.03
2012-02-15,5.00,5.05,4.85,4.88,4075400,4.82
2012-02-14,5.01,5.07,4.87,4.95,4874300,4.89
2012-02-13,5.15,5.17,5.01,5.02,3736400,4.96
2012-02-10,5.09,5.13,5.01,5.09,5072900,5.03
2012-02-09,5.32,5.36,5.15,5.16,4233400,5.10
2012-02-08,5.35,5.40,5.20,5.21,4201900,5.15
2012-02-07,5.31,5.38,5.25,5.28,4468300,5.22
2012-02-06,5.28,5.43,5.22,5.36,3699800,5.29
2012-02-03,5.32,5.44,5.17,5.40,6676500,5.33
2012-02-02,5.41,5.45,5.20,5.34,5407900,5.27
2012-02-01,5.38,5.40,5.26,5.34,4871100,5.27
2012-01-31,5.46,5.52,5.17,5.26,6279200,5.20
2012-01-30,5.15,5.36,5.10,5.30,5438600,5.24
2012-01-27,4.97,5.32,4.93,5.32,7428400,5.26
2012-01-26,5.09,5.19,4.92,4.96,7751900,4.90
2012-01-25,4.74,5.04,4.72,5.03,8172300,4.97
2012-01-24,4.80,4.81,4.73,4.77,3599500,4.71
2012-01-23,4.79,4.86,4.77,4.85,4559100,4.79
