Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,5.07,5.21,5.05,5.15,2095300,5.15
2013-10-15,5.08,5.13,5.02,5.02,1543700,5.02
2013-10-11,5.02,5.11,5.01,5.09,1713000,5.09
2013-10-10,5.05,5.24,5.04,5.18,1493300,5.18
2013-10-09,5.14,5.16,5.02,5.03,1923600,5.03
2013-10-08,5.27,5.29,5.23,5.24,504600,5.24
2013-10-07,5.11,5.26,5.08,5.21,452200,5.21
2013-10-04,5.28,5.30,5.23,5.26,587800,5.26
2013-10-03,5.32,5.32,5.19,5.19,729600,5.19
2013-10-02,5.07,5.31,5.05,5.28,1274700,5.28
2013-10-01,5.07,5.10,5.01,5.08,1077600,5.08
2013-09-30,5.03,5.17,5.01,5.12,1080500,5.12
2013-09-27,5.18,5.27,5.14,5.15,677900,5.15
2013-09-26,5.17,5.21,5.14,5.19,766300,5.19
2013-09-25,5.26,5.26,5.12,5.13,1300300,5.13
2013-09-24,5.18,5.25,5.13,5.23,1461200,5.23
2013-09-23,5.27,5.29,5.22,5.25,865800,5.25
2013-09-20,5.45,5.50,5.36,5.39,575400,5.39
2013-09-19,5.63,5.63,5.47,5.47,800400,5.47
2013-09-18,5.43,5.69,5.41,5.65,1358700,5.65
2013-09-17,5.46,5.46,5.35,5.38,652800,5.38
2013-09-16,5.54,5.60,5.49,5.49,744000,5.49
2013-09-13,5.60,5.71,5.57,5.71,383700,5.71
2013-09-12,5.63,5.75,5.63,5.72,506600,5.72
2013-09-11,5.60,5.63,5.52,5.60,695700,5.60
2013-09-10,5.53,5.58,5.47,5.57,952900,5.57
2013-09-09,5.82,5.85,5.71,5.74,962200,5.74
2013-09-06,5.78,5.91,5.77,5.86,1520000,5.86
2013-09-05,5.62,5.68,5.57,5.68,430200,5.68
2013-09-04,5.57,5.63,5.51,5.57,648000,5.57
2013-09-03,5.55,5.73,5.54,5.70,800600,5.70
2013-08-30,5.62,5.71,5.53,5.61,1086600,5.61
2013-08-29,5.78,5.86,5.62,5.64,783100,5.64
2013-08-28,5.82,5.90,5.77,5.79,2322300,5.79
2013-08-27,5.73,5.77,5.69,5.73,1779200,5.73
2013-08-26,5.47,5.47,5.41,5.47,399700,5.47
2013-08-23,5.32,5.53,5.28,5.47,1598400,5.47
2013-08-22,5.25,5.36,5.23,5.35,867000,5.35
2013-08-21,5.33,5.34,5.19,5.24,1432300,5.24
2013-08-20,5.40,5.54,5.31,5.34,1336600,5.34
2013-08-19,5.53,5.60,5.51,5.53,398800,5.53
2013-08-16,5.57,5.65,5.49,5.60,627300,5.60
2013-08-15,5.57,5.60,5.49,5.56,845900,5.56
2013-08-14,5.44,5.52,5.39,5.52,695500,5.52
2013-08-13,5.42,5.50,5.37,5.47,613300,5.47
2013-08-12,5.31,5.43,5.29,5.43,865800,5.43
