Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,29.57,29.57,29.11,29.35,823800,29.35
2013-10-15,29.52,29.64,29.36,29.46,491600,29.46
2013-10-11,29.26,29.59,29.24,29.50,429300,29.50
2013-10-10,29.15,29.44,29.04,29.26,592400,29.26
2013-10-09,28.72,29.11,28.52,28.98,829500,28.98
2013-10-08,29.02,29.07,28.52,28.69,461600,28.69
2013-10-07,28.75,28.92,28.50,28.78,608200,28.78
2013-10-04,28.86,29.02,28.80,28.86,657900,28.86
2013-10-03,29.44,29.44,28.76,28.83,747800,28.83
2013-10-02,29.50,29.52,29.27,29.39,551900,29.39
2013-10-01,29.60,29.88,29.55,29.64,1012300,29.64
2013-09-30,29.60,29.93,29.47,29.62,641200,29.62
2013-09-27,30.20,30.29,29.70,29.80,641800,29.80
2013-09-26,29.50,30.37,29.50,30.26,1291200,30.26
2013-09-25,29.15,29.45,29.03,29.06,557400,29.06
2013-09-24,29.01,29.20,28.96,29.14,362300,29.14
2013-09-23,28.95,29.13,28.77,29.13,526100,29.13
2013-09-20,29.12,29.19,28.79,28.93,1710800,28.93
2013-09-19,29.22,29.24,28.86,29.00,476500,29.00
2013-09-18,29.11,29.30,29.08,29.13,1162600,29.13
2013-09-17,29.11,29.30,29.06,29.16,437900,29.16
2013-09-16,29.10,29.28,29.06,29.12,362800,29.12
2013-09-13,29.10,29.22,29.06,29.06,590400,29.06
2013-09-12,29.22,29.47,29.05,29.08,581800,29.08
2013-09-11,29.09,29.32,28.94,29.23,820100,29.23
2013-09-10,29.55,29.59,29.08,29.13,797100,29.13
2013-09-09,29.69,29.78,29.61,29.70,346100,29.70
2013-09-06,29.85,29.85,29.41,29.59,968000,29.59
2013-09-05,30.00,30.00,29.69,29.77,807800,29.77
2013-09-04,29.86,30.05,29.83,29.94,383800,29.94
2013-09-03,29.54,30.07,29.54,30.07,769600,30.07
2013-08-30,29.85,30.02,29.58,29.78,548400,29.78
2013-08-29,29.81,30.16,29.79,29.88,435800,29.88
2013-08-28,29.51,29.98,29.49,29.87,730000,29.87
2013-08-27,29.56,29.76,29.29,29.58,961200,29.58
2013-08-26,29.91,30.21,29.86,30.12,517400,29.82
2013-08-23,29.75,29.98,29.59,29.84,655300,29.54
2013-08-22,29.39,29.74,29.38,29.64,556500,29.34
2013-08-21,29.15,29.48,28.92,29.37,733400,29.08
2013-08-20,29.27,29.66,29.20,29.25,513900,28.96
2013-08-19,29.93,29.94,29.27,29.40,474300,29.11
2013-08-16,29.67,30.05,29.56,29.96,494800,29.66
2013-08-15,29.34,29.95,29.34,29.77,950900,29.47
2013-08-14,29.20,29.35,29.19,29.26,531400,28.97
2013-08-13,28.90,29.30,28.84,29.27,419300,28.98
2013-08-12,28.85,29.05,28.75,28.90,390000,28.61
2013-08-09,29.29,29.30,28.77,28.95,866500,28.66
2013-08-08,29.17,29.37,29.10,29.22,630500,28.93
2013-08-07,29.11,29.35,29.04,29.09,768700,28.80
2013-08-06,29.99,30.06,29.11,29.29,1008000,29.00
2013-08-02,29.82,30.09,29.74,30.00,719700,29.70
2013-08-01,29.76,30.22,29.76,29.90,665600,29.60
2013-07-31,30.14,30.30,29.60,29.60,777700,29.31
2013-07-30,29.91,30.04,29.79,29.96,708300,29.66
2013-07-29,30.00,30.18,29.78,29.82,677900,29.52
2013-07-26,29.98,30.45,29.98,30.21,629400,29.91
2013-07-25,30.03,30.27,29.65,30.15,759100,29.85
2013-07-24,29.77,29.93,29.37,29.58,793300,29.29
2013-07-23,30.01,30.24,29.65,29.90,534900,29.60
2013-07-22,30.09,30.42,30.08,30.13,482600,29.83
2013-07-19,30.60,30.60,29.81,30.13,816400,29.83
2013-07-18,29.43,30.68,29.39,30.60,1377700,30.30
2013-07-17,29.10,29.51,29.08,29.40,719800,29.11
2013-07-16,29.25,29.25,28.81,29.18,463000,28.89
2013-07-15,29.22,29.42,29.10,29.22,683700,28.93
2013-07-12,29.50,29.55,28.95,29.15,726400,28.86
2013-07-11,28.67,29.50,28.59,29.39,1718600,29.10
2013-07-10,28.52,28.56,28.21,28.43,492600,28.15
2013-07-09,28.14,28.53,27.91,28.39,682800,28.11
2013-07-08,27.84,28.15,27.58,28.09,510200,27.81
2013-07-05,27.61,27.84,27.51,27.65,925100,27.37
2013-07-04,27.56,27.69,27.50,27.50,214000,27.23
2013-07-03,27.91,27.98,27.25,27.51,783400,27.24
2013-07-02,28.31,28.31,27.70,27.85,999700,27.57
2013-06-28,27.78,28.25,27.54,28.02,596100,27.74
2013-06-27,28.01,28.11,27.83,27.91,354100,27.63
2013-06-26,28.00,28.33,27.62,27.84,409800,27.56
2013-06-25,27.77,28.04,27.69,27.86,843400,27.58
2013-06-24,27.20,27.73,26.97,27.60,835900,27.33
2013-06-21,27.78,27.90,27.35,27.59,1733700,27.32
2013-06-20,27.98,28.11,27.60,27.71,1676800,27.43
2013-06-19,28.34,28.67,28.23,28.50,1457800,28.22
2013-06-18,28.19,28.64,28.19,28.33,1038000,28.05
2013-06-17,28.09,28.38,27.90,28.17,1184100,27.89
2013-06-14,28.35,28.54,27.93,27.99,637800,27.71
2013-06-13,28.00,28.33,27.51,28.28,932800,28.00
2013-06-12,28.67,28.67,28.01,28.11,551300,27.83
2013-06-11,28.81,28.97,28.47,28.57,616400,28.29
2013-06-10,28.81,29.23,28.55,29.10,1024800,28.81
2013-06-07,29.09,29.10,28.71,28.90,418100,28.61
2013-06-06,29.14,29.69,28.88,29.08,742300,28.79
2013-06-05,29.22,29.76,28.95,29.12,1035800,28.83
2013-06-04,29.44,29.64,29.01,29.17,875900,28.88
2013-06-03,29.16,29.58,29.02,29.50,618800,29.21
2013-05-31,29.74,29.75,29.22,29.29,808900,29.00
2013-05-30,30.01,30.11,29.70,29.72,827200,29.42
2013-05-29,29.90,30.32,29.74,29.97,769500,29.67
2013-05-28,30.34,30.51,29.90,30.09,910600,29.79
2013-05-27,30.50,30.53,30.30,30.40,271700,29.80
2013-05-24,30.45,30.73,30.37,30.53,424100,29.93
2013-05-23,30.65,30.83,30.42,30.54,766900,29.94
2013-05-22,30.66,31.51,30.66,30.83,1538200,30.22
2013-05-21,30.34,31.00,30.21,30.65,826700,30.05
2013-05-17,30.01,30.44,30.00,30.24,631900,29.64
2013-05-16,30.08,30.55,29.96,30.17,436800,29.57
2013-05-15,30.50,30.68,30.02,30.16,623800,29.56
2013-05-14,30.20,30.69,30.07,30.60,1135600,30.00
2013-05-13,30.12,30.16,29.75,29.94,479000,29.35
2013-05-10,30.00,30.33,29.95,30.23,613800,29.63
2013-05-09,29.97,30.54,29.97,30.13,576500,29.54
2013-05-08,29.95,30.50,29.66,30.37,1391500,29.77
2013-05-07,29.64,30.20,29.45,29.75,1270800,29.16
2013-05-06,29.20,30.01,29.10,29.92,1044200,29.33
2013-05-03,29.09,29.47,29.05,29.23,452900,28.65
2013-05-02,28.84,29.14,28.54,28.87,648700,28.30
2013-05-01,29.00,29.30,28.50,28.66,983600,28.09
2013-04-30,29.01,29.22,28.69,29.12,1149200,28.55
2013-04-29,28.99,29.24,28.88,28.98,472400,28.41
2013-04-26,28.85,28.99,28.70,28.80,728800,28.23
2013-04-25,28.56,29.06,28.43,28.93,978000,28.36
2013-04-24,27.69,28.80,27.59,28.71,1200000,28.14
2013-04-23,28.10,28.10,27.41,27.52,1356900,26.98
2013-04-22,28.19,28.53,27.81,28.09,557000,27.54
2013-04-19,28.01,28.23,27.94,28.13,551400,27.57
2013-04-18,28.06,28.27,27.46,28.12,730400,27.57
2013-04-17,28.02,28.41,27.29,27.72,872700,27.17
2013-04-16,28.08,28.42,27.80,28.33,734200,27.77
2013-04-15,28.40,28.99,27.76,28.06,966600,27.51
2013-04-12,29.09,29.10,28.59,28.73,512100,28.16
2013-04-11,29.82,29.82,29.21,29.38,740500,28.80
2013-04-10,29.33,30.35,29.25,29.92,1312800,29.33
2013-04-09,28.78,29.20,28.45,29.15,724400,28.57
2013-04-08,28.24,28.95,28.15,28.77,823400,28.20
2013-04-05,28.50,28.80,28.09,28.10,964700,27.55
2013-04-04,29.13,29.34,28.66,28.78,687700,28.21
2013-04-03,29.95,30.18,29.38,29.44,1375900,28.86
2013-04-02,29.09,30.00,29.03,30.00,1086900,29.41
2013-04-01,28.97,29.34,28.86,29.09,630500,28.52
2013-03-28,29.35,29.53,29.10,29.16,1063600,28.58
2013-03-27,29.50,29.55,28.96,29.38,420500,28.80
2013-03-26,29.29,29.72,29.20,29.50,450600,28.92
2013-03-25,29.78,29.85,28.86,29.38,2227800,28.80
2013-03-22,29.78,30.00,29.51,29.68,1134700,29.09
2013-03-21,30.02,30.14,29.71,29.72,1557500,29.13
2013-03-20,30.29,30.47,29.86,29.99,725800,29.40
2013-03-19,30.00,30.35,29.76,30.08,587700,29.49
2013-03-18,30.00,30.25,29.57,29.95,626600,29.36
2013-03-15,30.00,30.55,29.98,30.11,1644500,29.52
2013-03-14,30.60,30.75,29.95,30.01,1193900,29.42
2013-03-13,31.30,31.30,29.89,30.60,1833400,30.00
2013-03-12,31.21,31.54,31.19,31.40,1214000,30.78
2013-03-11,30.85,31.25,30.75,31.10,637900,30.49
2013-03-08,31.00,31.09,30.66,30.87,528700,30.26
2013-03-07,31.24,31.37,30.93,31.03,788400,30.42
2013-03-06,31.60,31.72,30.90,31.08,967200,30.47
2013-03-05,31.64,31.75,31.26,31.37,956600,30.75
2013-03-04,31.62,31.97,31.57,31.84,1347300,30.92
2013-03-01,31.51,31.90,31.41,31.78,1370400,30.86
2013-02-28,31.51,31.79,31.13,31.71,2138500,30.79
2013-02-27,30.40,31.94,30.40,31.50,1809300,30.59
2013-02-26,30.45,30.77,30.29,30.43,884400,29.55
2013-02-25,30.96,31.07,30.43,30.45,583700,29.57
