Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,44.91,45.09,44.59,44.98,95000,44.98
2013-10-15,44.58,44.80,44.08,44.75,103500,44.75
2013-10-11,44.31,44.99,44.18,44.75,83500,44.75
2013-10-10,43.63,44.34,43.55,44.34,91200,44.34
2013-10-09,43.26,43.60,42.91,43.58,131100,43.58
2013-10-08,43.64,43.76,43.13,43.14,63600,43.14
2013-10-07,43.40,43.86,43.25,43.44,124000,43.44
2013-10-04,43.45,43.75,43.25,43.43,107100,43.43
2013-10-03,43.78,44.00,43.27,43.51,110500,43.51
2013-10-02,44.10,44.10,43.47,43.70,105000,43.70
2013-10-01,43.35,44.41,43.35,44.23,158000,44.23
2013-09-30,43.00,44.09,43.00,43.52,215700,43.52
2013-09-27,42.96,43.46,42.95,43.30,79300,43.30
2013-09-26,42.79,43.74,42.79,43.02,108300,43.02
2013-09-25,42.95,43.94,42.95,43.09,121900,43.09
2013-09-24,42.28,43.38,42.28,42.95,119700,42.95
2013-09-23,42.45,42.79,42.25,42.32,70700,42.32
2013-09-20,42.25,42.81,42.25,42.39,190200,42.39
2013-09-19,43.18,43.50,41.97,42.63,243500,42.63
2013-09-18,44.25,44.44,43.15,43.22,413000,43.22
2013-09-17,43.76,44.30,43.76,44.24,234100,44.24
2013-09-16,42.28,43.85,42.28,43.76,167900,43.76
2013-09-13,42.49,42.74,42.08,42.20,111600,42.20
2013-09-12,43.15,43.16,42.49,42.69,80500,42.69
2013-09-11,42.89,43.40,42.67,43.19,158200,43.19
2013-09-10,42.59,43.15,42.51,43.08,161400,43.08
2013-09-09,42.02,42.49,41.83,42.49,112800,42.49
2013-09-06,42.21,42.55,41.89,42.07,129200,42.07
2013-09-05,41.25,42.24,40.84,42.21,162800,42.21
2013-09-04,41.11,41.80,41.09,41.33,98300,41.33
2013-09-03,41.79,41.79,40.65,41.15,95700,41.15
2013-08-30,40.87,41.73,40.87,41.33,136100,41.33
2013-08-29,40.83,41.41,40.77,41.10,65600,41.10
2013-08-28,41.48,41.49,40.64,40.99,97900,40.99
2013-08-27,41.74,41.94,40.97,41.27,107200,41.27
2013-08-26,41.87,42.19,41.50,41.94,106800,41.94
2013-08-23,42.65,42.65,41.64,41.73,74700,41.73
2013-08-22,42.03,42.60,41.87,42.26,119800,42.26
2013-08-21,42.06,42.22,41.61,42.13,106300,42.13
2013-08-20,42.43,42.50,42.01,42.25,76900,42.00
2013-08-19,43.00,43.02,42.14,42.19,123900,41.95
2013-08-16,42.75,42.99,42.49,42.93,88800,42.68
2013-08-15,43.19,43.21,42.26,42.69,130700,42.44
2013-08-14,43.30,43.57,42.87,43.45,170500,43.20
2013-08-13,42.29,43.35,42.20,43.31,143400,43.06
2013-08-12,42.89,43.00,42.13,42.22,79900,41.98
2013-08-09,43.60,43.90,42.80,43.00,104500,42.75
2013-08-08,42.97,43.76,42.44,43.53,167700,43.28
2013-08-07,43.11,43.11,42.16,42.97,201300,42.72
2013-08-06,43.00,43.28,42.77,42.94,304100,42.69
2013-08-02,43.60,43.60,42.57,42.83,179700,42.58
2013-08-01,41.55,43.51,41.43,43.51,279500,43.26
2013-07-31,41.71,41.97,41.26,41.32,255900,41.08
2013-07-30,41.84,42.00,41.67,41.71,116500,41.47
2013-07-29,42.06,42.18,41.58,41.91,111000,41.67
2013-07-26,42.74,42.78,41.81,42.04,102600,41.80
2013-07-25,42.56,43.06,42.56,42.84,211100,42.59
2013-07-24,42.72,42.72,42.37,42.61,143200,42.36
2013-07-23,42.32,42.68,42.22,42.56,183600,42.31
2013-07-22,42.23,42.41,42.10,42.38,162300,42.13
2013-07-19,42.13,42.45,41.99,42.37,168700,42.12
2013-07-18,42.27,42.55,42.17,42.39,265500,42.14
2013-07-17,42.21,42.30,42.01,42.20,108800,41.96
2013-07-16,42.28,42.47,42.05,42.21,155900,41.97
2013-07-15,42.63,42.82,42.34,42.39,146900,42.14
2013-07-12,42.61,42.87,42.48,42.51,275500,42.26
2013-07-11,42.79,43.10,42.44,42.73,164600,42.48
2013-07-10,43.01,43.08,41.79,42.79,336200,42.54
2013-07-09,43.90,43.90,43.03,43.08,404000,42.83
2013-07-08,42.43,44.07,42.27,44.00,647900,43.74
2013-07-05,42.00,42.25,41.83,42.10,151000,41.86
2013-07-04,41.70,42.18,41.36,42.18,36800,41.94
2013-07-03,41.90,41.90,41.07,41.43,135400,41.19
2013-07-02,41.99,42.19,41.80,41.99,178400,41.75
2013-06-28,41.06,41.83,41.00,41.60,268300,41.36
2013-06-27,40.95,41.95,40.66,41.22,388900,40.98
2013-06-26,40.49,41.07,40.39,41.00,117400,40.76
2013-06-25,40.00,40.45,40.00,40.31,205400,40.08
2013-06-24,40.50,40.50,39.66,39.75,328900,39.52
2013-06-21,41.20,41.37,40.60,40.67,812900,40.43
2013-06-20,39.49,41.46,39.38,41.16,662000,40.92
2013-06-19,39.33,39.48,38.99,39.30,186200,39.07
2013-06-18,39.23,39.45,39.00,39.25,186700,39.02
2013-06-17,38.73,39.39,38.73,39.10,96500,38.87
2013-06-14,38.85,39.27,38.60,38.79,147100,38.57
2013-06-13,38.39,39.07,38.09,38.99,172900,38.76
2013-06-12,39.41,39.55,38.30,38.43,285200,38.21
2013-06-11,39.51,39.73,39.05,39.42,217800,39.19
2013-06-10,39.91,39.96,39.61,39.70,247700,39.47
2013-06-07,39.23,39.99,39.10,39.99,217100,39.76
2013-06-06,39.44,39.63,38.87,39.14,549800,38.91
2013-06-05,39.74,39.74,39.33,39.51,323900,39.28
2013-06-04,38.91,39.51,38.91,39.37,320600,39.14
2013-06-03,39.02,39.22,38.88,39.13,242900,38.90
2013-05-31,38.75,39.15,38.35,39.03,305700,38.80
2013-05-30,38.22,39.00,38.22,38.86,248000,38.63
2013-05-29,37.40,38.45,37.40,38.25,190000,38.03
2013-05-28,37.50,37.77,37.25,37.50,519200,37.28
2013-05-27,37.22,37.59,37.04,37.37,59000,37.15
2013-05-24,37.46,37.72,37.24,37.46,173300,37.24
2013-05-23,37.52,37.73,36.76,37.49,176700,37.27
2013-05-22,37.89,38.32,37.69,37.86,664200,37.64
2013-05-21,37.88,38.50,37.73,38.02,405500,37.56
2013-05-17,37.49,37.86,37.41,37.73,141900,37.27
2013-05-16,37.41,37.90,37.13,37.39,251900,36.93
2013-05-15,37.67,37.77,37.34,37.50,429500,37.04
2013-05-14,37.22,37.75,37.17,37.69,380400,37.23
2013-05-13,36.53,37.60,36.47,37.04,352400,36.59
2013-05-10,36.12,36.50,35.52,36.46,337700,36.01
2013-05-09,37.15,37.37,36.15,36.27,220800,35.83
2013-05-08,37.44,37.62,37.14,37.20,122600,36.75
2013-05-07,37.50,37.70,37.14,37.55,165700,37.09
2013-05-06,37.29,37.50,37.21,37.39,229800,36.93
2013-05-03,36.92,37.49,36.90,37.35,162300,36.89
2013-05-02,37.19,37.19,36.73,36.88,171400,36.43
2013-05-01,37.20,37.21,36.58,36.90,99800,36.45
2013-04-30,37.06,37.45,36.65,37.22,180500,36.77
2013-04-29,36.51,37.09,36.51,36.93,196200,36.48
2013-04-26,35.96,36.55,35.75,36.45,120900,36.01
2013-04-25,35.80,36.06,35.67,35.84,97900,35.40
2013-04-24,35.85,36.05,35.53,35.89,116800,35.45
2013-04-23,35.32,35.99,35.29,35.85,147300,35.41
2013-04-22,35.03,35.12,34.37,35.04,150000,34.61
2013-04-19,34.93,35.10,34.78,35.00,108400,34.57
2013-04-18,35.44,35.79,34.99,35.05,98100,34.62
2013-04-17,35.89,35.95,34.55,35.37,211600,34.94
2013-04-16,35.56,35.99,35.36,35.99,106200,35.55
2013-04-15,35.75,36.31,35.15,35.55,151900,35.12
2013-04-12,36.27,36.33,35.92,36.22,106600,35.78
2013-04-11,36.81,36.81,36.20,36.45,126900,36.01
2013-04-10,36.14,36.82,36.05,36.68,198200,36.23
2013-04-09,36.26,36.68,36.08,36.15,160200,35.71
2013-04-08,35.84,36.41,35.43,36.09,175900,35.65
2013-04-05,35.91,36.15,34.95,36.02,338100,35.58
2013-04-04,36.82,37.03,35.92,36.20,367400,35.76
2013-04-03,37.30,37.32,36.76,36.94,355600,36.49
2013-04-02,36.99,37.33,36.99,37.30,221900,36.84
2013-04-01,37.22,37.30,36.96,37.13,194300,36.68
2013-03-28,37.20,37.50,37.00,37.36,423300,36.90
2013-03-27,37.15,37.45,37.00,37.32,294300,36.86
2013-03-26,37.01,37.22,36.90,37.22,247700,36.77
2013-03-25,36.87,37.18,36.87,37.00,303100,36.55
2013-03-22,36.98,37.01,36.73,36.91,94800,36.46
2013-03-21,36.93,37.09,36.73,36.88,183100,36.43
2013-03-20,37.05,37.23,36.75,37.03,175900,36.58
2013-03-19,36.67,37.02,36.52,36.92,273500,36.47
2013-03-18,36.60,36.93,36.34,36.49,175700,36.04
2013-03-15,36.13,36.67,35.99,36.65,504600,36.20
2013-03-14,36.49,36.49,35.70,36.30,174300,35.86
2013-03-13,36.34,36.80,36.10,36.28,303200,35.84
2013-03-12,36.56,36.70,36.47,36.47,192400,36.02
2013-03-11,36.92,36.92,36.32,36.68,164500,36.23
2013-03-08,37.23,37.23,36.64,36.92,144500,36.47
2013-03-07,36.90,37.23,36.79,37.07,262500,36.62
2013-03-06,36.98,37.05,36.67,36.90,249300,36.45
2013-03-05,36.74,37.00,36.74,36.79,248200,36.34
2013-03-04,36.89,37.00,36.57,36.79,389600,36.34
2013-03-01,36.82,37.15,36.60,37.11,356400,36.66
2013-02-28,36.51,37.12,36.31,37.00,517000,36.55
2013-02-27,35.51,36.99,35.51,36.63,473200,36.18
2013-02-26,36.29,36.61,35.87,36.22,307000,35.54
2013-02-25,36.85,37.20,36.44,36.47,464300,35.78
2013-02-22,37.00,37.05,36.51,36.84,240200,36.14
2013-02-21,37.00,37.23,36.74,36.99,238500,36.29
2013-02-20,37.40,37.40,36.33,37.00,944100,36.30
2013-02-19,38.03,39.20,38.03,38.59,501700,37.86
2013-02-15,36.31,38.41,36.02,38.13,359600,37.41
2013-02-14,36.67,36.67,35.95,36.31,227600,35.62
2013-02-13,36.62,36.86,36.44,36.67,257500,35.98
2013-02-12,36.38,36.81,36.34,36.69,218500,36.00
2013-02-11,36.39,36.80,36.15,36.55,107900,35.86
2013-02-08,36.48,36.63,36.24,36.33,194700,35.64
2013-02-07,35.90,36.78,35.90,36.58,231800,35.89
2013-02-06,34.79,36.42,34.79,35.96,209000,35.28
2013-02-05,35.21,35.29,35.01,35.05,231600,34.39
2013-02-04,34.62,35.37,34.62,35.00,156500,34.34
2013-02-01,35.01,35.42,34.94,35.12,312900,34.46
2013-01-31,34.64,35.05,34.61,34.85,227200,34.19
2013-01-30,34.90,35.20,34.60,35.05,155900,34.39
2013-01-29,34.69,35.08,34.24,34.95,95000,34.29
2013-01-28,34.99,35.27,34.82,35.04,120600,34.38
2013-01-25,34.73,35.01,34.44,34.77,301600,34.11
2013-01-24,34.65,34.94,34.39,34.48,221400,33.83
2013-01-23,34.07,34.99,34.05,34.69,153200,34.03
2013-01-22,34.60,34.71,34.24,34.38,183600,33.73
2013-01-21,34.50,34.71,34.40,34.60,71000,33.95
2013-01-18,34.01,34.59,34.01,34.36,177000,33.71
2013-01-17,33.60,34.34,33.60,34.17,144500,33.52
2013-01-16,33.60,33.65,33.28,33.61,134800,32.98
2013-01-15,33.05,33.94,33.05,33.61,148700,32.98
2013-01-14,32.57,33.57,32.33,33.16,116400,32.53
2013-01-11,32.65,32.75,32.49,32.63,136500,32.01
2013-01-10,32.39,32.53,32.22,32.52,86700,31.91
2013-01-09,31.90,32.29,31.83,32.19,102100,31.58
2013-01-08,31.61,31.90,31.25,31.77,106300,31.17
2013-01-07,31.67,31.89,31.19,31.73,118800,31.13
2013-01-04,31.31,31.89,31.18,31.73,94400,31.13
2013-01-03,31.75,32.00,31.38,31.44,97400,30.85
2013-01-02,31.87,31.95,31.55,31.70,149100,31.10
2012-12-31,31.24,31.38,30.95,31.38,87000,30.79
2012-12-28,30.77,31.30,30.75,31.27,106600,30.68
2012-12-27,31.00,31.13,30.80,31.03,130000,30.44
2012-12-24,31.00,31.20,30.90,31.03,35700,30.44
2012-12-21,30.66,31.42,30.66,31.22,133800,30.63
2012-12-20,30.36,30.91,30.36,30.78,166300,30.20
2012-12-19,30.00,30.67,30.00,30.54,207700,29.96
2012-12-18,29.41,30.25,29.37,30.00,416800,29.43
2012-12-17,29.50,29.75,29.47,29.55,230500,28.99
2012-12-14,29.85,29.92,29.25,29.49,269500,28.93
2012-12-13,29.83,30.00,29.75,29.85,248800,29.29
2012-12-12,29.63,29.93,29.51,29.83,186000,29.27
2012-12-11,29.40,29.75,29.26,29.63,132200,29.07
2012-12-10,29.10,29.49,28.88,29.37,412900,28.82
2012-12-07,29.03,29.27,28.85,29.19,149600,28.64
2012-12-06,28.93,29.20,28.75,29.05,99900,28.50
2012-12-05,28.82,29.20,28.75,28.75,152600,28.21
2012-12-04,28.71,29.25,28.71,28.79,106400,28.25
2012-12-03,28.95,29.12,28.77,29.02,96300,28.47
2012-11-30,28.45,28.99,28.45,28.99,164100,28.44
2012-11-29,27.89,28.76,27.72,28.55,352800,28.01
2012-11-28,27.25,27.74,27.07,27.69,126600,27.17
2012-11-27,28.01,28.02,27.29,27.36,186900,26.84
2012-11-26,28.08,28.27,27.89,28.10,149900,27.57
2012-11-23,28.08,28.24,27.84,28.22,63300,27.69
2012-11-22,27.80,28.17,27.80,28.17,24900,27.64
2012-11-21,27.77,27.96,27.62,27.77,79800,27.25
2012-11-20,27.60,28.04,27.44,27.99,129900,27.22
2012-11-19,27.34,27.86,27.22,27.59,78400,26.83
2012-11-16,27.23,27.24,26.74,27.00,78400,26.26
2012-11-15,27.49,27.49,26.80,27.09,158300,26.35
2012-11-14,28.00,28.00,27.40,27.62,112900,26.86
2012-11-13,27.75,28.01,27.61,27.95,207800,27.18
2012-11-12,27.77,28.19,27.77,28.01,101300,27.24
2012-11-09,28.12,28.45,27.87,27.96,238100,27.19
2012-11-08,28.42,28.50,27.45,28.00,323500,27.23
