Date,Open,High,Low,Close,Volume,Adj Close
2003-05-02,42.21,42.64,42.21,42.64,4100,6.79
2003-05-01,42.19,42.19,41.93,41.94,26200,6.68
2003-04-30,42.09,42.33,42.00,42.00,28600,6.69
2003-04-29,41.25,42.18,41.25,41.65,6200,6.63
2003-04-28,40.00,40.90,39.95,40.90,4400,6.51
2003-04-25,40.30,40.30,39.90,39.90,3400,6.35
2003-04-24,40.15,40.39,40.15,40.21,2700,6.40
2003-04-23,40.30,40.48,40.16,40.16,3400,6.39
2003-04-22,39.55,40.20,39.44,40.20,1700,6.40
2003-04-21,39.70,39.79,39.60,39.79,5200,6.33
2003-04-17,39.60,39.60,39.48,39.48,1100,6.29
2003-04-16,39.09,39.29,39.00,39.04,24700,6.22
2003-04-15,38.24,38.60,38.24,38.60,2000,6.15
2003-04-14,37.72,38.16,37.72,38.16,1500,6.08
2003-04-11,38.14,38.14,37.45,37.45,15300,5.96
2003-04-10,37.76,37.76,37.70,37.70,1400,6.00
2003-04-09,38.52,38.52,37.85,37.85,5000,6.03
2003-04-08,38.86,38.86,38.20,38.43,9900,6.12
2003-04-07,39.39,39.45,38.71,38.81,6700,6.18
2003-04-04,38.00,38.38,37.92,38.12,700,6.07
2003-04-03,37.94,38.00,37.73,38.00,2600,6.05
2003-04-02,37.40,37.90,37.40,37.90,2100,6.03
2003-04-01,36.52,36.69,36.50,36.69,8700,5.84
2003-03-31,36.18,36.28,36.11,36.28,1700,5.78
2003-03-28,36.40,36.40,36.40,36.40,000,5.80
2003-03-27,36.11,36.40,36.11,36.40,500,5.80
2003-03-26,36.20,36.30,35.85,35.85,2100,5.71
2003-03-25,36.03,36.18,36.03,36.18,1500,5.76
2003-03-24,36.50,36.50,35.97,35.97,17700,5.73
2003-03-21,36.40,36.89,35.89,36.89,5100,5.87
2003-03-20,35.50,36.04,35.50,36.04,6300,5.74
2003-03-19,35.94,35.94,35.94,35.94,300,5.72
2003-03-18,35.79,35.79,35.52,35.52,2000,5.66
2003-03-17,34.59,35.55,34.59,35.50,2100,5.65
2003-03-14,35.00,35.24,35.00,35.24,18800,5.61
2003-03-13,34.80,34.80,34.49,34.79,4000,5.54
2003-03-12,33.65,33.89,33.35,33.89,1500,5.40
2003-03-11,33.55,33.91,33.55,33.80,7900,5.38
2003-03-10,33.49,33.50,33.49,33.50,300,5.33
2003-03-07,33.72,33.72,33.72,33.72,1700,5.37
