Date,Open,High,Low,Close,Volume,Adj Close
1995-01-11,30.12,30.12,29.97,29.97,190800,2.11
1995-01-10,29.90,30.05,29.90,30.05,1026900,2.11
1995-01-09,30.12,30.12,29.82,29.90,669600,2.10
1995-01-06,30.27,30.68,30.05,30.12,590400,2.12
1995-01-05,30.68,30.68,30.27,30.68,344700,2.16
1995-01-04,30.20,30.68,30.12,30.68,443700,2.16
1995-01-03,30.68,30.75,30.27,30.27,62100,2.13
1994-12-30,30.75,30.75,30.68,30.68,189000,2.16
1994-12-29,30.68,30.68,30.27,30.68,117000,2.16
1994-12-28,30.83,30.83,30.68,30.75,586800,2.16
1994-12-27,30.83,30.83,30.68,30.83,144900,2.17
1994-12-23,30.68,30.83,30.68,30.83,408600,2.17
1994-12-22,30.27,30.75,30.12,30.68,2464200,2.16
1994-12-21,30.05,30.68,30.05,30.27,1342800,2.13
1994-12-20,30.05,30.12,30.05,30.05,394200,2.11
1994-12-19,29.82,29.97,29.82,29.97,728100,2.11
1994-12-16,30.05,30.05,29.82,29.90,215100,2.10
1994-12-15,29.90,29.90,29.75,29.90,247500,2.10
1994-12-14,29.75,29.82,29.34,29.75,1119600,2.09
1994-12-13,29.75,29.82,29.34,29.75,36900,2.09
1994-12-12,29.82,29.82,29.27,29.75,540000,2.09
1994-12-09,29.97,29.97,29.75,29.82,441000,2.10
1994-12-08,30.20,30.20,29.90,29.97,738900,2.11
1994-12-07,30.68,30.75,30.20,30.27,444600,2.13
1994-12-06,30.98,30.98,30.68,30.75,367200,2.16
1994-12-05,31.13,31.13,30.98,30.98,1466100,2.18
1994-12-02,30.98,31.13,30.98,31.13,1573200,2.19
1994-12-01,30.90,31.61,30.90,31.13,2095200,2.19
1994-11-30,30.75,30.90,30.75,30.83,233100,2.17
1994-11-29,30.83,30.83,30.68,30.83,990900,2.17
1994-11-28,30.98,31.05,30.75,30.75,1491300,2.16
1994-11-25,31.20,31.20,31.13,31.20,154800,2.16
1994-11-23,31.20,31.20,31.05,31.05,1292400,2.15
1994-11-22,31.13,31.20,31.05,31.20,244800,2.16
1994-11-21,31.61,31.68,31.13,31.13,526500,2.16
1994-11-18,31.76,31.83,31.61,31.61,378900,2.19
1994-11-17,31.83,31.91,31.76,31.83,747000,2.20
1994-11-16,31.61,31.91,31.61,31.83,721800,2.20
1994-11-15,31.83,31.98,31.76,31.76,828900,2.20
1994-11-14,32.61,32.61,31.98,31.98,306900,2.22
1994-11-11,32.76,32.84,32.54,32.54,1174500,2.25
1994-11-10,33.06,33.06,32.91,32.91,2174400,2.28
1994-11-09,32.84,33.06,32.76,33.06,708300,2.29
1994-11-08,32.76,32.84,32.76,32.76,175500,2.27
1994-11-07,32.54,32.76,32.54,32.76,624600,2.27
1994-11-04,32.76,32.84,32.61,32.61,534600,2.26
1994-11-03,32.76,32.91,32.76,32.76,744300,2.27
1994-11-02,32.84,32.91,32.69,32.84,1319400,2.27
1994-11-01,32.91,32.98,32.76,32.84,814500,2.27
1994-10-31,32.84,33.06,32.69,33.06,2569500,2.29
1994-10-28,32.06,32.84,32.06,32.76,3353400,2.27
1994-10-27,31.68,32.54,31.68,32.13,1881900,2.23
1994-10-26,31.20,31.68,31.20,31.61,1632600,2.19
1994-10-25,31.05,31.20,31.05,31.20,1528200,2.16
1994-10-24,31.20,31.61,31.20,31.20,1026000,2.16
1994-10-21,31.68,31.68,31.20,31.61,1486800,2.19
1994-10-20,31.20,31.83,31.13,31.83,3150900,2.20
1994-10-19,31.61,31.61,31.05,31.13,1879200,2.16
1994-10-18,31.76,31.76,31.20,31.20,1478700,2.16
1994-10-17,31.68,31.83,31.61,31.83,300600,2.20
1994-10-14,31.68,31.68,31.20,31.68,407700,2.19
1994-10-13,31.83,31.91,31.68,31.76,474300,2.20
1994-10-12,31.83,31.83,31.68,31.83,915300,2.20
1994-10-11,31.91,31.98,31.76,31.83,1577700,2.20
1994-10-10,32.06,32.13,31.91,31.91,357300,2.21
1994-10-07,31.61,32.54,31.61,32.06,2974500,2.22
1994-10-06,30.90,31.76,30.83,31.68,1861200,2.19
1994-10-05,30.12,30.90,29.97,30.90,533700,2.14
1994-10-04,30.27,31.05,30.12,30.12,1486800,2.09
1994-10-03,29.82,30.27,29.82,30.20,1093500,2.09
1994-09-30,29.27,29.90,29.27,29.82,536400,2.07
1994-09-29,29.75,29.75,29.27,29.27,233100,2.03
1994-09-28,29.75,29.90,29.27,29.75,242100,2.06
1994-09-27,29.82,29.82,29.27,29.75,205200,2.06
1994-09-26,29.90,29.97,29.75,29.75,118800,2.06
1994-09-23,29.75,29.90,29.75,29.90,428400,2.07
1994-09-22,30.05,30.05,29.34,29.75,356400,2.06
1994-09-21,30.12,30.20,29.97,30.05,587700,2.08
1994-09-20,30.68,30.75,30.12,30.12,498600,2.09
1994-09-19,30.68,30.75,30.20,30.75,124200,2.13
1994-09-16,30.12,30.68,30.12,30.27,491400,2.10
1994-09-15,29.97,30.12,29.97,30.12,426600,2.09
1994-09-14,30.05,30.12,29.90,29.97,853200,2.08
1994-09-13,29.82,30.12,29.82,30.05,520200,2.08
