Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,4.03,4.07,4.03,4.03,68600,4.03
2013-10-15,4.08,4.09,4.04,4.07,47300,4.07
2013-10-11,4.10,4.12,4.06,4.08,71800,4.08
2013-10-10,4.09,4.13,4.08,4.10,31300,4.10
2013-10-09,4.04,4.14,4.04,4.10,64900,4.10
2013-10-08,4.04,4.11,4.00,4.02,1119800,4.02
2013-10-07,4.03,4.07,4.03,4.05,61800,4.05
2013-10-04,4.03,4.05,4.02,4.03,45000,4.03
2013-10-03,4.06,4.09,4.01,4.04,87700,4.04
2013-10-02,4.07,4.12,4.06,4.09,21300,4.09
2013-10-01,4.14,4.17,4.09,4.10,96900,4.10
2013-09-30,4.14,4.18,4.12,4.15,81100,4.15
2013-09-27,4.15,4.16,4.12,4.14,50400,4.14
2013-09-26,4.23,4.23,4.15,4.16,546200,4.16
2013-09-25,4.16,4.22,4.15,4.22,74300,4.19
2013-09-24,4.25,4.27,4.19,4.19,76900,4.16
2013-09-23,4.24,4.25,4.22,4.25,71200,4.22
2013-09-20,4.26,4.30,4.22,4.22,62000,4.19
2013-09-19,4.30,4.34,4.26,4.29,58700,4.26
2013-09-18,4.26,4.32,4.22,4.28,58400,4.25
2013-09-17,4.16,4.34,4.16,4.29,140000,4.26
2013-09-16,4.10,4.19,4.10,4.17,57200,4.14
2013-09-13,4.10,4.13,4.10,4.13,33500,4.10
2013-09-12,4.13,4.13,4.10,4.12,24500,4.09
2013-09-11,4.06,4.14,4.06,4.12,67900,4.09
2013-09-10,4.14,4.14,4.01,4.10,186400,4.07
2013-09-09,4.08,4.15,4.08,4.13,136000,4.10
2013-09-06,4.07,4.19,4.07,4.12,65900,4.09
2013-09-05,4.04,4.15,4.01,4.11,132600,4.08
2013-09-04,4.05,4.05,4.00,4.00,29700,3.97
2013-09-03,4.02,4.06,4.00,4.05,43000,4.02
2013-08-30,4.00,4.03,3.99,4.03,58300,4.00
2013-08-29,3.99,4.04,3.97,4.00,74700,3.97
2013-08-28,4.04,4.04,3.98,4.01,50300,3.98
2013-08-27,4.02,4.05,3.99,4.05,124400,3.99
2013-08-26,4.03,4.10,3.99,3.99,92400,3.93
2013-08-23,4.03,4.07,4.01,4.04,41500,3.98
2013-08-22,4.01,4.03,3.95,4.00,123700,3.94
2013-08-21,4.04,4.07,3.99,4.00,161100,3.94
2013-08-20,3.99,4.06,3.97,4.00,115400,3.94
2013-08-19,3.97,4.04,3.97,4.00,516000,3.94
2013-08-16,3.98,4.06,3.98,4.00,128600,3.94
2013-08-15,4.06,4.06,3.98,4.00,191700,3.94
2013-08-14,4.15,4.16,4.04,4.07,122500,4.01
2013-08-13,4.08,4.14,4.06,4.14,303900,4.07
2013-08-12,4.10,4.10,4.05,4.09,89700,4.02
2013-08-09,4.10,4.10,4.02,4.07,61900,4.01
2013-08-08,4.00,4.10,4.00,4.07,136900,4.01
2013-08-07,4.00,4.04,3.99,3.99,48000,3.93
2013-08-06,4.04,4.06,4.01,4.01,56000,3.95
2013-08-02,4.03,4.07,4.03,4.03,24900,3.97
2013-08-01,4.06,4.08,4.02,4.04,44000,3.98
2013-07-31,4.08,4.10,4.05,4.05,81400,3.99
2013-07-30,4.10,4.14,4.06,4.10,51000,4.03
2013-07-29,4.15,4.15,4.10,4.12,36800,4.05
2013-07-26,4.16,4.18,4.12,4.14,60000,4.04
2013-07-25,4.19,4.25,4.15,4.19,100100,4.09
2013-07-24,4.27,4.27,4.17,4.21,136500,4.11
2013-07-23,4.23,4.28,4.23,4.28,58100,4.18
2013-07-22,4.23,4.27,4.23,4.23,60500,4.13
2013-07-19,4.25,4.26,4.22,4.25,145000,4.15
2013-07-18,4.31,4.31,4.22,4.25,399200,4.15
2013-07-17,4.29,4.35,4.24,4.33,102200,4.23
2013-07-16,4.28,4.35,4.24,4.27,224400,4.17
2013-07-15,4.28,4.30,4.20,4.24,69500,4.14
2013-07-12,4.30,4.30,4.20,4.26,125500,4.16
2013-07-11,4.34,4.38,4.29,4.30,93700,4.20
2013-07-10,4.27,4.35,4.25,4.27,76500,4.17
2013-07-09,4.16,4.25,4.16,4.24,51600,4.14
2013-07-08,4.23,4.25,4.16,4.17,888200,4.07
2013-07-05,4.20,4.30,4.20,4.22,106100,4.12
2013-07-04,4.34,4.34,4.25,4.25,11700,4.15
2013-07-03,4.35,4.35,4.25,4.30,67300,4.20
2013-07-02,4.20,4.37,4.20,4.37,138000,4.27
2013-06-28,4.26,4.27,4.20,4.23,68900,4.13
2013-06-27,4.16,4.29,4.14,4.24,69900,4.14
2013-06-26,4.15,4.24,4.09,4.19,464800,4.09
2013-06-25,4.13,4.20,4.10,4.10,634900,3.97
2013-06-24,4.10,4.13,4.01,4.11,352800,3.98
2013-06-21,4.15,4.21,4.09,4.13,567200,4.00
2013-06-20,4.15,4.23,4.05,4.11,485300,3.98
2013-06-19,4.33,4.34,4.17,4.20,178400,4.07
2013-06-18,4.37,4.37,4.29,4.31,187400,4.17
2013-06-17,4.41,4.41,4.30,4.32,113600,4.18
2013-06-14,4.32,4.47,4.32,4.39,103700,4.25
