Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,0.16,0.17,0.16,0.17,11000,0.17
2013-01-08,0.16,0.16,0.16,0.16,5000,0.16
2013-01-07,0.15,0.15,0.15,0.15,20500,0.15
2013-01-04,0.17,0.17,0.15,0.15,51400,0.15
2013-01-03,0.16,0.17,0.15,0.15,18200,0.15
2013-01-02,0.15,0.15,0.15,0.15,10000,0.15
2012-12-31,0.16,0.16,0.14,0.14,135100,0.14
2012-12-28,0.14,0.15,0.13,0.14,20600,0.14
2012-12-27,0.16,0.16,0.15,0.15,15000,0.15
2012-12-26,0.17,0.17,0.17,0.17,5000,0.17
2012-12-24,0.17,0.17,0.17,0.17,8500,0.17
2012-12-21,0.15,0.15,0.13,0.14,26900,0.14
2012-12-20,0.15,0.15,0.13,0.13,4300,0.13
2012-12-19,0.15,0.17,0.15,0.15,14000,0.15
2012-12-18,0.16,0.16,0.15,0.15,11200,0.15
2012-12-17,0.16,0.16,0.15,0.16,9500,0.16
2012-12-14,0.17,0.17,0.13,0.16,3300,0.16
2012-12-13,0.15,0.17,0.15,0.16,31000,0.16
2012-12-12,0.15,0.17,0.15,0.17,8600,0.17
2012-12-11,0.15,0.15,0.15,0.15,1000,0.15
2012-12-10,0.13,0.17,0.13,0.17,25200,0.17
2012-12-07,0.15,0.15,0.15,0.15,4300,0.15
2012-12-06,0.14,0.15,0.14,0.15,3300,0.15
2012-12-05,0.14,0.14,0.14,0.14,1900,0.14
2012-12-04,0.15,0.15,0.14,0.14,7400,0.14
2012-12-03,0.15,0.15,0.15,0.15,1100,0.15
2012-11-30,0.14,0.14,0.14,0.14,4000,0.14
2012-11-29,0.16,0.17,0.14,0.14,6700,0.14
2012-11-28,0.14,0.14,0.14,0.14,8000,0.14
2012-11-27,0.14,0.15,0.14,0.15,3000,0.15
2012-11-26,0.15,0.15,0.10,0.15,96400,0.15
2012-11-23,0.16,0.16,0.16,0.16,4000,0.16
2012-11-21,0.17,0.17,0.17,0.17,7000,0.17
2012-11-20,0.17,0.17,0.17,0.17,000,0.17
2012-11-19,0.18,0.18,0.17,0.17,5500,0.17
2012-11-16,0.18,0.18,0.18,0.18,2400,0.18
2012-11-15,0.19,0.19,0.17,0.17,3900,0.17
2012-11-14,0.18,0.20,0.18,0.20,1500,0.20
2012-11-13,0.18,0.18,0.16,0.17,1400,0.17
2012-11-12,0.19,0.20,0.18,0.20,7300,0.20
2012-11-09,0.17,0.17,0.17,0.17,9100,0.17
2012-11-08,0.17,0.17,0.15,0.17,10900,0.17
2012-11-07,0.19,0.19,0.17,0.17,3800,0.17
2012-11-06,0.18,0.18,0.18,0.18,000,0.18
2012-11-05,0.20,0.20,0.18,0.18,800,0.18
2012-11-02,0.19,0.21,0.19,0.20,36700,0.20
2012-11-01,0.19,0.19,0.18,0.18,1300,0.18
