Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,13.00,13.00,12.88,12.97,16600,12.97
2013-01-08,12.95,13.04,12.86,13.00,64000,13.00
2013-01-07,12.94,13.02,12.82,12.96,65400,12.96
2013-01-04,13.10,13.25,12.98,13.02,18200,13.02
2013-01-03,12.97,13.11,12.95,13.06,20000,13.06
2013-01-02,13.19,13.69,12.82,13.00,45900,13.00
2012-12-31,12.01,13.09,11.45,13.00,179800,13.00
2012-12-28,12.38,12.38,12.02,12.02,32900,12.02
2012-12-27,12.27,12.60,12.13,12.44,28700,12.44
2012-12-26,12.29,12.48,12.10,12.36,33000,12.36
2012-12-24,12.26,12.37,12.11,12.30,18000,12.30
2012-12-21,12.43,12.55,12.21,12.34,143200,12.34
2012-12-20,13.05,13.05,12.18,12.51,125600,12.51
2012-12-19,12.98,13.22,12.88,12.99,17700,12.99
2012-12-18,13.25,13.25,12.91,12.96,35100,12.96
2012-12-17,13.23,13.42,13.17,13.19,35200,13.19
2012-12-14,13.01,13.35,12.90,13.23,18100,13.23
2012-12-13,13.23,13.30,12.73,13.01,31800,13.01
2012-12-12,13.27,13.30,13.06,13.20,13500,13.20
2012-12-11,13.25,13.25,12.95,13.21,13400,13.21
2012-12-10,13.26,13.26,12.92,13.16,12600,13.16
2012-12-07,12.93,13.41,12.93,13.21,31900,13.21
2012-12-06,13.08,13.25,12.62,12.87,36600,12.87
2012-12-05,13.03,13.24,12.72,13.00,29000,13.00
2012-12-04,12.99,13.19,12.76,12.96,35800,12.96
2012-12-03,12.79,13.35,12.79,13.08,65900,13.08
2012-11-30,12.64,12.74,12.36,12.70,546500,12.70
2012-11-29,12.68,12.83,12.42,12.59,256600,12.59
2012-11-28,12.41,12.44,12.25,12.31,96300,12.31
2012-11-27,12.50,12.57,12.33,12.42,50200,12.42
2012-11-26,13.02,13.02,12.37,12.50,51500,12.50
2012-11-23,12.98,13.24,12.75,13.00,15100,13.00
2012-11-21,12.29,12.99,12.29,12.92,37900,12.92
2012-11-20,11.89,12.41,11.62,12.23,75400,12.23
2012-11-19,12.19,13.05,11.75,11.94,162000,11.94
2012-11-16,12.61,12.68,11.89,12.13,56000,12.13
2012-11-15,12.00,13.17,11.77,12.59,124000,12.59
2012-11-14,12.21,12.50,11.81,11.95,63500,11.95
2012-11-13,12.25,12.39,11.95,11.99,34900,11.99
2012-11-12,12.11,13.37,12.01,12.26,72900,12.26
2012-11-09,11.94,12.61,11.83,12.07,37300,12.07
2012-11-08,12.47,13.06,11.91,12.00,36900,12.00
2012-11-07,12.18,12.61,11.77,12.50,99500,12.50
2012-11-06,11.85,12.45,11.74,12.34,54500,12.34
