Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,1.97,2.01,1.97,2.00,62900,2.00
2013-10-15,1.90,2.01,1.80,1.99,206600,1.99
2013-10-11,1.95,1.95,1.90,1.90,500,1.90
2013-10-10,1.94,1.95,1.88,1.95,52100,1.95
2013-10-09,1.98,1.98,1.90,1.95,49000,1.95
2013-10-08,1.97,1.98,1.94,1.98,34800,1.98
2013-10-07,1.91,2.05,1.91,1.97,418500,1.97
2013-10-04,1.85,1.94,1.85,1.90,108500,1.90
2013-10-03,1.76,1.84,1.76,1.80,22200,1.80
2013-10-02,1.80,1.81,1.76,1.79,18300,1.79
2013-10-01,1.84,1.95,1.80,1.80,407400,1.80
2013-09-30,1.69,1.90,1.69,1.89,265100,1.89
2013-09-27,1.58,1.79,1.55,1.70,312100,1.70
2013-09-26,1.53,1.60,1.53,1.60,228300,1.60
2013-09-25,1.50,1.53,1.49,1.52,46000,1.52
2013-09-24,1.51,1.53,1.50,1.53,3900,1.53
2013-09-23,1.54,1.55,1.50,1.50,16500,1.50
2013-09-20,1.50,1.52,1.50,1.52,7400,1.52
2013-09-19,1.52,1.54,1.50,1.50,10400,1.50
2013-09-18,1.52,1.53,1.50,1.52,15800,1.52
2013-09-17,1.44,1.50,1.44,1.50,178500,1.50
2013-09-16,1.46,1.47,1.43,1.45,73000,1.45
2013-09-13,1.45,1.47,1.38,1.43,2249400,1.43
2013-09-12,1.46,1.55,1.43,1.47,113000,1.47
2013-09-11,1.56,1.56,1.48,1.50,154900,1.50
2013-09-10,1.59,1.59,1.55,1.55,32000,1.55
2013-09-09,1.56,1.59,1.55,1.59,259700,1.59
2013-09-06,1.56,1.56,1.50,1.55,132900,1.55
2013-09-05,1.50,1.60,1.50,1.53,76800,1.53
2013-09-04,1.49,1.53,1.49,1.49,13400,1.49
2013-09-03,1.49,1.49,1.48,1.49,53000,1.49
2013-08-30,1.51,1.51,1.49,1.49,10200,1.49
2013-08-29,1.50,1.51,1.50,1.51,36600,1.51
2013-08-28,1.48,1.48,1.48,1.48,1300,1.48
2013-08-27,1.49,1.50,1.48,1.50,73500,1.50
2013-08-26,1.51,1.51,1.51,1.51,6200,1.51
2013-08-23,1.54,1.54,1.54,1.54,5000,1.54
2013-08-22,1.50,1.50,1.50,1.50,4000,1.50
2013-08-21,1.46,1.52,1.46,1.50,39700,1.50
2013-08-20,1.50,1.50,1.47,1.47,41100,1.47
2013-08-19,1.48,1.48,1.46,1.48,20100,1.48
2013-08-16,1.53,1.53,1.48,1.48,25100,1.48
2013-08-15,1.50,1.54,1.50,1.54,43500,1.54
2013-08-14,1.49,1.52,1.49,1.52,160400,1.52
2013-08-13,1.45,1.49,1.45,1.49,49300,1.49
2013-08-12,1.44,1.44,1.44,1.44,500,1.44
2013-08-09,1.45,1.49,1.42,1.48,52600,1.48
2013-08-08,1.48,1.48,1.46,1.46,5500,1.46
2013-08-07,1.49,1.49,1.49,1.49,6500,1.49
2013-08-06,1.50,1.50,1.45,1.49,43700,1.49
2013-08-02,1.50,1.50,1.50,1.50,5500,1.50
2013-08-01,1.52,1.55,1.46,1.48,38600,1.48
2013-07-31,1.40,1.52,1.40,1.49,229200,1.49
2013-07-30,1.44,1.44,1.43,1.43,13000,1.43
2013-07-29,1.39,1.44,1.39,1.40,158500,1.40
2013-07-26,1.42,1.42,1.40,1.40,1300,1.40
2013-07-25,1.39,1.47,1.39,1.46,800,1.46
2013-07-24,1.41,1.47,1.36,1.47,18400,1.47
2013-07-23,1.41,1.41,1.41,1.41,800,1.41
2013-07-22,1.45,1.45,1.40,1.45,8200,1.45
2013-07-19,1.45,1.48,1.45,1.48,4700,1.48
2013-07-18,1.43,1.46,1.43,1.46,16400,1.46
2013-07-17,1.41,1.45,1.38,1.43,15900,1.43
2013-07-16,1.45,1.45,1.44,1.44,4000,1.44
2013-07-15,1.47,1.47,1.46,1.46,700,1.46
2013-07-12,1.50,1.50,1.45,1.50,38200,1.50
2013-07-11,1.49,1.50,1.49,1.50,1100,1.50
2013-07-10,1.47,1.50,1.45,1.49,23000,1.49
2013-07-09,1.47,1.58,1.47,1.47,94800,1.47
2013-07-08,1.40,1.48,1.39,1.44,109300,1.44
2013-07-05,1.38,1.44,1.36,1.41,263700,1.41
2013-07-04,1.31,1.39,1.31,1.36,1606700,1.36
2013-07-03,1.28,1.28,1.28,1.28,2500,1.28
2013-07-02,1.29,1.40,1.25,1.40,640100,1.40
2013-06-28,1.25,1.27,1.20,1.25,257400,1.25
2013-06-27,1.20,1.23,1.20,1.21,202700,1.21
2013-06-26,1.24,1.24,1.18,1.21,171000,1.21
2013-06-25,1.24,1.24,1.20,1.24,124500,1.24
2013-06-24,1.22,1.27,1.18,1.27,120600,1.27
2013-06-21,1.35,1.35,1.15,1.25,1151500,1.25
2013-06-20,1.37,1.37,1.35,1.35,8300,1.35
2013-06-19,1.39,1.43,1.36,1.43,23800,1.43
2013-06-18,1.37,1.46,1.37,1.46,7000,1.46
2013-06-17,1.37,1.45,1.37,1.45,1500,1.45
2013-06-14,1.41,1.45,1.38,1.42,134200,1.42
2013-06-13,1.46,1.46,1.46,1.46,000,1.46
2013-06-12,1.45,1.46,1.40,1.46,4900,1.46
2013-06-11,1.40,1.43,1.38,1.43,27600,1.43
2013-06-10,1.44,1.44,1.38,1.44,11600,1.44
2013-06-07,1.38,1.39,1.38,1.39,2500,1.39
2013-06-06,1.40,1.48,1.37,1.47,58100,1.47
2013-06-05,1.40,1.40,1.40,1.40,1100,1.40
2013-06-04,1.36,1.44,1.35,1.44,64600,1.44
2013-06-03,1.30,1.45,1.30,1.45,68300,1.45
2013-05-31,1.35,1.35,1.35,1.35,000,1.35
2013-05-30,1.35,1.35,1.35,1.35,146200,1.35
