Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,57.62,57.92,57.29,57.65,82400,57.65
2013-10-15,57.89,57.89,57.03,57.56,140300,57.56
2013-10-11,57.11,58.27,56.98,57.94,120500,57.94
2013-10-10,57.31,57.32,56.81,57.05,103400,57.05
2013-10-09,56.83,57.05,56.57,56.92,153000,56.92
2013-10-08,57.04,57.07,56.63,56.83,105900,56.83
2013-10-07,57.02,57.19,57.00,57.05,203900,57.05
2013-10-04,57.85,57.92,56.85,57.37,160100,57.37
2013-10-03,58.80,58.80,57.20,57.81,222900,57.81
2013-10-02,59.10,59.11,58.52,58.66,162100,58.66
2013-10-01,58.78,59.37,58.51,59.12,104400,59.12
2013-09-30,59.28,59.33,58.51,58.54,148500,58.54
2013-09-27,59.27,60.25,59.06,59.51,339700,59.51
2013-09-26,59.16,60.00,58.78,59.10,184100,59.10
2013-09-25,59.25,59.50,58.68,58.93,94300,58.93
2013-09-24,58.01,59.59,58.01,59.22,183900,59.22
2013-09-23,58.05,58.39,57.70,58.15,101300,58.15
2013-09-20,57.54,58.09,57.54,58.08,111600,58.08
2013-09-19,58.69,58.81,58.02,58.34,134700,58.34
2013-09-18,57.15,58.49,57.15,58.42,178000,58.22
2013-09-17,57.44,57.76,56.99,57.27,101800,57.07
2013-09-16,57.06,58.04,56.79,57.88,172800,57.68
2013-09-13,56.71,56.87,56.10,56.66,239400,56.47
2013-09-12,57.77,57.77,56.35,56.71,154600,56.52
2013-09-11,56.93,57.76,56.66,57.75,327600,57.55
2013-09-10,57.30,57.30,56.84,56.94,144500,56.75
2013-09-09,57.63,57.63,57.02,57.22,106500,57.02
2013-09-06,57.90,58.20,57.36,57.37,134600,57.17
2013-09-05,57.06,57.85,56.54,57.75,148400,57.55
2013-09-04,56.42,57.08,56.42,56.87,85700,56.68
2013-09-03,57.75,57.75,56.56,56.75,161100,56.56
2013-08-30,57.00,57.63,56.71,57.63,186400,57.43
2013-08-29,55.75,56.79,55.73,56.76,106300,56.57
2013-08-28,55.40,55.80,55.05,55.74,118100,55.55
2013-08-27,55.55,55.81,54.72,55.58,193200,55.39
2013-08-26,56.42,56.70,55.72,55.72,92700,55.53
2013-08-23,56.43,57.02,55.88,56.44,102500,56.25
2013-08-22,56.34,57.20,56.33,56.39,150100,56.20
2013-08-21,56.79,57.29,56.35,56.52,109300,56.33
2013-08-20,56.74,57.17,56.31,56.78,112200,56.59
2013-08-19,58.09,58.81,56.49,56.60,159600,56.21
2013-08-16,57.26,58.01,57.20,57.99,372500,57.59
2013-08-15,57.29,57.82,56.53,57.50,214100,57.10
2013-08-14,58.41,58.84,57.32,57.69,236600,57.29
2013-08-13,59.67,59.68,58.59,59.18,332800,58.77
2013-08-12,59.81,60.19,58.96,59.45,195300,59.04
2013-08-09,58.86,60.08,58.60,59.84,307000,59.42
2013-08-08,57.74,59.00,57.04,58.60,300800,58.19
2013-08-07,56.25,56.70,55.20,55.98,150900,55.59
2013-08-06,57.07,57.47,56.31,56.35,121500,55.96
2013-08-02,58.03,58.10,57.30,57.46,120100,57.06
2013-08-01,57.97,58.55,57.00,57.94,172000,57.54
2013-07-31,57.60,57.82,57.02,57.46,126000,57.06
2013-07-30,56.67,56.68,56.17,56.58,189900,56.19
2013-07-29,56.00,56.47,55.86,56.46,100500,56.07
2013-07-26,55.78,56.22,55.16,56.13,317000,55.74
2013-07-25,56.00,56.37,54.71,56.00,145200,55.61
2013-07-24,57.39,57.50,55.45,56.05,153100,55.66
2013-07-23,56.90,57.43,56.75,57.20,171400,56.80
2013-07-22,56.45,57.86,56.25,57.09,174300,56.69
2013-07-19,56.84,56.91,55.55,56.55,361900,56.16
2013-07-18,57.86,58.10,56.85,57.01,431600,56.61
2013-07-17,59.07,59.15,57.18,58.35,282500,57.77
2013-07-16,59.70,59.70,58.79,59.30,122500,58.71
2013-07-15,58.93,59.85,58.92,59.70,116500,59.10
2013-07-12,58.40,58.96,58.02,58.89,152200,58.30
2013-07-11,58.61,58.73,57.74,58.43,159200,57.85
2013-07-10,58.45,58.66,57.43,58.40,184300,57.82
2013-07-09,59.45,59.45,58.06,58.47,136300,57.88
2013-07-08,57.93,59.80,57.75,59.48,253700,58.88
2013-07-05,57.46,58.03,56.72,57.60,166600,57.02
2013-07-04,57.66,57.76,57.03,57.51,33600,56.93
2013-07-03,57.72,57.74,55.87,57.66,109200,57.08
2013-07-02,56.81,58.64,56.80,57.78,251500,57.20
2013-06-28,56.76,57.32,56.35,56.56,132500,55.99
2013-06-27,56.80,56.80,56.32,56.62,173400,56.05
2013-06-26,57.50,58.95,56.26,56.80,328900,56.23
2013-06-25,55.62,57.50,54.61,57.46,384100,56.88
2013-06-24,54.30,55.43,53.36,55.09,612500,54.54
2013-06-21,56.79,56.80,54.94,55.08,494400,54.53
2013-06-20,58.03,58.15,56.01,56.19,532000,55.63
2013-06-19,59.78,60.17,58.76,58.80,250700,58.03
2013-06-18,58.78,60.25,58.67,59.85,182600,59.07
2013-06-17,58.82,59.83,58.69,58.89,197400,58.12
2013-06-14,57.87,59.08,57.81,58.56,149100,57.80
2013-06-13,57.00,57.83,56.52,57.71,294700,56.96
2013-06-12,57.96,57.96,57.12,57.18,311100,56.43
2013-06-11,57.20,58.26,57.10,57.85,288500,57.10
2013-06-10,58.89,58.98,57.09,57.60,488900,56.85
2013-06-07,59.35,59.37,58.61,59.15,297800,58.38
2013-06-06,59.50,60.55,58.86,59.48,401100,58.70
2013-06-05,61.10,61.10,59.01,59.70,586900,58.92
2013-06-04,61.43,61.91,60.76,61.06,558500,60.26
2013-06-03,60.00,61.88,58.90,61.37,438100,60.57
2013-05-31,59.26,60.39,58.37,59.90,3707800,59.12
2013-05-30,60.74,60.86,58.58,59.58,912900,58.80
2013-05-29,63.40,63.40,60.37,61.08,521000,60.28
2013-05-28,63.13,63.79,62.73,63.46,460400,62.63
2013-05-27,63.19,63.50,62.71,63.06,95900,62.24
2013-05-24,63.21,63.50,62.44,62.71,226700,61.89
2013-05-23,62.51,63.51,61.65,63.21,264300,62.39
2013-05-22,64.06,64.09,63.21,63.34,357600,62.51
2013-05-21,63.46,64.16,62.76,63.88,414000,63.05
2013-05-17,62.46,63.26,62.31,63.03,244400,62.03
2013-05-16,62.10,62.57,61.27,62.09,379400,61.11
2013-05-15,61.75,62.04,61.75,61.95,216900,60.97
2013-05-14,61.79,62.05,61.78,61.90,222000,60.92
2013-05-13,61.73,62.00,61.55,61.64,526000,60.66
2013-05-10,61.86,62.00,61.32,61.64,258300,60.66
2013-05-09,61.63,62.00,61.21,61.72,264900,60.74
2013-05-08,61.50,62.03,60.50,61.59,425900,60.61
2013-05-07,61.51,62.50,61.51,61.86,313400,60.88
2013-05-06,60.64,61.78,60.31,61.45,375000,60.48
2013-05-03,61.78,61.78,60.52,60.68,246700,59.72
2013-05-02,61.79,62.10,61.16,61.37,411200,60.40
2013-05-01,62.29,63.98,61.47,61.79,275000,60.81
2013-04-30,61.52,63.06,61.10,62.93,257900,61.93
2013-04-29,61.53,61.54,61.02,61.30,174200,60.33
2013-04-26,60.25,61.73,60.11,61.03,328400,60.06
2013-04-25,59.99,60.40,59.88,60.33,229000,59.37
2013-04-24,60.37,60.37,59.50,59.89,171700,58.94
2013-04-23,60.30,61.09,59.70,60.19,217100,59.24
2013-04-22,59.98,60.59,59.63,60.26,192700,59.30
2013-04-19,59.52,59.81,59.30,59.66,300400,58.71
2013-04-18,59.48,59.87,59.18,59.49,242000,58.55
2013-04-17,59.62,59.65,59.13,59.46,260200,58.34
2013-04-16,59.00,59.95,58.63,59.69,285400,58.57
2013-04-15,58.54,59.23,58.42,58.47,158200,57.37
2013-04-12,58.75,59.14,57.90,58.61,150200,57.51
2013-04-11,57.74,59.24,57.61,58.95,524900,57.84
2013-04-10,57.65,58.16,57.47,57.59,221800,56.51
2013-04-09,57.10,58.19,57.10,57.60,280500,56.52
2013-04-08,56.83,57.25,56.53,57.00,107500,55.93
2013-04-05,56.33,57.15,55.64,56.60,106700,55.53
2013-04-04,56.15,56.87,56.05,56.50,57400,55.44
2013-04-03,57.93,58.00,55.55,56.33,356400,55.27
2013-04-02,57.79,58.65,57.17,57.68,160300,56.59
2013-04-01,57.25,58.04,57.15,57.79,183700,56.70
2013-03-28,56.62,57.31,56.38,57.09,154200,56.01
2013-03-27,56.68,56.83,56.14,56.43,124100,55.37
2013-03-26,56.48,56.82,55.86,56.53,123000,55.47
2013-03-25,56.47,56.55,56.25,56.26,205100,55.20
2013-03-22,56.12,56.53,55.98,56.20,246800,55.14
2013-03-21,55.62,56.21,55.62,56.04,209600,54.98
2013-03-20,55.23,55.86,55.06,55.60,221400,54.55
2013-03-19,54.89,55.25,54.51,55.04,89600,53.83
2013-03-18,53.92,55.23,53.92,54.91,161700,53.70
2013-03-15,54.11,54.66,53.42,54.24,399400,53.04
2013-03-14,54.89,55.00,53.87,54.20,318100,53.01
2013-03-13,55.60,55.60,54.54,54.99,148200,53.78
2013-03-12,55.85,55.85,55.24,55.53,62600,54.31
2013-03-11,55.60,56.10,55.50,55.75,143100,54.52
2013-03-08,55.50,55.78,55.39,55.59,63300,54.36
2013-03-07,55.25,55.77,55.13,55.50,192500,54.28
2013-03-06,55.00,55.55,54.79,55.11,211900,53.90
2013-03-05,54.51,54.93,54.19,54.73,135500,53.52
2013-03-04,54.27,54.35,54.02,54.35,94300,53.15
2013-03-01,54.40,55.06,54.27,54.45,120400,53.25
2013-02-28,53.89,54.59,53.69,54.45,111900,53.25
2013-02-27,53.79,54.26,53.66,53.95,153200,52.76
2013-02-26,53.90,53.90,52.95,53.61,82000,52.43
2013-02-25,53.83,54.18,53.37,53.61,161200,52.43
2013-02-22,52.98,53.97,52.98,53.43,148000,52.25
2013-02-21,52.94,53.56,52.43,52.92,161800,51.75
2013-02-20,53.83,54.11,53.51,53.73,225200,52.37
2013-02-19,53.81,54.16,53.31,54.11,357900,52.74
2013-02-15,52.80,54.22,52.75,54.10,445700,52.73
2013-02-14,52.19,52.68,52.01,52.59,175500,51.26
2013-02-13,51.34,52.29,51.34,52.21,131800,50.89
2013-02-12,51.00,51.72,50.87,51.47,265300,50.17
2013-02-11,51.14,51.46,50.81,50.95,120700,49.66
2013-02-08,51.36,51.36,50.90,51.15,183000,49.85
2013-02-07,51.20,51.44,50.93,51.17,114900,49.87
2013-02-06,51.76,51.94,51.20,51.29,184700,49.99
2013-02-05,52.00,52.21,51.53,51.78,115400,50.47
2013-02-04,51.32,52.25,51.31,51.80,108000,50.49
2013-02-01,51.72,52.45,51.72,52.04,72800,50.72
2013-01-31,51.91,52.56,51.72,51.90,187800,50.59
2013-01-30,51.45,52.20,51.45,51.84,112100,50.53
2013-01-29,51.28,51.89,51.06,51.70,93800,50.39
2013-01-28,51.47,51.50,50.93,51.02,123500,49.73
2013-01-25,51.50,51.70,50.90,51.29,97800,49.99
2013-01-24,51.20,51.53,51.00,51.23,101200,49.93
2013-01-23,50.98,51.34,50.96,51.15,100000,49.85
2013-01-22,51.11,51.18,50.70,50.87,175600,49.58
2013-01-21,51.47,51.47,50.73,51.18,68000,49.88
2013-01-18,51.00,51.48,50.75,51.16,172800,49.86
2013-01-17,50.10,51.30,50.00,51.17,541700,49.70
2013-01-16,49.95,50.40,49.66,50.00,225500,48.56
2013-01-15,49.21,50.00,49.09,49.95,205500,48.51
2013-01-14,49.16,49.53,49.00,49.30,332200,47.88
2013-01-11,49.77,49.78,49.51,49.64,170500,48.21
2013-01-10,49.93,49.98,49.20,49.70,222000,48.27
2013-01-09,50.00,50.01,49.63,49.69,217900,48.26
2013-01-08,50.19,50.25,49.61,50.07,171100,48.63
2013-01-07,49.61,50.10,49.26,50.07,257700,48.63
2013-01-04,50.00,50.34,49.56,49.85,126100,48.42
2013-01-03,49.66,49.99,49.47,49.89,87700,48.46
2013-01-02,49.77,49.92,49.26,49.77,157200,48.34
2012-12-31,48.50,49.30,48.50,49.23,110000,47.81
2012-12-28,48.75,48.80,48.47,48.77,86600,47.37
2012-12-27,49.09,49.09,48.41,48.74,45600,47.34
2012-12-24,49.00,49.17,48.75,48.96,36900,47.55
2012-12-21,48.90,49.19,48.79,48.90,249400,47.49
2012-12-20,48.81,49.25,48.80,49.00,125800,47.59
2012-12-19,49.00,49.00,48.57,48.80,140200,47.22
2012-12-18,48.58,49.00,48.27,48.99,165200,47.41
2012-12-17,47.77,48.73,47.77,48.50,204000,46.93
2012-12-14,47.71,48.11,47.56,48.11,128400,46.55
2012-12-13,47.90,48.02,47.67,47.70,185100,46.16
2012-12-12,47.89,47.96,47.54,47.80,182100,46.25
2012-12-11,46.99,47.74,46.86,47.63,348100,46.09
2012-12-10,46.75,47.00,46.50,46.75,71200,45.24
2012-12-07,46.23,46.74,46.20,46.44,88400,44.94
2012-12-06,46.59,46.59,46.20,46.31,73100,44.81
2012-12-05,46.41,46.74,46.29,46.42,183900,44.92
2012-12-04,47.13,47.13,46.45,46.58,127700,45.07
2012-12-03,47.51,47.55,47.01,47.20,606400,45.67
2012-11-30,47.36,47.65,47.06,47.59,123000,46.05
2012-11-29,47.35,47.48,47.06,47.20,53900,45.67
2012-11-28,46.91,47.54,46.91,47.50,76900,45.96
2012-11-27,47.51,48.07,47.40,47.52,232000,45.98
2012-11-26,47.19,47.55,46.87,47.50,104100,45.96
2012-11-23,46.64,47.21,46.45,46.85,84700,45.34
2012-11-22,46.18,46.66,46.03,46.26,50800,44.76
2012-11-21,46.26,46.26,45.80,46.13,164100,44.64
2012-11-20,46.80,47.05,46.01,46.18,84400,44.69
2012-11-19,46.34,47.01,46.25,46.96,75100,45.27
2012-11-16,44.72,46.04,44.51,45.93,135000,44.27
2012-11-15,45.76,46.06,44.86,45.20,250500,43.57
2012-11-14,46.06,46.50,46.06,46.36,98400,44.69
2012-11-13,46.00,46.13,45.50,46.10,130200,44.44
2012-11-12,46.93,47.00,46.10,46.10,71600,44.44
2012-11-09,46.71,47.27,46.60,47.07,80300,45.37
2012-11-08,47.49,47.49,46.56,47.29,173800,45.59
2012-11-07,48.00,48.00,47.25,47.36,143400,45.65
2012-11-06,48.31,48.41,47.68,48.18,95500,46.44
2012-11-05,47.09,48.04,47.09,48.02,89600,46.29
2012-11-02,48.49,48.49,47.43,47.74,151500,46.02
2012-11-01,48.52,48.80,48.21,48.36,179900,46.62
2012-10-31,48.21,48.80,48.07,48.48,75300,46.73
2012-10-30,47.15,48.60,47.15,48.19,124200,46.45
2012-10-29,47.25,47.33,47.05,47.33,34000,45.62
2012-10-26,47.53,47.54,46.99,47.18,70400,45.48
2012-10-25,47.59,47.67,47.35,47.55,59600,45.84
2012-10-24,47.25,47.50,47.08,47.39,119000,45.68
2012-10-23,47.23,47.23,46.75,47.12,59100,45.42
2012-10-22,47.29,47.41,47.03,47.29,124500,45.59
2012-10-19,47.27,47.48,47.25,47.35,102400,45.64
2012-10-18,47.67,47.67,47.16,47.27,94700,45.57
2012-10-17,47.35,47.67,47.14,47.67,109500,45.79
2012-10-16,47.52,47.65,47.01,47.25,80700,45.38
2012-10-15,47.38,47.51,47.10,47.50,197000,45.62
2012-10-12,47.01,47.52,47.01,47.39,120400,45.52
2012-10-11,47.61,47.63,46.84,47.05,165500,45.19
2012-10-10,48.26,48.27,46.62,47.56,251000,45.68
2012-10-09,48.50,48.72,48.12,48.48,325400,46.57
2012-10-05,48.89,49.24,48.89,49.00,103900,47.07
2012-10-04,49.27,49.39,49.05,49.25,135000,47.31
2012-10-03,49.00,49.44,49.00,49.25,174800,47.31
2012-10-02,48.53,49.15,48.51,49.04,178200,47.10
2012-10-01,47.88,48.88,47.88,48.50,240900,46.59
2012-09-28,47.42,47.84,47.24,47.64,167400,45.76
2012-09-27,47.05,47.78,47.01,47.42,146300,45.55
2012-09-26,46.55,47.07,46.55,47.00,161100,45.14
2012-09-25,46.78,46.98,46.61,46.97,153700,45.12
2012-09-24,46.70,47.00,46.52,46.79,95200,44.94
2012-09-21,47.38,47.43,46.70,46.70,284500,44.86
2012-09-20,47.00,47.28,46.56,47.12,278300,45.26
2012-09-19,46.45,47.20,46.30,47.04,272600,45.02
2012-09-18,46.11,46.54,45.86,46.53,142900,44.53
2012-09-17,46.10,46.50,45.95,46.02,107400,44.04
2012-09-14,45.74,46.09,45.54,46.07,244300,44.09
2012-09-13,45.07,45.46,45.03,45.38,131400,43.43
2012-09-12,44.75,45.25,44.72,44.99,307900,43.06
2012-09-11,44.98,45.04,44.70,44.75,143900,42.83
2012-09-10,44.90,45.15,44.66,44.77,73700,42.85
2012-09-07,44.89,44.89,44.68,44.87,234200,42.94
2012-09-06,44.85,44.95,44.66,44.91,271400,42.98
2012-09-05,44.99,44.99,44.03,44.88,97700,42.95
2012-09-04,44.83,45.00,44.75,44.95,196800,43.02
2012-08-31,44.75,45.00,44.73,45.00,92500,43.07
2012-08-30,45.38,45.40,44.70,44.79,108700,42.87
2012-08-29,45.83,45.85,45.29,45.38,125200,43.43
2012-08-28,46.00,46.00,45.80,45.88,110200,43.91
2012-08-27,46.50,46.50,45.75,46.00,100100,44.02
2012-08-24,46.51,46.57,46.14,46.40,136600,44.41
2012-08-23,46.29,46.62,46.17,46.50,228400,44.50
2012-08-22,46.45,46.45,45.94,46.17,251200,44.19
2012-08-21,47.71,47.71,46.47,46.50,168700,44.50
2012-08-20,47.25,47.60,47.25,47.37,322800,45.34
2012-08-17,47.75,47.75,46.87,47.35,287800,45.15
2012-08-16,47.61,48.00,47.61,47.70,240600,45.49
2012-08-15,47.13,47.80,47.00,47.60,129000,45.39
2012-08-14,46.33,47.31,46.33,47.14,246000,44.95
2012-08-13,46.02,46.39,45.99,46.33,236100,44.18
2012-08-10,46.14,46.29,45.94,46.10,112500,43.96
2012-08-09,46.00,46.22,45.73,46.00,255600,43.87
2012-08-08,45.40,45.50,45.00,45.00,135700,42.91
2012-08-07,45.77,45.77,44.99,45.23,81600,43.13
2012-08-03,45.01,45.44,44.95,45.33,147700,43.23
2012-08-02,45.35,45.35,44.60,44.90,108700,42.82
2012-08-01,45.46,45.56,45.22,45.35,265000,43.25
2012-07-31,44.61,45.35,44.61,45.27,171800,43.17
2012-07-30,44.20,44.98,44.13,44.60,91100,42.53
2012-07-27,44.20,44.44,43.85,44.20,72200,42.15
2012-07-26,43.82,44.25,43.51,44.06,96900,42.02
2012-07-25,44.06,44.29,43.70,44.13,48800,42.08
2012-07-24,44.95,44.95,43.80,44.06,68800,42.02
2012-07-23,44.60,45.15,43.90,44.85,110000,42.77
2012-07-20,44.29,44.73,44.23,44.73,79800,42.66
2012-07-19,44.39,44.43,44.01,44.11,90600,42.06
2012-07-18,44.28,44.42,43.94,44.23,90300,42.02
2012-07-17,43.30,44.69,43.30,44.28,237000,42.06
2012-07-16,42.80,43.34,42.57,43.30,139800,41.13
2012-07-13,42.30,42.97,42.30,42.53,244000,40.40
2012-07-12,42.26,42.62,42.14,42.32,114100,40.20
2012-07-11,42.35,42.70,41.79,42.46,91400,40.33
2012-07-10,42.83,43.18,42.00,42.42,119300,40.30
2012-07-09,42.80,43.02,42.05,42.98,104900,40.83
2012-07-06,42.85,42.95,42.35,42.85,53000,40.71
2012-07-05,42.51,43.07,42.30,42.83,89600,40.69
2012-07-04,43.22,43.30,42.96,43.01,158900,40.86
2012-07-03,42.57,43.40,42.57,43.05,184900,40.90
2012-06-29,42.24,42.45,41.67,42.38,422900,40.26
2012-06-28,41.05,41.74,41.05,41.39,168400,39.32
2012-06-27,41.14,41.61,41.00,41.05,71400,39.00
2012-06-26,41.35,41.44,40.85,41.11,69900,39.05
2012-06-25,41.86,41.87,40.83,41.27,89900,39.20
2012-06-22,41.75,41.87,41.02,41.53,120000,39.45
2012-06-21,42.50,42.53,41.33,41.62,184700,39.54
2012-06-20,40.51,42.63,40.51,42.22,313900,40.11
2012-06-19,39.55,40.89,39.54,40.63,557300,38.43
2012-06-18,40.49,40.49,39.48,39.48,373700,37.35
2012-06-15,41.36,41.52,40.62,40.62,282600,38.43
2012-06-14,41.85,41.94,41.43,41.64,108900,39.39
2012-06-13,42.01,42.05,41.65,41.85,91900,39.59
2012-06-12,42.66,42.66,41.50,42.01,159100,39.74
2012-06-11,43.19,43.19,42.34,42.69,62300,40.38
2012-06-08,42.90,43.10,42.47,43.01,110500,40.69
2012-06-07,43.09,43.10,42.74,42.95,99300,40.63
2012-06-06,42.85,43.33,42.69,42.92,138900,40.60
2012-06-05,41.99,42.94,41.81,42.93,137200,40.61
2012-06-04,41.01,41.72,41.01,41.71,122500,39.46
2012-06-01,41.72,41.75,40.98,41.19,143000,38.96
