Date,Open,High,Low,Close,Volume,Adj Close
1995-01-11,84.96,85.67,84.84,85.43,276000,5.97
1995-01-10,84.26,85.31,84.26,84.73,426000,5.92
1995-01-09,83.79,84.61,83.79,84.02,459600,5.87
1995-01-06,84.37,84.61,83.55,83.79,400800,5.85
1995-01-05,84.14,84.61,84.14,84.37,355200,5.89
1995-01-04,83.08,84.14,82.96,84.14,420000,5.88
1995-01-03,81.55,82.61,81.44,82.61,301200,5.77
1994-12-30,81.67,82.26,81.55,81.67,352800,5.70
1994-12-29,81.79,82.02,81.44,81.67,354000,5.70
1994-12-28,81.91,81.91,81.20,81.55,262800,5.70
1994-12-27,81.08,82.02,80.85,82.02,334800,5.73
1994-12-23,81.08,81.08,80.61,80.85,345600,5.65
1994-12-22,81.44,81.44,80.97,81.08,669600,5.66
1994-12-21,81.91,82.02,81.44,81.67,494400,5.70
1994-12-20,81.55,82.26,81.55,82.02,494400,5.73
1994-12-19,82.02,82.26,81.32,81.55,310800,5.70
1994-12-16,82.49,82.49,82.02,82.02,427200,5.73
1994-12-15,82.26,82.26,81.67,82.26,363600,5.75
1994-12-14,82.02,82.73,80.50,82.02,585600,5.73
1994-12-13,82.38,83.08,81.79,81.79,1207200,5.71
1994-12-12,81.67,82.26,81.32,82.26,1039200,5.75
1994-12-09,82.14,82.14,81.79,81.79,714000,5.71
1994-12-08,82.85,82.85,82.02,82.14,243600,5.74
1994-12-07,81.91,82.73,81.91,82.61,264000,5.77
1994-12-06,82.49,82.49,81.79,82.14,232800,5.74
1994-12-05,82.73,82.73,82.14,82.14,104400,5.74
1994-12-02,81.79,82.26,81.79,82.02,160800,5.73
1994-12-01,81.20,82.02,81.20,82.02,837600,5.73
1994-11-30,81.79,81.79,81.20,81.20,165600,5.67
1994-11-29,82.02,82.02,81.44,81.55,213600,5.70
1994-11-28,81.32,82.26,81.32,81.79,393600,5.71
1994-11-25,81.20,81.44,81.20,81.44,75600,5.69
1994-11-23,81.08,81.55,80.14,80.97,291600,5.65
1994-11-22,84.02,84.49,81.08,81.08,1490400,5.66
1994-11-21,84.49,84.49,83.79,84.02,208800,5.87
1994-11-18,85.20,85.43,84.37,84.49,235200,5.90
1994-11-17,85.67,85.78,85.31,85.43,171600,5.97
1994-11-16,86.02,86.02,85.31,85.55,478800,5.98
1994-11-15,85.55,86.02,85.55,85.78,463200,5.99
1994-11-14,85.43,85.67,85.43,85.55,614400,5.98
1994-11-11,84.49,84.96,84.37,84.96,172800,5.93
1994-11-10,84.26,84.61,84.26,84.49,456000,5.90
1994-11-09,84.14,84.49,84.14,84.26,506400,5.88
1994-11-08,84.26,84.37,84.14,84.26,316800,5.88
1994-11-07,84.37,84.49,84.26,84.26,442800,5.88
1994-11-04,84.02,84.61,84.02,84.49,558000,5.90
1994-11-03,84.14,84.61,84.02,84.02,290400,5.87
1994-11-02,83.55,84.02,83.32,84.02,662400,5.87
1994-11-01,82.85,83.67,82.85,83.32,537600,5.82
1994-10-31,83.79,83.79,82.96,82.96,352800,5.79
1994-10-28,83.90,83.90,83.55,83.55,72000,5.82
1994-10-27,83.67,84.14,83.43,83.79,213600,5.83
1994-10-26,83.67,84.02,83.43,84.02,181200,5.85
1994-10-25,83.08,83.79,82.97,83.67,201600,5.83
1994-10-24,82.73,83.20,82.61,83.08,139200,5.79
1994-10-21,83.43,83.43,82.50,82.50,338400,5.74
1994-10-20,84.61,84.61,83.55,83.67,217200,5.83
1994-10-19,85.31,85.31,84.61,84.72,459600,5.90
1994-10-18,84.49,85.78,84.25,85.19,314400,5.93
1994-10-17,83.67,84.25,83.67,84.25,148800,5.87
1994-10-14,83.55,83.55,83.08,83.55,60000,5.82
1994-10-13,83.43,83.90,82.38,83.43,357600,5.81
1994-10-12,83.55,83.79,82.85,83.32,370800,5.80
1994-10-11,82.26,83.55,82.26,83.32,518400,5.80
1994-10-10,81.56,82.26,81.56,82.03,499200,5.71
1994-10-07,82.03,82.03,81.44,81.68,1987200,5.69
1994-10-06,81.91,82.15,81.79,81.79,289200,5.70
1994-10-05,82.50,82.50,81.68,81.68,296400,5.69
1994-10-04,82.97,82.97,82.38,82.50,424800,5.74
1994-10-03,83.08,83.20,82.85,82.85,432000,5.77
1994-09-30,83.08,83.32,82.85,82.85,240000,5.77
1994-09-29,83.20,83.20,82.73,82.97,228000,5.78
1994-09-28,82.50,83.32,82.38,83.08,1692000,5.79
1994-09-27,82.50,82.85,82.38,82.61,916800,5.75
1994-09-26,82.61,82.61,82.26,82.50,208800,5.74
1994-09-23,82.61,82.97,82.61,82.61,516000,5.75
1994-09-22,83.20,83.55,82.61,82.61,1798800,5.75
1994-09-21,83.55,83.79,83.20,83.20,187200,5.79
1994-09-20,84.72,84.72,83.55,83.55,304800,5.82
1994-09-19,84.84,84.84,84.37,84.72,204000,5.90
1994-09-16,84.84,84.84,84.49,84.61,534000,5.89
1994-09-15,85.66,85.66,84.72,85.08,470400,5.92
1994-09-14,84.96,85.90,84.96,85.66,646800,5.96
1994-09-13,85.31,85.43,84.84,85.08,204000,5.92
1994-09-12,86.01,86.36,85.19,85.31,268800,5.94
1994-09-09,86.13,86.25,85.90,86.01,210000,5.99
1994-09-08,86.48,86.60,86.01,86.01,487200,5.99
1994-09-07,87.07,87.07,86.36,86.48,138000,6.02
1994-09-06,87.30,87.89,86.83,87.07,522000,6.06
1994-09-02,87.65,88.00,87.30,87.30,352800,6.08
1994-09-01,85.66,87.89,85.66,87.89,681600,6.12
1994-08-31,85.43,86.48,85.31,85.31,565200,5.94
1994-08-30,85.43,85.54,85.08,85.43,250800,5.95
1994-08-29,86.01,86.01,85.31,85.31,141600,5.94
1994-08-26,85.43,86.01,85.31,85.90,446400,5.98
1994-08-25,85.19,85.54,85.19,85.54,472800,5.96
1994-08-24,85.08,85.19,84.84,85.19,283200,5.93
1994-08-23,84.37,85.31,84.37,84.84,600000,5.91
1994-08-22,84.02,84.25,84.02,84.14,316800,5.86
1994-08-19,84.14,84.25,84.02,84.14,74400,5.86
1994-08-18,84.25,84.25,83.90,84.14,552000,5.86
1994-08-17,84.14,84.37,84.02,84.02,264000,5.85
1994-08-16,84.25,84.25,83.90,84.02,98400,5.85
1994-08-15,84.14,84.25,83.90,84.14,97200,5.86
1994-08-12,83.90,84.37,83.90,84.14,307200,5.86
