Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,46.22,47.20,46.14,47.09,488900,47.09
2013-10-15,46.35,46.36,45.86,46.01,560600,46.01
2013-10-11,46.37,46.74,46.25,46.32,218100,46.32
2013-10-10,46.01,46.75,45.98,46.45,509400,46.45
2013-10-09,45.21,46.00,45.05,45.85,439200,45.85
2013-10-08,45.55,45.58,45.02,45.10,517600,45.10
2013-10-07,45.30,45.94,45.30,45.66,294100,45.66
2013-10-04,45.02,45.49,45.01,45.43,494600,45.43
2013-10-03,45.61,45.63,44.85,45.10,681800,45.10
2013-10-02,45.50,45.67,45.06,45.67,462500,45.67
2013-10-01,45.60,45.74,45.48,45.52,362300,45.52
2013-09-30,45.50,45.63,45.41,45.51,718400,45.51
2013-09-27,45.48,45.83,45.39,45.80,489700,45.80
2013-09-26,45.28,45.84,45.15,45.55,787800,45.55
2013-09-25,45.32,45.46,44.95,45.15,610200,45.15
2013-09-24,44.88,45.46,44.86,45.38,539800,45.38
2013-09-23,44.54,44.95,44.50,44.85,304800,44.85
2013-09-20,45.12,45.12,44.25,44.50,1206900,44.50
2013-09-19,44.98,45.00,44.47,44.84,708700,44.84
2013-09-18,45.33,45.48,44.65,44.84,932000,44.84
2013-09-17,44.55,45.60,44.55,45.34,793600,45.34
2013-09-16,44.58,44.87,44.35,44.53,975700,44.53
2013-09-13,44.99,45.20,44.27,44.28,837600,44.28
2013-09-12,46.04,46.04,44.93,44.99,1337000,44.99
2013-09-11,46.72,46.72,45.75,46.04,1048500,46.04
2013-09-10,46.37,46.98,46.23,46.79,1063600,46.55
2013-09-09,45.92,46.26,45.55,46.19,771800,45.95
2013-09-06,45.84,46.01,45.58,45.75,553200,45.52
2013-09-05,45.24,45.91,45.12,45.70,732400,45.47
2013-09-04,44.96,45.33,44.75,45.12,637100,44.89
2013-09-03,45.50,45.56,44.67,44.90,651800,44.67
2013-08-30,45.44,45.51,44.81,44.97,422700,44.74
2013-08-29,45.00,45.33,44.81,45.22,339800,44.99
2013-08-28,45.04,45.17,44.67,44.94,473600,44.71
2013-08-27,45.43,45.43,44.74,44.95,1192700,44.72
2013-08-26,45.80,45.92,45.50,45.57,212300,45.34
2013-08-23,45.70,46.10,45.50,45.73,278300,45.50
2013-08-22,45.70,45.94,45.28,45.55,590300,45.32
