Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,36.32,36.64,35.20,36.08,977700,36.08
2011-09-23,36.14,36.45,35.79,36.43,529000,36.43
2011-09-22,36.57,36.81,35.51,36.53,1450100,36.53
2011-09-21,37.62,38.12,36.51,37.49,500300,37.49
2011-09-20,38.14,38.40,37.71,37.84,773100,37.84
2011-09-19,37.27,38.14,36.74,38.07,708700,38.07
2011-09-16,37.71,38.18,37.13,37.57,659100,37.57
2011-09-15,37.78,38.20,37.54,37.83,586200,37.83
2011-09-14,37.21,38.02,36.82,37.62,750800,37.62
2011-09-13,37.18,37.25,36.65,37.08,668800,37.08
2011-09-12,36.95,37.16,36.47,37.08,703700,37.08
2011-09-09,36.96,37.49,36.78,37.21,726700,37.21
2011-09-08,36.90,37.38,36.72,37.06,526200,37.06
2011-09-07,36.82,37.14,36.63,36.90,671700,36.90
2011-09-06,35.75,36.33,35.54,36.31,766900,36.31
2011-09-02,36.78,37.15,36.40,36.63,720700,36.63
2011-09-01,37.90,37.96,36.96,37.13,786200,37.13
2011-08-31,38.00,38.45,37.65,37.85,640200,37.85
2011-08-30,37.85,38.00,37.44,37.80,787100,37.80
2011-08-29,37.47,38.00,37.27,37.92,644400,37.92
2011-08-26,36.14,37.19,35.92,36.97,507800,36.97
2011-08-25,36.95,36.95,36.01,36.41,725500,36.41
2011-08-24,36.00,36.45,35.43,36.23,921500,36.23
2011-08-23,35.25,35.90,34.95,35.90,1019500,35.90
2011-08-22,36.39,36.48,34.95,35.09,1159200,35.09
2011-08-19,36.03,36.90,35.61,35.74,1078600,35.74
2011-08-18,37.00,37.18,36.38,36.61,1384300,36.61
2011-08-17,37.99,38.18,37.66,37.93,833700,37.93
2011-08-16,38.19,38.20,37.38,37.65,998700,37.65
2011-08-15,38.50,38.68,38.00,38.58,1043400,38.58
2011-08-12,38.94,39.17,37.71,37.86,1204500,37.86
2011-08-11,37.46,38.12,37.01,37.71,1482900,37.71
2011-08-10,35.42,37.55,34.75,37.15,3037700,37.15
2011-08-09,32.73,35.58,32.63,35.58,3278900,35.58
2011-08-08,33.39,33.58,31.51,31.91,4133700,31.91
2011-08-05,35.88,36.00,32.39,34.45,6736200,34.45
2011-08-04,38.23,38.23,36.00,36.08,2717400,36.08
2011-08-03,38.75,39.09,38.01,38.73,1277200,38.73
2011-08-02,40.00,40.00,39.35,39.35,1373300,38.66
2011-08-01,40.89,40.89,40.10,40.21,907100,39.50
2011-07-29,39.22,40.20,39.15,40.03,865100,39.33
2011-07-28,39.21,40.20,39.18,39.78,1388600,39.08
2011-07-27,40.26,40.79,39.46,39.77,1710000,39.07
2011-07-26,40.73,40.73,40.19,40.30,647100,39.59
2011-07-25,40.40,40.98,40.32,40.58,674200,39.87
2011-07-22,40.65,41.13,40.59,40.90,750200,40.18
2011-07-21,40.31,40.65,40.22,40.65,1086500,39.94
2011-07-20,40.13,40.40,39.93,40.21,515400,39.50
2011-07-19,40.05,40.27,39.86,39.96,559900,39.26
2011-07-18,39.95,40.11,39.52,40.04,961700,39.34
2011-07-15,39.18,40.00,39.14,39.98,1473700,39.28
2011-07-14,39.24,39.39,38.72,38.82,571700,38.14
2011-07-13,39.14,39.35,38.80,38.97,477600,38.29
2011-07-12,38.51,39.16,38.44,38.86,515600,38.18
2011-07-11,39.05,39.27,38.68,38.74,729400,38.06
2011-07-08,39.35,39.50,39.25,39.50,764200,38.81
2011-07-07,39.50,39.56,39.30,39.50,997700,38.81
2011-07-06,39.50,39.50,39.06,39.44,622600,38.75
2011-07-05,39.30,39.90,39.25,39.65,660400,38.95
2011-07-01,39.16,39.44,39.00,39.20,569300,38.51
2011-06-30,39.19,39.45,38.91,39.07,716600,38.38
2011-06-29,38.83,39.20,38.73,38.86,769400,38.18
2011-06-28,38.66,38.95,38.57,38.80,591000,38.12
2011-06-27,37.97,38.52,37.85,38.42,651900,37.75
2011-06-24,37.66,38.38,37.66,38.00,800400,37.33
2011-06-23,37.30,37.73,36.87,37.66,742300,37.00
2011-06-22,37.65,38.14,37.50,37.51,782700,36.85
2011-06-21,36.69,37.84,36.69,37.62,986300,36.96
2011-06-20,36.75,36.97,36.43,36.65,830500,36.01
2011-06-17,37.29,37.41,36.80,36.89,943900,36.24
2011-06-16,37.42,37.87,37.00,37.05,810900,36.40
2011-06-15,38.10,38.25,37.53,37.64,654700,36.98
2011-06-14,37.37,38.29,37.25,38.26,737900,37.59
2011-06-13,37.66,37.88,36.83,37.21,1046300,36.56
2011-06-10,37.69,37.88,37.43,37.80,797400,37.14
2011-06-09,37.04,37.79,37.04,37.69,810500,37.03
2011-06-08,37.67,38.00,36.83,36.89,987000,36.24
2011-06-07,37.75,37.95,37.41,37.70,649500,37.04
2011-06-06,38.00,38.14,37.40,37.67,1189500,37.01
2011-06-03,37.65,38.32,37.57,38.10,700300,37.43
2011-06-02,38.46,38.84,38.08,38.27,743600,37.60
2011-06-01,38.64,39.04,38.46,38.53,853300,37.85
2011-05-31,38.95,39.25,38.61,38.86,552200,38.18
2011-05-27,39.06,39.30,38.62,38.86,487500,38.18
2011-05-26,38.85,39.00,38.63,38.94,570600,38.26
2011-05-25,38.57,38.80,38.09,38.57,1353200,37.89
2011-05-24,38.25,38.60,38.00,38.17,630700,37.50
2011-05-23,38.00,38.25,37.87,38.20,637700,37.53
2011-05-20,38.35,38.66,38.00,38.56,593700,37.88
2011-05-19,38.35,38.57,38.11,38.35,868500,37.68
2011-05-18,37.46,38.36,37.34,38.02,1016700,37.35
2011-05-17,37.94,38.14,36.90,37.33,1380900,36.68
2011-05-16,38.07,38.34,37.43,37.76,1084800,37.10
2011-05-13,38.00,38.19,37.43,37.79,749000,37.13
2011-05-12,37.06,37.75,37.04,37.71,1100000,37.05
2011-05-11,38.73,38.98,37.72,37.91,1494900,37.25
2011-05-10,38.42,38.97,38.29,38.77,1228500,38.09
2011-05-09,37.97,38.22,37.41,38.20,1508400,37.53
2011-05-06,36.86,38.11,36.83,37.63,1415400,36.97
2011-05-05,37.74,37.85,36.12,36.66,3147100,36.02
2011-05-04,38.90,38.94,37.84,38.01,1943600,37.34
2011-05-03,40.19,40.24,39.52,39.65,1358300,38.31
2011-05-02,40.47,40.60,39.85,39.97,1401300,38.62
2011-04-29,40.25,40.79,40.01,40.38,1257700,39.01
2011-04-28,39.96,40.35,39.78,40.17,998600,38.81
2011-04-27,39.98,40.00,39.42,39.96,878800,38.61
2011-04-26,39.88,39.97,39.51,39.88,951500,38.53
2011-04-25,39.33,39.76,39.03,39.71,1291600,38.36
2011-04-21,38.98,38.98,38.61,38.94,674400,37.62
2011-04-20,39.04,39.15,38.61,38.77,907500,37.46
2011-04-19,38.59,38.89,38.40,38.74,700500,37.43
2011-04-18,38.88,38.90,38.31,38.61,890400,37.30
2011-04-15,38.91,39.06,38.70,39.04,1130900,37.72
2011-04-14,38.62,38.96,38.27,38.69,841100,37.38
2011-04-13,38.45,38.83,38.36,38.75,715300,37.44
2011-04-12,38.70,38.85,37.90,38.23,1291200,36.93
2011-04-11,39.12,39.25,38.69,38.82,837000,37.50
2011-04-08,39.26,39.48,38.88,39.20,838400,37.87
2011-04-07,39.30,39.34,38.75,39.18,645800,37.85
2011-04-06,39.45,39.57,38.99,39.28,902800,37.95
2011-04-05,39.40,39.50,39.17,39.38,631300,38.05
2011-04-04,39.54,39.62,39.35,39.41,806100,38.07
2011-04-01,39.28,39.49,38.95,39.47,816800,38.13
2011-03-31,39.24,39.39,38.82,38.93,951200,37.61
2011-03-30,39.04,39.25,38.77,38.89,854300,37.57
2011-03-29,39.00,39.11,38.70,38.75,859200,37.44
2011-03-28,39.30,39.39,38.96,38.99,789000,37.67
2011-03-25,39.17,39.29,39.01,39.26,834200,37.93
2011-03-24,38.92,39.23,38.81,39.16,1926700,37.83
2011-03-23,39.00,39.05,38.62,38.81,666100,37.49
2011-03-22,39.05,39.09,38.80,38.98,796700,37.66
2011-03-21,38.90,39.04,38.66,39.02,1455400,37.70
2011-03-18,38.70,38.80,38.38,38.80,1621000,37.49
2011-03-17,38.34,38.55,38.06,38.50,1375700,37.20
2011-03-16,37.80,38.38,37.52,37.80,1186900,36.52
2011-03-15,37.04,37.73,36.50,37.57,2286200,36.30
2011-03-14,38.05,38.27,37.90,38.20,1010800,36.91
2011-03-11,37.50,38.15,37.50,38.13,1333400,36.84
2011-03-10,38.05,38.20,37.89,37.91,2028100,36.63
2011-03-09,38.35,38.47,38.03,38.08,1340400,36.79
2011-03-08,38.65,38.69,38.25,38.53,1163200,37.22
2011-03-07,38.75,38.78,38.30,38.62,1588400,37.31
2011-03-04,38.60,38.60,38.33,38.44,1355400,37.14
2011-03-03,38.59,38.61,38.40,38.52,1569300,37.21
2011-03-02,38.40,38.49,38.25,38.39,1926600,37.09
2011-03-01,38.69,38.78,38.24,38.24,14740800,36.94
2011-02-28,38.60,39.18,38.50,38.83,2781800,37.51
2011-02-25,39.36,39.87,39.22,39.70,649800,38.35
2011-02-24,38.64,39.39,38.55,39.20,662500,37.87
2011-02-23,39.05,39.41,38.70,38.77,846000,37.46
2011-02-22,38.96,39.45,38.77,38.98,653900,37.66
2011-02-18,38.50,39.05,38.35,38.79,548500,37.48
2011-02-17,39.08,39.20,38.56,38.66,625100,37.35
2011-02-16,39.00,39.25,38.94,39.20,430200,37.87
2011-02-15,39.00,39.32,38.45,38.94,484600,37.62
2011-02-14,38.57,38.94,38.41,38.91,639900,37.59
2011-02-11,38.00,38.20,37.94,38.20,381500,36.91
2011-02-10,38.00,38.20,37.65,38.11,542000,36.82
2011-02-09,38.54,38.68,38.15,38.21,490500,36.92
2011-02-08,38.39,38.52,38.01,38.40,614900,37.10
2011-02-07,38.45,38.93,38.43,38.58,497400,37.27
2011-02-04,39.32,39.46,38.45,38.59,657400,37.28
2011-02-03,39.32,39.35,39.00,39.10,618100,37.77
2011-02-02,39.57,39.95,39.50,39.94,764000,37.95
2011-02-01,39.87,40.00,39.37,39.69,922200,37.71
2011-01-31,38.75,39.63,38.75,39.59,878500,37.62
2011-01-28,39.03,39.03,38.26,38.61,731100,36.69
2011-01-27,38.95,39.13,38.51,39.00,571200,37.06
2011-01-26,38.06,39.04,38.00,39.03,603300,37.08
2011-01-25,38.29,38.48,38.05,38.45,580200,36.53
2011-01-24,38.39,38.71,38.08,38.50,731400,36.58
2011-01-21,37.72,38.11,37.59,37.98,792600,36.09
2011-01-20,38.00,38.02,37.00,37.34,1704000,35.48
2011-01-19,39.00,39.10,38.12,38.28,710900,36.37
2011-01-18,38.75,39.00,38.67,38.98,462100,37.04
2011-01-14,38.77,38.79,38.57,38.64,529700,36.71
2011-01-13,38.83,39.24,38.71,38.76,626900,36.83
2011-01-12,38.84,38.97,38.62,38.83,517200,36.89
2011-01-11,38.32,38.67,38.22,38.57,587200,36.65
2011-01-10,38.15,38.35,37.85,38.32,565700,36.41
2011-01-07,38.26,38.32,37.78,38.21,612900,36.31
2011-01-06,38.00,38.29,37.80,38.12,763000,36.22
2011-01-05,37.64,38.00,37.50,38.00,492300,36.11
2011-01-04,37.97,37.98,37.40,37.67,639300,35.79
2011-01-03,37.98,38.09,37.42,37.65,921900,35.77
2010-12-31,37.51,37.67,37.20,37.49,292100,35.62
2010-12-30,37.45,37.85,37.25,37.33,490300,35.47
2010-12-29,37.19,37.50,37.05,37.49,628400,35.62
2010-12-28,37.15,37.35,37.05,37.14,574400,35.29
2010-12-27,37.35,37.36,37.00,37.09,574900,35.24
2010-12-23,37.15,37.49,37.02,37.35,543600,35.49
2010-12-22,36.73,37.20,36.66,37.11,708900,35.26
2010-12-21,36.27,36.77,36.27,36.73,736700,34.90
2010-12-20,36.10,36.46,35.86,36.26,809500,34.45
2010-12-17,36.07,36.15,35.78,36.10,1019900,34.30
2010-12-16,36.04,36.19,35.82,36.11,929300,34.31
2010-12-15,36.40,36.53,36.01,36.04,971500,34.24
2010-12-14,36.67,36.92,36.26,36.37,1216800,34.56
2010-12-13,37.43,37.43,36.55,36.63,1505200,34.80
2010-12-10,36.77,37.04,36.44,36.95,1777700,35.11
2010-12-09,35.55,37.50,35.50,36.30,10875700,34.49
2010-12-08,37.35,37.48,37.09,37.38,968000,35.52
2010-12-07,37.34,37.38,37.00,37.11,796700,35.26
2010-12-06,36.77,37.10,36.77,36.97,704800,35.13
2010-12-03,36.45,36.96,36.44,36.66,677200,34.83
2010-12-02,36.67,37.07,36.48,36.48,854300,34.66
2010-12-01,36.49,36.96,36.43,36.85,687700,35.01
2010-11-30,36.09,36.44,36.00,36.30,491000,34.49
2010-11-29,36.60,36.71,36.00,36.41,431100,34.59
2010-11-26,36.64,36.65,36.37,36.48,180400,34.66
2010-11-24,36.89,36.89,36.51,36.71,416600,34.88
2010-11-23,36.28,36.60,35.90,36.52,633000,34.70
2010-11-22,36.90,36.98,36.36,36.46,717400,34.64
2010-11-19,36.61,36.99,36.51,36.98,501900,35.14
2010-11-18,36.94,36.95,36.34,36.50,636700,34.68
2010-11-17,35.25,36.45,35.16,36.16,881400,34.36
2010-11-16,35.79,35.82,34.52,35.08,1173900,33.33
2010-11-15,36.14,36.60,35.77,35.92,787800,34.13
2010-11-12,37.00,37.02,35.12,35.86,1308400,34.07
2010-11-11,37.24,37.24,36.65,36.81,823700,34.97
2010-11-10,36.86,37.03,36.50,36.94,720400,35.10
2010-11-09,36.25,37.16,36.25,36.85,1146500,35.01
2010-11-08,36.14,36.16,35.80,36.14,678900,34.34
2010-11-05,35.78,36.17,35.06,36.14,1284600,34.34
2010-11-04,35.29,35.72,35.10,35.56,1548600,33.79
2010-11-03,34.25,34.47,34.00,34.27,708600,32.56
2010-11-02,34.09,34.49,33.70,34.20,884400,32.50
2010-11-01,34.75,35.26,34.64,34.74,1749700,32.38
2010-10-29,34.50,35.00,34.45,34.99,1194900,32.61
2010-10-28,33.95,34.59,33.75,34.43,1161500,32.09
2010-10-27,33.61,34.00,33.31,33.89,955100,31.59
2010-10-26,33.17,33.56,33.01,33.47,990900,31.20
2010-10-25,32.92,33.04,32.80,32.88,604300,30.65
2010-10-22,32.70,32.81,32.48,32.72,389700,30.50
2010-10-21,32.80,32.84,32.29,32.57,558800,30.36
2010-10-20,32.49,32.68,32.19,32.37,550100,30.17
2010-10-19,33.36,33.36,31.90,32.12,941400,29.94
2010-10-18,32.78,33.03,32.67,32.99,518300,30.75
2010-10-15,33.50,33.50,32.71,32.97,891300,30.73
2010-10-14,33.25,33.92,33.16,33.34,843000,31.08
2010-10-13,33.00,33.46,32.92,33.26,724800,31.00
2010-10-12,32.74,32.99,32.45,32.90,517100,30.67
2010-10-11,32.50,32.98,32.25,32.83,694700,30.60
2010-10-08,32.10,32.50,31.96,32.37,780600,30.17
2010-10-07,32.34,32.41,31.93,32.12,595100,29.94
2010-10-06,31.90,32.42,31.90,32.18,720700,29.99
2010-10-05,32.15,32.27,31.92,31.94,909700,29.77
2010-10-04,32.15,32.19,31.70,32.08,537700,29.90
2010-10-01,32.00,32.28,31.97,32.18,590300,29.99
2010-09-30,32.15,32.22,31.60,31.96,592700,29.79
2010-09-29,31.82,32.21,31.77,31.86,867400,29.70
2010-09-28,31.09,32.03,31.03,31.50,1438500,29.36
2010-09-27,30.76,31.43,30.66,31.12,1434300,29.01
2010-09-24,30.32,30.49,30.24,30.42,451000,28.35
2010-09-23,30.05,30.44,30.02,30.17,473400,28.12
2010-09-22,30.18,30.44,30.13,30.27,659300,28.21
2010-09-21,30.47,30.49,30.06,30.18,601900,28.13
2010-09-20,30.11,30.60,30.07,30.50,640900,28.43
2010-09-17,30.35,30.57,30.07,30.33,734900,28.27
2010-09-16,30.14,30.60,30.05,30.39,691500,28.33
2010-09-15,30.10,30.45,30.02,30.36,599400,28.30
2010-09-14,30.92,30.92,30.05,30.16,1276500,28.11
2010-09-13,30.75,31.00,30.75,30.82,1268700,28.73
2010-09-10,30.50,30.90,30.20,30.74,812700,28.65
2010-09-09,30.29,30.53,30.06,30.42,839800,28.35
2010-09-08,29.78,30.18,29.69,29.79,1085800,27.77
2010-09-07,29.50,29.69,29.25,29.27,951400,27.28
2010-09-03,29.50,29.94,29.47,29.79,810400,27.77
2010-09-02,29.27,29.36,28.71,29.24,837900,27.25
2010-09-01,28.88,29.50,28.86,29.21,876300,27.23
2010-08-31,28.45,28.66,28.35,28.52,753800,26.58
2010-08-30,28.93,28.93,28.45,28.50,666100,26.56
2010-08-27,28.10,28.92,27.86,28.82,743900,26.86
2010-08-26,28.45,28.50,27.92,27.95,913600,26.05
2010-08-25,28.31,28.40,27.17,28.22,1522100,26.30
2010-08-24,28.41,28.81,28.20,28.41,961700,26.48
2010-08-23,28.57,29.23,28.35,28.43,937200,26.50
2010-08-20,29.32,29.33,28.41,28.99,1152000,27.02
2010-08-19,29.75,29.79,29.20,29.48,991900,27.48
2010-08-18,30.00,30.00,29.50,29.80,735400,27.78
2010-08-17,29.98,30.14,29.75,29.77,657900,27.75
2010-08-16,29.52,30.02,29.35,29.72,644600,27.70
2010-08-13,30.12,30.16,29.54,29.61,721500,27.60
2010-08-12,28.22,29.15,27.45,29.05,1133100,27.08
2010-08-11,29.43,29.44,28.51,28.68,1401200,26.73
2010-08-10,29.92,29.92,29.50,29.57,865200,27.56
2010-08-09,30.25,30.42,29.50,30.01,1009800,27.97
2010-08-06,30.48,30.48,29.79,30.25,845900,28.20
2010-08-05,30.63,30.89,30.50,30.56,654300,28.48
2010-08-04,30.75,31.00,30.45,31.00,1095700,28.89
2010-08-03,31.40,31.83,31.05,31.44,1536100,28.72
2010-08-02,30.99,31.32,30.88,31.08,1253200,28.39
2010-07-30,30.19,30.72,29.94,30.69,1007400,28.03
2010-07-29,30.25,30.58,29.90,30.14,1040100,27.53
2010-07-28,29.75,30.24,29.52,29.90,1028000,27.31
2010-07-27,30.35,30.43,29.55,29.69,1101500,27.12
2010-07-26,30.00,30.45,29.91,30.25,1122200,27.63
2010-07-23,29.59,30.00,29.24,29.96,855500,27.37
2010-07-22,29.51,30.19,29.35,29.51,2386600,26.95
2010-07-21,29.15,29.27,28.75,29.25,1298000,26.72
2010-07-20,28.41,29.07,28.26,29.01,1260600,26.50
