Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,14.20,14.30,14.18,14.18,15700,14.18
2013-01-08,14.29,14.30,14.24,14.25,7300,14.25
2013-01-07,14.27,14.30,14.20,14.25,13200,14.25
2013-01-04,14.11,14.35,14.11,14.16,12900,14.16
2013-01-03,14.11,14.25,14.11,14.25,13300,14.25
2013-01-02,14.25,14.25,14.15,14.16,10300,14.16
2012-12-31,14.02,14.10,14.01,14.01,15800,14.01
2012-12-28,14.08,14.09,14.02,14.09,2300,14.09
2012-12-27,14.00,14.09,13.99,14.09,11600,14.09
2012-12-24,13.94,13.97,13.94,13.94,3200,13.94
2012-12-21,13.99,14.00,13.94,14.00,3400,14.00
2012-12-20,14.05,14.05,13.95,13.95,10900,13.95
2012-12-19,13.95,14.09,13.94,14.01,4200,14.01
2012-12-18,14.05,14.05,13.87,13.91,7800,13.91
2012-12-17,14.02,14.08,14.00,14.08,17900,14.08
2012-12-14,14.04,14.19,13.94,14.15,13800,14.15
2012-12-13,14.00,14.05,13.97,13.97,5600,13.97
2012-12-12,14.42,14.42,14.17,14.18,29100,13.90
2012-12-11,14.35,14.35,14.34,14.34,5900,14.06
2012-12-10,14.25,14.34,14.24,14.33,20500,14.05
2012-12-07,14.25,14.26,14.22,14.23,2000,13.95
2012-12-06,14.28,14.28,14.24,14.25,3400,13.97
2012-12-05,14.29,14.31,14.25,14.27,3000,13.99
2012-12-04,14.19,14.27,14.19,14.24,11700,13.96
2012-12-03,14.10,14.15,14.09,14.13,12000,13.85
2012-11-30,14.02,14.03,14.00,14.00,10300,13.72
2012-11-29,13.94,14.00,13.92,13.95,7500,13.67
2012-11-28,14.02,14.02,13.75,13.86,16200,13.59
2012-11-27,14.09,14.10,14.01,14.01,20300,13.73
2012-11-26,14.08,14.10,14.04,14.04,11200,13.76
2012-11-23,14.10,14.10,14.07,14.07,1300,13.79
2012-11-22,14.05,14.25,14.05,14.10,2400,13.82
2012-11-21,14.01,14.10,14.01,14.05,4300,13.77
2012-11-20,14.00,14.08,14.00,14.02,900,13.74
2012-11-19,14.01,14.10,13.97,13.98,10900,13.70
2012-11-16,13.99,14.06,13.98,13.98,11300,13.70
2012-11-15,13.96,14.09,13.91,14.00,13900,13.72
2012-11-14,13.92,14.01,13.90,13.90,8700,13.63
2012-11-13,14.10,14.10,13.90,13.90,6900,13.63
2012-11-12,14.00,14.14,14.00,14.10,4500,13.82
2012-11-09,13.88,14.01,13.88,14.00,5000,13.72
2012-11-08,14.43,14.43,13.75,13.81,21900,13.54
2012-11-07,14.34,14.43,14.33,14.37,9400,14.09
2012-11-06,14.38,14.40,14.30,14.30,8000,14.02
2012-11-05,14.36,14.44,14.36,14.40,3200,14.12
2012-11-02,14.37,14.45,14.30,14.45,7500,14.16
2012-11-01,14.40,14.45,14.30,14.31,14000,14.03
2012-10-31,14.20,14.40,14.16,14.40,13600,14.12
2012-10-30,14.24,14.24,14.18,14.20,2600,13.92
2012-10-29,14.18,14.25,14.17,14.20,8800,13.92
2012-10-26,14.20,14.28,14.20,14.20,8200,13.92
2012-10-25,14.37,14.39,14.20,14.20,4500,13.92
2012-10-24,14.35,14.35,14.18,14.33,6500,14.05
2012-10-23,14.39,14.42,14.15,14.25,8900,13.97
2012-10-22,14.24,14.50,14.22,14.50,12800,14.21
2012-10-19,14.07,14.25,14.00,14.25,12600,13.97
2012-10-18,13.99,14.13,13.95,14.13,13100,13.85
2012-10-17,13.93,13.96,13.93,13.96,30100,13.68
2012-10-16,13.95,13.95,13.92,13.93,18200,13.65
2012-10-15,13.90,13.95,13.80,13.95,16900,13.67
2012-10-12,13.81,13.94,13.80,13.94,15900,13.66
2012-10-11,13.62,13.91,13.62,13.91,33300,13.64
2012-10-10,13.61,13.70,13.56,13.70,8500,13.43
2012-10-09,13.62,13.62,13.53,13.60,17700,13.33
2012-10-05,13.76,13.76,13.69,13.70,4000,13.43
2012-10-04,13.77,13.77,13.65,13.67,4200,13.40
2012-10-03,13.78,13.78,13.65,13.70,10300,13.43
2012-10-02,13.80,13.80,13.68,13.80,8800,13.53
2012-10-01,13.60,13.80,13.60,13.80,16600,13.53
2012-09-28,13.51,13.68,13.50,13.63,49600,13.36
2012-09-27,13.77,13.87,13.70,13.70,13300,13.43
2012-09-26,13.86,13.86,13.66,13.77,10500,13.50
2012-09-25,13.95,13.95,13.90,13.94,14300,13.66
2012-09-24,13.95,13.95,13.88,13.95,11400,13.67
2012-09-21,13.75,13.95,13.75,13.95,8200,13.67
2012-09-20,13.60,13.81,13.60,13.81,32300,13.54
2012-09-19,13.65,13.69,13.52,13.60,27300,13.33
2012-09-18,13.65,13.65,13.45,13.64,28400,13.37
2012-09-17,13.65,13.70,13.61,13.70,12600,13.43
2012-09-14,13.71,13.79,13.60,13.79,18400,13.52
2012-09-13,13.77,13.78,13.69,13.77,14900,13.50
2012-09-12,13.83,13.83,13.68,13.79,19600,13.52
2012-09-11,13.75,13.85,13.75,13.76,37600,13.22
2012-09-10,13.74,13.79,13.71,13.79,28600,13.25
2012-09-07,13.65,13.78,13.65,13.75,71400,13.21
2012-09-06,13.60,13.60,13.52,13.58,21600,13.05
2012-09-05,13.79,13.79,13.49,13.52,49400,12.99
2012-09-04,13.65,13.80,13.47,13.80,54700,13.26
2012-08-31,13.59,13.60,13.53,13.60,8700,13.07
2012-08-30,13.58,13.59,13.41,13.59,20600,13.06
2012-08-29,13.51,13.67,13.50,13.52,14700,12.99
2012-08-28,13.51,13.59,13.40,13.51,37200,12.98
2012-08-27,13.64,13.91,13.50,13.61,26200,13.08
2012-08-24,13.27,13.65,13.27,13.64,14900,13.11
2012-08-23,13.52,13.54,13.25,13.27,15200,12.75
2012-08-22,13.42,13.66,13.36,13.54,86000,13.01
2012-08-21,13.33,13.45,13.28,13.45,60800,12.93
2012-08-20,13.37,13.37,13.23,13.30,30200,12.78
2012-08-17,13.17,13.48,13.17,13.37,30800,12.85
2012-08-16,13.20,13.20,13.08,13.17,14100,12.66
2012-08-15,13.00,13.25,12.95,13.20,24800,12.69
2012-08-14,13.09,13.09,13.01,13.02,51200,12.51
2012-08-13,13.10,13.10,13.02,13.09,19600,12.58
2012-08-10,13.07,13.15,13.06,13.11,17000,12.60
2012-08-09,13.14,13.14,13.06,13.08,19700,12.57
2012-08-08,13.12,13.22,13.07,13.10,19300,12.59
