Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,19.32,19.45,19.30,19.45,3100,19.45
2013-10-15,19.35,19.45,19.25,19.45,6600,19.45
2013-10-11,19.47,19.47,19.25,19.30,4600,19.30
2013-10-10,19.36,19.49,19.21,19.49,5600,19.49
2013-10-09,19.40,19.40,19.20,19.35,8800,19.35
2013-10-08,19.35,19.36,19.20,19.25,11800,19.25
2013-10-07,19.47,19.47,19.25,19.36,4900,19.36
2013-10-04,19.35,19.49,19.25,19.49,4900,19.49
2013-10-03,19.26,19.36,19.20,19.36,4800,19.36
2013-10-02,19.42,19.42,19.06,19.06,12700,19.06
2013-10-01,19.26,19.32,19.20,19.25,7400,19.25
2013-09-30,19.45,19.45,19.28,19.30,5200,19.30
2013-09-27,19.37,19.45,19.26,19.45,8900,19.45
2013-09-26,19.34,19.40,19.31,19.38,3400,19.38
2013-09-25,19.17,19.27,19.10,19.27,11900,19.27
2013-09-24,19.30,19.34,19.25,19.33,16600,19.33
2013-09-23,19.25,19.32,19.25,19.29,6900,19.29
2013-09-20,19.26,19.30,19.26,19.30,1300,19.30
2013-09-19,19.26,19.37,19.25,19.26,6500,19.26
2013-09-18,19.45,19.45,19.25,19.25,4800,19.25
2013-09-17,19.34,19.44,19.34,19.44,1500,19.44
2013-09-16,19.40,19.40,19.27,19.38,11300,19.38
2013-09-13,19.34,19.35,19.24,19.35,1300,19.35
2013-09-12,19.25,19.26,19.25,19.25,10500,19.25
2013-09-11,19.40,19.40,19.25,19.25,2700,19.25
2013-09-10,19.35,19.40,19.28,19.40,2400,19.40
2013-09-09,19.30,19.35,19.26,19.35,4900,19.35
2013-09-06,19.22,19.32,19.22,19.32,140600,19.32
2013-09-05,19.31,19.31,19.15,19.26,8600,19.26
2013-09-04,19.25,19.32,19.15,19.32,2500,19.32
2013-09-03,19.37,19.40,19.25,19.25,5000,19.25
2013-08-30,19.13,19.37,19.13,19.36,1900,19.36
2013-08-29,19.24,19.35,19.13,19.34,4100,19.34
2013-08-28,19.27,19.27,19.15,19.24,6300,19.24
2013-08-27,18.78,19.31,18.78,19.25,2400,19.25
2013-08-26,19.36,19.36,19.03,19.08,4500,19.08
2013-08-23,19.39,19.39,19.22,19.36,2500,19.36
2013-08-22,19.21,19.39,19.19,19.39,3500,19.39
2013-08-21,19.39,19.39,19.11,19.30,8900,19.30
2013-08-20,19.35,19.47,19.30,19.40,16400,19.40
2013-08-19,19.29,19.35,19.29,19.35,13300,19.35
2013-08-16,19.13,19.30,19.05,19.05,2200,19.05
2013-08-15,19.38,19.38,19.04,19.04,3000,19.04
2013-08-14,19.01,19.40,19.01,19.30,15100,19.30
2013-08-13,19.03,19.12,19.00,19.01,1600,19.01
2013-08-12,19.39,19.39,19.02,19.02,6400,19.02
2013-08-09,19.25,19.49,19.25,19.49,1600,19.49
2013-08-08,19.50,19.50,19.20,19.22,4300,19.22
2013-08-07,19.47,19.50,19.47,19.50,1800,19.50
2013-08-06,19.50,19.60,19.45,19.50,6100,19.50
2013-08-02,19.50,19.50,19.50,19.50,1400,19.50
2013-08-01,19.50,19.50,19.40,19.40,2500,19.40
2013-07-31,19.40,19.50,19.40,19.50,8500,19.50
2013-07-30,19.35,19.40,19.20,19.40,3800,19.40
2013-07-29,19.38,19.38,19.35,19.35,6800,19.35
2013-07-26,19.38,19.40,19.38,19.40,1900,19.40
2013-07-25,19.20,19.38,19.20,19.38,400,19.38
2013-07-24,19.20,19.40,19.10,19.40,1900,19.40
2013-07-23,19.53,19.53,19.10,19.10,1800,19.10
2013-07-22,19.46,19.55,19.00,19.43,12300,19.43
2013-07-19,19.35,19.47,19.35,19.35,1700,19.35
2013-07-18,19.58,19.58,19.37,19.45,7200,19.45
2013-07-17,19.50,19.50,19.50,19.50,900,19.50
2013-07-16,19.39,19.58,19.38,19.38,35600,19.38
2013-07-15,19.50,19.59,19.49,19.50,3900,19.50
2013-07-12,19.47,19.51,19.47,19.50,3200,19.50
2013-07-11,19.50,19.57,19.20,19.20,14700,19.20
2013-07-10,19.50,19.60,19.40,19.59,10800,19.59
2013-07-09,19.40,19.59,19.40,19.59,20700,19.59
2013-07-08,19.46,19.55,19.39,19.50,52900,19.50
2013-07-05,19.32,19.38,18.38,19.36,10200,19.36
2013-07-04,19.34,19.50,19.10,19.23,12000,19.23
2013-07-03,19.00,19.34,19.00,19.32,6000,19.32
2013-07-02,18.90,19.00,18.80,19.00,15200,19.00
2013-06-28,18.80,18.80,18.72,18.80,3300,18.80
2013-06-27,18.75,18.90,18.72,18.90,5500,18.90
2013-06-26,18.61,18.75,18.61,18.75,2500,18.75
2013-06-25,18.49,18.75,18.49,18.50,19700,18.50
2013-06-24,18.30,18.65,18.10,18.54,12000,18.54
2013-06-21,18.36,18.70,18.36,18.45,5300,18.45
2013-06-20,18.44,18.74,18.39,18.70,144600,18.70
2013-06-19,18.65,18.70,18.56,18.60,45400,18.60
2013-06-18,18.68,18.70,18.65,18.70,53700,18.70
2013-06-17,18.53,18.69,18.53,18.59,28600,18.59
2013-06-14,18.41,18.59,18.41,18.59,1200,18.59
2013-06-13,18.71,18.71,18.33,18.36,4600,18.36
2013-06-12,19.15,19.15,18.42,18.65,8200,18.65
2013-06-11,19.08,19.44,19.08,19.44,74300,18.69
2013-06-10,19.45,19.45,19.20,19.36,7400,18.61
2013-06-07,19.42,19.50,19.35,19.50,133400,18.75
2013-06-06,19.59,19.59,19.35,19.42,35200,18.67
2013-06-05,19.40,19.51,19.35,19.51,10300,18.76
2013-06-04,19.30,19.55,19.30,19.39,23200,18.64
2013-06-03,19.40,19.50,19.38,19.41,27300,18.66
2013-05-31,19.44,19.44,19.35,19.39,6200,18.64
2013-05-30,19.10,19.47,19.04,19.40,59100,18.65
2013-05-29,19.15,19.20,19.01,19.04,10000,18.31
2013-05-28,19.17,19.17,19.00,19.05,1400,18.32
2013-05-27,19.19,19.19,19.17,19.17,300,18.43
2013-05-24,19.04,19.18,18.95,18.99,16200,18.26
2013-05-23,19.06,19.06,19.00,19.00,7200,18.27
2013-05-22,19.00,19.15,19.00,19.15,17300,18.41
2013-05-21,18.84,19.00,18.84,18.97,5400,18.24
2013-05-17,18.74,18.80,18.66,18.80,19900,18.07
2013-05-16,18.69,18.70,18.50,18.62,15400,17.90
2013-05-15,18.68,18.68,18.45,18.55,14200,17.83
2013-05-14,18.40,18.55,18.40,18.47,10200,17.76
2013-05-13,18.50,18.50,18.22,18.22,5000,17.52
2013-05-10,18.50,18.90,18.39,18.49,23100,17.78
2013-05-09,18.40,18.41,18.15,18.15,17300,17.45
2013-05-08,18.40,18.50,18.37,18.40,11500,17.69
2013-05-07,18.41,18.41,18.02,18.41,16700,17.70
2013-05-06,18.24,18.49,18.24,18.49,800,17.78
2013-05-03,18.10,18.25,18.09,18.24,11000,17.54
2013-05-02,17.90,18.01,17.90,18.01,8000,17.32
2013-05-01,17.90,17.90,17.80,17.80,7400,17.11
2013-04-30,17.85,18.35,17.60,17.90,197300,17.21
2013-04-29,17.41,17.85,17.41,17.85,16800,17.16
2013-04-26,17.31,17.69,17.22,17.25,5400,16.58
2013-04-25,17.40,17.48,17.20,17.21,498200,16.55
2013-04-24,17.38,17.50,17.35,17.50,19300,16.82
2013-04-23,17.50,17.50,17.10,17.50,9100,16.82
2013-04-22,17.50,17.50,17.35,17.43,25000,16.76
2013-04-19,17.35,17.35,17.35,17.35,500,16.68
2013-04-18,17.65,17.65,17.25,17.25,49200,16.58
2013-04-17,17.77,17.77,17.63,17.63,3000,16.95
2013-04-16,17.56,17.85,17.55,17.80,32200,17.11
2013-04-15,17.78,17.80,17.65,17.65,6000,16.97
2013-04-12,17.88,17.88,17.76,17.80,1600,17.11
2013-04-11,17.90,17.90,17.81,17.82,2100,17.13
2013-04-10,17.98,17.98,17.90,17.95,6700,17.26
2013-04-09,18.00,18.00,17.96,17.96,8700,17.27
2013-04-08,17.70,18.00,17.50,17.96,7400,17.27
2013-04-05,17.78,17.78,17.50,17.70,6800,17.02
2013-04-04,18.24,18.24,18.00,18.00,4400,17.31
2013-04-03,18.41,18.41,18.01,18.15,3200,17.45
2013-04-02,18.40,18.60,18.30,18.31,7500,17.60
2013-04-01,18.15,18.35,18.15,18.35,900,17.64
2013-03-28,18.55,18.55,17.75,18.02,38200,17.32
2013-03-27,18.60,18.60,18.49,18.55,27300,17.83
2013-03-26,18.75,18.75,18.51,18.68,17500,17.96
2013-03-25,18.80,18.80,18.70,18.75,7800,18.03
2013-03-22,18.75,18.80,18.68,18.76,21300,18.04
2013-03-21,18.23,19.24,18.20,18.77,102500,18.05
2013-03-20,18.25,18.25,18.05,18.05,11100,17.35
2013-03-19,18.45,18.59,18.30,18.34,4000,17.63
2013-03-18,18.49,18.50,18.31,18.35,60300,17.64
2013-03-15,18.99,18.99,18.35,18.46,86300,17.75
2013-03-14,18.72,18.74,18.45,18.74,7400,18.02
2013-03-13,18.81,18.81,18.65,18.81,10700,18.08
2013-03-12,18.78,18.80,18.50,18.71,15400,17.99
2013-03-11,18.65,18.80,18.50,18.63,10500,17.91
2013-03-08,18.85,18.90,18.61,18.61,23400,17.89
2013-03-07,18.90,18.90,18.76,18.81,30000,18.08
2013-03-06,18.80,19.00,18.73,18.90,9800,18.17
2013-03-05,18.75,18.90,18.61,18.85,35200,18.12
2013-03-04,18.77,18.77,18.35,18.60,4500,17.88
2013-03-01,18.73,19.00,18.73,18.77,7100,18.05
2013-02-28,18.52,19.01,18.41,18.85,64100,18.12
2013-02-27,18.26,18.45,18.26,18.40,1700,17.69
2013-02-26,18.76,18.85,18.13,18.25,66200,17.55
2013-02-25,19.61,19.61,18.75,18.75,76400,18.03
2013-02-22,19.40,19.40,19.30,19.33,6900,18.58
2013-02-21,19.48,19.49,19.30,19.30,10900,18.56
2013-02-20,19.35,19.40,19.25,19.26,18500,18.52
2013-02-19,19.49,19.59,19.35,19.55,11000,18.80
2013-02-15,19.30,19.40,19.30,19.30,2900,18.56
2013-02-14,19.33,19.33,19.33,19.33,500,18.58
