Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,56.65,57.06,56.54,56.74,169000,56.74
2013-10-15,56.27,56.92,56.27,56.65,287300,56.65
2013-10-11,55.53,56.53,55.00,56.38,371300,56.38
2013-10-10,54.90,55.42,54.87,55.33,244300,55.33
2013-10-09,54.74,55.57,54.09,54.50,290200,54.50
2013-10-08,53.99,55.19,53.80,54.56,445500,54.56
2013-10-07,53.61,54.03,53.29,53.83,289900,53.83
2013-10-04,52.61,54.18,52.61,53.77,295100,53.77
2013-10-03,53.03,53.26,52.05,52.71,354600,52.71
2013-10-02,53.03,53.51,52.63,53.40,285800,53.40
2013-10-01,52.85,53.89,52.85,53.29,382700,53.29
2013-09-30,52.14,52.91,51.71,52.88,284800,52.88
2013-09-27,52.25,53.02,51.95,52.38,328000,52.38
2013-09-26,51.71,52.44,51.67,52.23,381100,52.23
2013-09-25,52.27,53.04,51.94,51.95,371900,51.95
2013-09-24,51.28,52.65,51.28,52.14,272900,52.14
2013-09-23,51.76,51.76,51.00,51.28,162300,51.28
2013-09-20,52.82,53.24,51.63,51.66,307100,51.66
2013-09-19,52.89,53.71,52.42,53.13,293800,53.13
2013-09-18,51.79,53.25,51.69,52.96,379400,52.96
2013-09-17,52.45,52.45,51.72,52.01,217600,52.01
2013-09-16,52.52,52.73,52.01,52.29,196000,52.29
2013-09-13,51.92,52.50,51.58,52.12,222300,52.12
2013-09-12,52.18,52.50,51.69,51.80,181300,51.80
2013-09-11,52.24,52.35,51.58,52.16,191800,52.16
2013-09-10,51.30,52.53,51.14,52.17,237000,52.17
2013-09-09,50.90,51.36,50.60,51.09,131700,51.09
2013-09-06,50.65,51.05,50.39,50.97,256100,50.97
2013-09-05,49.97,50.53,49.61,50.41,237300,50.41
2013-09-04,50.67,50.67,49.70,50.02,252400,50.02
2013-09-03,49.23,50.70,49.22,50.54,363500,50.54
2013-08-30,49.45,49.58,48.92,48.95,136000,48.95
2013-08-29,48.97,49.92,48.61,49.43,132900,49.43
2013-08-28,48.45,49.25,48.45,48.99,211700,48.99
2013-08-27,49.28,49.47,48.27,48.40,279000,48.40
2013-08-26,48.77,50.03,48.77,49.54,230800,49.54
2013-08-23,49.12,49.13,48.68,48.92,162500,48.92
2013-08-22,48.27,49.03,48.27,48.93,160500,48.93
2013-08-21,48.77,48.77,47.90,48.07,126300,48.07
2013-08-20,48.50,49.00,48.04,48.83,202300,48.83
2013-08-19,49.08,49.96,48.14,48.20,163100,48.20
2013-08-16,49.48,50.08,49.33,49.33,183500,49.33
2013-08-15,50.49,50.49,48.90,49.66,277500,49.66
2013-08-14,50.57,50.91,50.50,50.51,195800,50.51
2013-08-13,50.56,51.00,50.50,50.79,181800,50.79
2013-08-12,49.76,50.54,49.75,50.46,105500,50.46
2013-08-09,50.01,50.33,49.40,49.93,115900,49.93
2013-08-08,50.07,50.44,49.67,50.09,229600,50.09
2013-08-07,50.00,50.37,49.64,50.06,220100,50.06
2013-08-06,49.51,50.09,49.16,50.09,316700,50.09
2013-08-02,50.28,50.50,49.69,49.95,235400,49.95
2013-08-01,49.99,50.87,49.72,50.47,421100,50.47
2013-07-31,47.93,49.20,47.60,49.05,539700,49.05
2013-07-30,46.65,48.33,46.52,47.85,980600,47.85
2013-07-29,47.15,47.39,46.42,46.60,296300,46.60
2013-07-26,47.99,48.61,47.22,47.23,246100,47.23
2013-07-25,46.74,47.89,44.55,47.83,390400,47.83
2013-07-24,47.00,47.06,46.04,46.53,193000,46.53
2013-07-23,47.51,47.52,46.65,46.71,120500,46.71
2013-07-22,47.00,47.35,46.72,46.90,146100,46.90
2013-07-19,46.46,47.10,46.40,47.06,183300,47.06
2013-07-18,47.93,47.93,46.45,46.67,214500,46.67
2013-07-17,48.00,48.37,47.69,47.93,131100,47.93
2013-07-16,48.01,48.20,47.61,47.90,232900,47.90
2013-07-15,47.31,48.25,47.31,48.08,153300,48.08
2013-07-12,47.15,47.33,46.71,47.32,317300,47.32
2013-07-11,47.20,47.63,46.48,47.10,137100,47.10
2013-07-10,46.51,47.10,46.44,46.95,251400,46.95
2013-07-09,46.19,46.95,45.97,46.23,145300,46.23
2013-07-08,45.54,46.15,45.36,46.08,331700,46.08
2013-07-05,45.24,45.62,45.04,45.53,196800,45.53
2013-07-04,45.19,45.24,44.75,45.24,33800,45.24
2013-07-03,45.75,45.91,44.55,44.89,191100,44.89
2013-07-02,46.10,46.35,45.04,45.76,243300,45.76
2013-06-28,44.41,45.36,44.41,45.05,194100,45.05
2013-06-27,44.16,44.89,44.16,44.58,182000,44.58
2013-06-26,43.98,44.50,43.91,44.14,357500,44.14
2013-06-25,43.39,44.11,43.39,43.88,159600,43.88
2013-06-24,43.31,43.31,42.35,42.99,175700,42.99
2013-06-21,44.27,44.71,43.40,43.68,422600,43.68
2013-06-20,44.02,44.51,43.27,44.15,234000,44.15
2013-06-19,44.70,45.25,44.62,44.97,351000,44.97
2013-06-18,44.75,45.21,44.48,44.74,172900,44.74
2013-06-17,44.43,44.97,44.19,44.79,159000,44.79
2013-06-14,44.63,45.25,44.21,44.28,152700,44.28
2013-06-13,43.92,45.03,43.32,44.74,218700,44.74
2013-06-12,43.87,44.62,43.79,43.97,205000,43.97
2013-06-11,43.83,44.62,43.27,43.99,185000,43.79
2013-06-10,43.54,44.84,43.48,44.06,185900,43.86
2013-06-07,43.59,43.81,43.15,43.54,118100,43.34
2013-06-06,43.78,44.20,43.15,43.50,226000,43.30
2013-06-05,44.05,44.19,43.38,43.87,257500,43.67
2013-06-04,45.00,45.00,43.69,44.06,273200,43.86
2013-06-03,45.89,45.98,44.67,44.80,237100,44.59
2013-05-31,45.58,45.99,45.32,45.87,218100,45.66
2013-05-30,45.78,46.03,45.64,45.74,191600,45.53
2013-05-29,45.66,46.04,45.00,45.75,128800,45.54
2013-05-28,45.86,46.21,45.62,45.98,150800,45.77
2013-05-27,45.34,45.60,44.85,45.41,33100,45.20
2013-05-24,46.21,46.21,45.02,45.36,134200,45.15
2013-05-23,45.30,46.27,44.79,46.22,293300,46.01
2013-05-22,46.49,46.75,45.49,45.77,336700,45.56
2013-05-21,46.79,47.33,46.13,46.24,290900,46.03
2013-05-17,45.81,46.77,45.78,46.63,102600,46.41
2013-05-16,46.24,46.24,45.41,45.75,296100,45.54
2013-05-15,45.43,46.27,45.43,46.16,242500,45.95
2013-05-14,45.00,45.85,45.00,45.65,317800,45.44
2013-05-13,45.43,45.50,44.79,45.11,345900,44.90
2013-05-10,45.25,45.71,44.99,45.68,357600,45.47
2013-05-09,44.90,45.80,44.76,45.36,407600,45.15
2013-05-08,44.47,45.39,44.47,44.98,457600,44.77
2013-05-07,43.50,44.79,43.44,44.65,369700,44.44
2013-05-06,43.29,43.69,43.02,43.50,236500,43.30
2013-05-03,42.93,43.32,42.88,43.20,241600,43.00
2013-05-02,41.80,42.58,41.68,42.41,661100,42.21
2013-05-01,42.79,42.81,41.87,42.00,334600,41.81
2013-04-30,43.43,43.43,42.50,42.70,481900,42.50
2013-04-29,42.99,43.69,42.87,43.47,396300,43.27
2013-04-26,43.53,44.25,42.88,42.90,447800,42.70
2013-04-25,41.10,46.07,41.10,44.09,961900,43.89
