Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,77.40,77.82,77.25,77.68,732700,77.68
2013-01-08,77.12,77.30,77.00,77.30,328900,77.30
2013-01-07,77.50,77.50,77.04,77.26,378500,77.26
2013-01-04,77.00,77.59,77.00,77.52,244600,77.52
2013-01-03,77.35,77.48,77.07,77.33,387200,77.33
2013-01-02,77.64,77.90,77.01,77.38,438100,77.38
2012-12-31,77.00,77.33,76.90,77.24,369500,77.24
2012-12-28,77.07,77.37,77.05,77.13,222000,77.13
2012-12-27,77.10,77.45,76.86,77.25,349300,77.25
2012-12-24,77.28,77.50,77.22,77.50,179000,77.50
2012-12-21,77.59,77.59,76.90,77.48,1051900,77.48
2012-12-20,77.71,78.23,77.70,78.18,1745700,77.35
2012-12-19,76.85,77.85,76.80,77.85,1145600,77.02
2012-12-18,77.05,77.35,76.95,76.99,1006900,76.17
2012-12-17,76.72,77.01,76.71,76.94,609500,76.12
2012-12-14,77.00,77.05,76.65,76.87,775800,76.05
2012-12-13,77.00,77.24,76.74,76.96,1239500,76.14
2012-12-12,76.80,77.25,76.70,77.15,629400,76.33
2012-12-11,76.62,77.33,76.59,76.72,646600,75.91
2012-12-10,77.36,77.48,76.60,77.00,792500,76.18
2012-12-07,76.61,77.39,76.60,77.19,466500,76.37
2012-12-06,77.65,77.75,76.60,76.66,734500,75.85
2012-12-05,77.67,78.09,77.51,77.77,387200,76.94
2012-12-04,77.71,77.89,77.38,77.66,354700,76.84
2012-12-03,77.70,77.96,77.50,77.85,402500,77.02
2012-11-30,77.58,77.74,77.33,77.58,363700,76.76
2012-11-29,77.25,77.49,77.12,77.40,393300,76.58
2012-11-28,76.62,77.10,76.56,76.97,264500,76.15
2012-11-27,77.19,77.33,76.72,76.77,283800,75.95
2012-11-26,76.76,77.09,76.71,76.90,254200,76.08
2012-11-23,76.75,77.11,76.63,76.86,282200,76.04
2012-11-22,76.48,76.86,76.42,76.78,131100,75.96
2012-11-21,75.63,76.43,75.31,76.29,377800,75.48
2012-11-20,75.31,75.46,75.02,75.46,443000,74.66
2012-11-19,75.94,76.19,75.01,75.18,474200,74.38
2012-11-16,75.07,75.77,75.00,75.50,503500,74.70
2012-11-15,75.76,76.14,75.00,75.06,605700,74.26
2012-11-14,76.60,76.69,76.00,76.16,505000,75.35
2012-11-13,76.42,76.90,76.14,76.59,297800,75.78
2012-11-12,76.40,76.99,76.40,76.81,195700,75.99
2012-11-09,75.77,76.63,75.77,76.39,248900,75.58
2012-11-08,76.27,76.58,75.90,76.08,296000,75.27
2012-11-07,77.03,77.04,76.33,76.46,382100,75.65
2012-11-06,77.00,77.37,76.96,77.07,221000,76.25
2012-11-05,77.16,77.38,76.68,77.00,352400,76.18
2012-11-02,77.57,77.83,77.06,77.40,411300,76.58
2012-11-01,77.30,77.76,77.30,77.50,350800,76.68
2012-10-31,77.31,77.51,76.72,77.18,508700,76.36
2012-10-30,76.58,77.10,76.32,76.98,146900,76.16
2012-10-29,76.80,77.00,76.18,76.50,414000,75.69
2012-10-26,76.45,77.00,76.37,76.87,494900,76.05
2012-10-25,75.87,76.52,75.78,76.45,466100,75.64
2012-10-24,75.28,75.81,75.28,75.72,335000,74.92
2012-10-23,75.35,75.64,75.01,75.42,537900,74.62
2012-10-22,74.96,75.75,74.92,75.75,356100,74.95
2012-10-19,75.01,75.12,74.77,75.12,344900,74.32
2012-10-18,74.56,75.19,74.56,75.01,357600,74.21
2012-10-17,74.98,75.04,74.65,74.94,418500,74.14
2012-10-16,74.90,75.26,74.72,74.76,496900,73.97
2012-10-15,74.15,74.83,74.15,74.58,337800,73.79
2012-10-12,74.01,74.30,73.87,74.08,329000,73.29
2012-10-11,74.25,74.47,73.90,74.15,262400,73.36
2012-10-10,74.22,74.37,73.86,74.11,440000,73.32
2012-10-09,74.62,74.69,74.26,74.41,256200,73.62
2012-10-05,74.65,74.72,74.42,74.62,468100,73.83
2012-10-04,74.36,74.63,74.32,74.43,369500,73.64
2012-10-03,74.72,74.80,74.32,74.36,371600,73.57
2012-10-02,74.33,74.81,74.31,74.62,257900,73.83
2012-10-01,74.69,74.95,74.31,74.52,492900,73.73
2012-09-28,73.80,74.58,73.70,74.40,985700,73.61
2012-09-27,73.98,74.60,73.91,74.09,400100,73.30
2012-09-26,74.00,74.35,73.68,73.91,524800,73.13
2012-09-25,73.92,74.40,73.92,74.03,703000,73.24
2012-09-24,74.85,75.18,74.71,74.89,739800,73.31
2012-09-21,75.13,75.49,74.85,74.85,1592200,73.27
2012-09-20,74.85,75.33,74.84,75.22,833500,73.64
2012-09-19,74.98,75.45,74.92,75.20,435500,73.62
2012-09-18,74.84,75.00,74.59,74.91,290700,73.33
2012-09-17,74.73,74.95,74.65,74.84,184500,73.26
2012-09-14,74.75,74.90,74.34,74.76,520300,73.19
2012-09-13,74.15,74.69,73.77,74.59,431100,73.02
2012-09-12,73.73,74.11,73.62,74.05,478800,72.49
2012-09-11,73.54,73.65,73.15,73.61,597400,72.06
2012-09-10,73.74,74.10,73.14,73.28,354900,71.74
2012-09-07,73.92,73.92,73.10,73.85,490800,72.30
2012-09-06,72.77,73.78,72.67,73.63,1048800,72.08
2012-09-05,72.85,73.10,72.07,72.50,471500,70.97
2012-09-04,74.00,74.35,72.49,72.80,742300,71.27
2012-08-31,75.28,75.57,74.01,74.01,1155400,72.45
2012-08-30,75.65,76.04,74.68,75.12,519400,73.54
2012-08-29,74.85,75.98,74.00,75.93,719100,74.33
2012-08-28,74.34,74.84,74.15,74.65,635200,73.08
2012-08-27,73.55,73.99,73.44,73.86,392800,72.31
2012-08-24,73.38,73.69,73.25,73.39,596200,71.84
2012-08-23,74.24,74.24,73.26,73.35,737700,71.81
2012-08-22,74.79,74.93,74.24,74.25,578900,72.69
2012-08-21,74.66,74.99,74.56,74.89,551400,73.31
2012-08-20,74.95,75.00,74.45,74.56,350400,72.99
2012-08-17,74.60,74.97,74.44,74.94,547200,73.36
2012-08-16,74.48,74.95,74.12,74.40,426500,72.83
2012-08-15,74.77,74.84,74.23,74.40,297200,72.83
2012-08-14,74.71,74.71,74.03,74.41,401400,72.84
2012-08-13,74.90,74.90,73.84,74.50,328200,72.93
2012-08-10,74.94,74.94,74.13,74.61,344300,73.04
2012-08-09,75.00,75.20,74.50,74.65,262400,73.08
2012-08-08,75.22,75.55,74.59,74.97,461500,73.39
2012-08-07,74.97,75.89,74.96,75.36,511000,73.77
2012-08-03,74.29,75.00,74.29,74.62,242000,73.05
2012-08-02,74.19,74.40,73.63,73.88,367400,72.32
2012-08-01,74.98,74.98,74.26,74.56,272800,72.99
2012-07-31,74.73,75.14,74.38,74.68,478500,73.11
2012-07-30,75.00,75.27,74.56,74.79,213000,73.22
2012-07-27,74.01,75.24,73.78,74.75,531600,73.18
2012-07-26,73.22,73.77,73.01,73.56,341400,72.01
2012-07-25,73.20,73.42,72.85,73.07,311200,71.53
2012-07-24,74.13,74.20,72.80,73.05,924400,71.51
2012-07-23,74.62,74.63,73.54,74.13,980900,72.57
2012-07-20,75.00,75.47,74.77,75.35,245500,73.76
2012-07-19,75.05,75.53,74.76,75.32,2246900,73.73
2012-07-18,75.14,75.25,74.80,74.95,281200,73.37
2012-07-17,74.90,75.10,74.62,74.79,350200,73.22
2012-07-16,74.50,74.67,74.35,74.49,662400,72.92
2012-07-13,73.96,74.59,73.96,74.48,1251500,72.91
2012-07-12,74.33,74.70,73.80,73.98,298000,72.42
2012-07-11,73.44,74.78,73.44,74.67,601300,73.10
2012-07-10,73.49,74.05,73.33,73.73,335500,72.18
2012-07-09,73.57,73.95,73.30,73.44,285100,71.89
2012-07-06,74.17,74.75,73.55,73.80,761600,72.25
2012-07-05,74.90,75.05,74.09,74.66,541500,73.09
2012-07-04,74.69,75.00,74.59,74.80,191600,73.23
2012-07-03,73.65,74.71,73.00,74.64,852900,73.07
2012-06-29,72.27,73.03,72.25,72.77,434600,71.24
2012-06-28,72.14,72.14,71.05,71.90,346300,70.39
2012-06-27,72.08,72.44,71.74,72.16,333900,70.64
2012-06-26,71.99,72.25,71.28,72.04,428600,70.52
2012-06-25,73.45,73.45,72.17,72.64,382100,70.34
2012-06-22,73.60,73.84,73.07,73.48,273200,71.15
2012-06-21,74.31,74.56,73.05,73.27,522700,70.95
2012-06-20,73.17,74.41,73.17,74.29,545400,71.94
2012-06-19,72.79,74.00,72.78,73.43,726300,71.10
2012-06-18,73.13,73.17,72.50,72.57,444300,70.27
2012-06-15,73.22,73.32,72.86,72.97,918600,70.66
2012-06-14,73.21,73.27,72.62,73.00,768900,70.69
2012-06-13,72.63,73.57,72.56,73.30,789400,70.98
2012-06-12,73.08,73.23,72.58,73.17,553300,70.85
2012-06-11,74.28,74.28,72.83,73.08,389600,70.76
2012-06-08,72.99,73.76,72.99,73.50,619300,71.17
2012-06-07,73.21,73.80,72.98,73.48,431100,71.15
2012-06-06,72.57,73.08,72.56,72.98,487400,70.67
2012-06-05,71.60,72.77,71.57,72.55,398900,70.25
2012-06-04,72.61,72.78,71.06,71.59,847600,69.32
2012-06-01,73.00,73.40,72.37,72.57,567400,70.27
2012-05-31,73.52,74.06,73.05,73.66,1042900,71.32
2012-05-30,73.29,73.33,72.55,73.14,462700,70.82
2012-05-29,72.40,73.55,72.40,73.49,383400,71.16
2012-05-28,72.38,72.58,71.72,72.39,480100,70.10
2012-05-25,72.67,72.77,71.83,71.90,362100,69.62
2012-05-24,73.25,73.89,72.30,72.63,628600,70.33
2012-05-23,72.63,73.32,71.91,73.22,314700,70.90
2012-05-22,72.14,73.00,72.14,72.84,729000,70.53
2012-05-18,72.37,73.00,71.60,71.79,356000,69.51
2012-05-17,73.35,73.55,72.09,72.23,393100,69.94
2012-05-16,73.61,73.96,73.00,73.40,831000,71.07
2012-05-15,73.30,73.79,73.25,73.44,373000,71.11
2012-05-14,73.05,73.43,72.72,73.30,396000,70.98
2012-05-11,73.07,74.13,73.00,73.46,253200,71.13
2012-05-10,74.61,74.96,73.09,73.31,548000,70.99
2012-05-09,72.92,74.74,72.21,74.45,642000,72.09
2012-05-08,73.70,73.70,72.04,73.15,2013300,70.83
2012-05-07,72.99,73.98,72.65,73.80,559200,71.46
2012-05-04,75.00,75.04,72.83,72.99,750800,70.68
2012-05-03,76.40,77.08,75.01,75.03,466000,72.65
2012-05-02,76.53,77.03,76.26,76.53,343200,74.10
2012-05-01,77.39,77.39,76.75,76.95,240400,74.51
2012-04-30,77.03,77.26,76.59,77.10,541000,74.66
2012-04-27,76.82,77.33,76.60,77.27,286200,74.82
2012-04-26,77.04,77.45,76.54,76.99,204100,74.55
