Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,26.56,26.70,26.55,26.70,450000,26.70
2013-01-08,26.51,26.66,26.51,26.60,468400,26.60
2013-01-07,26.60,26.63,26.52,26.53,609800,26.53
2013-01-04,26.60,26.67,26.58,26.67,501400,26.67
2013-01-03,26.62,26.73,26.56,26.73,662300,26.73
2013-01-02,26.56,26.64,26.50,26.61,561300,26.61
2012-12-31,26.72,26.83,26.57,26.57,808100,26.57
2012-12-28,26.47,26.76,26.42,26.75,1535300,26.75
2012-12-27,26.41,26.62,26.41,26.62,688800,26.62
2012-12-24,26.59,26.59,26.45,26.50,139700,26.50
2012-12-21,26.60,26.60,26.44,26.54,2256000,26.54
2012-12-20,26.48,26.49,26.39,26.40,723300,26.40
2012-12-19,26.39,26.45,26.37,26.39,852400,26.39
2012-12-18,26.35,26.41,26.25,26.30,963500,26.30
2012-12-17,26.41,26.45,26.28,26.32,2020500,26.32
2012-12-14,26.40,26.48,26.24,26.40,1584600,26.40
2012-12-13,26.45,26.53,26.41,26.41,768600,26.41
2012-12-12,26.60,26.60,26.47,26.55,1835400,26.55
2012-12-11,26.43,26.61,26.43,26.55,2432000,26.55
2012-12-10,26.67,26.67,26.42,26.44,9352400,26.44
2012-12-07,24.96,25.74,21.35,23.29,3557200,23.29
2012-12-06,24.48,25.07,24.19,24.87,1171600,24.87
2012-12-05,24.15,24.62,24.15,24.26,641900,24.21
2012-12-04,24.68,24.68,24.05,24.17,1389600,24.12
2012-12-03,24.38,24.69,24.22,24.66,1257100,24.61
2012-11-30,23.36,24.43,23.35,24.39,2064400,24.34
2012-11-29,24.00,24.10,23.12,23.26,912700,23.21
2012-11-28,23.93,24.14,23.75,23.79,858100,23.74
2012-11-27,24.86,24.86,23.61,24.10,1589300,24.05
2012-11-26,25.17,25.17,24.50,24.65,511600,24.60
2012-11-23,25.05,25.30,24.87,25.08,315800,25.03
2012-11-22,25.22,25.29,24.95,25.10,304400,25.05
2012-11-21,24.95,25.32,24.95,25.12,488400,25.07
2012-11-20,25.30,25.42,24.95,25.14,2178100,25.09
2012-11-19,25.59,25.70,25.20,25.32,1000400,25.27
2012-11-16,25.40,25.99,25.25,25.69,1034800,25.64
2012-11-15,24.61,25.40,24.61,25.26,1407300,25.21
2012-11-14,24.40,24.74,24.21,24.55,539600,24.50
2012-11-13,24.30,24.60,24.30,24.37,377200,24.32
2012-11-12,24.16,24.65,24.01,24.39,527200,24.34
2012-11-09,23.50,24.37,23.50,24.02,965800,23.97
2012-11-08,23.81,23.89,23.50,23.53,462900,23.48
2012-11-07,23.97,24.13,23.59,23.69,921700,23.64
2012-11-06,24.24,24.33,23.87,23.90,518900,23.85
2012-11-05,24.46,24.55,24.14,24.16,414500,24.11
2012-11-02,24.33,24.59,24.17,24.57,507300,24.52
2012-11-01,23.86,24.30,23.83,24.23,536500,24.18
2012-10-31,24.45,24.45,23.85,23.85,1440200,23.80
2012-10-30,24.49,24.83,24.31,24.50,1923600,24.45
2012-10-29,23.40,24.54,23.40,24.53,3753500,24.48
2012-10-26,23.85,23.85,23.01,23.27,2718500,23.22
2012-10-25,23.75,24.04,23.66,23.70,1578700,23.65
2012-10-24,23.76,23.76,23.43,23.63,1200000,23.58
2012-10-23,23.91,24.00,23.39,23.59,2065000,23.54
2012-10-22,23.70,24.29,23.40,24.04,4289100,23.99
2012-10-19,25.36,25.38,24.99,25.15,2011300,25.10
2012-10-18,25.29,25.43,25.23,25.40,483200,25.35
2012-10-17,25.45,25.45,25.22,25.28,760500,25.23
2012-10-16,25.35,25.51,25.35,25.51,1105600,25.46
2012-10-15,25.21,25.28,25.16,25.25,285200,25.20
2012-10-12,25.23,25.32,25.20,25.30,2145900,25.25
2012-10-11,24.93,25.30,24.93,25.21,1396400,25.16
2012-10-10,24.99,25.16,24.98,25.15,560200,25.10
2012-10-09,24.95,25.04,24.91,24.99,2163500,24.94
2012-10-05,24.92,24.99,24.80,24.97,1384500,24.92
2012-10-04,25.13,25.20,24.91,24.99,473500,24.94
2012-10-03,25.00,25.25,24.90,25.22,2679300,25.17
2012-10-02,24.90,24.99,24.87,24.95,1306100,24.90
2012-10-01,24.95,25.04,24.81,24.88,1233100,24.83
2012-09-28,24.73,24.98,24.64,24.90,2491400,24.85
2012-09-27,24.89,24.99,24.82,24.83,808500,24.78
2012-09-26,24.66,24.93,24.66,24.91,1387400,24.86
2012-09-25,24.70,24.81,24.47,24.73,1604500,24.68
2012-09-24,24.78,24.82,24.67,24.77,609900,24.72
2012-09-21,24.66,24.80,24.57,24.58,3440500,24.53
2012-09-20,24.72,24.89,24.64,24.72,1209200,24.67
2012-09-19,24.83,24.83,24.60,24.67,1691500,24.62
2012-09-18,24.95,24.95,24.74,24.75,2010600,24.70
2012-09-17,24.85,24.99,24.81,24.89,718700,24.84
2012-09-14,24.90,24.92,24.80,24.89,2746100,24.84
2012-09-13,25.00,25.04,24.82,24.92,808700,24.87
2012-09-12,25.02,25.04,24.90,25.00,2325300,24.95
2012-09-11,24.82,24.93,24.77,24.93,1095700,24.88
2012-09-10,25.21,25.21,24.90,24.91,1219900,24.86
2012-09-07,25.00,25.24,24.97,25.15,1153300,25.10
2012-09-06,24.97,25.06,24.85,25.06,713500,25.01
2012-09-05,24.89,25.08,24.85,24.98,279300,24.88
